dt,close
2010-01-04,54.49
2010-01-05,53.99
2010-01-06,54.34
2010-01-07,54.78
2010-01-08,55.03
2010-01-11,55.34
2010-01-12,55.18
2010-01-13,55.31
2010-01-14,55.35
2010-01-15,55.49
2010-01-19,56.21
2010-01-20,56.23
2010-01-21,55.51
2010-01-22,54.45
2010-01-25,54.71
2010-01-26,54.51
2010-01-27,53.89
2010-01-28,53.91
2010-01-29,52.92
2010-02-01,53.36
2010-02-02,54.45
2010-02-03,54.62
2010-02-04,53.79
2010-02-05,53.97
2010-02-08,53.33
2010-02-09,53.34
2010-02-10,53.27
2010-02-11,53.54
2010-02-12,54.0
2010-02-16,54.63
2010-02-17,54.78
2010-02-18,54.98
2010-02-19,54.36
2010-02-22,54.42
2010-02-23,53.95
2010-02-24,54.31
2010-02-25,54.15
2010-02-26,54.29
2010-03-01,54.25
2010-03-02,54.58
2010-03-03,54.07
2010-03-04,54.07
2010-03-05,54.34
2010-03-08,54.4
2010-03-09,54.81
2010-03-10,55.04
2010-03-11,55.54
2010-03-12,54.55
2010-03-15,54.8
2010-03-16,54.71
2010-03-17,54.49
2010-03-18,53.74
2010-03-19,53.44
2010-03-22,53.8978
2010-03-23,54.38
2010-03-24,53.89
2010-03-25,53.51
2010-03-26,52.91
2010-03-29,53.1
2010-03-30,52.52
2010-03-31,52.66
2010-04-01,52.95
2010-04-05,52.92
2010-04-06,52.85
2010-04-07,52.49
2010-04-08,52.27
2010-04-09,52.75
2010-04-12,52.67
2010-04-13,52.27
2010-04-14,52.32
2010-04-15,52.35
2010-04-16,52.25
2010-04-19,52.93
2010-04-20,53.05
2010-04-21,51.76
2010-04-22,51.15
2010-04-23,51.18
2010-04-26,50.35
2010-04-27,49.72
2010-04-28,50.29
2010-04-29,50.73
2010-04-30,51.17
2010-05-03,50.85
2010-05-04,50.2
2010-05-05,50.12
2010-05-06,48.94
2010-05-07,48.71
2010-05-10,49.68
2010-05-11,49.39
2010-05-12,49.14
2010-05-13,48.61
2010-05-14,48.52
2010-05-17,48.41
2010-05-18,48.03
2010-05-19,47.96
2010-05-20,46.47
2010-05-21,46.97
2010-05-24,47.56
2010-05-25,47.24
2010-05-26,47.17
2010-05-27,47.91
2010-05-28,47.56
2010-06-01,46.94
2010-06-02,47.48
