dt,close
2016-10-17,49.405
2016-10-18,49.23
2016-10-19,49.34
2016-10-20,48.5
2016-10-21,47.81
2016-10-24,47.0
2016-10-25,44.1342
2016-10-26,45.5
2016-10-27,45.25
2016-10-28,45.95
2016-10-31,45.99
2016-11-01,45.31
2016-11-02,44.97
2016-11-03,44.81
2016-11-04,44.25
2016-11-07,44.8299
2016-11-08,46.28
2016-11-09,44.26
2016-11-10,45.9
2016-11-11,46.58
2016-11-14,45.83
2016-11-15,47.73
2016-11-16,50.0
2016-11-17,53.5
2016-11-18,53.03
2016-11-21,52.955
2016-11-22,56.66
2016-11-23,56.0
2016-11-25,55.86
2016-11-28,54.4
2016-11-29,54.22
2016-11-30,53.63
2016-12-01,54.9
2016-12-02,54.24
2016-12-05,54.36
2016-12-06,55.08
2016-12-07,57.16
2016-12-08,57.15
2016-12-09,58.15
2016-12-12,57.695
2016-12-13,57.79
2016-12-14,57.33
2016-12-15,56.29
2016-12-16,54.13
2016-12-19,52.56
2016-12-20,55.26
2016-12-21,56.62
2016-12-22,56.98
2016-12-23,56.39
2016-12-27,57.63
2016-12-28,57.77
2016-12-29,57.88
2016-12-30,58.6
2017-01-03,57.66
2017-01-04,58.16
2017-01-05,56.92
2017-01-06,56.47
2017-01-09,55.89
2017-01-10,58.54
2017-01-11,61.53
2017-01-12,60.07
2017-01-13,61.41
2017-01-17,62.87
2017-01-18,64.75
2017-01-19,63.34
2017-01-20,64.215
2017-01-23,64.03
2017-01-24,65.84
2017-01-25,65.39
2017-01-26,65.55
2017-01-27,64.35
2017-01-30,64.01
2017-01-31,63.49
2017-02-01,64.05
2017-02-02,65.09
2017-02-03,63.0
2017-02-06,62.22
2017-02-07,60.1
2017-02-08,60.79
2017-02-09,61.19
2017-02-10,61.25
2017-02-13,61.13
2017-02-14,62.07
2017-02-15,63.98
2017-02-16,64.7
2017-02-17,64.01
2017-02-21,66.95
2017-02-22,67.53
2017-02-23,65.935
2017-02-24,66.49
2017-02-27,67.48
2017-02-28,67.25
2017-03-01,67.7825
2017-03-02,67.25
2017-03-03,67.9
2017-03-06,67.8
2017-03-07,68.3
2017-03-08,68.96
2017-03-09,69.49
2017-03-10,70.1
2017-03-13,72.39
2017-03-14,74.15
2017-03-15,75.71
2017-03-16,73.91
2017-03-17,72.8
2017-03-20,72.1
2017-03-21,69.51
2017-03-22,70.1
2017-03-23,68.29
2017-03-24,68.6
2017-03-27,70.38
2017-03-28,72.28
2017-03-29,71.45
2017-03-30,71.5
2017-03-31,72.67
2017-04-03,70.15
2017-04-04,68.13
2017-04-05,66.5
2017-04-06,66.67
2017-04-07,66.85
2017-04-10,67.2
2017-04-11,67.52
2017-04-12,66.59
2017-04-13,67.19
2017-04-17,67.27
2017-04-18,66.18
2017-04-19,67.59
2017-04-20,69.12
2017-04-21,69.25
2017-04-24,69.68
2017-04-25,70.19
2017-04-26,70.23
2017-04-27,72.43
2017-04-28,73.57
2017-05-01,74.5
2017-05-02,68.28
2017-05-03,70.15
2017-05-04,70.05
2017-05-05,70.97
2017-05-08,70.86
2017-05-09,71.39
2017-05-10,71.46
2017-05-11,71.05
2017-05-12,71.22
2017-05-15,72.45
2017-05-16,72.5
2017-05-17,68.21
2017-05-18,68.59
2017-05-19,69.38
2017-05-22,69.5
2017-05-23,68.51
2017-05-24,68.31
2017-05-25,66.051
2017-05-26,66.68
2017-05-30,66.975
2017-05-31,68.52
2017-06-01,69.89
2017-06-02,71.01
2017-06-05,69.88
2017-06-06,68.71
2017-06-07,69.4
2017-06-08,68.36
2017-06-09,67.44
2017-06-12,66.75
2017-06-13,65.8
2017-06-14,63.92
2017-06-15,64.56
2017-06-16,61.87
2017-06-19,61.72
2017-06-20,62.34
2017-06-21,63.6
2017-06-22,64.1
2017-06-23,64.12
2017-06-26,64.81
2017-06-27,63.22
2017-06-28,64.74
2017-06-29,64.79
2017-06-30,65.44
2017-07-03,65.97
2017-07-05,66.13
2017-07-06,66.2
2017-07-07,67.64
2017-07-10,68.2
2017-07-11,68.92
2017-07-12,68.69
2017-07-13,69.45
2017-07-14,68.87
2017-07-17,69.8
2017-07-18,69.73
2017-07-19,70.22
2017-07-20,70.58
2017-07-21,68.69
2017-07-24,67.9
2017-07-25,68.26
2017-07-26,69.06
2017-07-27,66.28
2017-07-28,65.56
2017-07-31,65.49
2017-08-01,64.01
2017-08-02,64.31
2017-08-03,64.03
2017-08-04,64.91
2017-08-07,65.42
2017-08-08,65.51
2017-08-09,65.27
2017-08-10,64.0
2017-08-11,65.41
2017-08-14,66.35
2017-08-15,66.05
2017-08-16,66.65
2017-08-17,65.575
2017-08-18,65.97
2017-08-21,67.89
2017-08-22,69.02
2017-08-23,69.16
2017-08-24,69.05
2017-08-25,68.29
2017-08-28,68.02
2017-08-29,68.3
2017-08-30,69.66
2017-08-31,70.68
2017-09-01,72.16
2017-09-05,72.23
2017-09-06,72.57
2017-09-07,72.53
2017-09-08,72.56
2017-09-11,73.56
2017-09-12,73.84
2017-09-13,75.4
2017-09-14,76.4
2017-09-15,80.26
2017-09-18,80.29
2017-09-19,82.18
2017-09-20,82.59
2017-09-21,82.21
2017-09-22,82.96
2017-09-25,82.17
2017-09-26,85.7
2017-09-27,84.17
2017-09-28,84.135
2017-09-29,84.0
2017-10-02,84.96
2017-10-03,85.21
2017-10-04,85.08
2017-10-05,84.39
2017-10-06,84.68
2017-10-09,83.95
2017-10-10,84.24
2017-10-11,84.51
2017-10-12,84.25
2017-10-13,83.8
2017-10-16,85.11
2017-10-17,85.19
2017-10-18,85.45
2017-10-19,84.98
2017-10-20,85.1
2017-10-23,85.02
2017-10-24,85.93
2017-10-25,83.64
2017-10-26,83.625
2017-10-27,84.21
2017-10-30,83.56
2017-10-31,84.355
2017-11-01,84.97
2017-11-02,81.06
2017-11-03,78.69
2017-11-06,78.63
2017-11-07,78.1
2017-11-08,77.4
2017-11-09,76.93
2017-11-10,77.39
2017-11-13,76.2
2017-11-14,75.06
2017-11-15,74.23
2017-11-16,74.43
2017-11-17,76.17
2017-11-20,78.06
2017-11-21,77.87
2017-11-22,77.68
2017-11-24,77.86
2017-11-27,77.65
2017-11-28,79.62
2017-11-29,79.08
2017-11-30,78.24
2017-12-01,78.43
2017-12-04,78.11
2017-12-05,78.93
2017-12-06,78.23
2017-12-07,79.14
2017-12-08,78.87
2017-12-11,79.71
2017-12-12,80.3385
2017-12-13,78.81
2017-12-14,77.85
2017-12-15,78.92
2017-12-18,80.63
2017-12-19,80.38
2017-12-20,80.92
2017-12-21,80.36
2017-12-22,79.71
2017-12-26,78.75
2017-12-27,79.0
2017-12-28,79.54
2017-12-29,78.71
2018-01-02,79.22
2018-01-03,78.4
2018-01-04,82.39
2018-01-05,83.82
2018-01-08,82.41
2018-01-09,83.03
2018-01-10,81.66
2018-01-11,83.6
2018-01-12,82.69
2018-01-16,82.18
2018-01-17,77.08
2018-01-18,74.105
2018-01-19,71.91
2018-01-22,72.74
2018-01-23,72.84
2018-01-24,73.02
2018-01-25,72.01
2018-01-26,72.19
2018-01-29,66.77
2018-01-30,66.3
2018-01-31,64.795
2018-02-01,64.71
2018-02-02,64.61
2018-02-05,61.94
