dt,close
2010-01-04,61.64
2010-01-05,61.73
2010-01-06,63.75
2010-01-07,63.95
2010-01-08,60.48
2010-01-11,59.96
2010-01-12,59.65
2010-01-13,59.95
2010-01-14,60.23
2010-01-15,60.375
2010-01-19,60.26
2010-01-20,59.33
2010-01-21,60.92
2010-01-22,61.19
2010-01-25,60.9
2010-01-26,61.89
2010-01-27,64.15
2010-01-28,62.5
2010-01-29,60.6
2010-02-01,60.2
2010-02-02,60.27
2010-02-03,61.17
2010-02-04,60.43
2010-02-05,59.87
2010-02-08,59.28
2010-02-09,59.45
2010-02-10,59.46
2010-02-11,58.3
2010-02-12,59.22
2010-02-16,60.16
2010-02-17,60.47
2010-02-18,61.45
2010-02-19,56.95
2010-02-22,57.9
2010-02-23,58.81
2010-02-24,59.54
2010-02-25,59.66
2010-02-26,59.96
2010-03-01,59.99
2010-03-02,59.47
2010-03-03,60.98
2010-03-04,61.2
2010-03-05,62.4
2010-03-08,62.25
2010-03-09,62.13
2010-03-10,63.37
2010-03-11,63.34
2010-03-12,63.02
2010-03-15,63.21
2010-03-16,64.65
2010-03-17,64.01
2010-03-18,64.63
2010-03-19,64.36
2010-03-22,64.49
2010-03-23,63.93
2010-03-24,63.33
2010-03-25,62.43
2010-03-26,61.17
2010-03-29,63.16
2010-03-30,62.28
2010-03-31,61.3
2010-04-01,61.49
2010-04-05,62.63
2010-04-06,63.76
2010-04-07,64.45
2010-04-08,63.0
2010-04-09,63.14
2010-04-12,62.56
2010-04-13,64.88
2010-04-14,63.84
2010-04-15,64.03
2010-04-16,64.6
2010-04-19,65.14
2010-04-20,64.88
2010-04-21,65.72
2010-04-22,64.85
2010-04-23,63.53
2010-04-26,62.75
2010-04-27,61.93
2010-04-28,61.47
2010-04-29,57.69
2010-04-30,57.41
2010-05-03,58.32
2010-05-04,56.1
2010-05-05,57.0
2010-05-06,54.94
2010-05-07,54.42
2010-05-10,55.31
2010-05-11,54.16
2010-05-12,55.73
2010-05-13,54.55
2010-05-14,52.79
2010-05-17,57.85
2010-05-18,54.52
2010-05-19,56.18
2010-05-20,55.62
2010-05-21,55.49
2010-05-24,55.13
2010-05-25,55.0
2010-05-26,53.4
2010-05-27,53.18
2010-05-28,53.16
2010-06-01,51.4
2010-06-02,51.46
2010-06-03,52.87
2010-06-04,51.5
2010-06-07,49.76
2010-06-08,50.45
2010-06-09,50.04
2010-06-10,50.25
2010-06-11,51.1
2010-06-14,47.59
2010-06-15,48.28
2010-06-16,49.37
2010-06-17,48.58
2010-06-18,48.4
2010-06-21,48.06
2010-06-22,46.57
2010-06-23,46.28
2010-06-24,45.97
2010-06-25,43.79
2010-06-28,44.52
2010-06-29,43.15
2010-06-30,42.48
2010-07-01,43.34
2010-07-02,41.86
2010-07-06,42.25
2010-07-07,42.92
2010-07-08,44.06
2010-07-09,44.45
2010-07-12,43.86
2010-07-13,43.92
2010-07-14,44.69
2010-07-15,44.77
2010-07-16,45.56
2010-07-19,48.05
2010-07-20,48.08
2010-07-21,47.15
2010-07-22,46.32
2010-07-23,49.28
2010-07-26,48.32
2010-07-27,47.76
2010-07-28,47.81
2010-07-29,47.07
2010-07-30,46.13
2010-08-02,47.15
2010-08-03,44.81
2010-08-04,44.79
2010-08-05,42.83
2010-08-06,42.45
2010-08-09,42.57
2010-08-10,41.86
2010-08-11,41.3
2010-08-12,40.47
2010-08-13,38.95
2010-08-16,40.98
2010-08-17,40.36
2010-08-18,40.99
2010-08-19,40.59
2010-08-20,40.73
2010-08-23,41.39
2010-08-24,41.5
2010-08-25,42.94
2010-08-26,42.32
2010-08-27,42.76
2010-08-30,43.21
2010-08-31,42.46
2010-09-01,43.38
2010-09-02,44.67
2010-09-03,45.375
2010-09-07,45.17
2010-09-08,46.05
2010-09-09,46.89
2010-09-10,47.55
2010-09-13,47.88
2010-09-14,47.74
