dt,close
2010-01-04,63.54
2010-01-05,62.88
2010-01-06,62.54
2010-01-07,63.14
2010-01-08,62.92
2010-01-11,63.29
2010-01-12,63.39
2010-01-13,63.5
2010-01-14,63.46
2010-01-15,62.72
2010-01-19,63.35
2010-01-20,63.89
2010-01-21,62.18
2010-01-22,61.99
2010-01-25,62.05
2010-01-26,60.88
2010-01-27,60.85
2010-01-28,60.24
2010-01-29,59.68
2010-02-01,60.66
2010-02-02,61.44
2010-02-03,61.45
2010-02-04,58.68
2010-02-05,59.19
2010-02-08,57.4
2010-02-09,57.25
2010-02-10,57.34
2010-02-11,56.81
2010-02-12,58.29
2010-02-16,61.16
2010-02-17,61.03
2010-02-18,61.69
2010-02-19,61.54
2010-02-22,61.35
2010-02-23,61.75
2010-02-24,61.62
2010-02-25,62.0
2010-02-26,61.58
2010-03-01,61.83
2010-03-02,62.35
2010-03-03,62.42
2010-03-04,62.08
2010-03-05,63.33
2010-03-08,64.36
2010-03-09,64.55
2010-03-10,64.81
2010-03-11,64.89
2010-03-12,65.0
2010-03-15,65.26
2010-03-16,66.85
2010-03-17,67.31
2010-03-18,67.36
2010-03-19,66.53
2010-03-22,67.48
2010-03-23,67.06
2010-03-24,67.42
2010-03-25,67.94
2010-03-26,68.21
2010-03-29,68.57
2010-03-30,68.19
2010-03-31,67.6
2010-04-01,67.99
2010-04-05,69.77
2010-04-06,71.77
2010-04-07,71.05
2010-04-08,71.26
2010-04-09,72.56
2010-04-12,71.43
2010-04-13,72.71
2010-04-14,71.93
2010-04-15,70.26
2010-04-16,69.4
2010-04-19,69.55
2010-04-20,70.55
2010-04-21,70.5
2010-04-22,70.92
2010-04-23,74.15
2010-04-26,74.59
2010-04-27,72.16
2010-04-28,72.02
2010-04-29,73.83
2010-04-30,70.81
2010-05-03,72.99
2010-05-04,71.15
2010-05-05,70.27
2010-05-06,67.12
2010-05-07,65.02
2010-05-10,69.61
2010-05-11,69.98
2010-05-12,70.91
2010-05-13,69.81
2010-05-14,67.08
2010-05-17,66.85
2010-05-18,65.31
2010-05-19,65.26
2010-05-20,62.24
2010-05-21,63.57
2010-05-24,63.23
2010-05-25,63.19
2010-05-26,62.88
2010-05-27,66.6
2010-05-28,65.5
2010-06-01,64.25
2010-06-02,65.82
2010-06-03,65.76
2010-06-04,62.37
2010-06-07,62.58
2010-06-08,65.2
