dt,close
2010-01-04,78.76
2010-01-05,79.34
2010-01-06,79.01
2010-01-07,80.15
2010-01-08,80.47
2010-01-11,81.27
2010-01-12,80.44
2010-01-13,82.74
2010-01-14,83.55
2010-01-15,82.54
2010-01-19,83.81
2010-01-20,82.4
2010-01-21,80.78
2010-01-22,79.45
2010-01-25,80.16
2010-01-26,80.11
2010-01-27,80.54
2010-01-28,80.51
2010-01-29,82.91
2010-02-01,82.17
2010-02-02,83.54
2010-02-03,82.87
2010-02-04,81.0
2010-02-05,79.9
2010-02-08,80.73
2010-02-09,81.31
2010-02-10,81.02
2010-02-11,81.51
2010-02-12,82.03
2010-02-16,82.99
2010-02-17,83.71
2010-02-18,83.45
2010-02-19,83.37
2010-02-22,83.77
2010-02-23,83.28
2010-02-24,83.0
2010-02-25,83.15
2010-02-26,83.82
2010-03-01,84.39
2010-03-02,84.45
2010-03-03,83.99
2010-03-04,83.82
2010-03-05,84.67
2010-03-08,83.7
2010-03-09,83.18
2010-03-10,83.25
2010-03-11,82.77
2010-03-12,82.02
2010-03-15,83.14
2010-03-16,83.21
2010-03-17,83.85
2010-03-18,84.17
2010-03-19,83.8
2010-03-22,84.71
2010-03-23,85.01
2010-03-24,84.54
2010-03-25,85.58
2010-03-26,85.78
2010-03-29,86.44
2010-03-30,86.6
2010-03-31,86.61
2010-04-01,84.42
2010-04-05,84.23
2010-04-06,84.52
2010-04-07,84.19
2010-04-08,84.05
2010-04-09,85.21
2010-04-12,85.08
2010-04-13,85.31
2010-04-14,86.16
2010-04-15,86.25
2010-04-16,85.89
2010-04-19,85.88
2010-04-20,87.3
2010-04-21,86.98
2010-04-22,85.48
2010-04-23,85.95
2010-04-26,84.83
2010-04-27,84.67
2010-04-28,86.71
2010-04-29,87.54
2010-04-30,86.52
2010-05-03,86.65
2010-05-04,85.51
2010-05-05,85.61
2010-05-06,84.23
2010-05-07,82.93
2010-05-10,84.69
2010-05-11,83.99
2010-05-12,84.21
2010-05-13,83.65
2010-05-14,82.71
2010-05-17,83.26
2010-05-18,83.09
2010-05-19,82.91
2010-05-20,80.19
2010-05-21,79.56
2010-05-24,80.31
2010-05-25,79.98
2010-05-26,80.13
2010-05-27,81.56
2010-05-28,81.02
2010-06-01,79.9
2010-06-02,81.37
2010-06-03,81.24
2010-06-04,79.0
2010-06-07,78.37
2010-06-08,77.63
2010-06-09,77.74
2010-06-10,79.86
2010-06-11,80.03
2010-06-14,79.79
2010-06-15,80.69
2010-06-16,81.2
2010-06-17,81.17
2010-06-18,80.36
2010-06-21,81.04
2010-06-22,80.69
2010-06-23,79.56
2010-06-24,78.86
2010-06-25,78.57
2010-06-28,79.22
2010-06-29,78.01
2010-06-30,77.55
2010-07-01,76.26
2010-07-02,76.45
2010-07-06,77.11
2010-07-07,77.81
2010-07-08,78.86
2010-07-09,79.14
2010-07-12,78.63
2010-07-13,79.61
2010-07-14,79.3
2010-07-15,78.8
2010-07-16,77.49
2010-07-19,77.25
2010-07-20,77.92
2010-07-21,76.16
2010-07-22,77.33
2010-07-23,78.74
2010-07-26,78.53
2010-07-27,78.91
2010-07-28,78.46
2010-07-29,77.81
2010-07-30,78.49
2010-08-02,80.2
2010-08-03,80.52
2010-08-04,81.2
2010-08-05,80.92
2010-08-06,80.64
2010-08-09,80.8
2010-08-10,81.0
2010-08-11,79.44
2010-08-12,79.63
2010-08-13,79.97
2010-08-16,79.48
2010-08-17,80.73
2010-08-18,80.78
2010-08-19,79.16
2010-08-20,78.8
2010-08-23,78.45
2010-08-24,76.57
2010-08-25,77.05
2010-08-26,76.6
2010-08-27,77.95
2010-08-30,77.18
2010-08-31,76.8
2010-09-01,77.95
2010-09-02,78.57
2010-09-03,78.24
2010-09-07,77.69
2010-09-08,77.39
2010-09-09,77.49
2010-09-10,77.36
2010-09-13,76.77
2010-09-14,77.4
2010-09-15,79.91
2010-09-16,80.52
2010-09-17,80.15
2010-09-20,80.8701
2010-09-21,80.53
2010-09-22,80.08
2010-09-23,78.79
