dt,close
2017-01-12,47.5
2017-01-13,45.4175
2017-01-17,44.5
2017-01-18,44.05
2017-01-19,43.32
2017-01-20,42.83
2017-01-23,42.2
2017-01-24,41.8
2017-01-25,42.15
2017-01-26,43.53
2017-01-27,44.46
2017-01-30,44.1
2017-01-31,44.94
2017-02-01,44.44
2017-02-02,45.02
2017-02-03,44.39
2017-02-06,42.85
2017-02-07,44.51
2017-02-08,42.96
2017-02-09,42.42
2017-02-10,43.43
2017-02-13,44.35
2017-02-14,44.52
2017-02-15,44.11
2017-02-16,44.1
2017-02-17,47.46
2017-02-21,48.19
2017-02-22,47.77
2017-02-23,49.55
2017-02-24,50.97
2017-02-27,50.59
2017-02-28,52.12
2017-03-01,53.38
2017-03-02,52.88
2017-03-03,52.52
2017-03-06,52.39
2017-03-07,51.13
2017-03-08,52.86
2017-03-09,53.57
2017-03-10,52.99
2017-03-13,52.16
2017-03-14,51.43
2017-03-15,51.46
2017-03-16,50.71
2017-03-17,49.37
2017-03-20,49.16
2017-03-21,48.96
2017-03-22,51.31
2017-03-23,50.47
2017-03-24,50.3
2017-03-27,50.92
2017-03-28,52.14
2017-03-29,53.23
2017-03-30,52.73
2017-03-31,54.46
2017-04-03,53.71
2017-04-04,54.75
2017-04-05,53.69
2017-04-06,55.39
2017-04-07,56.88
2017-04-10,56.34
2017-04-11,56.9
2017-04-12,56.71
2017-04-13,56.82
2017-04-17,56.28
2017-04-18,56.05
2017-04-19,55.99
2017-04-20,57.62
2017-04-21,57.21
2017-04-24,58.19
2017-04-25,57.75
2017-04-26,57.95
2017-04-27,58.09
2017-04-28,58.79
2017-05-01,59.04
2017-05-02,57.48
2017-05-03,55.99
2017-05-04,55.23
2017-05-05,56.21
2017-05-08,55.53
2017-05-09,55.95
2017-05-10,56.53
2017-05-11,55.05
2017-05-12,55.07
2017-05-15,55.8
2017-05-16,55.25
2017-05-17,51.9
2017-05-18,53.81
2017-05-19,54.86
2017-05-22,54.69
2017-05-23,52.5
2017-05-24,54.3
2017-05-25,55.01
2017-05-26,56.73
2017-05-30,55.82
2017-05-31,55.07
2017-06-01,56.14
2017-06-02,58.12
2017-06-05,57.48
2017-06-06,57.85
2017-06-07,57.41
2017-06-08,57.36
2017-06-09,57.0
2017-06-12,55.24
2017-06-13,58.25
2017-06-14,57.42
2017-06-15,56.54
2017-06-16,58.19
2017-06-19,60.53
2017-06-20,61.12
2017-06-21,61.06
2017-06-22,61.01
2017-06-23,62.57
2017-06-26,60.8
2017-06-27,60.29
2017-06-28,59.82
2017-06-29,60.29
2017-06-30,60.155
2017-07-03,62.14
2017-07-05,61.94
2017-07-06,61.22
2017-07-07,60.31
2017-07-10,62.13
2017-07-11,61.79
2017-07-12,61.95
2017-07-13,60.76
2017-07-14,60.6
2017-07-17,60.9
2017-07-18,60.52
2017-07-19,61.025
2017-07-20,62.78
2017-07-21,63.22
2017-07-24,63.62
2017-07-25,63.73
2017-07-26,63.37
2017-07-27,61.99
2017-07-28,62.54
2017-07-31,62.0
2017-08-01,60.89
2017-08-02,61.23
2017-08-03,61.2
2017-08-04,58.76
2017-08-07,60.66
2017-08-08,59.4
2017-08-09,59.04
2017-08-10,56.51
2017-08-11,58.1
2017-08-14,57.9
2017-08-15,57.2
2017-08-16,57.17
2017-08-17,55.01
2017-08-18,55.06
2017-08-21,54.8
2017-08-22,56.33
2017-08-23,55.22
2017-08-24,55.6
2017-08-25,55.61
2017-08-28,56.46
2017-08-29,56.56
2017-08-30,55.97
2017-08-31,56.69
2017-09-01,55.96
2017-09-05,55.61
2017-09-06,56.42
2017-09-07,56.74
2017-09-08,57.07
2017-09-11,56.62
2017-09-12,57.14
2017-09-13,56.46
2017-09-14,56.47
2017-09-15,55.15
2017-09-18,56.11
2017-09-19,56.37
2017-09-20,56.78
2017-09-21,55.96
2017-09-22,56.61
2017-09-25,56.68
2017-09-26,56.58
2017-09-27,57.23
2017-09-28,56.74
2017-09-29,57.1
2017-10-02,58.09
2017-10-03,57.73
2017-10-04,57.58
2017-10-05,57.4
2017-10-06,58.9
2017-10-09,58.86
2017-10-10,59.89
2017-10-11,59.04
2017-10-12,59.17
2017-10-13,58.66
2017-10-16,59.17
2017-10-17,60.07
2017-10-18,59.98
2017-10-19,59.74
2017-10-20,60.21
2017-10-23,58.94
2017-10-24,59.28
2017-10-25,58.72
2017-10-26,57.25
2017-10-27,55.83
2017-10-30,55.83
2017-10-31,56.49
2017-11-01,54.65
2017-11-02,53.65
2017-11-03,54.0
2017-11-06,52.87
2017-11-07,53.41
2017-11-08,54.12
2017-11-09,53.67
2017-11-10,53.66
2017-11-13,53.9
2017-11-14,54.39
2017-11-15,55.18
2017-11-16,55.3
2017-11-17,56.11
2017-11-20,50.7854
2017-11-21,50.72
2017-11-22,50.23
2017-11-24,50.57
2017-11-27,49.5
2017-11-28,49.84
2017-11-29,49.01
2017-11-30,50.02
2017-12-01,49.37
2017-12-04,50.3
2017-12-05,50.25
2017-12-06,50.68
2017-12-07,50.71
2017-12-08,51.48
2017-12-11,52.86
2017-12-12,53.47
2017-12-13,53.48
2017-12-14,53.51
2017-12-15,53.21
2017-12-18,53.54
2017-12-19,53.65
2017-12-20,53.71
2017-12-21,53.92
2017-12-22,54.0
2017-12-26,54.35
2017-12-27,54.24
2017-12-28,53.99
2017-12-29,53.93
2018-01-02,55.0
2018-01-03,55.39
2018-01-04,56.1
2018-01-05,55.8
2018-01-08,55.13
2018-01-09,59.03
2018-01-10,58.75
2018-01-11,62.7
2018-01-12,63.75
2018-01-16,63.88
2018-01-17,62.3
2018-01-18,62.74
2018-01-19,64.11
2018-01-22,103.9
2018-01-23,103.06
2018-01-24,103.45
2018-01-25,103.4
2018-01-26,103.0
2018-01-29,102.9
2018-01-30,103.1
2018-01-31,103.03
2018-02-01,103.48
2018-02-02,103.99
2018-02-05,103.53
