dt,close
2010-01-04,3310.0
2010-01-05,3325.0
2010-01-06,3311.49
2010-01-07,3321.22
2010-01-08,3321.85
2010-01-11,3324.0
2010-01-12,3300.26
2010-01-13,3299.68
2010-01-14,3294.7
2010-01-15,3246.51
2010-01-19,3332.48
2010-01-20,3472.0
2010-01-21,72.65
2010-01-22,70.0
2010-01-25,68.74
2010-01-26,68.11
2010-01-27,71.3
2010-01-28,73.899
2010-01-29,76.585
2010-02-01,75.31
2010-02-02,75.41
2010-02-03,74.3224
2010-02-04,72.51
2010-02-05,73.61
2010-02-08,74.39
2010-02-09,74.44
2010-02-10,74.47
2010-02-11,76.63
2010-02-12,77.84
2010-02-16,76.015
2010-02-17,76.24
2010-02-18,76.63
2010-02-19,78.78
2010-02-22,79.6
2010-02-23,79.07
2010-02-24,79.69
2010-02-25,79.38
2010-02-26,79.99
2010-03-01,81.87
2010-03-02,80.76
2010-03-03,82.94
2010-03-04,82.7
2010-03-05,83.32
2010-03-08,82.79
2010-03-09,82.45
2010-03-10,82.03
2010-03-11,82.3
2010-03-12,82.17
2010-03-15,82.19
2010-03-16,82.23
2010-03-17,82.5
2010-03-18,82.3
2010-03-19,82.04
2010-03-22,82.3526
2010-03-23,82.32
2010-03-24,81.42
2010-03-25,81.7
2010-03-26,81.28
2010-03-29,81.76
2010-03-30,81.62
2010-03-31,81.3
2010-04-01,81.62
2010-04-05,81.15
2010-04-06,80.91
2010-04-07,79.95
2010-04-08,79.7
2010-04-09,80.48
2010-04-12,80.46
2010-04-13,80.5
2010-04-14,80.87
2010-04-15,80.14
2010-04-16,78.759
2010-04-19,79.46
2010-04-20,80.05
2010-04-21,78.82
2010-04-22,78.68
2010-04-23,78.9461
2010-04-26,79.22
2010-04-27,76.64
2010-04-28,77.18
2010-04-29,78.08
2010-04-30,77.01
2010-05-03,78.42
2010-05-04,76.66
2010-05-05,76.66
2010-05-06,74.55
2010-05-07,74.41
2010-05-10,78.19
2010-05-11,77.61
2010-05-12,77.99
2010-05-13,77.22
2010-05-14,76.21
2010-05-17,76.28
2010-05-18,75.5
2010-05-19,75.75
2010-05-20,72.32
2010-05-21,73.11
2010-05-24,70.78
2010-05-25,70.74
2010-05-26,70.33
2010-05-27,73.41
2010-05-28,70.709
2010-06-01,70.22
2010-06-02,72.28
2010-06-03,72.33
2010-06-04,70.19
2010-06-07,70.04
2010-06-08,72.63
2010-06-09,71.8
2010-06-10,74.08
2010-06-11,74.44
2010-06-14,75.0
2010-06-15,77.24
2010-06-16,77.51
2010-06-17,79.23
2010-06-18,79.92
2010-06-21,79.8
2010-06-22,79.51
2010-06-23,79.13
2010-06-24,78.85
2010-06-25,80.96
2010-06-28,81.0
2010-06-29,80.06
2010-06-30,79.62
2010-07-01,78.83
2010-07-02,77.24
2010-07-06,77.56
2010-07-07,79.99
2010-07-08,79.4
2010-07-09,79.71
2010-07-12,79.46
2010-07-13,79.86
2010-07-14,79.36
2010-07-15,79.69
2010-07-16,77.11
2010-07-19,77.3
2010-07-20,78.22
2010-07-21,76.64
2010-07-22,78.3
2010-07-23,78.72
2010-07-26,78.71
2010-07-27,78.47
2010-07-28,77.84
2010-07-29,78.04
2010-07-30,78.09
2010-08-02,79.92
2010-08-03,79.85
2010-08-04,80.76
2010-08-05,80.83
2010-08-06,80.43
2010-08-09,80.62
2010-08-10,79.69
2010-08-11,77.56
2010-08-12,77.06
2010-08-13,76.86
2010-08-16,76.87
2010-08-17,77.52
2010-08-18,78.82
2010-08-19,77.59
2010-08-20,77.719
2010-08-23,77.23
2010-08-24,76.62
2010-08-25,76.82
2010-08-26,76.36
2010-08-27,78.76
2010-08-30,77.96
2010-08-31,78.74
2010-09-01,80.9
2010-09-02,81.24
2010-09-03,81.57
2010-09-07,80.81
2010-09-08,81.67
2010-09-09,82.26
2010-09-10,82.69
2010-09-13,83.34
2010-09-14,83.06
2010-09-15,83.46
2010-09-16,83.53
2010-09-17,83.05
2010-09-20,83.53
2010-09-21,83.1
2010-09-22,82.47
