dt,close
2015-06-15,33.5
2015-06-16,32.94
2015-06-17,32.0
2015-06-18,32.49
2015-06-19,31.8
2015-06-22,31.92
2015-06-23,32.25
2015-06-24,32.75
2015-06-25,32.9
2015-06-26,33.15
2015-06-29,33.06
2015-06-30,32.15
2015-07-01,31.67
2015-07-02,31.0
2015-07-06,31.65
2015-07-07,31.97
2015-07-08,31.23
2015-07-09,30.075
2015-07-10,30.86
2015-07-13,30.22
2015-07-14,30.465
2015-07-15,31.0
2015-07-16,31.49
2015-07-17,32.6954
2015-07-20,32.36
2015-07-21,32.19
2015-07-22,31.84
2015-07-23,31.27
2015-07-24,30.9
2015-07-27,30.48
2015-07-28,30.45
2015-07-29,30.9
2015-07-30,31.91
2015-07-31,32.81
2015-08-03,33.145
2015-08-04,37.27
2015-08-05,37.32
2015-08-06,37.39
2015-08-07,37.65
2015-08-10,39.8
2015-08-11,38.77
2015-08-12,38.2
2015-08-13,38.27
2015-08-14,39.44
2015-08-17,40.37
2015-08-18,39.96
2015-08-19,40.31
2015-08-20,39.69
2015-08-21,36.46
2015-08-24,34.5
2015-08-25,34.78
2015-08-26,35.42
2015-08-27,36.49
2015-08-28,35.24
2015-08-31,35.1
2015-09-01,34.69
2015-09-02,35.02
2015-09-03,36.05
2015-09-04,36.09
2015-09-08,35.1401
2015-09-09,34.24
2015-09-10,35.02
2015-09-11,35.76
2015-09-14,37.33
2015-09-15,37.08
2015-09-16,37.02
2015-09-17,36.86
2015-09-18,36.87
2015-09-21,36.14
2015-09-22,35.19
2015-09-23,34.6699
2015-09-24,34.14
2015-09-25,33.0
2015-09-28,31.18
2015-09-29,31.14
2015-09-30,31.46
2015-10-01,32.06
2015-10-02,32.43
2015-10-05,32.32
2015-10-06,31.27
2015-10-07,30.93
2015-10-08,31.11
2015-10-09,31.04
2015-10-12,31.16
2015-10-13,30.78
2015-10-14,31.01
2015-10-15,33.36
2015-10-16,32.95
2015-10-19,33.08
2015-10-20,32.12
2015-10-21,31.74
2015-10-22,31.37
2015-10-23,33.41
2015-10-26,33.82
2015-10-27,34.84
2015-10-28,35.92
2015-10-29,34.44
2015-10-30,34.46
2015-11-02,34.84
2015-11-03,33.83
2015-11-04,34.51
2015-11-05,34.32
2015-11-06,35.08
2015-11-09,34.38
2015-11-10,33.68
2015-11-11,33.68
2015-11-12,33.26
2015-11-13,33.77
2015-11-16,34.47
2015-11-17,34.56
2015-11-18,34.45
2015-11-19,34.46
2015-11-20,34.3
2015-11-23,33.53
2015-11-24,35.68
2015-11-25,35.77
2015-11-27,35.65
2015-11-30,34.55
2015-12-01,34.63
2015-12-02,35.66
2015-12-03,35.01
2015-12-04,35.83
2015-12-07,35.75
2015-12-08,36.96
2015-12-09,37.18
2015-12-10,37.66
2015-12-11,37.0466
2015-12-14,38.16
2015-12-15,37.09
2015-12-16,37.6
2015-12-17,37.22
2015-12-18,38.39
2015-12-21,38.06
2015-12-22,39.8
2015-12-23,39.33
2015-12-24,39.3
2015-12-28,38.49
2015-12-29,39.38
2015-12-30,39.09
2015-12-31,39.02
2016-01-04,41.21
2016-01-05,41.4999
2016-01-06,39.31
2016-01-07,40.54
2016-01-08,40.01
2016-01-11,39.12
2016-01-12,40.33
2016-01-13,40.36
2016-01-14,41.0
2016-01-15,40.27
2016-01-19,40.71
2016-01-20,40.28
2016-01-21,40.66
2016-01-22,41.79
2016-01-25,41.64
2016-01-26,41.05
2016-01-27,40.08
2016-01-28,39.79
2016-01-29,40.0
2016-02-01,40.16
2016-02-02,39.79
2016-02-03,39.09
2016-02-04,38.88
2016-02-05,38.0
2016-02-08,36.49
2016-02-09,36.78
2016-02-10,37.4599
2016-02-11,36.98
2016-02-12,38.57
2016-02-16,38.97
2016-02-17,40.08
2016-02-18,39.38
2016-02-19,39.4
2016-02-22,39.52
2016-02-23,39.29
2016-02-24,38.99
2016-02-25,39.5
2016-02-26,39.17
2016-02-29,38.48
2016-03-01,39.41
2016-03-02,39.89
2016-03-03,39.3
2016-03-04,39.46
2016-03-07,39.75
2016-03-08,39.05
2016-03-09,39.22
2016-03-10,39.42
2016-03-11,39.4
2016-03-14,39.42
2016-03-15,38.14
2016-03-16,38.06
2016-03-17,38.25
2016-03-18,39.1
2016-03-21,39.84
2016-03-22,40.195
2016-03-23,40.05
2016-03-24,40.07
2016-03-28,39.8
2016-03-29,40.35
2016-03-30,40.14
2016-03-31,40.42
2016-04-01,40.81
2016-04-04,41.56
2016-04-05,38.5
2016-04-06,40.67
2016-04-07,40.35
2016-04-08,40.29
2016-04-11,40.34
2016-04-12,40.34
2016-04-13,40.97
2016-04-14,40.76
2016-04-15,40.49
2016-04-18,41.34
2016-04-19,41.28
2016-04-20,40.65
2016-04-21,41.06
2016-04-22,41.39
2016-04-25,41.305
2016-04-26,41.22
2016-04-27,40.79
2016-04-28,40.94
2016-04-29,41.95
2016-05-02,42.15
2016-05-03,42.3
2016-05-04,41.37
2016-05-05,41.35
2016-05-06,41.19
2016-05-09,42.39
2016-05-10,42.95
2016-05-11,42.59
2016-05-12,41.8
2016-05-13,42.37
2016-05-16,42.8
2016-05-17,42.77
2016-05-18,43.44
2016-05-19,43.71
2016-05-20,44.42
2016-05-23,44.66
2016-05-24,45.0
2016-05-25,45.7
2016-05-26,45.7
2016-05-27,45.56
2016-05-31,45.37
2016-06-01,46.16
2016-06-02,46.07
