dt,close
2010-01-04,34.88
2010-01-05,34.66
2010-01-06,34.84
2010-01-07,34.3
2010-01-08,34.07
2010-01-11,34.71
2010-01-12,34.39
2010-01-13,34.82
2010-01-14,34.75
2010-01-15,34.46
2010-01-19,35.27
2010-01-20,34.7
2010-01-21,33.58
2010-01-22,32.52
2010-01-25,33.25
2010-01-26,32.93
2010-01-27,32.64
2010-01-28,32.69
2010-01-29,32.29
2010-02-01,33.9
2010-02-02,34.05
2010-02-03,34.26
2010-02-04,32.7
2010-02-05,32.02
2010-02-08,31.88
2010-02-09,32.26
2010-02-10,32.3
2010-02-11,33.01
2010-02-12,32.45
2010-02-16,33.69
2010-02-17,33.71
2010-02-18,33.88
2010-02-19,34.54
2010-02-22,34.06
2010-02-23,34.2
2010-02-24,34.71
2010-02-25,34.985
2010-02-26,35.01
2010-03-01,35.31
2010-03-02,35.31
2010-03-03,35.41
2010-03-04,35.91
2010-03-05,36.65
2010-03-08,36.64
2010-03-09,36.21
2010-03-10,36.81
2010-03-11,36.62
2010-03-12,35.91
2010-03-15,35.83
2010-03-16,36.43
2010-03-17,36.4
2010-03-18,36.17
2010-03-19,35.97
2010-03-22,36.2802
2010-03-23,36.23
2010-03-24,36.3
2010-03-25,35.64
2010-03-26,35.51
2010-03-29,35.47
2010-03-30,35.56
2010-03-31,35.09
2010-04-01,36.07
2010-04-05,36.98
2010-04-06,37.91
2010-04-07,37.41
2010-04-08,36.9
2010-04-09,37.39
2010-04-12,38.09
2010-04-13,37.93
2010-04-14,38.41
2010-04-15,38.44
2010-04-16,37.0
2010-04-19,36.75
2010-04-20,37.1
2010-04-21,37.45
2010-04-22,37.32
2010-04-23,37.33
2010-04-26,37.12
2010-04-27,36.38
2010-04-28,36.63
2010-04-29,37.5
2010-04-30,35.34
2010-05-03,36.42
2010-05-04,35.99
2010-05-05,35.47
2010-05-06,34.56
2010-05-07,34.49
2010-05-10,36.08
2010-05-11,35.73
2010-05-12,36.46
2010-05-13,36.42
2010-05-14,36.5
2010-05-17,36.55
2010-05-18,35.34
2010-05-19,34.65
2010-05-20,32.79
2010-05-21,33.33
2010-05-24,33.6
2010-05-25,33.1
2010-05-26,34.27
2010-05-27,35.0
2010-05-28,35.36
2010-06-01,34.65
2010-06-02,35.72
2010-06-03,36.05
2010-06-04,34.56
2010-06-07,34.94
2010-06-08,34.72
2010-06-09,34.72
2010-06-10,35.43
2010-06-11,35.63
2010-06-14,35.98
2010-06-15,36.63
2010-06-16,36.58
2010-06-17,36.79
2010-06-18,36.68
2010-06-21,36.35
2010-06-22,34.99
2010-06-23,34.73
2010-06-24,34.33
2010-06-25,34.24
2010-06-28,34.18
2010-06-29,33.12
2010-06-30,32.24
2010-07-01,31.67
2010-07-02,31.2
2010-07-06,31.47
2010-07-07,32.55
2010-07-08,32.91
2010-07-09,33.52
2010-07-12,33.71
2010-07-13,33.86
2010-07-14,33.79
2010-07-15,33.48
2010-07-16,32.61
2010-07-19,32.94
2010-07-20,33.63
2010-07-21,32.88
2010-07-22,34.07
2010-07-23,34.16
2010-07-26,34.43
2010-07-27,34.95
2010-07-28,33.28
2010-07-29,31.73
2010-07-30,31.6
2010-08-02,31.62
2010-08-03,31.13
2010-08-04,31.42
2010-08-05,30.75
2010-08-06,30.26
2010-08-09,30.14
2010-08-10,30.01
2010-08-11,29.31
2010-08-12,29.6
2010-08-13,29.66
2010-08-16,29.56
2010-08-17,29.62
2010-08-18,29.76
2010-08-19,29.21
2010-08-20,28.89
2010-08-23,28.94
2010-08-24,28.84
2010-08-25,29.16
2010-08-26,29.17
2010-08-27,29.79
2010-08-30,29.11
2010-08-31,29.32
2010-09-01,30.6
2010-09-02,30.98
2010-09-03,31.1
2010-09-07,30.33
2010-09-08,30.4
2010-09-09,30.75
2010-09-10,31.12
2010-09-13,31.27
2010-09-14,30.98
2010-09-15,31.45
2010-09-16,30.68
2010-09-17,30.81
2010-09-20,31.22
2010-09-21,31.28
2010-09-22,32.03
2010-09-23,32.03
2010-09-24,32.32
2010-09-27,32.11
2010-09-28,32.54
2010-09-29,32.52
2010-09-30,32.26
2010-10-01,32.46
2010-10-04,31.25
2010-10-05,31.54
2010-10-06,31.44
2010-10-07,31.96
2010-10-08,32.15
2010-10-11,32.29
2010-10-12,32.45
2010-10-13,32.71
2010-10-14,32.79
2010-10-15,32.7225
2010-10-18,32.91
2010-10-19,32.04
2010-10-20,32.26
2010-10-21,31.8
2010-10-22,31.37
2010-10-25,31.23
2010-10-26,31.22
2010-10-27,31.13
2010-10-28,30.83
2010-10-29,30.26
2010-11-01,29.4
2010-11-02,30.18
2010-11-03,30.5
2010-11-04,30.78
2010-11-05,30.71
2010-11-08,30.57
2010-11-09,29.98
2010-11-10,29.6
2010-11-11,29.36
2010-11-12,28.95
2010-11-15,28.9
2010-11-16,28.6299
2010-11-17,29.03
2010-11-18,29.59
2010-11-19,29.19
2010-11-22,29.04
2010-11-23,28.4
