dt,close
2010-01-04,24.91
2010-01-05,24.64
2010-01-06,24.8
2010-01-07,25.13
2010-01-08,26.12
2010-01-11,26.63
2010-01-12,25.63
2010-01-13,25.73
2010-01-14,25.97
2010-01-15,25.59
2010-01-19,26.03
2010-01-20,26.79
2010-01-21,27.15
2010-01-22,27.55
2010-01-25,27.51
2010-01-26,27.55
2010-01-27,26.91
2010-01-28,26.14
2010-01-29,25.74
2010-02-01,26.0
2010-02-02,26.9
2010-02-03,26.37
2010-02-04,25.89
2010-02-05,25.97
2010-02-08,25.89
2010-02-09,26.25
2010-02-10,26.45
2010-02-11,25.79
2010-02-12,25.17
2010-02-16,25.31
2010-02-17,26.23
2010-02-18,26.18
2010-02-19,26.27
2010-02-22,26.38
2010-02-23,25.92
2010-02-24,25.84
2010-02-25,25.4
2010-02-26,25.27
2010-03-01,26.06
2010-03-02,25.75
2010-03-03,25.35
2010-03-04,25.41
2010-03-05,25.93
2010-03-08,25.93
2010-03-09,25.81
2010-03-10,25.64
2010-03-11,25.62
2010-03-12,25.76
2010-03-15,25.79
2010-03-16,25.75
2010-03-17,25.37
2010-03-18,25.43
2010-03-19,25.21
2010-03-22,25.28
2010-03-23,25.16
2010-03-24,24.99
2010-03-25,25.0
2010-03-26,25.46
2010-03-29,25.81
2010-03-30,26.56
2010-03-31,26.45
2010-04-01,26.15
2010-04-05,26.38
2010-04-06,26.4
2010-04-07,26.25
2010-04-08,26.29
2010-04-09,26.53
2010-04-12,26.45
2010-04-13,26.98
2010-04-14,26.84
2010-04-15,26.91
2010-04-16,27.19
2010-04-19,27.68
2010-04-20,27.82
2010-04-21,28.06
2010-04-22,27.95
2010-04-23,27.78
2010-04-26,27.22
2010-04-27,26.66
2010-04-28,27.17
2010-04-29,27.47
2010-04-30,27.6
2010-05-03,27.29
2010-05-04,28.53
2010-05-05,28.96
2010-05-06,27.62
2010-05-07,26.13
2010-05-10,26.62
2010-05-11,26.44
2010-05-12,26.37
2010-05-13,26.05
2010-05-14,25.87
