dt,close
2010-01-04,36.41
2010-01-05,36.97
2010-01-06,36.89
2010-01-07,38.28
2010-01-08,37.96
2010-01-11,37.34
2010-01-12,36.53
2010-01-13,36.44
2010-01-14,36.73
2010-01-15,36.81
2010-01-19,37.91
2010-01-20,38.19
2010-01-21,37.0
2010-01-22,36.68
2010-01-25,36.36
2010-01-26,34.37
2010-01-27,34.64
2010-01-28,34.5
2010-01-29,33.78
2010-02-01,33.79
2010-02-02,35.2
2010-02-03,34.8
2010-02-04,33.48
2010-02-05,33.39
2010-02-08,33.1
2010-02-09,33.5
2010-02-10,33.08
2010-02-11,33.33
2010-02-12,32.74
2010-02-16,32.71
2010-02-17,33.2
2010-02-18,33.15
2010-02-19,32.77
2010-02-22,33.45
2010-02-23,33.0
2010-02-24,33.96
2010-02-25,33.92
2010-02-26,34.26
2010-03-01,34.6
2010-03-02,34.38
2010-03-03,34.72
2010-03-04,34.0
2010-03-05,34.81
2010-03-08,34.83
2010-03-09,34.06
2010-03-10,34.35
2010-03-11,34.95
2010-03-12,34.5
2010-03-15,34.27
2010-03-16,34.98
2010-03-17,34.86
2010-03-18,35.84
2010-03-19,37.09
2010-03-22,37.2825
2010-03-23,36.96
2010-03-24,36.36
2010-03-25,36.08
2010-03-26,35.86
2010-03-29,36.36
2010-03-30,36.59
2010-03-31,36.57
2010-04-01,37.16
2010-04-05,37.0
2010-04-06,37.07
2010-04-07,36.24
2010-04-08,36.63
2010-04-09,36.62
2010-04-12,36.4
2010-04-13,35.69
2010-04-14,34.68
2010-04-15,34.73
2010-04-16,34.47
2010-04-19,35.31
2010-04-20,34.93
2010-04-21,33.99
2010-04-22,33.55
2010-04-23,33.99
2010-04-26,32.88
2010-04-27,32.32
2010-04-28,33.1
2010-04-29,33.81
2010-04-30,32.05
2010-05-03,32.73
2010-05-04,31.22
2010-05-05,32.01
2010-05-06,32.94
2010-05-07,31.39
2010-05-10,32.69
2010-05-11,33.13
2010-05-12,33.98
2010-05-13,33.85
2010-05-14,33.47
2010-05-17,33.64
2010-05-18,33.76
2010-05-19,33.72
2010-05-20,32.65
2010-05-21,32.68
2010-05-24,32.71
2010-05-25,32.16
2010-05-26,32.43
2010-05-27,33.68
2010-05-28,33.44
2010-06-01,32.85
2010-06-02,33.76
2010-06-03,34.81
2010-06-04,34.09
2010-06-07,33.9
2010-06-08,33.6
2010-06-09,33.26
2010-06-10,34.15
2010-06-11,34.5
2010-06-14,34.55
2010-06-15,35.14
2010-06-16,35.19
2010-06-17,35.3
2010-06-18,35.19
2010-06-21,35.22
2010-06-22,34.23
2010-06-23,33.98
2010-06-24,33.34
2010-06-25,33.29
2010-06-28,33.18
2010-06-29,31.85
2010-06-30,31.04
2010-07-01,29.86
2010-07-02,29.78
2010-07-06,30.19
2010-07-07,30.68
2010-07-08,31.03
2010-07-09,31.31
2010-07-12,31.13
2010-07-13,31.34
2010-07-14,31.46
2010-07-15,31.57
2010-07-16,30.35
2010-07-19,31.14
2010-07-20,31.29
2010-07-21,30.68
2010-07-22,31.49
2010-07-23,31.01
2010-07-26,31.75
2010-07-27,31.51
2010-07-28,30.36
2010-07-29,30.63
2010-07-30,30.73
2010-08-02,31.58
2010-08-03,31.75
2010-08-04,32.14
2010-08-05,33.95
2010-08-06,34.4
2010-08-09,34.62
2010-08-10,34.85
2010-08-11,33.43
2010-08-12,33.4
2010-08-13,33.34
2010-08-16,33.39
2010-08-17,33.8
2010-08-18,33.77
2010-08-19,32.87
2010-08-20,32.39
2010-08-23,32.7
2010-08-24,31.8
2010-08-25,32.31
2010-08-26,31.98
2010-08-27,32.5
2010-08-30,31.91
2010-08-31,32.27
2010-09-01,33.56
2010-09-02,33.06
2010-09-03,33.74
2010-09-07,33.46
2010-09-08,33.65
2010-09-09,34.38
2010-09-10,34.6
2010-09-13,35.27
2010-09-14,35.07
2010-09-15,34.66
2010-09-16,34.62
2010-09-17,34.46
2010-09-20,34.96
2010-09-21,35.59
2010-09-22,35.48
2010-09-23,35.13
2010-09-24,36.0
2010-09-27,35.66
2010-09-28,35.52
2010-09-29,35.31
2010-09-30,35.77
2010-10-01,36.02
2010-10-04,35.14
2010-10-05,35.84
2010-10-06,34.56
2010-10-07,35.36
2010-10-08,35.44
2010-10-11,36.04
2010-10-12,36.13
2010-10-13,36.18
2010-10-14,35.94
2010-10-15,35.86
2010-10-18,35.72
2010-10-19,34.65
2010-10-20,35.3
2010-10-21,35.65
2010-10-22,36.18
2010-10-25,36.38
2010-10-26,36.15
2010-10-27,35.85
2010-10-28,35.65
2010-10-29,35.16
2010-11-01,35.38
2010-11-02,36.86
2010-11-03,36.81
2010-11-04,37.35
2010-11-05,37.35
2010-11-08,36.84
2010-11-09,36.53
2010-11-10,36.66
2010-11-11,37.02
2010-11-12,37.38
2010-11-15,36.46
2010-11-16,35.8
2010-11-17,36.22
2010-11-18,36.48
2010-11-19,37.44
2010-11-22,37.53
2010-11-23,36.35
