dt,close
2016-12-13,16.0
2016-12-14,15.18
2016-12-15,14.3
2016-12-16,15.21
2016-12-19,14.92
2016-12-20,15.0
2016-12-21,14.75
2016-12-22,14.36
2016-12-23,14.6
2016-12-27,14.65
2016-12-28,14.8501
2016-12-29,14.94
2016-12-30,14.91
2017-01-03,13.81
2017-01-04,13.83
2017-01-05,14.14
2017-01-06,14.77
2017-01-09,14.0
2017-01-10,13.44
2017-01-11,13.32
2017-01-12,13.97
2017-01-13,13.99
2017-01-17,14.19
2017-01-18,14.52
2017-01-19,14.5
2017-01-20,14.44
2017-01-23,14.5598
2017-01-24,14.55
2017-01-25,14.79
2017-01-26,15.04
2017-01-27,14.91
2017-01-30,14.855
2017-01-31,14.99
2017-02-01,14.73
2017-02-02,14.51
2017-02-03,14.93
2017-02-06,14.61
2017-02-07,14.55
2017-02-08,14.36
2017-02-09,14.505
2017-02-10,14.57
2017-02-13,14.7
2017-02-14,15.11
2017-02-15,15.11
2017-02-16,15.1
2017-02-17,15.05
2017-02-21,15.09
2017-02-22,16.38
2017-02-23,17.27
2017-02-24,16.985
2017-02-27,16.59
2017-02-28,16.09
2017-03-01,16.3
2017-03-02,15.99
2017-03-03,15.93
2017-03-06,15.67
2017-03-07,15.58
2017-03-08,15.575
2017-03-09,15.6
2017-03-10,15.64
2017-03-13,15.86
2017-03-14,15.97
2017-03-15,16.06
2017-03-16,15.77
2017-03-17,15.74
2017-03-20,16.03
2017-03-21,15.96
2017-03-22,16.05
2017-03-23,15.995
2017-03-24,15.815
2017-03-27,15.91
2017-03-28,15.97
2017-03-29,16.32
2017-03-30,16.765
2017-03-31,16.79
2017-04-03,16.415
2017-04-04,16.305
2017-04-05,16.24
2017-04-06,16.24
2017-04-07,16.375
2017-04-10,16.33
2017-04-11,16.065
2017-04-12,15.92
2017-04-13,15.785
2017-04-17,16.06
2017-04-18,15.82
2017-04-19,15.9
2017-04-20,15.92
2017-04-21,16.05
2017-04-24,15.96
2017-04-25,16.1
2017-04-26,16.39
2017-04-27,16.42
2017-04-28,16.31
2017-05-01,16.405
2017-05-02,16.41
2017-05-03,17.005
2017-05-04,17.275
2017-05-05,17.76
2017-05-08,17.705
2017-05-09,17.5
2017-05-10,16.9
2017-05-11,16.84
2017-05-12,16.85
2017-05-15,17.05
2017-05-16,17.28
2017-05-17,16.58
2017-05-18,16.71
2017-05-19,16.645
2017-05-22,16.78
2017-05-23,16.47
2017-05-24,16.49
2017-05-25,16.43
2017-05-26,16.205
2017-05-30,16.165
2017-05-31,16.43
2017-06-01,16.575
2017-06-02,16.485
2017-06-05,16.615
2017-06-06,16.815
2017-06-07,16.34
2017-06-08,16.32
2017-06-09,16.545
2017-06-12,16.38
2017-06-13,16.305
2017-06-14,16.23
2017-06-15,15.64
2017-06-16,15.89
2017-06-19,15.9
2017-06-20,15.87
2017-06-21,16.11
2017-06-22,16.16
2017-06-23,15.97
2017-06-26,15.9
2017-06-27,15.87
2017-06-28,15.835
2017-06-29,15.77
2017-06-30,15.94
2017-07-03,16.05
2017-07-05,16.08
2017-07-06,15.93
2017-07-07,15.99
2017-07-10,15.88
2017-07-11,15.885
2017-07-12,16.085
2017-07-13,16.06
2017-07-14,15.95
2017-07-17,16.33
2017-07-18,16.37
2017-07-19,16.68
2017-07-20,16.73
2017-07-21,16.57
2017-07-24,16.49
2017-07-25,16.47
2017-07-26,16.49
2017-07-27,16.45
2017-07-28,16.655
2017-07-31,16.515
2017-08-01,16.8
2017-08-02,16.86
2017-08-03,16.775
2017-08-04,16.63
2017-08-07,16.29
2017-08-08,15.75
2017-08-09,16.58
2017-08-10,17.075
2017-08-11,16.75
2017-08-14,16.99
2017-08-15,16.82
2017-08-16,17.1
2017-08-17,16.89
2017-08-18,16.77
2017-08-21,16.65
2017-08-22,16.89
2017-08-23,16.85
2017-08-24,16.72
2017-08-25,16.82
2017-08-28,16.99
2017-08-29,16.73
2017-08-30,16.635
2017-08-31,16.505
2017-09-01,16.63
2017-09-05,16.675
2017-09-06,16.485
2017-09-07,15.94
2017-09-08,15.96
2017-09-11,16.185
2017-09-12,16.43
2017-09-13,16.13
2017-09-14,15.97
2017-09-15,15.91
2017-09-18,15.75
2017-09-19,15.67
2017-09-20,15.58
2017-09-21,15.55
2017-09-22,15.49
2017-09-25,15.59
2017-09-26,15.61
2017-09-27,15.64
2017-09-28,15.715
2017-09-29,15.67
2017-10-02,15.93
2017-10-03,15.61
2017-10-04,15.95
2017-10-05,16.04
2017-10-06,15.94
2017-10-09,15.98
2017-10-10,16.05
2017-10-11,16.19
2017-10-12,16.31
2017-10-13,16.14
2017-10-16,15.92
2017-10-17,15.75
2017-10-18,15.55
2017-10-19,15.66
2017-10-20,15.72
2017-10-23,15.51
2017-10-24,15.5
2017-10-25,15.35
2017-10-26,15.335
2017-10-27,15.41
2017-10-30,15.53
2017-10-31,15.48
2017-11-01,15.4
2017-11-02,15.59
2017-11-03,15.34
2017-11-06,15.6
2017-11-07,15.7
2017-11-08,16.22
2017-11-09,15.91
2017-11-10,15.81
2017-11-13,15.97
2017-11-14,15.68
2017-11-15,15.6
2017-11-16,15.53
2017-11-17,15.49
2017-11-20,15.48
2017-11-21,15.405
2017-11-22,15.415
2017-11-24,15.41
2017-11-27,15.35
2017-11-28,15.56
2017-11-29,15.31
2017-11-30,15.25
2017-12-01,15.18
2017-12-04,15.06
2017-12-05,15.09
2017-12-06,15.16
2017-12-07,15.12
2017-12-08,15.12
2017-12-11,15.44
2017-12-12,15.35
2017-12-13,15.74
2017-12-14,15.76
2017-12-15,15.85
2017-12-18,15.65
2017-12-19,15.69
2017-12-20,15.81
2017-12-21,16.01
2017-12-22,16.01
2017-12-26,16.02
2017-12-27,16.04
2017-12-28,16.05
2017-12-29,16.1697
2018-01-02,16.54
2018-01-03,16.24
2018-01-04,16.285
2018-01-05,16.15
2018-01-08,16.47
2018-01-09,16.3
2018-01-10,16.43
2018-01-11,16.72
2018-01-12,16.92
2018-01-16,16.79
2018-01-17,16.85
2018-01-18,16.87
2018-01-19,16.62
2018-01-22,16.75
2018-01-23,16.84
2018-01-24,16.785
2018-01-25,16.73
2018-01-26,16.73
2018-01-29,16.66
2018-01-30,16.58
2018-01-31,16.41
2018-02-01,16.29
2018-02-02,16.25
2018-02-05,16.0
