dt,close
2010-01-04,59.4
2010-01-05,59.24
2010-01-06,60.0
2010-01-07,59.71
2010-01-08,59.28
2010-01-11,59.35
2010-01-12,59.05
2010-01-13,59.39
2010-01-14,58.72
2010-01-15,58.79
2010-01-19,58.95
2010-01-20,58.27
2010-01-21,57.52
2010-01-22,57.07
2010-01-25,57.56
2010-01-26,57.93
2010-01-27,57.51
2010-01-28,57.36
2010-01-29,57.42
2010-02-01,57.92
2010-02-02,58.76
2010-02-03,58.42
2010-02-04,58.53
2010-02-05,58.58
2010-02-08,58.14
2010-02-09,58.76
2010-02-10,59.16
2010-02-11,59.67
2010-02-12,59.29
2010-02-16,60.67
2010-02-17,61.05
2010-02-18,60.95
2010-02-19,61.11
2010-02-22,60.79
2010-02-23,60.54
2010-02-24,60.86
2010-02-25,61.4
2010-02-26,60.99
2010-03-01,61.63
2010-03-02,61.38
2010-03-03,60.68
2010-03-04,60.8
2010-03-05,60.67
2010-03-08,60.67
2010-03-09,60.11
2010-03-10,59.84
2010-03-11,59.9
2010-03-12,60.17
2010-03-15,60.55
2010-03-16,60.91
2010-03-17,61.33
2010-03-18,61.25
2010-03-19,60.67
2010-03-22,60.87
2010-03-23,60.75
2010-03-24,60.08
2010-03-25,60.03
2010-03-26,60.15
2010-03-29,60.14
2010-03-30,60.15
2010-03-31,59.75
2010-04-01,60.14
2010-04-05,60.8
2010-04-06,61.73
2010-04-07,61.73
2010-04-08,60.98
2010-04-09,61.2
2010-04-12,60.29
2010-04-13,59.89
2010-04-14,59.63
2010-04-15,59.05
2010-04-16,59.17
2010-04-19,59.46
2010-04-20,59.5
2010-04-21,59.5
2010-04-22,60.18
2010-04-23,60.15
2010-04-26,60.07
2010-04-27,59.14
2010-04-28,58.86
2010-04-29,59.36
2010-04-30,59.08
2010-05-03,59.31
2010-05-04,59.88
2010-05-05,60.37
2010-05-06,58.0
2010-05-07,57.33
2010-05-10,57.56
2010-05-11,57.94
2010-05-12,57.87
2010-05-13,57.65
2010-05-14,57.73
2010-05-17,58.34
2010-05-18,57.82
2010-05-19,57.77
2010-05-20,56.56
2010-05-21,57.43
2010-05-24,56.76
2010-05-25,56.49
2010-05-26,55.93
2010-05-27,58.75
2010-05-28,58.25
2010-06-01,57.98
2010-06-02,58.95
2010-06-03,57.96
2010-06-04,56.19
2010-06-07,55.81
2010-06-08,56.63
2010-06-09,57.4
2010-06-10,57.67
2010-06-11,57.53
2010-06-14,57.52
2010-06-15,59.18
2010-06-16,58.34
2010-06-17,58.55
2010-06-18,58.17
2010-06-21,57.79
2010-06-22,57.63
2010-06-23,57.43
2010-06-24,56.23
2010-06-25,56.38
2010-06-28,56.65
2010-06-29,55.63
2010-06-30,54.82
2010-07-01,54.89
2010-07-02,54.18
2010-07-06,53.98
2010-07-07,54.32
2010-07-08,55.71
2010-07-09,56.19
2010-07-12,55.93
2010-07-13,56.46
2010-07-14,56.36
2010-07-15,56.53
2010-07-16,54.97
2010-07-19,54.82
2010-07-20,55.08
2010-07-21,53.61
2010-07-22,54.88
2010-07-23,55.95
2010-07-26,55.71
2010-07-27,57.2
2010-07-28,56.54
2010-07-29,56.21
2010-07-30,56.7
2010-08-02,56.84
2010-08-03,56.54
2010-08-04,57.4
2010-08-05,56.45
2010-08-06,56.54
2010-08-09,57.15
2010-08-10,56.98
2010-08-11,55.87
2010-08-12,55.67
2010-08-13,55.34
2010-08-16,55.37
2010-08-17,55.83
2010-08-18,55.69
2010-08-19,55.01
2010-08-20,55.02
2010-08-23,54.88
2010-08-24,55.6
2010-08-25,57.08
2010-08-26,56.29
2010-08-27,56.19
2010-08-30,56.07
2010-08-31,56.56
2010-09-01,57.79
2010-09-02,58.58
2010-09-03,58.57
2010-09-07,58.66
2010-09-08,59.22
2010-09-09,58.95
2010-09-10,59.55
2010-09-13,60.11
2010-09-14,61.04
2010-09-15,61.19
2010-09-16,61.23
2010-09-17,61.31
2010-09-20,61.31
2010-09-21,61.31
2010-09-22,62.35
2010-09-23,62.5
2010-09-24,64.07
2010-09-27,63.73
2010-09-28,65.01
2010-09-29,64.68
2010-09-30,64.48
2010-10-01,65.04
2010-10-04,64.56
2010-10-05,64.74
2010-10-06,65.38
2010-10-07,65.25
2010-10-08,64.29
2010-10-11,64.33
2010-10-12,63.34
2010-10-13,63.31
2010-10-14,63.18
2010-10-15,63.7
2010-10-18,63.22
2010-10-19,62.21
2010-10-20,62.61
2010-10-21,63.6
2010-10-22,64.03
2010-10-25,64.11
2010-10-26,63.67
2010-10-27,62.98
2010-10-28,62.8
2010-10-29,62.77
2010-11-01,63.27
2010-11-02,63.72
2010-11-03,63.15
2010-11-04,65.49
2010-11-05,65.4
2010-11-08,64.8
2010-11-09,64.21
2010-11-10,64.4
2010-11-11,65.36
2010-11-12,65.19
2010-11-15,65.48
2010-11-16,65.74
2010-11-17,67.05
2010-11-18,66.4
2010-11-19,66.56
2010-11-22,67.26
2010-11-23,66.9
2010-11-24,67.54
2010-11-26,67.22
2010-11-29,66.97
2010-11-30,67.6
2010-12-01,68.32
2010-12-02,69.01
2010-12-03,68.38
2010-12-06,69.17
2010-12-07,69.66
2010-12-08,69.27
2010-12-09,71.01
2010-12-10,71.26
2010-12-13,70.74
2010-12-14,71.22
2010-12-15,71.06
2010-12-16,72.13
2010-12-17,71.85
2010-12-20,72.31
2010-12-21,72.32
2010-12-22,72.28
2010-12-23,72.23
2010-12-27,72.08
2010-12-28,72.72
2010-12-29,72.73
2010-12-30,72.86
2010-12-31,72.22
2011-01-03,72.45
2011-01-04,72.33
2011-01-05,70.99
2011-01-06,70.65
2011-01-07,70.65
2011-01-10,70.48
2011-01-11,71.07
2011-01-12,71.5
2011-01-13,71.58
2011-01-14,72.49
2011-01-18,72.62
2011-01-19,72.06
2011-01-20,72.36
2011-01-21,72.77
2011-01-24,72.61
2011-01-25,72.46
2011-01-26,72.62
2011-01-27,73.11
2011-01-28,71.93
2011-01-31,71.86
2011-02-01,72.43
2011-02-02,70.85
2011-02-03,74.01
2011-02-04,74.13
2011-02-07,74.25
2011-02-08,74.8
2011-02-09,74.67
2011-02-10,74.5
2011-02-11,75.04
2011-02-14,74.67
2011-02-15,74.33
2011-02-16,74.96
2011-02-17,74.83
2011-02-18,75.43
2011-02-22,73.91
2011-02-23,72.85
2011-02-24,72.98
2011-02-25,73.58
2011-02-28,74.79
2011-03-01,73.65
2011-03-02,71.76
2011-03-03,72.49
2011-03-04,72.81
2011-03-07,72.19
2011-03-08,73.62
2011-03-09,74.15
2011-03-10,73.42
2011-03-11,72.55
2011-03-14,71.82
2011-03-15,71.55
2011-03-16,69.75
2011-03-17,70.45
2011-03-18,70.66
