dt,close
2010-01-04,36.67
2010-01-05,36.74
2010-01-06,35.32
2010-01-07,34.96
2010-01-08,34.83
2010-01-11,35.19
2010-01-12,35.1
2010-01-13,35.39
2010-01-14,35.4
2010-01-15,35.04
2010-01-19,35.42
2010-01-20,35.28
2010-01-21,34.45
2010-01-22,33.97
2010-01-25,34.73
2010-01-26,34.79
2010-01-27,34.48
2010-01-28,34.08
2010-01-29,33.98
2010-02-01,34.25
2010-02-02,34.18
2010-02-03,34.48
2010-02-04,33.63
2010-02-05,33.78
2010-02-08,34.37
2010-02-09,34.76
2010-02-10,35.03
2010-02-11,35.25
2010-02-12,34.58
2010-02-16,35.13
2010-02-17,35.1
2010-02-18,35.79
2010-02-19,35.09
2010-02-22,35.13
2010-02-23,35.1
2010-02-24,35.24
2010-02-25,34.62
2010-02-26,34.27
2010-03-01,34.65
2010-03-02,34.8
2010-03-03,34.56
2010-03-04,34.14
2010-03-05,33.37
2010-03-08,33.59
2010-03-09,34.02
2010-03-10,34.19
2010-03-11,34.71
2010-03-12,34.6
2010-03-15,34.78
2010-03-16,34.83
2010-03-17,35.08
2010-03-18,35.0001
2010-03-19,34.89
2010-03-22,35.18
2010-03-23,35.36
2010-03-24,35.16
2010-03-25,34.92
2010-03-26,35.41
2010-03-29,35.51
2010-03-30,35.42
2010-03-31,35.46
2010-04-01,35.86
2010-04-05,36.19
2010-04-06,35.95
2010-04-07,35.82
2010-04-08,35.74
2010-04-09,36.04
2010-04-12,36.128
2010-04-13,36.07
2010-04-14,36.19
2010-04-15,36.33
2010-04-16,36.05
2010-04-19,36.21
2010-04-20,36.52
2010-04-21,36.21
2010-04-22,35.0
2010-04-23,34.29
2010-04-26,33.96
2010-04-27,33.68
2010-04-28,33.78
2010-04-29,34.11
2010-04-30,34.12
2010-05-03,34.53
2010-05-04,34.06
2010-05-05,34.67
2010-05-06,33.47
2010-05-07,33.04
2010-05-10,33.65
2010-05-11,33.71
2010-05-12,34.29
2010-05-13,34.29
2010-05-14,34.12
2010-05-17,34.15
2010-05-18,34.03
2010-05-19,33.82
2010-05-20,32.94
2010-05-21,33.24
2010-05-24,33.67
2010-05-25,33.59
2010-05-26,33.75
2010-05-27,34.5
2010-05-28,34.32
2010-06-01,34.17
2010-06-02,34.97
2010-06-03,34.95
2010-06-04,33.75
2010-06-07,33.43
2010-06-08,33.77
2010-06-09,33.85
2010-06-10,34.31
2010-06-11,34.43
2010-06-14,34.25
2010-06-15,34.72
2010-06-16,34.82
2010-06-17,35.0
2010-06-18,34.98
2010-06-21,34.95
2010-06-22,34.61
2010-06-23,34.5
2010-06-24,34.29
2010-06-25,33.96
2010-06-28,34.14
2010-06-29,33.75
2010-06-30,33.3
2010-07-01,33.27
2010-07-02,33.13
2010-07-06,33.4
2010-07-07,34.22
2010-07-08,34.36
2010-07-09,34.45
2010-07-12,34.41
2010-07-13,34.83
2010-07-14,35.01
2010-07-15,34.84
2010-07-16,34.57
2010-07-19,34.93
2010-07-20,35.08
2010-07-21,35.18
2010-07-22,35.54
2010-07-23,35.54
2010-07-26,35.84
2010-07-27,35.73
2010-07-28,35.58
2010-07-29,35.41
2010-07-30,35.63
2010-08-02,35.96
2010-08-03,35.86
2010-08-04,36.31
2010-08-05,36.25
2010-08-06,36.36
2010-08-09,36.37
2010-08-10,36.51
2010-08-11,36.24
2010-08-12,35.91
2010-08-13,36.05
2010-08-16,36.29
2010-08-17,36.22
2010-08-18,36.23
2010-08-19,36.03
2010-08-20,35.98
2010-08-23,35.88
2010-08-24,36.0
2010-08-25,35.96
2010-08-26,35.99
2010-08-27,36.1
2010-08-30,35.97
2010-08-31,36.18
2010-09-01,36.73
2010-09-02,36.15
2010-09-03,36.2
2010-09-07,35.99
2010-09-08,36.31
2010-09-09,36.48
2010-09-10,36.67
2010-09-13,36.93
2010-09-14,37.56
2010-09-15,37.94
2010-09-16,38.06
2010-09-17,38.82
2010-09-20,39.29
2010-09-21,39.32
2010-09-22,39.41
2010-09-23,38.72
2010-09-24,39.23
2010-09-27,39.28
2010-09-28,39.88
2010-09-29,39.59
2010-09-30,39.47
2010-10-01,39.78
2010-10-04,39.5
2010-10-05,40.08
2010-10-06,40.25
2010-10-07,40.06
2010-10-08,39.75
2010-10-11,39.75
2010-10-12,39.78
2010-10-13,39.89
2010-10-14,40.01
2010-10-15,39.8819
2010-10-18,39.92
2010-10-19,39.53
2010-10-20,40.21
2010-10-21,40.49
2010-10-22,40.61
2010-10-25,40.93
2010-10-26,41.05
2010-10-27,40.9
2010-10-28,41.19
2010-10-29,41.38
2010-11-01,41.41
2010-11-02,41.81
2010-11-03,42.25
2010-11-04,43.05
2010-11-05,42.55
2010-11-08,42.41
2010-11-09,42.26
2010-11-10,42.91
2010-11-11,42.38
2010-11-12,42.09
2010-11-15,42.34
2010-11-16,41.67
2010-11-17,41.92
2010-11-18,42.56
2010-11-19,42.96
2010-11-22,42.57
2010-11-23,42.09
2010-11-24,42.67
2010-11-26,43.04
2010-11-29,42.9
2010-11-30,42.98
2010-12-01,43.9
2010-12-02,43.99
2010-12-03,43.45
2010-12-06,43.78
2010-12-07,43.73
2010-12-08,43.44
2010-12-09,44.12
2010-12-10,44.62
2010-12-13,45.23
2010-12-14,45.92
2010-12-15,45.78
2010-12-16,45.43
2010-12-17,45.14
2010-12-20,45.97
2010-12-21,46.8
2010-12-22,46.45
2010-12-23,46.29
2010-12-27,46.43
2010-12-28,46.1
2010-12-29,46.26
2010-12-30,46.35
2010-12-31,46.18
2011-01-03,46.55
2011-01-04,46.7
2011-01-05,46.41
2011-01-06,45.46
2011-01-07,44.78
2011-01-10,44.95
2011-01-11,44.42
2011-01-12,44.63
2011-01-13,44.84
2011-01-14,44.27
2011-01-18,43.97
2011-01-19,43.35
2011-01-20,42.44
2011-01-21,42.17
2011-01-24,41.99
2011-01-25,42.18
2011-01-26,43.82
2011-01-27,43.52
2011-01-28,43.03
2011-01-31,43.25
2011-02-01,43.43
2011-02-02,43.6
2011-02-03,43.84
2011-02-04,43.65
2011-02-07,44.12
2011-02-08,44.47
2011-02-09,44.49
2011-02-10,44.7
2011-02-11,45.11
2011-02-14,45.16
2011-02-15,43.82
2011-02-16,42.64
2011-02-17,42.15
2011-02-18,41.21
2011-02-22,40.69
2011-02-23,40.07
