dt,close
2010-01-04,18.1
2010-01-05,18.36
2010-01-06,18.38
2010-01-07,18.23
2010-01-08,18.24
2010-01-11,18.43
2010-01-12,18.53
2010-01-13,18.57
2010-01-14,18.35
2010-01-15,18.26
2010-01-19,18.25
2010-01-20,17.99
2010-01-21,18.52
2010-01-22,18.49
2010-01-25,18.26
2010-01-26,18.25
2010-01-27,18.22
2010-01-28,18.07
2010-01-29,17.61
2010-02-01,17.82
2010-02-02,18.18
2010-02-03,18.07
2010-02-04,17.78
2010-02-05,17.76
2010-02-08,17.42
2010-02-09,17.65
2010-02-10,15.2
2010-02-11,14.44
2010-02-12,14.55
2010-02-16,14.79
2010-02-17,14.84
2010-02-18,14.66
2010-02-19,14.65
2010-02-22,14.85
2010-02-23,14.71
2010-02-24,14.8
2010-02-25,14.68
2010-02-26,14.58
2010-03-01,14.59
2010-03-02,14.78
2010-03-03,15.1
2010-03-04,15.06
2010-03-05,15.99
2010-03-08,16.19
2010-03-09,15.96
2010-03-10,15.7
2010-03-11,15.67
2010-03-12,15.81
2010-03-15,15.55
2010-03-16,15.66
2010-03-17,15.9
2010-03-18,15.74
2010-03-19,15.47
2010-03-22,15.63
2010-03-23,15.69
2010-03-24,15.74
2010-03-25,15.75
2010-03-26,15.68
2010-03-29,15.78
2010-03-30,15.8
2010-03-31,15.67
2010-04-01,15.98
2010-04-05,16.2
2010-04-06,16.4
2010-04-07,16.64
2010-04-08,16.66
2010-04-09,16.86
2010-04-12,16.67
2010-04-13,16.76
2010-04-14,16.9
2010-04-15,16.73
2010-04-16,16.59
2010-04-19,16.73
2010-04-20,16.7
2010-04-21,16.52
2010-04-22,16.33
2010-04-23,16.03
2010-04-26,15.84
2010-04-27,15.46
2010-04-28,15.51
2010-04-29,15.79
2010-04-30,15.69
2010-05-03,15.3
2010-05-04,15.09
2010-05-05,15.34
2010-05-06,14.74
2010-05-07,14.63
2010-05-10,10.44
2010-05-11,9.58
2010-05-12,9.95
2010-05-13,9.71
2010-05-14,9.56
