dt,close
2010-01-04,15.6
2010-01-05,15.9
2010-01-06,16.35
2010-01-07,16.26
2010-01-08,16.72
2010-01-11,16.17
2010-01-12,15.64
2010-01-13,15.72
2010-01-14,15.84
2010-01-15,15.4
2010-01-19,15.57
2010-01-20,15.21
2010-01-21,15.3
2010-01-22,14.64
2010-01-25,14.65
2010-01-26,14.38
2010-01-27,14.04
2010-01-28,14.25
2010-01-29,13.56
2010-02-01,14.47
2010-02-02,15.28
2010-02-03,15.12
2010-02-04,14.48
2010-02-05,14.09
2010-02-08,14.1
2010-02-09,14.48
2010-02-10,14.38
2010-02-11,14.57
2010-02-12,14.31
2010-02-16,15.08
2010-02-17,15.11
2010-02-18,14.88
2010-02-19,14.77
2010-02-22,14.3
2010-02-23,13.57
2010-02-24,13.87
2010-02-25,13.98
2010-02-26,14.08
2010-03-01,14.65
2010-03-02,14.43
2010-03-03,14.29
2010-03-04,14.92
2010-03-05,15.15
2010-03-08,15.28
2010-03-09,15.4
2010-03-10,16.03
2010-03-11,16.13
2010-03-12,16.02
2010-03-15,15.62
2010-03-16,15.71
2010-03-17,16.0201
2010-03-18,15.8
2010-03-19,15.44
2010-03-22,15.49
2010-03-23,15.65
2010-03-24,15.5
2010-03-25,15.5
2010-03-26,15.59
2010-03-29,16.25
2010-03-30,16.49
2010-03-31,16.87
2010-04-01,17.32
2010-04-05,17.89
2010-04-06,18.01
2010-04-07,18.12
2010-04-08,17.98
2010-04-09,18.27
2010-04-12,18.22
2010-04-13,17.67
2010-04-14,17.68
2010-04-15,17.6
2010-04-16,17.27
2010-04-19,17.16
2010-04-20,17.73
2010-04-21,17.65
2010-04-22,18.01
2010-04-23,18.42
2010-04-26,18.15
2010-04-27,17.74
2010-04-28,18.03
2010-04-29,18.4
2010-04-30,19.14
2010-05-03,19.04
2010-05-04,18.5
2010-05-05,18.02
2010-05-06,17.8
2010-05-07,16.77
2010-05-10,17.33
2010-05-11,16.84
2010-05-12,17.25
2010-05-13,16.79
2010-05-14,16.45
2010-05-17,16.39
2010-05-18,16.725
2010-05-19,16.74
2010-05-20,16.02
2010-05-21,16.3
2010-05-24,15.84
2010-05-25,16.25
2010-05-26,15.93
2010-05-27,16.55
2010-05-28,16.45
2010-06-01,15.75
2010-06-02,16.54
2010-06-03,16.61
2010-06-04,15.65
2010-06-07,15.36
2010-06-08,15.42
2010-06-09,15.83
2010-06-10,16.85
2010-06-11,16.9
2010-06-14,16.85
2010-06-15,17.21
2010-06-16,17.35
2010-06-17,17.17
2010-06-18,17.46
2010-06-21,17.23
2010-06-22,16.51
2010-06-23,16.35
2010-06-24,15.84
2010-06-25,16.39
2010-06-28,15.64
2010-06-29,14.83
2010-06-30,14.63
2010-07-01,14.49
2010-07-02,14.29
2010-07-06,14.17
2010-07-07,14.83
2010-07-08,14.97
2010-07-09,14.91
2010-07-12,14.59
2010-07-13,15.04
2010-07-14,14.98
2010-07-15,15.01
2010-07-16,14.41
2010-07-19,14.45
2010-07-20,14.96
2010-07-21,14.72
2010-07-22,15.19
2010-07-23,15.31
2010-07-26,15.66
2010-07-27,15.36
2010-07-28,15.39
2010-07-29,15.74
2010-07-30,15.84
2010-08-02,16.57
2010-08-03,16.73
2010-08-04,16.79
2010-08-05,17.0
2010-08-06,16.76
2010-08-09,16.89
2010-08-10,16.68
2010-08-11,16.05
2010-08-12,15.81
2010-08-13,15.74
2010-08-16,15.45
2010-08-17,15.66
2010-08-18,15.44
2010-08-19,15.22
2010-08-20,14.67
2010-08-23,14.9
2010-08-24,14.62
