dt,close
2010-01-04,25.76
2010-01-05,25.67
2010-01-06,26.03
2010-01-07,25.95
2010-01-08,26.05
2010-01-11,26.24
2010-01-12,26.16
2010-01-13,26.4
2010-01-14,26.39
2010-01-15,25.94
2010-01-19,26.42
2010-01-20,26.27
2010-01-21,25.96
2010-01-22,25.47
2010-01-25,25.52
2010-01-26,25.48
2010-01-27,25.55
2010-01-28,25.47
2010-01-29,25.28
2010-02-01,25.63
2010-02-02,25.96
2010-02-03,25.96
2010-02-04,25.21
2010-02-05,25.14
2010-02-08,24.76
2010-02-09,25.03
2010-02-10,25.01
2010-02-11,25.21
2010-02-12,25.15
2010-02-16,25.78
2010-02-17,25.87
2010-02-18,26.14
2010-02-19,26.66
2010-02-22,26.67
2010-02-23,26.35
2010-02-24,26.23
2010-02-25,25.59
2010-02-26,25.58
2010-03-01,26.09
2010-03-02,26.24
2010-03-03,26.17
2010-03-04,26.26
2010-03-05,26.5
2010-03-08,26.58
2010-03-09,26.46
2010-03-10,26.71
2010-03-11,26.65
2010-03-12,26.79
2010-03-15,26.99
2010-03-16,27.24
2010-03-17,27.15
2010-03-18,27.16
2010-03-19,27.17
2010-03-22,27.1
2010-03-23,27.26
2010-03-24,26.96
2010-03-25,27.05
2010-03-26,27.0
2010-03-29,27.53
2010-03-30,27.8
2010-03-31,27.66
2010-04-01,27.97
2010-04-05,28.03
2010-04-06,28.18
2010-04-07,27.91
2010-04-08,27.71
2010-04-09,27.83
2010-04-12,27.81
2010-04-13,27.73
2010-04-14,27.86
2010-04-15,27.91
2010-04-16,27.39
2010-04-19,27.44
2010-04-20,27.55
2010-04-21,27.66
2010-04-22,27.8
2010-04-23,27.76
2010-04-26,27.66
2010-04-27,27.02
2010-04-28,27.31
2010-04-29,27.57
2010-04-30,27.78
2010-05-03,27.79
2010-05-04,27.4
2010-05-05,27.05
2010-05-06,26.0
2010-05-07,25.54
2010-05-10,26.32
2010-05-11,26.51
2010-05-12,26.92
2010-05-13,26.64
2010-05-14,26.61
2010-05-17,26.59
2010-05-18,26.51
2010-05-19,26.65
2010-05-20,25.98
2010-05-21,26.13
2010-05-24,25.77
2010-05-25,25.53
2010-05-26,25.74
2010-05-27,25.83
2010-05-28,25.94
2010-06-01,25.3
2010-06-02,25.89
2010-06-03,26.32
2010-06-04,25.39
2010-06-07,25.29
2010-06-08,25.5
2010-06-09,25.25
2010-06-10,25.99
2010-06-11,25.99
2010-06-14,26.09
2010-06-15,26.47
2010-06-16,26.65
2010-06-17,26.99
2010-06-18,26.9
2010-06-21,26.64
2010-06-22,26.09
2010-06-23,25.68
2010-06-24,25.71
2010-06-25,25.81
2010-06-28,25.98
2010-06-29,25.53
2010-06-30,25.45
2010-07-01,25.51
2010-07-02,25.65
2010-07-06,26.01
2010-07-07,26.75
2010-07-08,27.06
2010-07-09,26.89
2010-07-12,26.98
2010-07-13,27.33
2010-07-14,27.28
2010-07-15,27.59
2010-07-16,26.95
2010-07-19,27.27
2010-07-20,27.57
2010-07-21,27.26
2010-07-22,27.78
2010-07-23,27.94
2010-07-26,28.12
2010-07-27,28.68
2010-07-28,28.4
2010-07-29,28.05
2010-07-30,27.85
2010-08-02,28.48
2010-08-03,28.29
2010-08-04,28.77
2010-08-05,29.15
