dt,close
2010-01-04,67.03
2010-01-05,66.95
2010-01-06,66.75
2010-01-07,66.7
2010-01-08,66.37
2010-01-11,67.07
2010-01-12,66.04
2010-01-13,67.3
2010-01-14,67.0
2010-01-15,67.46
2010-01-19,69.34
2010-01-20,68.36
2010-01-21,67.08
2010-01-22,65.56
2010-01-25,65.62
2010-01-26,65.43
2010-01-27,65.0
2010-01-28,64.53
2010-01-29,64.46
2010-02-01,65.81
2010-02-02,67.77
2010-02-03,66.79
2010-02-04,63.73
2010-02-05,64.99
2010-02-08,63.55
2010-02-09,63.16
2010-02-10,63.12
2010-02-11,63.73
2010-02-12,64.52
2010-02-16,66.16
2010-02-17,67.1
2010-02-18,68.02
2010-02-19,68.4
2010-02-22,68.47
2010-02-23,68.27
2010-02-24,68.58
2010-02-25,69.12
2010-02-26,68.89
2010-03-01,69.55
2010-03-02,69.92
2010-03-03,69.76
2010-03-04,69.76
2010-03-05,71.42
2010-03-08,72.11
2010-03-09,71.71
2010-03-10,71.84
2010-03-11,71.87
2010-03-12,72.32
2010-03-15,71.58
2010-03-16,73.0
2010-03-17,73.65
2010-03-18,73.5
2010-03-19,72.68
2010-03-22,73.6
2010-03-23,73.56
2010-03-24,73.85
2010-03-25,74.16
2010-03-26,73.49
2010-03-29,73.59
2010-03-30,72.89
2010-03-31,72.81
2010-04-01,72.65
2010-04-05,74.58
2010-04-06,76.17
2010-04-07,74.1
2010-04-08,74.06
2010-04-09,75.17
2010-04-12,74.42
2010-04-13,75.89
2010-04-14,75.14
2010-04-15,73.67
2010-04-16,73.32
2010-04-19,73.5
2010-04-20,74.55
2010-04-21,76.09
2010-04-22,77.87
2010-04-23,78.45
2010-04-26,78.6
2010-04-27,76.1
2010-04-28,76.15
2010-04-29,78.74
2010-04-30,77.31
2010-05-03,79.44
2010-05-04,78.09
2010-05-05,76.93
2010-05-06,74.37
2010-05-07,73.58
2010-05-10,78.28
2010-05-11,78.2
2010-05-12,78.81
2010-05-13,77.43
2010-05-14,75.59
2010-05-17,74.97
2010-05-18,72.84
2010-05-19,71.92
2010-05-20,68.44
2010-05-21,70.64
2010-05-24,69.72
2010-05-25,70.61
2010-05-26,70.48
2010-05-27,74.3
2010-05-28,73.7
2010-06-01,72.51
2010-06-02,74.28
2010-06-03,73.58
2010-06-04,70.12
2010-06-07,70.4
2010-06-08,71.03
2010-06-09,71.52
2010-06-10,73.68
2010-06-11,74.42
2010-06-14,75.24
2010-06-15,76.46
2010-06-16,75.94
2010-06-17,76.17
2010-06-18,75.29
2010-06-21,74.63
2010-06-22,72.18
2010-06-23,72.76
2010-06-24,71.42
2010-06-25,73.54
2010-06-28,72.89
2010-06-29,71.14
2010-06-30,70.35
2010-07-01,70.57
2010-07-02,69.85
2010-07-06,68.96
2010-07-07,72.25
2010-07-08,73.08
2010-07-09,73.33
2010-07-12,73.38
2010-07-13,74.44
2010-07-14,73.9
2010-07-15,73.8
2010-07-16,72.36
2010-07-19,73.14
2010-07-20,74.55
2010-07-21,73.14
2010-07-22,75.59
2010-07-23,77.12
2010-07-26,78.84
2010-07-27,78.17
2010-07-28,78.67
2010-07-29,77.93
2010-07-30,78.18
2010-08-02,81.31
2010-08-03,81.01
2010-08-04,81.5
2010-08-05,79.36
2010-08-06,79.0
2010-08-09,80.23
2010-08-10,79.75
2010-08-11,78.1
2010-08-12,77.54
2010-08-13,77.62
2010-08-16,78.1
2010-08-17,79.9
2010-08-18,79.48
2010-08-19,78.0
2010-08-20,77.23
2010-08-23,77.45
2010-08-24,76.97
2010-08-25,78.05
2010-08-26,77.87
2010-08-27,78.94
2010-08-30,78.37
2010-08-31,79.23
2010-09-01,81.7
2010-09-02,81.8
2010-09-03,82.61
2010-09-07,81.67
2010-09-08,81.31
2010-09-09,80.03
2010-09-10,80.18
2010-09-13,81.01
2010-09-14,81.02
2010-09-15,82.5
2010-09-16,82.36
2010-09-17,82.21
2010-09-20,83.33
2010-09-21,81.95
2010-09-22,81.28
2010-09-23,79.18
2010-09-24,80.98
2010-09-27,81.12
2010-09-28,81.93
2010-09-29,81.72
2010-09-30,81.7
2010-10-01,81.81
2010-10-04,82.91
2010-10-05,84.17
2010-10-06,83.06
2010-10-07,82.85
2010-10-08,82.64
2010-10-11,82.42
2010-10-12,82.0
2010-10-13,82.27
2010-10-14,82.09
2010-10-15,82.03
2010-10-18,82.62
2010-10-19,82.18
2010-10-20,83.5
2010-10-21,84.31
2010-10-22,84.3
2010-10-25,84.26
2010-10-26,83.31
2010-10-27,82.39
2010-10-28,81.77
2010-10-29,81.97
2010-11-01,82.98
2010-11-02,82.99
2010-11-03,82.48
2010-11-04,82.01
2010-11-05,82.46
2010-11-08,82.0
2010-11-09,79.56
2010-11-10,80.71
2010-11-11,80.11
2010-11-12,79.75
2010-11-15,79.09
2010-11-16,77.28
2010-11-17,77.76
2010-11-18,78.1
2010-11-19,78.02
2010-11-22,78.83
2010-11-23,77.91
2010-11-24,79.3
2010-11-26,78.9
2010-11-29,78.59
2010-11-30,77.42
2010-12-01,78.1
2010-12-02,78.23
2010-12-03,78.13
2010-12-06,77.76
2010-12-07,77.71
2010-12-08,77.15
2010-12-09,76.54
2010-12-10,76.98
2010-12-13,76.48
2010-12-14,75.77
2010-12-15,74.88
2010-12-16,75.08
2010-12-17,75.74
2010-12-20,76.4
2010-12-21,77.16
2010-12-22,77.37
2010-12-23,76.7114
2010-12-27,77.48
2010-12-28,77.97
2010-12-29,78.29
2010-12-30,78.24
2010-12-31,77.95
2011-01-03,79.99
2011-01-04,78.33
2011-01-05,77.56
2011-01-06,77.21
2011-01-07,77.3
2011-01-10,77.14
2011-01-11,76.28
2011-01-12,76.14
2011-01-13,76.2
2011-01-14,76.86
2011-01-18,77.37
2011-01-19,76.82
2011-01-20,77.12
2011-01-21,77.47
2011-01-24,77.78
2011-01-25,79.21
2011-01-26,79.38
2011-01-27,80.46
2011-01-28,79.24
2011-01-31,80.43
2011-02-01,79.77
2011-02-02,80.38
2011-02-03,80.25
2011-02-04,79.27
2011-02-07,80.29
2011-02-08,80.32
2011-02-09,81.41
2011-02-10,81.93
2011-02-11,82.18
2011-02-14,82.07
2011-02-15,81.99
2011-02-16,81.97
2011-02-17,81.53
2011-02-18,81.57
2011-02-22,81.51
2011-02-23,81.62
2011-02-24,81.56
2011-02-25,83.0
2011-02-28,84.17
2011-03-01,82.15
2011-03-02,80.9
2011-03-03,82.4
2011-03-04,81.94
2011-03-07,81.7
2011-03-08,82.67
2011-03-09,82.9
2011-03-10,82.25
2011-03-11,82.33
2011-03-14,81.48
2011-03-15,80.51
2011-03-16,79.72
2011-03-17,80.43
2011-03-18,81.2519
2011-03-21,81.78
2011-03-22,81.02
2011-03-23,79.81
2011-03-24,80.43
2011-03-25,80.97
2011-03-28,80.62
2011-03-29,80.85
2011-03-30,81.03
2011-03-31,81.53
2011-04-01,81.58
2011-04-04,81.8
2011-04-05,81.47
2011-04-06,81.35
2011-04-07,80.26
2011-04-08,80.72
2011-04-11,81.48
2011-04-12,81.37
2011-04-13,81.09
2011-04-14,82.6595
2011-04-15,83.63
2011-04-18,83.15
2011-04-19,83.61
2011-04-20,84.67
2011-04-21,85.29
2011-04-25,85.7
2011-04-26,85.94
2011-04-27,86.15
2011-04-28,88.1
2011-04-29,87.55
2011-05-02,87.66
2011-05-03,87.56
2011-05-04,87.54
2011-05-05,87.46
2011-05-06,87.99
2011-05-09,87.07
2011-05-10,87.17
2011-05-11,86.07
2011-05-12,85.61
2011-05-13,85.29
2011-05-16,85.67
2011-05-17,85.47
2011-05-18,86.25
2011-05-19,86.24
2011-05-20,84.94
2011-05-23,84.72
2011-05-24,84.71
2011-05-25,85.12
2011-05-26,85.25
2011-05-27,85.2
2011-05-31,87.67
2011-06-01,85.33
2011-06-02,84.91
2011-06-03,84.87
2011-06-06,84.13
2011-06-07,84.73
2011-06-08,84.33
2011-06-09,83.5
2011-06-10,81.7
2011-06-13,82.43
2011-06-14,83.35
2011-06-15,82.33
2011-06-16,84.18
2011-06-17,85.01
2011-06-20,86.17
2011-06-21,86.41
2011-06-22,86.21
2011-06-23,84.19
2011-06-24,83.81
2011-06-27,84.18
2011-06-28,84.72
2011-06-29,85.93
2011-06-30,85.18
2011-07-01,86.82
2011-07-05,87.47
2011-07-06,88.39
2011-07-07,89.42
2011-07-08,89.36
2011-07-11,88.26
2011-07-12,88.63
2011-07-13,88.24
2011-07-14,87.16
2011-07-15,88.51
2011-07-18,88.01
2011-07-19,88.88
2011-07-20,89.3
2011-07-21,89.66
2011-07-22,90.27
2011-07-25,89.25
2011-07-26,88.97
2011-07-27,86.42
2011-07-28,86.62
2011-07-29,87.33
2011-08-01,86.2
2011-08-02,84.23
2011-08-03,83.78
2011-08-04,81.68
2011-08-05,80.56
2011-08-08,75.34
2011-08-09,83.01
2011-08-10,82.98
2011-08-11,86.05
2011-08-12,85.13
2011-08-15,87.31
2011-08-16,86.98
2011-08-17,87.13
2011-08-18,84.92
2011-08-19,83.67
2011-08-22,84.03
2011-08-23,85.55
2011-08-24,86.95
2011-08-25,86.41
2011-08-26,86.72
2011-08-29,88.96
2011-08-30,90.28
2011-08-31,90.54
2011-09-01,88.37
2011-09-02,86.51
2011-09-06,87.19
2011-09-07,89.35
2011-09-08,88.83
2011-09-09,86.51
2011-09-12,86.82
2011-09-13,86.85
2011-09-14,87.22
2011-09-15,87.87
2011-09-16,87.39
2011-09-19,85.31
2011-09-20,84.85
2011-09-21,83.72
2011-09-22,84.18
2011-09-23,84.38
2011-09-26,84.12
2011-09-27,84.17
2011-09-28,81.65
2011-09-29,84.18
2011-09-30,82.41
2011-10-03,80.11
2011-10-04,83.23
2011-10-05,81.65
2011-10-06,83.09
2011-10-07,81.59
2011-10-10,84.91
2011-10-11,81.98
2011-10-12,83.22
2011-10-13,82.23
2011-10-14,83.75
2011-10-17,81.49
2011-10-18,83.47
2011-10-19,83.24
2011-10-20,83.43
2011-10-21,85.12
2011-10-24,87.28
2011-10-25,86.16
2011-10-26,86.7
2011-10-27,89.36
2011-10-28,88.96
2011-10-31,88.7
2011-11-01,85.08
2011-11-02,87.77
2011-11-03,88.65
2011-11-04,89.33
2011-11-07,89.56
2011-11-08,90.54
2011-11-09,86.43
2011-11-10,86.17
2011-11-11,88.01
2011-11-14,86.5
2011-11-15,87.55
2011-11-16,87.01
2011-11-17,85.7
2011-11-18,86.55
2011-11-21,85.49
2011-11-22,85.43
2011-11-23,82.84
2011-11-25,83.31
2011-11-28,85.66
2011-11-29,85.36
2011-11-30,88.51
2011-12-01,87.4
2011-12-02,89.37
2011-12-05,89.4
2011-12-06,88.98
2011-12-07,90.03
2011-12-08,88.53
2011-12-09,89.94
2011-12-12,89.13
2011-12-13,89.0
2011-12-14,89.52
2011-12-15,89.5
2011-12-16,90.4
2011-12-19,90.07
2011-12-20,91.62
2011-12-21,91.25
2011-12-22,92.17
2011-12-23,92.35
2011-12-27,92.47
2011-12-28,91.3
2011-12-29,91.24
2011-12-30,90.75
2012-01-03,90.75
2012-01-04,89.25
2012-01-05,90.15
2012-01-06,89.95
2012-01-09,89.54
2012-01-10,91.24
2012-01-11,91.56
2012-01-12,90.59
2012-01-13,90.15
2012-01-17,90.82
2012-01-18,90.94
2012-01-19,91.73
2012-01-20,92.22
2012-01-23,92.72
2012-01-24,93.15
2012-01-25,94.16
2012-01-26,95.12
2012-01-27,95.2
2012-01-30,94.97
2012-01-31,94.38
2012-02-01,95.47
2012-02-02,95.16
2012-02-03,96.28
2012-02-06,96.63
2012-02-07,96.47
2012-02-08,96.82
