dt,close
2010-01-04,69.16
2010-01-05,69.32
2010-01-06,69.21
2010-01-07,69.47
2010-01-08,69.43
2010-01-11,70.73
2010-01-12,70.3
2010-01-13,71.04
2010-01-14,71.07
2010-01-15,70.63
2010-01-19,70.68
2010-01-20,69.34
2010-01-21,68.09
2010-01-22,67.0
2010-01-25,67.87
2010-01-26,68.73
2010-01-27,67.25
2010-01-28,67.56
2010-01-29,66.81
2010-02-01,69.44
2010-02-02,69.98
2010-02-03,70.06
2010-02-04,68.15
2010-02-05,66.66
2010-02-08,66.36
2010-02-09,68.04
2010-02-10,67.65
2010-02-11,67.8
2010-02-12,67.99
2010-02-16,69.83
2010-02-17,70.09
2010-02-18,71.79
2010-02-19,72.59
2010-02-22,72.62
2010-02-23,71.83
2010-02-24,72.59
2010-02-25,72.23
2010-02-26,72.6
2010-03-01,73.92
2010-03-02,73.97
2010-03-03,72.82
2010-03-04,72.94
2010-03-05,73.71
2010-03-08,73.67
2010-03-09,73.68
2010-03-10,73.91
2010-03-11,74.15
2010-03-12,73.79
2010-03-15,73.62
2010-03-16,73.74
2010-03-17,75.0
2010-03-18,75.25
2010-03-19,75.45
2010-03-22,75.69
2010-03-23,76.9
2010-03-24,75.77
2010-03-25,76.24
2010-03-26,76.94
2010-03-29,78.49
2010-03-30,77.52
2010-03-31,77.26
2010-04-01,77.95
2010-04-05,78.21
2010-04-06,77.44
2010-04-07,76.52
2010-04-08,76.84
2010-04-09,77.57
2010-04-12,77.33
2010-04-13,76.82
2010-04-14,76.66
2010-04-15,76.5
2010-04-16,75.98
2010-04-19,76.17
2010-04-20,76.92
2010-04-21,78.06
2010-04-22,78.22
2010-04-23,78.59
2010-04-26,78.64
2010-04-27,76.59
2010-04-28,77.06
2010-04-29,77.95
2010-04-30,76.39
2010-05-03,77.52
2010-05-04,75.23
2010-05-05,74.93
2010-05-06,72.04
2010-05-07,70.43
2010-05-10,73.1
2010-05-11,72.66
2010-05-12,74.11
2010-05-13,72.96
2010-05-14,71.67
2010-05-17,71.73
2010-05-18,70.56
2010-05-19,69.6
2010-05-20,66.32
2010-05-21,67.46
2010-05-24,65.93
2010-05-25,66.1
2010-05-26,66.32
2010-05-27,68.44
2010-05-28,67.95
2010-06-01,66.8
2010-06-02,67.96
2010-06-03,68.08
2010-06-04,65.16
2010-06-07,62.05
2010-06-08,62.6
2010-06-09,62.52
2010-06-10,64.11
2010-06-11,64.59
2010-06-14,64.28
2010-06-15,66.64
2010-06-16,66.25
2010-06-17,66.28
2010-06-18,66.9
2010-06-21,66.82
2010-06-22,65.44
2010-06-23,64.89
2010-06-24,63.3
2010-06-25,63.31
2010-06-28,62.19
2010-06-29,59.45
2010-06-30,58.58
2010-07-01,58.51
2010-07-02,58.71
2010-07-06,58.62
2010-07-07,60.19
2010-07-08,60.98
2010-07-09,60.79
2010-07-12,59.86
2010-07-13,60.53
2010-07-14,61.58
2010-07-15,61.43
2010-07-16,58.91
2010-07-19,58.63
2010-07-20,59.2
2010-07-21,59.29
2010-07-22,61.04
2010-07-23,61.27
2010-07-26,62.44
2010-07-27,61.8
2010-07-28,61.81
2010-07-29,61.75
2010-07-30,61.22
2010-08-02,62.89
2010-08-03,62.67
2010-08-04,63.35
2010-08-05,63.74
2010-08-06,63.79
2010-08-09,64.29
2010-08-10,64.15
2010-08-11,61.37
2010-08-12,60.66
2010-08-13,60.7
2010-08-16,60.38
2010-08-17,62.37
2010-08-18,62.5
2010-08-19,60.57
2010-08-20,60.21
2010-08-23,59.31
2010-08-24,57.9
2010-08-25,56.97
2010-08-26,56.79
2010-08-27,57.36
2010-08-30,56.52
2010-08-31,55.93
2010-09-01,57.77
2010-09-02,58.96
2010-09-03,59.73
2010-09-07,58.53
2010-09-08,59.52
2010-09-09,59.87
2010-09-10,61.19
2010-09-13,62.16
2010-09-14,61.44
2010-09-15,61.24
2010-09-16,61.28
2010-09-17,62.66
2010-09-20,63.59
2010-09-21,63.64
2010-09-22,62.83
2010-09-23,62.0
2010-09-24,63.62
