dt,close
2010-01-04,173.1
2010-01-05,176.2
2010-01-06,174.15
2010-01-07,177.592
2010-01-08,174.2899
2010-01-11,171.44
2010-01-12,167.73
2010-01-13,169.0
2010-01-14,168.49
2010-01-15,165.25
2010-01-19,166.92
2010-01-20,167.88
2010-01-21,161.11
2010-01-22,154.05
2010-01-25,155.0
2010-01-26,150.88
2010-01-27,151.5
2010-01-28,153.03
2010-01-29,148.72
2010-02-01,153.23
2010-02-02,156.84
2010-02-03,157.23
2010-02-04,150.46
2010-02-05,154.28
2010-02-08,151.06
2010-02-09,152.45
2010-02-10,153.75
2010-02-11,154.0
2010-02-12,154.01
2010-02-16,157.41
2010-02-17,157.1101
2010-02-18,155.68
2010-02-19,156.17
2010-02-22,156.71
2010-02-23,156.74
2010-02-24,158.25
2010-02-25,156.42
2010-02-26,156.408
2010-03-01,156.38
2010-03-02,158.75
2010-03-03,157.6999
2010-03-04,163.42
2010-03-05,167.37400000000002
2010-03-08,169.91
2010-03-09,168.9701
2010-03-10,171.82
2010-03-11,173.55
2010-03-12,174.98
2010-03-15,173.46
2010-03-16,176.15
2010-03-17,176.755
2010-03-18,177.37
2010-03-19,177.7
2010-03-22,176.15
2010-03-23,174.9
2010-03-24,174.5
2010-03-25,174.92
2010-03-26,173.07
2010-03-29,174.1
2010-03-30,171.44
2010-03-31,170.51
2010-04-01,170.13
2010-04-05,173.26
2010-04-06,172.9399
2010-04-07,176.42
2010-04-08,179.53
2010-04-09,179.1
2010-04-12,177.9
2010-04-13,179.3
2010-04-14,184.99
2010-04-15,184.28
2010-04-16,160.92
2010-04-19,163.23
2010-04-20,159.91
2010-04-21,158.97
2010-04-22,159.05
2010-04-23,157.49
2010-04-26,151.92
2010-04-27,152.9301
2010-04-28,157.01
2010-04-29,160.18
2010-04-30,144.92
2010-05-03,149.41
2010-05-04,149.5
2010-05-05,148.2
2010-05-06,142.04
2010-05-07,143.13
2010-05-10,144.0
2010-05-11,142.04
2010-05-12,147.38
2010-05-13,144.59
2010-05-14,143.41
2010-05-17,142.78
2010-05-18,137.51
2010-05-19,140.0
2010-05-20,136.0
2010-05-21,140.56
2010-05-24,136.52
2010-05-25,142.56
2010-05-26,140.15
2010-05-27,145.04
2010-05-28,144.42
2010-06-01,141.85
2010-06-02,145.0
2010-06-03,143.9
2010-06-04,142.37
2010-06-07,138.75
2010-06-08,137.81
2010-06-09,136.804
2010-06-10,133.71
2010-06-11,135.66
2010-06-14,133.471
2010-06-15,136.89
2010-06-16,137.13
2010-06-17,137.24
2010-06-18,138.18
2010-06-21,137.64
2010-06-22,134.79
2010-06-23,135.14
2010-06-24,135.026
2010-06-25,139.71
2010-06-28,136.6
2010-06-29,134.0
2010-06-30,131.16
2010-07-01,131.196
2010-07-02,131.04
2010-07-06,132.22
2010-07-07,135.86
2010-07-08,135.42
2010-07-09,138.0
2010-07-12,137.19
2010-07-13,140.12
2010-07-14,139.0816
2010-07-15,145.17
2010-07-16,146.21
2010-07-19,145.74
2010-07-20,149.0
2010-07-21,147.04
2010-07-22,146.34
2010-07-23,147.374
2010-07-26,148.18
2010-07-27,147.1
2010-07-28,147.26
2010-07-29,152.59
2010-07-30,150.81
2010-08-02,152.69
2010-08-03,153.19
2010-08-04,156.48
2010-08-05,155.82
2010-08-06,155.21
2010-08-09,155.3
2010-08-10,153.82
2010-08-11,149.3
2010-08-12,149.45
2010-08-13,148.24
2010-08-16,147.75
2010-08-17,148.6
2010-08-18,149.14
2010-08-19,147.09
2010-08-20,148.19
2010-08-23,146.63
2010-08-24,143.95
2010-08-25,144.76
2010-08-26,141.77
2010-08-27,139.66
2010-08-30,136.65
2010-08-31,136.81
2010-09-01,139.61
2010-09-02,139.61
2010-09-03,147.18
2010-09-07,145.24
2010-09-08,147.44
2010-09-09,149.17
2010-09-10,150.46
2010-09-13,154.31
2010-09-14,152.64
2010-09-15,152.61
2010-09-16,152.1326
2010-09-17,151.03
2010-09-20,151.95
2010-09-21,151.46
2010-09-22,148.21
2010-09-23,144.99
2010-09-24,147.13
2010-09-27,146.02
2010-09-28,144.92
2010-09-29,144.36
2010-09-30,144.49
2010-10-01,147.6081
2010-10-04,146.5426
2010-10-05,149.42
2010-10-06,150.9
2010-10-07,151.19
2010-10-08,152.71
2010-10-11,152.14
2010-10-12,155.25
2010-10-13,154.79
2010-10-14,151.75
2010-10-15,150.71
2010-10-18,153.85
2010-10-19,156.754
2010-10-20,159.57
2010-10-21,159.37
2010-10-22,157.62
2010-10-25,157.31
2010-10-26,158.36
2010-10-27,160.24
2010-10-28,163.35
2010-10-29,161.2
2010-11-01,161.71
2010-11-02,162.98
2010-11-03,162.55
2010-11-04,166.35
2010-11-05,171.02
