dt,close
2010-01-04,42.82
2010-01-05,42.59
2010-01-06,42.61
2010-01-07,42.54
2010-01-08,42.4
2010-01-11,42.37
2010-01-12,42.43
2010-01-13,42.99
2010-01-14,43.02
2010-01-15,42.62
2010-01-19,43.08
2010-01-20,42.55
2010-01-21,42.08
2010-01-22,41.93
2010-01-25,42.5
2010-01-26,42.84
2010-01-27,43.55
2010-01-28,44.28
2010-01-29,43.63
2010-02-01,43.91
2010-02-02,44.4
2010-02-03,43.99
2010-02-04,42.86
2010-02-05,43.21
2010-02-08,43.13
2010-02-09,43.65
2010-02-10,43.67
2010-02-11,43.93
2010-02-12,43.76
2010-02-16,44.53
2010-02-17,45.01
2010-02-18,45.69
2010-02-19,46.04
2010-02-22,45.93
2010-02-23,45.64
2010-02-24,45.88
2010-02-25,45.69
2010-02-26,45.91
2010-03-01,45.97
2010-03-02,46.24
2010-03-03,46.15
2010-03-04,46.12
2010-03-05,46.38
2010-03-08,46.18
2010-03-09,46.27
2010-03-10,46.35
2010-03-11,46.38
2010-03-12,46.36
2010-03-15,46.74100000000001
2010-03-16,47.33
2010-03-17,47.57
2010-03-18,47.49
2010-03-19,47.35
2010-03-22,46.89
2010-03-23,46.85
2010-03-24,47.21
2010-03-25,46.45
2010-03-26,45.55
2010-03-29,45.61
2010-03-30,45.72
2010-03-31,45.62
2010-04-01,45.82
2010-04-05,45.74
2010-04-06,45.83
2010-04-07,45.84
2010-04-08,45.6
2010-04-09,45.86
2010-04-12,46.0
2010-04-13,45.99
2010-04-14,46.22
2010-04-15,46.05
2010-04-16,46.15
2010-04-19,46.34
2010-04-20,46.54
2010-04-21,46.65
2010-04-22,46.66
2010-04-23,46.44
2010-04-26,46.38
2010-04-27,45.47
2010-04-28,45.79
2010-04-29,46.96
2010-04-30,46.85
2010-05-03,46.9
2010-05-04,46.54
2010-05-05,46.8
2010-05-06,45.25
2010-05-07,44.97
2010-05-10,46.41
2010-05-11,46.51
2010-05-12,47.09
2010-05-13,46.95
2010-05-14,46.1
2010-05-17,46.72
2010-05-18,46.56
2010-05-19,46.67
2010-05-20,45.8
2010-05-21,45.84
2010-05-24,45.83
2010-05-25,44.61
2010-05-26,44.26
2010-05-27,44.79
2010-05-28,44.2
2010-06-01,44.07
2010-06-02,44.95
2010-06-03,44.94
2010-06-04,43.86
2010-06-07,44.03
2010-06-08,44.82
2010-06-09,44.81
2010-06-10,45.57
2010-06-11,45.04
2010-06-14,45.47
2010-06-15,46.18
2010-06-16,46.21
2010-06-17,46.61
2010-06-18,46.25
2010-06-21,46.01
2010-06-22,45.16
2010-06-23,45.05
2010-06-24,44.78
2010-06-25,44.17
2010-06-28,44.58
2010-06-29,43.84
2010-06-30,43.19
2010-07-01,43.28
2010-07-02,43.13
2010-07-06,43.5
2010-07-07,44.41
2010-07-08,44.96
2010-07-09,44.94
2010-07-12,44.78
2010-07-13,45.18
2010-07-14,45.27
2010-07-15,45.19
2010-07-16,44.77
2010-07-19,44.86
2010-07-20,45.51
2010-07-21,45.01
2010-07-22,45.42
2010-07-23,45.75
2010-07-26,45.96
2010-07-27,46.01
2010-07-28,45.47
2010-07-29,44.66
2010-07-30,44.48
2010-08-02,44.95
2010-08-03,45.31
2010-08-04,45.88
2010-08-05,45.42
2010-08-06,45.34
2010-08-09,45.66
2010-08-10,45.71
2010-08-11,45.33
2010-08-12,45.32
2010-08-13,45.65
2010-08-16,45.64
2010-08-17,46.47
2010-08-18,47.01
2010-08-19,46.57
2010-08-20,47.11
2010-08-23,46.89
2010-08-24,46.37
2010-08-25,46.4
2010-08-26,46.24
2010-08-27,46.87
2010-08-30,46.1
2010-08-31,46.25
2010-09-01,46.3
2010-09-02,46.71
2010-09-03,46.44
2010-09-07,46.38
2010-09-08,46.45
2010-09-09,46.91
2010-09-10,46.93
2010-09-13,46.77
2010-09-14,46.71
2010-09-15,47.34
2010-09-16,47.49
2010-09-17,47.93
2010-09-20,48.02
2010-09-21,47.35
2010-09-22,47.53
2010-09-23,47.0
2010-09-24,47.72
2010-09-27,48.0
2010-09-28,47.92
2010-09-29,47.79
2010-09-30,47.38
2010-10-01,47.48
2010-10-04,47.35
2010-10-05,47.77
2010-10-06,48.14
2010-10-07,47.9
2010-10-08,47.74
2010-10-11,47.98
2010-10-12,48.2
2010-10-13,49.07
2010-10-14,49.08
2010-10-15,49.08
2010-10-18,49.29
2010-10-19,48.61
2010-10-20,49.22
2010-10-21,49.42
2010-10-22,49.55
2010-10-25,49.75
2010-10-26,49.1
2010-10-27,48.88
2010-10-28,49.37
2010-10-29,49.13
2010-11-01,49.07
2010-11-02,49.41
2010-11-03,49.48
2010-11-04,49.7
2010-11-05,49.24
2010-11-08,48.81
2010-11-09,48.56
2010-11-10,48.56
2010-11-11,48.33
2010-11-12,48.09
2010-11-15,48.19
2010-11-16,47.68
2010-11-17,47.78
2010-11-18,48.18
2010-11-19,48.01
2010-11-22,48.64
2010-11-23,48.15
2010-11-24,48.57
2010-11-26,48.48
2010-11-29,48.42
2010-11-30,48.25
2010-12-01,48.64
2010-12-02,48.75
2010-12-03,48.81
2010-12-06,48.76
2010-12-07,49.01
2010-12-08,49.24
2010-12-09,49.4
2010-12-10,49.86
2010-12-13,49.82
2010-12-14,50.31
