dt,close
2010-01-04,14.94
2010-01-05,14.91
2010-01-06,15.01
2010-01-07,15.0
2010-01-08,14.97
2010-01-11,14.94
2010-01-12,14.92
2010-01-13,15.17
2010-01-14,15.3
2010-01-15,15.37
2010-01-19,15.94
2010-01-20,15.63
2010-01-21,15.81
2010-01-22,15.8
2010-01-25,15.84
2010-01-26,15.63
2010-01-27,15.34
2010-01-28,15.08
2010-01-29,15.06
2010-02-01,15.25
2010-02-02,16.58
2010-02-03,16.45
2010-02-04,16.19
2010-02-05,15.99
2010-02-08,16.0
2010-02-09,16.02
2010-02-10,16.03
2010-02-11,16.1
2010-02-12,16.0
2010-02-16,16.09
2010-02-17,16.07
2010-02-18,16.24
2010-02-19,16.11
2010-02-22,16.19
2010-02-23,16.15
2010-02-24,16.57
2010-02-25,16.93
2010-02-26,17.25
2010-03-01,17.35
2010-03-02,17.37
2010-03-03,17.15
2010-03-04,17.11
2010-03-05,17.41
2010-03-08,17.52
2010-03-09,17.42
2010-03-10,17.55
2010-03-11,19.28
2010-03-12,18.64
2010-03-15,19.38
2010-03-16,19.18
2010-03-17,19.07
2010-03-18,19.55
2010-03-19,18.67
2010-03-22,18.78
2010-03-23,18.83
2010-03-24,18.67
2010-03-25,18.52
2010-03-26,18.25
2010-03-29,18.41
2010-03-30,18.32
2010-03-31,18.54
2010-04-01,18.52
2010-04-05,18.34
2010-04-06,18.04
2010-04-07,17.57
2010-04-08,17.56
2010-04-09,17.78
2010-04-12,17.56
2010-04-13,17.78
2010-04-14,18.33
2010-04-15,18.27
2010-04-16,18.14
2010-04-19,18.1
2010-04-20,18.23
2010-04-21,18.17
2010-04-22,18.19
2010-04-23,18.28
2010-04-26,18.01
2010-04-27,17.94
2010-04-28,18.02
2010-04-29,17.76
2010-04-30,17.87
2010-05-03,18.1
2010-05-04,16.01
2010-05-05,16.25
2010-05-06,16.01
2010-05-07,15.82
2010-05-10,16.23
2010-05-11,16.17
2010-05-12,16.4
2010-05-13,16.23
2010-05-14,15.78
2010-05-17,15.77
2010-05-18,15.63
2010-05-19,15.61
2010-05-20,14.83
2010-05-21,15.08
2010-05-24,15.0
2010-05-25,14.88
2010-05-26,14.93
2010-05-27,14.97
2010-05-28,14.9
2010-06-01,14.63
