dt,close
2010-01-04,42.02
2010-01-05,41.67
2010-01-06,41.84
2010-01-07,41.54
2010-01-08,41.39
2010-01-11,41.53
2010-01-12,41.41
2010-01-13,42.12
2010-01-14,42.11
2010-01-15,42.05
2010-01-19,42.76
2010-01-20,42.15
2010-01-21,41.68
2010-01-22,40.96
2010-01-25,40.84
2010-01-26,40.29
2010-01-27,40.28
2010-01-28,40.0
2010-01-29,39.78
2010-02-01,40.4
2010-02-02,41.08
2010-02-03,41.37
2010-02-04,40.23
2010-02-05,40.25
2010-02-08,39.84
2010-02-09,41.05
2010-02-10,41.46
2010-02-11,41.69
2010-02-12,41.67
2010-02-16,41.99
2010-02-17,42.06
2010-02-18,42.33
2010-02-19,42.48
2010-02-22,42.23
2010-02-23,41.77
2010-02-24,41.89
2010-02-25,41.97
2010-02-26,42.07
2010-03-01,42.31
2010-03-02,42.83
2010-03-03,42.89
2010-03-04,43.48
2010-03-05,44.44
2010-03-08,44.27
2010-03-09,44.05
2010-03-10,43.93
2010-03-11,44.1
2010-03-12,44.69
2010-03-15,44.95
2010-03-16,45.35
2010-03-17,45.38
2010-03-18,45.4
2010-03-19,44.97
2010-03-22,45.47
2010-03-23,46.08
2010-03-24,45.83
2010-03-25,45.81
2010-03-26,45.68
2010-03-29,47.96
2010-03-30,47.7
2010-03-31,47.68
2010-04-01,48.2
2010-04-05,48.87
2010-04-06,48.87
2010-04-07,48.86
2010-04-08,48.92
2010-04-09,49.88
2010-04-12,50.0
2010-04-13,50.41
2010-04-14,50.93
2010-04-15,51.53
2010-04-16,50.51
2010-04-19,50.64
2010-04-20,50.6
2010-04-21,50.24
2010-04-22,50.66
2010-04-23,51.74
2010-04-26,51.4
2010-04-27,50.28
2010-04-28,50.35
2010-04-29,51.29
2010-04-30,50.06
2010-05-03,51.02
2010-05-04,49.54
2010-05-05,48.45
2010-05-06,46.63
2010-05-07,45.1
2010-05-10,47.02
2010-05-11,46.61
2010-05-12,47.49
2010-05-13,47.07
2010-05-14,46.1
2010-05-17,46.14
2010-05-18,45.42
2010-05-19,44.93
2010-05-20,43.28
2010-05-21,44.18
2010-05-24,43.54
2010-05-25,43.65
2010-05-26,43.25
2010-05-27,45.15
2010-05-28,44.47
2010-06-01,43.76
2010-06-02,44.89
2010-06-03,44.76
2010-06-04,43.07
2010-06-07,43.01
2010-06-08,43.9
2010-06-09,44.09
2010-06-10,45.04
2010-06-11,45.73
2010-06-14,45.38
2010-06-15,46.55
2010-06-16,46.48
2010-06-17,46.52
2010-06-18,46.5
2010-06-21,46.03
2010-06-22,45.56
2010-06-23,45.35
2010-06-24,44.52
2010-06-25,44.34
2010-06-28,44.02
2010-06-29,43.09
2010-06-30,42.44
2010-07-01,42.24
2010-07-02,41.97
2010-07-06,42.05
2010-07-07,43.74
2010-07-08,44.37
2010-07-09,44.67
2010-07-12,44.15
2010-07-13,45.23
2010-07-14,44.98
2010-07-15,44.96
2010-07-16,43.74
2010-07-19,44.01
2010-07-20,44.98
2010-07-21,45.06
2010-07-22,46.21
2010-07-23,46.41
2010-07-26,46.8
2010-07-27,45.79
2010-07-28,46.05
2010-07-29,45.53
2010-07-30,45.36
2010-08-02,45.9
2010-08-03,45.66
2010-08-04,45.89
2010-08-05,46.86
2010-08-06,46.85
2010-08-09,47.6
2010-08-10,47.32
2010-08-11,45.97
2010-08-12,45.8
2010-08-13,46.31
2010-08-16,45.88
2010-08-17,47.08
2010-08-18,46.9
2010-08-19,45.69
2010-08-20,45.82
2010-08-23,45.46
2010-08-24,44.68
2010-08-25,44.92
2010-08-26,45.2
2010-08-27,46.14
2010-08-30,45.65
2010-08-31,45.64
2010-09-01,47.36
2010-09-02,47.64
2010-09-03,47.72
2010-09-07,46.89
2010-09-08,47.04
2010-09-09,46.9
2010-09-10,46.62
2010-09-13,46.86
2010-09-14,47.46
2010-09-15,47.83
2010-09-16,47.87
2010-09-17,48.41
2010-09-20,48.9
2010-09-21,48.65
2010-09-22,48.59
2010-09-23,47.9
2010-09-24,48.96
2010-09-27,48.81
2010-09-28,49.41
2010-09-29,48.72
2010-09-30,48.53
2010-10-01,48.8
2010-10-04,48.51
2010-10-05,49.54
2010-10-06,49.59
2010-10-07,49.51
2010-10-08,49.71
2010-10-11,49.55
2010-10-12,49.59
2010-10-13,50.06
2010-10-14,49.72
2010-10-15,49.79
2010-10-18,49.82
2010-10-19,48.97
2010-10-20,49.92
2010-10-21,49.87
2010-10-22,49.77
2010-10-25,50.06
2010-10-26,50.23
2010-10-27,49.86
2010-10-28,49.96
2010-10-29,50.19
2010-11-01,50.29
2010-11-02,50.67
2010-11-03,50.72
2010-11-04,53.33
2010-11-05,53.22
2010-11-08,53.62
2010-11-09,52.86
2010-11-10,53.27
2010-11-11,53.36
2010-11-12,52.44
2010-11-15,51.85
2010-11-16,50.73
2010-11-17,50.63
2010-11-18,51.34
2010-11-19,51.63
2010-11-22,51.96
2010-11-23,51.51
2010-11-24,52.49
2010-11-26,52.96
2010-11-29,52.81
2010-11-30,52.53
2010-12-01,53.56
2010-12-02,54.24
2010-12-03,54.98
2010-12-06,54.73
2010-12-07,55.16
2010-12-08,55.01
2010-12-09,55.13
2010-12-10,55.76
2010-12-13,55.47
2010-12-14,55.63
2010-12-15,55.31
2010-12-16,55.24
2010-12-17,55.1
2010-12-20,55.49
2010-12-21,55.63
2010-12-22,55.755
2010-12-23,55.41
2010-12-27,55.34
2010-12-28,55.41
2010-12-29,55.49
2010-12-30,55.29
2010-12-31,55.6
2011-01-03,55.66
2011-01-04,55.7
2011-01-05,55.87
2011-01-06,55.81
2011-01-07,55.93
2011-01-10,55.84
2011-01-11,55.9
2011-01-12,55.99
2011-01-13,55.96
2011-01-14,55.97
2011-01-18,56.2
2011-01-19,55.66
2011-01-20,55.66
2011-01-21,55.63
2011-01-24,56.34
2011-01-25,56.85
2011-01-26,57.42
2011-01-27,57.15
2011-01-28,56.09
2011-01-31,57.06
2011-02-01,58.61
2011-02-02,58.96
2011-02-03,58.87
2011-02-04,58.9
2011-02-07,59.38
2011-02-08,58.8
2011-02-09,58.45
2011-02-10,54.79
2011-02-11,56.46
2011-02-14,55.62
2011-02-15,55.85
2011-02-16,56.82
2011-02-17,57.07
2011-02-18,57.34
2011-02-22,56.23
2011-02-23,55.94
2011-02-24,55.95
2011-02-25,56.92
2011-02-28,56.9699
2011-03-01,56.3
2011-03-02,56.58
2011-03-03,57.69
2011-03-04,57.08
2011-03-07,57.32
2011-03-08,57.93
2011-03-09,58.03
2011-03-10,57.5
2011-03-11,58.06
2011-03-14,58.0
2011-03-15,57.93
2011-03-16,56.82
2011-03-17,58.1
2011-03-18,59.75
2011-03-21,60.07
2011-03-22,60.09
2011-03-23,60.39
2011-03-24,60.81
2011-03-25,61.09
2011-03-28,60.7
2011-03-29,61.46
2011-03-30,62.13
2011-03-31,62.32
2011-04-01,62.75
2011-04-04,63.81
2011-04-05,64.21
2011-04-06,64.1
2011-04-07,63.92
2011-04-08,63.36
2011-04-11,63.07
2011-04-12,62.34
2011-04-13,62.06
2011-04-14,61.88
2011-04-15,62.15
2011-04-18,61.67
2011-04-19,62.33
2011-04-20,62.95
2011-04-21,63.48
2011-04-25,63.51
2011-04-26,63.66
2011-04-27,63.51
2011-04-28,63.43
2011-04-29,63.51
2011-05-02,63.31
2011-05-03,63.05
2011-05-04,62.47
2011-05-05,62.39
2011-05-06,62.7
2011-05-09,63.75
2011-05-10,65.23
2011-05-11,64.88
2011-05-12,63.83
2011-05-13,62.88
2011-05-16,62.51
2011-05-17,62.28
2011-05-18,63.71
2011-05-19,63.95
2011-05-20,63.34
2011-05-23,62.77
2011-05-24,62.73
2011-05-25,63.12
2011-05-26,63.25
2011-05-27,63.98
2011-05-31,64.09
2011-06-01,62.73
2011-06-02,62.15
2011-06-03,61.22
2011-06-06,60.59
2011-06-07,61.45
2011-06-08,61.23
2011-06-09,62.01
2011-06-10,61.48
2011-06-13,61.66
2011-06-14,62.0
2011-06-15,61.31
2011-06-16,61.08
2011-06-17,61.74
2011-06-20,61.84
2011-06-21,63.02
2011-06-22,62.75
2011-06-23,62.44
2011-06-24,62.24
2011-06-27,62.24
2011-06-28,62.8
2011-06-29,63.46
2011-06-30,64.22
2011-07-01,64.71
2011-07-05,64.31
2011-07-06,64.35
2011-07-07,64.95
2011-07-08,64.95
2011-07-11,64.13
2011-07-12,63.64
2011-07-13,63.98
2011-07-14,63.46
2011-07-15,63.68
2011-07-18,62.75
2011-07-19,63.35
2011-07-20,62.55
2011-07-21,63.29
2011-07-22,63.15
2011-07-25,62.82
2011-07-26,62.2475
2011-07-27,61.18
2011-07-28,61.37
2011-07-29,61.13
2011-08-01,62.03
2011-08-02,60.44
2011-08-03,60.56
2011-08-04,56.63
2011-08-05,57.66
2011-08-08,52.93
2011-08-09,55.95
2011-08-10,53.29
2011-08-11,54.78
2011-08-12,56.4
2011-08-15,56.82
2011-08-16,55.56
2011-08-17,55.27
2011-08-18,53.15
2011-08-19,52.81
2011-08-22,53.34
2011-08-23,55.6
2011-08-24,54.88
2011-08-25,54.51
2011-08-26,56.01
2011-08-29,57.41
2011-08-30,57.6
2011-08-31,57.98
2011-09-01,57.38
2011-09-02,56.1
2011-09-06,56.08
2011-09-07,57.3
2011-09-08,57.3
2011-09-09,56.08
2011-09-12,55.85
2011-09-13,56.54
2011-09-14,57.51
2011-09-15,58.77
2011-09-16,60.17
2011-09-19,59.68
2011-09-20,59.52
2011-09-21,58.05
2011-09-22,56.2
2011-09-23,56.29
2011-09-26,57.23
2011-09-27,59.03
2011-09-28,56.85
2011-09-29,57.61
2011-09-30,56.22
2011-10-03,55.69
2011-10-04,57.64
2011-10-05,58.3
2011-10-06,58.91
2011-10-07,58.51
2011-10-10,60.22
2011-10-11,60.04
2011-10-12,60.52
2011-10-13,59.5
2011-10-14,61.21
2011-10-17,59.91
2011-10-18,60.58
2011-10-19,59.71
2011-10-20,59.65
2011-10-21,61.18
2011-10-24,60.85
2011-10-25,59.36
2011-10-26,60.56
2011-10-27,63.04
2011-10-28,62.96
2011-10-31,60.57
2011-11-01,59.08
2011-11-02,60.08
2011-11-03,61.64
2011-11-04,61.05
2011-11-07,61.31
2011-11-08,55.02
2011-11-09,53.82
2011-11-10,53.62
2011-11-11,54.47
2011-11-14,54.15
2011-11-15,53.74
2011-11-16,53.32
2011-11-17,52.43
2011-11-18,52.53
2011-11-21,52.68
2011-11-22,52.37
2011-11-23,51.69
2011-11-25,51.62
2011-11-28,53.25
2011-11-29,52.64
2011-11-30,54.2101
2011-12-01,53.77
2011-12-02,53.6575
2011-12-05,54.1
2011-12-06,54.03
2011-12-07,54.48
2011-12-08,53.4
2011-12-09,54.19
2011-12-12,52.82
2011-12-13,52.33
2011-12-14,52.1
2011-12-15,52.15
2011-12-16,51.87
2011-12-19,51.32
2011-12-20,52.27
2011-12-21,52.19
2011-12-22,52.17
2011-12-23,53.12
2011-12-27,53.33
2011-12-28,52.08
2011-12-29,52.69
2011-12-30,52.39
2012-01-03,52.88
2012-01-04,52.94
2012-01-05,52.87
2012-01-06,53.1
2012-01-09,53.22
2012-01-10,54.07
2012-01-11,54.2
2012-01-12,55.09
2012-01-13,54.6
2012-01-17,55.08
2012-01-18,55.67
2012-01-19,56.03
2012-01-20,56.16
2012-01-23,56.46
2012-01-24,56.45
2012-01-25,56.81
2012-01-26,56.78
