dt,close
2010-01-04,7.54
2010-01-05,7.45
2010-01-06,7.44
2010-01-07,7.27
2010-01-08,7.28
2010-01-11,7.46
2010-01-12,7.29
2010-01-13,7.37
2010-01-14,7.22
2010-01-15,7.16
2010-01-19,7.13
2010-01-20,7.16
2010-01-21,7.02
2010-01-22,6.84
2010-01-25,6.76
2010-01-26,6.65
2010-01-27,6.46
2010-01-28,6.5
2010-01-29,6.45
2010-02-01,6.59
2010-02-02,6.72
2010-02-03,6.67
2010-02-04,6.4
2010-02-05,6.38
2010-02-08,6.34
2010-02-09,6.4
2010-02-10,6.51
2010-02-11,6.74
2010-02-12,6.72
2010-02-16,6.86
2010-02-17,6.99
2010-02-18,7.1
2010-02-19,7.12
2010-02-22,7.05
2010-02-23,6.84
2010-02-24,6.81
2010-02-25,6.77
2010-02-26,7.49
2010-03-01,8.28
2010-03-02,8.18
2010-03-03,8.17
2010-03-04,8.3
2010-03-05,8.46
2010-03-08,8.5
2010-03-09,8.53
2010-03-10,8.58
2010-03-11,8.53
2010-03-12,8.43
2010-03-15,8.33
2010-03-16,8.42
2010-03-17,8.54
2010-03-18,8.63
2010-03-19,8.6
2010-03-22,8.74
2010-03-23,8.79
2010-03-24,8.52
2010-03-25,8.38
2010-03-26,8.35
2010-03-29,8.5
2010-03-30,8.51
2010-03-31,8.33
2010-04-01,8.47
2010-04-05,8.66
2010-04-06,8.52
2010-04-07,8.54
2010-04-08,8.46
2010-04-09,8.74
2010-04-12,8.78
2010-04-13,8.64
2010-04-14,9.06
2010-04-15,9.22
2010-04-16,8.95
2010-04-19,9.06
2010-04-20,9.75
2010-04-21,9.64
2010-04-22,9.84
2010-04-23,9.73
2010-04-26,9.86
2010-04-27,9.43
2010-04-28,9.28
2010-04-29,9.51
2010-04-30,8.93
2010-05-03,8.99
2010-05-04,8.45
2010-05-05,8.38
2010-05-06,8.07
2010-05-07,7.72
2010-05-10,8.35
2010-05-11,8.16
2010-05-12,8.4
2010-05-13,8.39
2010-05-14,8.06
2010-05-17,8.1
2010-05-18,8.04
2010-05-19,7.91
2010-05-20,7.59
2010-05-21,7.79
2010-05-24,7.88
2010-05-25,7.8
2010-05-26,7.92
2010-05-27,8.59
2010-05-28,8.36
2010-06-01,7.93
2010-06-02,8.14
2010-06-03,8.31
2010-06-04,7.83
2010-06-07,7.5275
2010-06-08,7.63
2010-06-09,7.67
