dt,close
2010-01-04,27.78
2010-01-05,28.59
2010-01-06,28.82
2010-01-07,28.84
2010-01-08,28.63
2010-01-11,28.99
2010-01-12,29.98
2010-01-13,29.83
2010-01-14,29.84
2010-01-15,29.31
2010-01-19,29.63
2010-01-20,29.11
2010-01-21,28.82
2010-01-22,29.48
2010-01-25,30.42
2010-01-26,29.7
2010-01-27,28.99
2010-01-28,28.21
2010-01-29,27.83
2010-02-01,28.72
2010-02-02,29.01
2010-02-03,29.64
2010-02-04,28.46
2010-02-05,28.04
2010-02-08,27.72
2010-02-09,28.11
2010-02-10,27.9
2010-02-11,28.16
2010-02-12,28.56
2010-02-16,29.05
2010-02-17,29.06
2010-02-18,29.64
2010-02-19,29.88
2010-02-22,30.63
2010-02-23,30.56
2010-02-24,30.78
2010-02-25,30.97
2010-02-26,31.11
2010-03-01,31.89
2010-03-02,31.61
2010-03-03,31.87
2010-03-04,32.08
2010-03-05,32.36
2010-03-08,32.03
2010-03-09,31.8
2010-03-10,31.17
2010-03-11,31.54
2010-03-12,31.61
2010-03-15,31.53
2010-03-16,31.69
2010-03-17,32.19
2010-03-18,31.9813
2010-03-19,31.83
2010-03-22,32.4
2010-03-23,33.38
2010-03-24,33.14
2010-03-25,33.1101
2010-03-26,32.89
2010-03-29,32.77
2010-03-30,32.88
2010-03-31,33.0
2010-04-01,33.36
2010-04-05,33.08
2010-04-06,32.89
2010-04-07,31.8
2010-04-08,32.09
2010-04-09,32.11
2010-04-12,32.36
2010-04-13,32.08
2010-04-14,33.12
2010-04-15,33.48
2010-04-16,32.69
2010-04-19,32.7
2010-04-20,34.25
2010-04-21,34.4
2010-04-22,35.03
2010-04-23,34.5
2010-04-26,34.64
2010-04-27,33.33
2010-04-28,33.14
2010-04-29,34.5
2010-04-30,33.57
2010-05-03,33.92
2010-05-04,32.15
2010-05-05,31.22
2010-05-06,30.22
2010-05-07,29.66
2010-05-10,31.87
2010-05-11,31.6
2010-05-12,32.12
2010-05-13,31.53
2010-05-14,30.65
2010-05-17,30.43
2010-05-18,29.51
2010-05-19,28.69
2010-05-20,27.68
2010-05-21,28.19
2010-05-24,27.69
2010-05-25,27.55
2010-05-26,27.95
2010-05-27,29.29
2010-05-28,28.5
2010-06-01,27.98
2010-06-02,28.89
2010-06-03,29.15
2010-06-04,27.56
2010-06-07,26.6189
2010-06-08,26.12
2010-06-09,25.9
2010-06-10,27.01
2010-06-11,27.56
2010-06-14,27.96
2010-06-15,29.53
2010-06-16,29.02
2010-06-17,28.9
2010-06-18,28.85
2010-06-21,28.89
2010-06-22,28.17
2010-06-23,28.34
2010-06-24,27.74
2010-06-25,27.76
2010-06-28,27.76
2010-06-29,26.85
2010-06-30,26.85
2010-07-01,26.94
2010-07-02,26.87
2010-07-06,26.86
2010-07-07,27.91
2010-07-08,28.53
2010-07-09,28.6
2010-07-12,28.32
2010-07-13,29.63
2010-07-14,29.65
2010-07-15,29.68
2010-07-16,28.49
2010-07-19,28.65
2010-07-20,29.1
2010-07-21,28.49
2010-07-22,30.46
2010-07-23,29.08
2010-07-26,28.86
2010-07-27,28.14
2010-07-28,29.01
2010-07-29,28.63
2010-07-30,28.81
2010-08-02,29.24
2010-08-03,29.05
2010-08-04,29.21
2010-08-05,29.6
2010-08-06,29.56
