dt,close
2010-01-04,37.18
2010-01-05,37.37
2010-01-06,37.62
2010-01-07,37.91
2010-01-08,37.9
2010-01-11,37.92
2010-01-12,37.63
2010-01-13,37.91
2010-01-14,37.93
2010-01-15,37.22
2010-01-19,38.14
2010-01-20,37.61
2010-01-21,37.18
2010-01-22,35.68
2010-01-25,36.1
2010-01-26,36.02
2010-01-27,36.38
2010-01-28,35.89
2010-01-29,35.76
2010-02-01,36.43
2010-02-02,37.05
2010-02-03,36.64
2010-02-04,35.32
2010-02-05,35.37
2010-02-08,34.79
2010-02-09,35.22
2010-02-10,35.03
2010-02-11,35.2
2010-02-12,35.19
2010-02-16,36.09
2010-02-17,36.15
2010-02-18,36.42
2010-02-19,36.53
2010-02-22,36.68
2010-02-23,36.1
2010-02-24,36.61
2010-02-25,36.69
2010-02-26,36.47
2010-03-01,36.99
2010-03-02,37.15
2010-03-03,37.03
2010-03-04,37.11
2010-03-05,37.49
2010-03-08,37.5
2010-03-09,37.44
2010-03-10,37.51
2010-03-11,37.68
2010-03-12,37.51
2010-03-15,37.38
2010-03-16,37.6
2010-03-17,37.6
2010-03-18,37.41
2010-03-19,37.2
2010-03-22,37.15
2010-03-23,37.46
2010-03-24,37.25
2010-03-25,37.12
2010-03-26,37.26
2010-03-29,37.35
2010-03-30,37.2
2010-03-31,37.3
2010-04-01,37.87
2010-04-05,38.43
2010-04-06,38.27
2010-04-07,38.08
2010-04-08,38.03
2010-04-09,38.44
2010-04-12,38.44
2010-04-13,38.5
2010-04-14,38.91
2010-04-15,38.83
2010-04-16,37.81
2010-04-19,38.2
2010-04-20,38.68
2010-04-21,38.55
2010-04-22,38.0
2010-04-23,38.34
2010-04-26,38.52
2010-04-27,37.4
2010-04-28,37.28
2010-04-29,37.81
2010-04-30,37.21
2010-05-03,37.44
2010-05-04,36.11
2010-05-05,35.86
2010-05-06,33.92
2010-05-07,33.63
2010-05-10,34.97
2010-05-11,34.88
2010-05-12,35.35
2010-05-13,34.88
2010-05-14,34.12
2010-05-17,33.96
2010-05-18,33.2
2010-05-19,33.11
2010-05-20,31.31
2010-05-21,31.95
2010-05-24,31.36
2010-05-25,31.52
2010-05-26,31.47
2010-05-27,33.0
2010-05-28,32.48
2010-06-01,31.87
2010-06-02,32.62
2010-06-03,32.55
2010-06-04,31.6
2010-06-07,31.32
2010-06-08,31.32
2010-06-09,31.13
2010-06-10,32.46
2010-06-11,32.57
2010-06-14,32.75
2010-06-15,33.62
2010-06-16,33.66
2010-06-17,33.85
2010-06-18,33.92
2010-06-21,33.76
2010-06-22,33.77
2010-06-23,33.69
2010-06-24,33.36
2010-06-25,33.9
2010-06-28,33.7
2010-06-29,33.29
2010-06-30,33.27
2010-07-01,33.63
2010-07-02,33.56
2010-07-06,33.85
2010-07-07,34.99
2010-07-08,35.49
2010-07-09,35.72
2010-07-12,35.51
2010-07-13,36.07
2010-07-14,36.21
2010-07-15,36.41
2010-07-16,35.55
2010-07-19,35.61
2010-07-20,36.34
2010-07-21,36.0
2010-07-22,36.87
2010-07-23,37.14
2010-07-26,37.13
2010-07-27,37.15
2010-07-28,36.99
2010-07-29,37.17
2010-07-30,37.15
2010-08-02,37.58
2010-08-03,37.54
2010-08-04,38.03
2010-08-05,38.18
2010-08-06,37.98
2010-08-09,38.51
2010-08-10,37.95
2010-08-11,37.01
2010-08-12,36.91
2010-08-13,37.05
2010-08-16,36.89
2010-08-17,37.49
2010-08-18,37.06
2010-08-19,36.55
2010-08-20,36.29
2010-08-23,35.87
2010-08-24,35.38
2010-08-25,35.23
2010-08-26,34.96
2010-08-27,35.95
2010-08-30,35.16
2010-08-31,35.13
2010-09-01,36.17
2010-09-02,36.22
2010-09-03,36.91
2010-09-07,36.4
2010-09-08,36.38
2010-09-09,36.38
2010-09-10,36.52
2010-09-13,36.87
2010-09-14,36.64
2010-09-15,36.87
2010-09-16,37.0
2010-09-17,37.23
2010-09-20,37.8801
2010-09-21,37.83
2010-09-22,37.51
2010-09-23,36.89
2010-09-24,37.58
2010-09-27,37.36
2010-09-28,37.73
2010-09-29,37.97
2010-09-30,37.9
2010-10-01,37.98
2010-10-04,37.64
2010-10-05,38.46
2010-10-06,38.72
2010-10-07,38.58
2010-10-08,38.9
2010-10-11,38.84
2010-10-12,39.48
2010-10-13,39.9
2010-10-14,39.83
2010-10-15,39.66
2010-10-18,39.82
2010-10-19,39.3
2010-10-20,39.72
2010-10-21,39.75
2010-10-22,39.69
2010-10-25,39.66
2010-10-26,39.79
2010-10-27,39.44
2010-10-28,39.48
2010-10-29,39.49
2010-11-01,39.54
2010-11-02,39.89
2010-11-03,39.76
2010-11-04,40.08
2010-11-05,40.1
2010-11-08,39.9
2010-11-09,39.32
2010-11-10,39.73
2010-11-11,39.35
2010-11-12,39.2
2010-11-15,39.26
2010-11-16,38.39
2010-11-17,38.11
2010-11-18,38.72
2010-11-19,38.31
2010-11-22,38.3
2010-11-23,37.59
2010-11-24,37.98
2010-11-26,37.54
2010-11-29,37.67
2010-11-30,37.41
2010-12-01,37.93
2010-12-02,38.2
2010-12-03,38.07
2010-12-06,38.06
2010-12-07,37.96
2010-12-08,38.33
2010-12-09,38.45
2010-12-10,38.77
2010-12-13,38.69
2010-12-14,38.54
2010-12-15,38.41
2010-12-16,38.63
2010-12-17,38.68
2010-12-20,38.78
2010-12-21,39.0
2010-12-22,39.19
2010-12-23,39.01
2010-12-27,39.19
2010-12-28,39.03
2010-12-29,39.03
2010-12-30,38.97
2010-12-31,38.9
2011-01-03,39.39
2011-01-04,39.32
2011-01-05,39.6
2011-01-06,39.77
2011-01-07,40.01
2011-01-10,40.02
2011-01-11,40.11
2011-01-12,40.77
2011-01-13,40.47
2011-01-14,40.35
2011-01-18,40.43
2011-01-19,39.81
2011-01-20,40.06
2011-01-21,40.23
2011-01-24,40.45
2011-01-25,40.7
2011-01-26,40.43
2011-01-27,40.67
2011-01-28,39.98
2011-01-31,40.05
2011-02-01,41.22
2011-02-02,41.3
2011-02-03,41.3
2011-02-04,41.36
2011-02-07,43.23
2011-02-08,42.99
2011-02-09,43.01
2011-02-10,43.0
2011-02-11,43.02
2011-02-14,43.06
2011-02-15,42.99
2011-02-16,43.16
2011-02-17,43.21
2011-02-18,43.17
2011-02-22,42.88
2011-02-23,42.88
2011-02-24,42.81
2011-02-25,42.92
2011-02-28,43.23
2011-03-01,42.63
2011-03-02,42.53
2011-03-03,43.05
2011-03-04,42.8
2011-03-07,42.37
2011-03-08,42.9
2011-03-09,42.74
2011-03-10,41.76
2011-03-11,41.97
2011-03-14,41.75
2011-03-15,41.58
2011-03-16,41.37
2011-03-17,41.82
2011-03-18,42.14
2011-03-21,42.91
2011-03-22,43.01
2011-03-23,42.97
2011-03-24,43.0
2011-03-25,43.05
2011-03-28,42.68
2011-03-29,42.97
2011-03-30,43.0
2011-03-31,43.08
2011-04-01,43.48
2011-04-04,43.65
2011-04-05,43.41
2011-04-06,43.67
2011-04-07,43.34
2011-04-08,43.01
2011-04-11,43.01
2011-04-12,42.53
2011-04-13,42.41
2011-04-14,42.23
2011-04-15,42.45
2011-04-18,42.13
2011-04-19,42.1
2011-04-20,42.81
2011-04-21,43.25
2011-04-25,43.15
2011-04-26,43.21
2011-04-27,43.3
2011-04-28,44.05
2011-04-29,44.25
2011-05-02,43.02
2011-05-03,42.47
2011-05-04,42.27
2011-05-05,41.59
2011-05-06,41.71
2011-05-09,41.78
2011-05-10,42.17
2011-05-11,41.57
2011-05-12,41.92
2011-05-13,41.62
2011-05-16,41.51
2011-05-17,41.62
2011-05-18,41.93
2011-05-19,42.07
2011-05-20,41.74
2011-05-23,41.59
2011-05-24,41.58
2011-05-25,41.7
2011-05-26,41.98
2011-05-27,41.84
2011-05-31,42.03
2011-06-01,41.26
2011-06-02,41.5
2011-06-03,41.32
2011-06-06,40.96
2011-06-07,40.9
2011-06-08,40.83
2011-06-09,41.16
2011-06-10,40.71
2011-06-13,40.7
2011-06-14,41.02
2011-06-15,40.3
2011-06-16,40.25
2011-06-17,40.55
2011-06-20,40.81
2011-06-21,41.38
2011-06-22,41.44
2011-06-23,41.36
2011-06-24,40.8
2011-06-27,41.2
2011-06-28,41.72
2011-06-29,42.14
2011-06-30,42.1
2011-07-01,42.14
