dt,close
2010-01-04,30.2
2010-01-05,30.13
2010-01-06,30.79
2010-01-07,30.53
2010-01-08,30.76
2010-01-11,31.52
2010-01-12,30.79
2010-01-13,30.9
2010-01-14,30.49
2010-01-15,30.46
2010-01-19,30.81
2010-01-20,31.45
2010-01-21,28.33
2010-01-22,26.98
2010-01-25,27.52
2010-01-26,27.4
2010-01-27,27.0
2010-01-28,26.54
2010-01-29,25.78
2010-02-01,26.28
2010-02-02,26.47
2010-02-03,26.21
2010-02-04,24.53
2010-02-05,24.89
2010-02-08,24.53
2010-02-09,25.07
2010-02-10,26.48
2010-02-11,25.82
2010-02-12,25.81
2010-02-16,26.28
2010-02-17,26.54
2010-02-18,26.15
2010-02-19,26.08
2010-02-22,25.99
2010-02-23,25.55
2010-02-24,25.69
2010-02-25,25.37
2010-02-26,25.83
2010-03-01,26.1
2010-03-02,26.41
2010-03-03,27.0
2010-03-04,28.05
2010-03-05,28.81
2010-03-08,28.84
2010-03-09,28.98
2010-03-10,28.8
2010-03-11,28.79
2010-03-12,28.885
2010-03-15,29.1
2010-03-16,29.47
2010-03-17,30.37
2010-03-18,29.75
2010-03-19,29.42
2010-03-22,29.25
2010-03-23,29.86
2010-03-24,29.77
2010-03-25,29.71
2010-03-26,29.49
2010-03-29,29.29
2010-03-30,29.2
2010-03-31,28.69
2010-04-01,30.63
2010-04-05,31.59
2010-04-06,31.81
2010-04-07,31.24
2010-04-08,30.89
2010-04-09,31.17
2010-04-12,31.34
2010-04-13,31.96
2010-04-14,33.46
2010-04-15,33.26
2010-04-16,32.29
2010-04-19,32.05
2010-04-20,32.37
2010-04-21,32.14
2010-04-22,32.05
2010-04-23,32.37
2010-04-26,31.55
2010-04-27,29.84
2010-04-28,30.45
2010-04-29,32.31
2010-04-30,31.67
2010-05-03,32.34
2010-05-04,30.85
2010-05-05,30.36
2010-05-06,29.1
2010-05-07,27.8
2010-05-10,29.93
2010-05-11,33.41
2010-05-12,34.23
2010-05-13,34.27
2010-05-14,33.61
2010-05-17,33.01
2010-05-18,31.61
2010-05-19,31.08
2010-05-20,29.53
2010-05-21,30.18
2010-05-24,29.55
2010-05-25,29.39
2010-05-26,29.29
2010-05-27,30.56
2010-05-28,29.7
2010-06-01,29.45
2010-06-02,31.37
2010-06-03,31.2
2010-06-04,30.01
2010-06-07,30.08
2010-06-08,30.47
2010-06-09,30.01
2010-06-10,31.52
2010-06-11,32.39
2010-06-14,32.3
2010-06-15,32.63
2010-06-16,32.46
2010-06-17,32.17
2010-06-18,32.01
2010-06-21,32.5
2010-06-22,31.24
2010-06-23,31.41
2010-06-24,30.18
2010-06-25,30.73
2010-06-28,31.01
2010-06-29,28.73
2010-06-30,28.04
