dt,close
2010-01-04,26.52
2010-01-05,26.88
2010-01-06,26.65
2010-01-07,26.5
2010-01-08,26.51
2010-01-11,26.34
2010-01-12,25.81
2010-01-13,26.75
2010-01-14,27.32
2010-01-15,27.59
2010-01-19,28.15
2010-01-20,27.7
2010-01-21,26.97
2010-01-22,25.67
2010-01-25,25.47
2010-01-26,27.41
2010-01-27,27.14
2010-01-28,27.08
2010-01-29,25.82
2010-02-01,26.73
2010-02-02,30.0
2010-02-03,32.26
2010-02-04,31.64
2010-02-05,32.25
2010-02-08,32.1
2010-02-09,33.2
2010-02-10,33.3
2010-02-11,33.35
2010-02-12,33.17
2010-02-16,33.89
2010-02-17,33.95
2010-02-18,33.906
2010-02-19,34.15
2010-02-22,33.49
2010-02-23,33.02
2010-02-24,33.12
2010-02-25,33.45
2010-02-26,33.71
2010-03-01,34.67
2010-03-02,34.52
2010-03-03,34.1
2010-03-04,34.26
2010-03-05,34.45
2010-03-08,34.57
2010-03-09,35.18
2010-03-10,36.05
2010-03-11,35.86
2010-03-12,35.57
2010-03-15,35.85
2010-03-16,35.6
2010-03-17,35.95
2010-03-18,35.42
2010-03-19,34.72
2010-03-22,34.89
2010-03-23,36.8
2010-03-24,36.36
2010-03-25,35.42
2010-03-26,35.58
2010-03-29,35.51
2010-03-30,36.13
2010-03-31,36.1
2010-04-01,36.28
2010-04-05,36.79
2010-04-06,36.7
2010-04-07,35.78
2010-04-08,35.73
2010-04-09,37.36
2010-04-12,38.5
2010-04-13,38.94
2010-04-14,39.51
2010-04-15,39.43
2010-04-16,38.61
2010-04-19,38.6
2010-04-20,37.9
2010-04-21,38.47
2010-04-22,38.93
2010-04-23,39.64
2010-04-26,39.99
2010-04-27,40.13
2010-04-28,39.03
2010-04-29,38.84
2010-04-30,37.06
2010-05-03,38.21
2010-05-04,37.55
2010-05-05,38.51
2010-05-06,36.16
2010-05-07,35.07
2010-05-10,37.17
2010-05-11,36.72
2010-05-12,37.86
2010-05-13,37.25
2010-05-14,36.18
2010-05-17,36.65
2010-05-18,36.59
2010-05-19,35.95
2010-05-20,34.82
2010-05-21,35.47
2010-05-24,35.7
2010-05-25,35.9
2010-05-26,36.46
2010-05-27,38.24
2010-05-28,37.54
2010-06-01,37.53
2010-06-02,38.33
2010-06-03,38.89
2010-06-04,36.72
2010-06-07,35.6
2010-06-08,35.62
2010-06-09,35.81
2010-06-10,36.815
2010-06-11,37.51
2010-06-14,37.19
2010-06-15,38.24
2010-06-16,37.85
2010-06-17,38.31
2010-06-18,38.21
2010-06-21,38.24
2010-06-22,37.55
2010-06-23,36.77
2010-06-24,35.62
2010-06-25,35.83
2010-06-28,35.93
2010-06-29,34.47
2010-06-30,33.04
2010-07-01,32.73
2010-07-02,32.43
2010-07-06,32.22
2010-07-07,34.23
2010-07-08,34.27
2010-07-09,34.29
2010-07-12,34.27
2010-07-13,35.0
2010-07-14,32.98
2010-07-15,33.39
2010-07-16,32.76
2010-07-19,33.0
2010-07-20,32.86
2010-07-21,32.41
2010-07-22,33.39
2010-07-23,34.02
2010-07-26,34.82
2010-07-27,37.75
2010-07-28,37.01
2010-07-29,36.47
2010-07-30,36.77
2010-08-02,38.23
2010-08-03,37.46
2010-08-04,38.88
2010-08-05,38.98
2010-08-06,38.37
2010-08-09,38.73
2010-08-10,38.32
2010-08-11,36.96
2010-08-12,36.15
2010-08-13,35.94
2010-08-16,36.46
2010-08-17,36.9
2010-08-18,37.75
2010-08-19,37.45
2010-08-20,37.26
2010-08-23,37.04
2010-08-24,35.94
2010-08-25,36.04
2010-08-26,35.59
2010-08-27,36.19
2010-08-30,35.16
2010-08-31,34.99
2010-09-01,36.56
2010-09-02,37.19
2010-09-03,37.74
2010-09-07,37.57
2010-09-08,38.31
2010-09-09,38.52
2010-09-10,38.95
2010-09-13,40.38
2010-09-14,40.59
2010-09-15,41.62
2010-09-16,41.43
2010-09-17,41.66
2010-09-20,42.48
2010-09-21,43.41
2010-09-22,42.59
2010-09-23,42.07
2010-09-24,43.25
2010-09-27,43.07
2010-09-28,43.54
2010-09-29,45.37
2010-09-30,44.64
2010-10-01,45.05
2010-10-04,43.62
2010-10-05,45.4
2010-10-06,43.44
2010-10-07,43.86
2010-10-08,43.36
2010-10-11,44.3
2010-10-12,44.59
2010-10-13,45.15
2010-10-14,45.07
2010-10-15,45.65
2010-10-18,45.595
2010-10-19,45.22
2010-10-20,46.21
2010-10-21,46.3
2010-10-22,46.93
2010-10-25,47.73
2010-10-26,37.7201
2010-10-27,38.44
2010-10-28,37.61
2010-10-29,38.05
2010-11-01,38.75
2010-11-02,39.1
2010-11-03,39.6
2010-11-04,39.77
2010-11-05,39.19
2010-11-08,39.52
2010-11-09,39.32
2010-11-10,39.04
2010-11-11,38.2
2010-11-12,37.44
2010-11-15,37.38
2010-11-16,36.15
2010-11-17,36.25
2010-11-18,36.7
2010-11-19,36.62
2010-11-22,37.41
2010-11-23,36.82
2010-11-24,37.52
2010-11-26,36.81
2010-11-29,36.93
2010-11-30,36.26
2010-12-01,37.24
2010-12-02,38.36
2010-12-03,37.87
2010-12-06,37.4
2010-12-07,37.53
2010-12-08,37.56
2010-12-09,37.31
2010-12-10,37.47
2010-12-13,36.92
2010-12-14,35.7
2010-12-15,34.95
2010-12-16,35.42
2010-12-17,34.93
2010-12-20,35.0
2010-12-21,35.37
2010-12-22,35.36
2010-12-23,35.65
2010-12-27,35.75
2010-12-28,34.64
2010-12-29,34.6
2010-12-30,34.98
2010-12-31,34.85
2011-01-03,35.16
2011-01-04,34.3
2011-01-05,34.41
2011-01-06,35.03
2011-01-07,34.9
2011-01-10,35.54
2011-01-11,35.75
2011-01-12,36.86
2011-01-13,35.23
2011-01-14,35.82
2011-01-18,36.05
2011-01-19,35.52
2011-01-20,35.22
2011-01-21,35.45
2011-01-24,36.62
2011-01-25,36.55
2011-01-26,36.73
2011-01-27,36.45
2011-01-28,35.28
2011-01-31,34.87
2011-02-01,39.46
2011-02-02,39.7
2011-02-03,39.25
2011-02-04,38.81
2011-02-07,39.4
2011-02-08,39.75
2011-02-09,39.5
2011-02-10,40.35
2011-02-11,40.23
2011-02-14,39.84
2011-02-15,39.23
2011-02-16,39.49
2011-02-17,38.93
2011-02-18,38.9
2011-02-22,37.59
2011-02-23,37.57
2011-02-24,37.3
2011-02-25,37.39
2011-02-28,37.53
2011-03-01,36.77
2011-03-02,36.86
2011-03-03,36.81
2011-03-04,36.42
2011-03-07,36.32
2011-03-08,37.33
2011-03-09,37.18
2011-03-10,36.01
2011-03-11,36.6
2011-03-14,36.04
2011-03-15,36.08
2011-03-16,35.41
2011-03-17,35.03
2011-03-18,35.92
2011-03-21,35.96
2011-03-22,35.64
2011-03-23,35.99
2011-03-24,35.93
2011-03-25,36.51
2011-03-28,36.85
2011-03-29,36.96
2011-03-30,37.19
2011-03-31,37.05
2011-04-01,35.89
2011-04-04,36.38
2011-04-05,36.03
2011-04-06,36.37
2011-04-07,36.1
2011-04-08,36.66
2011-04-11,38.23
2011-04-12,37.5
2011-04-13,36.97
2011-04-14,35.66
2011-04-15,35.58
2011-04-18,35.41
2011-04-19,35.49
2011-04-20,36.52
2011-04-21,36.91
2011-04-25,38.3
2011-04-26,32.7501
2011-04-27,32.15
2011-04-28,31.94
2011-04-29,32.24
2011-05-02,32.16
2011-05-03,31.5101
2011-05-04,31.82
2011-05-05,31.32
2011-05-06,31.1
2011-05-09,30.94
2011-05-10,31.42
2011-05-11,31.2
2011-05-12,30.54
2011-05-13,29.95
2011-05-16,30.02
2011-05-17,30.01
2011-05-18,30.07
2011-05-19,29.9999
2011-05-20,29.89
2011-05-23,29.08
2011-05-24,28.71
2011-05-25,29.41
2011-05-26,29.37
2011-05-27,29.59
2011-05-31,29.77
2011-06-01,28.44
2011-06-02,28.02
2011-06-03,28.11
2011-06-06,27.82
2011-06-07,27.58
2011-06-08,27.19
2011-06-09,27.08
2011-06-10,26.81
2011-06-13,26.868000000000002
2011-06-14,27.54
2011-06-15,27.61
2011-06-16,27.62
2011-06-17,27.75
2011-06-20,28.24
2011-06-21,28.56
2011-06-22,28.08
2011-06-23,28.28
2011-06-24,27.45
2011-06-27,27.65
2011-06-28,28.07
2011-06-29,28.63
2011-06-30,29.27
2011-07-01,29.86
2011-07-05,29.76
2011-07-06,29.4
2011-07-07,29.58
2011-07-08,29.3
2011-07-11,28.75
2011-07-12,29.1
2011-07-13,29.12
2011-07-14,29.0
2011-07-15,29.06
2011-07-18,28.67
2011-07-19,29.16
2011-07-20,29.1
2011-07-21,29.57
2011-07-22,29.72
2011-07-25,28.84
2011-07-26,33.94
2011-07-27,33.76
2011-07-28,33.91
2011-07-29,33.58
2011-08-01,33.49
2011-08-02,32.56
2011-08-03,34.45
2011-08-04,32.81
2011-08-05,33.07
2011-08-08,30.39
2011-08-09,30.73
2011-08-10,29.9
2011-08-11,31.41
2011-08-12,31.7
2011-08-15,31.79
2011-08-16,31.36
2011-08-17,31.01
2011-08-18,29.64
2011-08-19,28.45
2011-08-22,28.98
2011-08-23,30.06
2011-08-24,30.48
2011-08-25,29.86
2011-08-26,30.37
2011-08-29,31.41
2011-08-30,31.52
2011-08-31,31.96
2011-09-01,31.55
2011-09-02,30.52
2011-09-06,30.39
2011-09-07,31.12
2011-09-08,30.81
2011-09-09,30.42
2011-09-12,30.64
2011-09-13,30.73
2011-09-14,31.04
2011-09-15,31.89
2011-09-16,31.5
2011-09-19,31.22
2011-09-20,30.84
2011-09-21,30.23
2011-09-22,27.9
2011-09-23,28.02
2011-09-26,28.54
2011-09-27,28.95
2011-09-28,27.89
2011-09-29,28.03
2011-09-30,27.04
2011-10-03,26.47
2011-10-04,27.35
2011-10-05,28.01
2011-10-06,29.54
2011-10-07,28.92
2011-10-10,29.56
2011-10-11,30.28
2011-10-12,29.82
2011-10-13,29.34
2011-10-14,29.97
2011-10-17,29.27
2011-10-18,29.19
2011-10-19,28.29
2011-10-20,28.72
2011-10-21,29.69
2011-10-24,31.29
2011-10-25,29.22
2011-10-26,29.39
2011-10-27,31.45
2011-10-28,32.7
2011-10-31,31.7
2011-11-01,30.68
2011-11-02,31.38
2011-11-03,33.33
2011-11-04,33.36
2011-11-07,34.33
2011-11-08,34.29
2011-11-09,33.08
2011-11-10,33.19
2011-11-11,33.86
2011-11-14,33.85
2011-11-15,34.1
2011-11-16,33.85
2011-11-17,33.43
2011-11-18,33.48
2011-11-21,33.25
2011-11-22,32.22
2011-11-23,31.51
2011-11-25,31.4403
2011-11-28,32.08
2011-11-29,31.97
2011-11-30,33.46
2011-12-01,33.655
2011-12-02,33.2
2011-12-05,33.38
2011-12-06,33.3
2011-12-07,33.27
2011-12-08,32.73
2011-12-09,33.33
2011-12-12,32.89
2011-12-13,32.54
2011-12-14,32.45
2011-12-15,32.6
2011-12-16,32.76
2011-12-19,32.05
2011-12-20,33.19
2011-12-21,32.61
2011-12-22,33.28
2011-12-23,33.99
2011-12-27,33.87
2011-12-28,32.95
2011-12-29,33.32
2011-12-30,33.07
2012-01-03,33.69
2012-01-04,33.9
2012-01-05,34.02
2012-01-06,34.1
2012-01-09,34.27
2012-01-10,34.13
2012-01-11,34.5699
2012-01-12,34.93
2012-01-13,34.71
2012-01-17,34.71
2012-01-18,35.39
2012-01-19,35.39
2012-01-20,35.47
2012-01-23,36.12
2012-01-24,35.63
2012-01-25,35.25
2012-01-26,35.08
2012-01-27,36.0
2012-01-30,34.78
2012-01-31,34.9
2012-02-01,35.68
2012-02-02,35.61
2012-02-03,36.94
2012-02-06,37.0
2012-02-07,36.84
