dt,close
2010-01-04,37.03
2010-01-05,37.17
2010-01-06,37.66
2010-01-07,37.71
2010-01-08,37.69
2010-01-11,37.84
2010-01-12,37.55
2010-01-13,38.94
2010-01-14,40.01
2010-01-15,39.46
2010-01-19,40.61
2010-01-20,41.03
2010-01-21,40.08
2010-01-22,38.85
2010-01-25,38.77
2010-01-26,38.55
2010-01-27,38.64
2010-01-28,37.94
2010-01-29,38.16
2010-02-01,38.31
2010-02-02,39.56
2010-02-03,38.71
2010-02-04,37.13
2010-02-05,36.73
2010-02-08,36.59
2010-02-09,36.46
2010-02-10,36.21
2010-02-11,36.9
2010-02-12,37.02
2010-02-16,37.69
2010-02-17,37.35
2010-02-18,37.275
2010-02-19,37.47
2010-02-22,37.11
2010-02-23,36.51
2010-02-24,36.95
2010-02-25,36.6
2010-02-26,36.9
2010-03-01,37.27
2010-03-02,37.4
2010-03-03,37.19
2010-03-04,37.1187
2010-03-05,37.53
2010-03-08,37.33
2010-03-09,37.02
2010-03-10,36.69
2010-03-11,36.9
2010-03-12,37.16
2010-03-15,37.79
2010-03-16,37.94
2010-03-17,38.08
2010-03-18,38.44
2010-03-19,38.0121
2010-03-22,38.31
2010-03-23,38.5
2010-03-24,38.03
2010-03-25,37.79
2010-03-26,37.41
2010-03-29,37.89
2010-03-30,37.67
2010-03-31,37.33
2010-04-01,37.7
2010-04-05,37.41
2010-04-06,37.24
2010-04-07,36.8
2010-04-08,36.78
2010-04-09,36.97
2010-04-12,36.84
2010-04-13,36.68
2010-04-14,36.21
2010-04-15,36.03
2010-04-16,35.73
2010-04-19,35.91
2010-04-20,36.07
2010-04-21,34.74
2010-04-22,33.79
2010-04-23,35.47
2010-04-26,34.97
2010-04-27,34.47
2010-04-28,34.56
2010-04-29,35.25
2010-04-30,35.04
2010-05-03,35.27
2010-05-04,35.83
2010-05-05,35.58
2010-05-06,34.21
2010-05-07,33.46
2010-05-10,34.25
2010-05-11,33.51
2010-05-12,33.62
2010-05-13,33.29
2010-05-14,32.92
2010-05-17,32.77
2010-05-18,32.37
2010-05-19,32.63
2010-05-20,31.82
2010-05-21,32.06
2010-05-24,31.84
2010-05-25,32.07
2010-05-26,32.42
2010-05-27,33.63
2010-05-28,33.7
2010-06-01,33.5
2010-06-02,34.37
2010-06-03,34.31
2010-06-04,33.08
2010-06-07,33.33
2010-06-08,33.79
2010-06-09,33.73
2010-06-10,34.65
2010-06-11,34.86
2010-06-14,34.99
2010-06-15,36.0
2010-06-16,35.99
2010-06-17,35.87
2010-06-18,35.64
2010-06-21,35.12
2010-06-22,35.14
2010-06-23,35.43
2010-06-24,35.61
2010-06-25,36.07
2010-06-28,35.95
2010-06-29,35.44
2010-06-30,34.94
2010-07-01,34.45
2010-07-02,34.2
2010-07-06,34.65
2010-07-07,35.4
2010-07-08,35.85
2010-07-09,36.29
2010-07-12,36.09
2010-07-13,36.44
2010-07-14,36.2
2010-07-15,36.47
2010-07-16,35.9
2010-07-19,35.84
2010-07-20,35.64
2010-07-21,35.19
2010-07-22,35.17
2010-07-23,34.87
2010-07-26,35.25
2010-07-27,35.16
2010-07-28,34.71
2010-07-29,35.04
2010-07-30,34.43
2010-08-02,35.0699
2010-08-03,34.81
2010-08-04,35.19
2010-08-05,35.08
2010-08-06,34.97
2010-08-09,35.37
2010-08-10,35.8
2010-08-11,34.9101
2010-08-12,35.04
2010-08-13,35.02
2010-08-16,34.98
2010-08-17,35.53
2010-08-18,35.4
2010-08-19,34.71
2010-08-20,34.42
2010-08-23,34.97
2010-08-24,34.43
2010-08-25,34.55
2010-08-26,34.49
2010-08-27,35.01
2010-08-30,34.73
2010-08-31,35.1
2010-09-01,35.61
2010-09-02,35.32
2010-09-03,35.58
2010-09-07,35.48
2010-09-08,35.81
2010-09-09,36.06
2010-09-10,36.65
2010-09-13,36.21
2010-09-14,36.51
2010-09-15,36.52
2010-09-16,36.45
2010-09-17,36.3
2010-09-20,36.56
2010-09-21,36.71
2010-09-22,36.98
2010-09-23,36.7
2010-09-24,37.32
2010-09-27,37.16
2010-09-28,37.24
2010-09-29,37.11
2010-09-30,36.79
2010-10-01,36.58
2010-10-04,36.5399
2010-10-05,36.99
2010-10-06,37.0
2010-10-07,36.72
2010-10-08,36.9
2010-10-11,36.85
2010-10-12,36.63
2010-10-13,37.17
2010-10-14,37.15
2010-10-15,36.94
2010-10-18,37.23
2010-10-19,36.54
2010-10-20,36.9701
2010-10-21,37.1
2010-10-22,37.1
2010-10-25,37.43
2010-10-26,37.08
2010-10-27,36.45
2010-10-28,36.96
2010-10-29,36.3
2010-11-01,36.24
2010-11-02,36.59
2010-11-03,36.5
2010-11-04,36.63
2010-11-05,35.69
2010-11-08,35.62
2010-11-09,35.04
2010-11-10,34.9537
2010-11-11,35.21
2010-11-12,34.71
2010-11-15,34.55
2010-11-16,34.11
2010-11-17,34.48
2010-11-18,35.29
2010-11-19,35.35
2010-11-22,35.61
2010-11-23,34.78
2010-11-24,35.17
2010-11-26,34.79
2010-11-29,34.68
2010-11-30,34.45
2010-12-01,35.07
2010-12-02,35.25
2010-12-03,35.28
2010-12-06,35.25
2010-12-07,35.37
2010-12-08,35.39
2010-12-09,35.66
2010-12-10,35.97
2010-12-13,36.1
2010-12-14,36.56
2010-12-15,36.68
2010-12-16,36.85
2010-12-17,36.46
2010-12-20,36.49
2010-12-21,36.18
2010-12-22,36.23
2010-12-23,36.3
2010-12-27,36.24
2010-12-28,36.21
