dt,close
2010-01-04,29.03
2010-01-05,29.54
2010-01-06,29.42
2010-01-07,29.09
2010-01-08,28.87
2010-01-11,28.64
2010-01-12,28.81
2010-01-13,29.08
2010-01-14,28.62
2010-01-15,28.23
2010-01-19,28.94
2010-01-20,28.14
2010-01-21,26.43
2010-01-22,26.14
2010-01-25,26.33
2010-01-26,26.58
2010-01-27,25.09
2010-01-28,24.5
2010-01-29,24.06
2010-02-01,25.03
2010-02-02,24.99
2010-02-03,24.3699
2010-02-04,23.33
2010-02-05,23.05
2010-02-08,22.73
2010-02-09,23.19
2010-02-10,22.76
2010-02-11,23.04
2010-02-12,23.1
2010-02-16,23.72
2010-02-17,23.4
2010-02-18,23.75
2010-02-19,23.57
2010-02-22,23.85
2010-02-23,23.48
2010-02-24,23.57
2010-02-25,23.64
2010-02-26,22.94
2010-03-01,23.88
2010-03-02,24.03
2010-03-03,24.37
2010-03-04,24.09
2010-03-05,24.55
2010-03-08,24.95
2010-03-09,24.97
2010-03-10,25.15
2010-03-11,25.37
2010-03-12,25.39
2010-03-15,25.13
2010-03-16,25.56
2010-03-17,25.9
2010-03-18,25.71
2010-03-19,24.92
2010-03-22,25.3
2010-03-23,25.71
2010-03-24,25.44
2010-03-25,25.08
2010-03-26,25.35
2010-03-29,25.98
2010-03-30,25.97
2010-03-31,25.56
2010-04-01,26.12
2010-04-05,26.38
2010-04-06,26.29
2010-04-07,26.36
2010-04-08,26.31
2010-04-09,26.52
2010-04-12,26.32
2010-04-13,26.37
2010-04-14,26.92
2010-04-15,27.17
2010-04-16,26.6
2010-04-19,26.79
2010-04-20,27.2
2010-04-21,27.8
2010-04-22,27.98
2010-04-23,28.4
2010-04-26,28.25
2010-04-27,27.25
2010-04-28,27.1
2010-04-29,27.75
2010-04-30,27.17
2010-05-03,27.43
2010-05-04,26.07
2010-05-05,25.94
2010-05-06,24.8
2010-05-07,24.71
2010-05-10,25.52
2010-05-11,25.24
2010-05-12,25.95
2010-05-13,25.57
2010-05-14,25.02
2010-05-17,25.03
2010-05-18,24.49
2010-05-19,24.18
2010-05-20,23.3
2010-05-21,23.87
2010-05-24,23.07
2010-05-25,23.38
2010-05-26,23.07
2010-05-27,24.33
2010-05-28,23.88
2010-06-01,23.04
2010-06-02,23.81
2010-06-03,23.81
2010-06-04,22.75
2010-06-07,22.18
2010-06-08,22.46
2010-06-09,22.36
2010-06-10,23.25
2010-06-11,23.78
2010-06-14,23.89
2010-06-15,24.29
2010-06-16,24.21
2010-06-17,24.14
2010-06-18,24.36
2010-06-21,24.21
2010-06-22,23.47
2010-06-23,23.76
2010-06-24,23.08
2010-06-25,23.18
2010-06-28,23.19
2010-06-29,22.56
2010-06-30,22.2
2010-07-01,22.34
2010-07-02,22.18
2010-07-06,22.17
2010-07-07,22.65
2010-07-08,23.32
2010-07-09,23.67
2010-07-12,23.43
2010-07-13,24.13
2010-07-14,23.92
2010-07-15,23.91
2010-07-16,23.3
2010-07-19,23.14
2010-07-20,23.69
2010-07-21,23.19
2010-07-22,23.88
2010-07-23,24.62
2010-07-26,24.86
2010-07-27,24.82
2010-07-28,24.67
2010-07-29,23.9
2010-07-30,23.97
2010-08-02,24.0
2010-08-03,23.86
2010-08-04,23.91
2010-08-05,23.8
2010-08-06,23.67
2010-08-09,23.52
2010-08-10,23.22
2010-08-11,22.01
2010-08-12,22.03
2010-08-13,21.98
2010-08-16,21.78
2010-08-17,22.05
2010-08-18,22.03
2010-08-19,21.49
2010-08-20,21.8
2010-08-23,21.29
2010-08-24,21.18
2010-08-25,21.51
2010-08-26,21.51
2010-08-27,21.82
2010-08-30,21.57
2010-08-31,21.78
2010-09-01,22.65
2010-09-02,23.14
2010-09-03,23.32
2010-09-07,23.05
2010-09-08,23.35
2010-09-09,23.45
2010-09-10,23.65
2010-09-13,23.93
2010-09-14,23.84
2010-09-15,23.79
2010-09-16,23.99
2010-09-17,24.19
2010-09-20,24.18
2010-09-21,24.29
2010-09-22,24.04
2010-09-23,23.59
2010-09-24,24.68
2010-09-27,24.5
2010-09-28,24.65
2010-09-29,24.41
2010-09-30,24.41
2010-10-01,24.6
2010-10-04,23.8499
2010-10-05,24.54
2010-10-06,24.81
2010-10-07,24.54
2010-10-08,24.81
2010-10-11,24.72
2010-10-12,24.83
2010-10-13,25.21
2010-10-14,24.88
2010-10-15,25.28
2010-10-18,25.6
2010-10-19,24.87
2010-10-20,25.3
2010-10-21,25.1567
2010-10-22,25.15
2010-10-25,25.55
2010-10-26,25.27
2010-10-27,25.76
2010-10-28,25.63
2010-10-29,25.74
2010-11-01,25.59
2010-11-02,25.8
2010-11-03,25.83
2010-11-04,26.83
2010-11-05,26.45
2010-11-08,26.74
2010-11-09,26.08
2010-11-10,26.4
2010-11-11,26.36
2010-11-12,25.77
2010-11-15,25.78
2010-11-16,25.2
2010-11-17,25.4
2010-11-18,25.47
2010-11-19,25.37
2010-11-22,25.93
2010-11-23,25.06
2010-11-24,25.62
2010-11-26,25.44
2010-11-29,25.2
2010-11-30,24.85
2010-12-01,25.58
2010-12-02,26.61
2010-12-03,26.87
2010-12-06,26.53
2010-12-07,25.84
2010-12-08,25.59
2010-12-09,25.82
2010-12-10,25.76
2010-12-13,25.89
2010-12-14,25.91
2010-12-15,24.96
2010-12-16,25.07
2010-12-17,25.17
2010-12-20,25.33
2010-12-21,25.78
2010-12-22,25.91
2010-12-23,26.04
2010-12-27,26.22
2010-12-28,26.26
2010-12-29,26.36
2010-12-30,26.33
2010-12-31,26.17
2011-01-03,26.95
2011-01-04,26.76
2011-01-05,27.01
2011-01-06,27.21
2011-01-07,27.23
2011-01-10,27.08
2011-01-11,27.17
2011-01-12,27.18
2011-01-13,27.18
2011-01-14,27.19
2011-01-18,26.98
2011-01-19,26.83
2011-01-20,26.49
2011-01-21,27.44
2011-01-24,28.5
2011-01-25,28.05
2011-01-26,28.83
2011-01-27,29.5
2011-01-28,28.49
2011-01-31,28.63
2011-02-01,29.32
2011-02-02,28.69
2011-02-03,28.89
2011-02-04,28.85
2011-02-07,29.02
2011-02-08,29.23
2011-02-09,29.3
2011-02-10,29.26
2011-02-11,30.0
2011-02-14,30.0
2011-02-15,30.24
2011-02-16,30.41
2011-02-17,30.75
2011-02-18,30.35
2011-02-22,29.55
2011-02-23,29.01
2011-02-24,29.24
2011-02-25,29.69
2011-02-28,29.34
2011-03-01,28.72
2011-03-02,28.97
2011-03-03,29.96
2011-03-04,29.17
2011-03-07,28.6
2011-03-08,28.82
2011-03-09,28.57
2011-03-10,28.0
2011-03-11,28.33
2011-03-14,28.17
2011-03-15,27.85
2011-03-16,27.44
2011-03-17,27.84
2011-03-18,28.7904
2011-03-21,29.29
2011-03-22,28.97
2011-03-23,28.97
2011-03-24,29.18
2011-03-25,29.76
2011-03-28,30.1
2011-03-29,29.74
2011-03-30,29.8
2011-03-31,30.34
2011-04-01,31.45
2011-04-04,31.2
2011-04-05,31.71
2011-04-06,32.03
2011-04-07,31.73
2011-04-08,31.71
2011-04-11,31.21
2011-04-12,31.1
2011-04-13,31.0
2011-04-14,31.19
2011-04-15,31.75
2011-04-18,31.29
2011-04-19,31.95
2011-04-20,32.25
2011-04-21,32.34
2011-04-25,32.2
2011-04-26,32.98
2011-04-27,33.58
2011-04-28,33.79
2011-04-29,33.69
2011-05-02,33.94
2011-05-03,33.67
2011-05-04,33.3
2011-05-05,33.25
2011-05-06,33.69
2011-05-09,33.9
2011-05-10,34.37
2011-05-11,33.81
2011-05-12,34.0
2011-05-13,33.36
2011-05-16,33.39
2011-05-17,33.13
2011-05-18,33.48
2011-05-19,33.6
2011-05-20,33.2
2011-05-23,32.6
2011-05-24,32.64
2011-05-25,32.94
2011-05-26,33.16
2011-05-27,33.53
2011-05-31,34.01
2011-06-01,32.83
2011-06-02,33.14
2011-06-03,32.24
2011-06-06,31.57
2011-06-07,32.67
2011-06-08,32.12
2011-06-09,32.69
2011-06-10,31.98
2011-06-13,32.02
2011-06-14,32.51
2011-06-15,31.55
2011-06-16,30.955
2011-06-17,31.03
2011-06-20,31.31
2011-06-21,32.24
2011-06-22,31.94
2011-06-23,32.0
2011-06-24,31.87
2011-06-27,32.23
2011-06-28,32.67
2011-06-29,32.7
2011-06-30,33.27
2011-07-01,33.91
2011-07-05,33.76
2011-07-06,33.68
2011-07-07,34.04
2011-07-08,33.88
2011-07-11,33.29
2011-07-12,32.93
2011-07-13,33.14
2011-07-14,33.0
2011-07-15,33.15
2011-07-18,33.1
2011-07-19,33.23
2011-07-20,32.98
2011-07-21,33.52
2011-07-22,33.35
2011-07-25,33.22
2011-07-26,33.05
2011-07-27,32.03
2011-07-28,31.48
2011-07-29,31.15
2011-08-01,30.73
2011-08-02,29.47
2011-08-03,29.53
2011-08-04,27.71
2011-08-05,27.94
2011-08-08,25.58
2011-08-09,26.52
2011-08-10,25.71
2011-08-11,26.72
2011-08-12,26.96
2011-08-15,27.85
2011-08-16,27.61
2011-08-17,27.48
2011-08-18,25.77
2011-08-19,25.23
2011-08-22,24.93
2011-08-23,25.79
2011-08-24,26.31
2011-08-25,25.7
2011-08-26,26.24
2011-08-29,27.26
2011-08-30,27.32
2011-08-31,27.53
2011-09-01,26.86
2011-09-02,26.16
2011-09-06,26.17
2011-09-07,27.26
2011-09-08,26.68
2011-09-09,25.97
2011-09-12,25.82
2011-09-13,26.61
2011-09-14,27.28
2011-09-15,27.71
2011-09-16,27.98
2011-09-19,27.4
2011-09-20,27.11
2011-09-21,25.95
2011-09-22,25.09
2011-09-23,25.16
2011-09-26,25.67
2011-09-27,26.35
2011-09-28,25.33
2011-09-29,25.75
2011-09-30,24.57
2011-10-03,23.64
2011-10-04,24.16
2011-10-05,24.8
2011-10-06,25.38
2011-10-07,25.1
2011-10-10,26.37
2011-10-11,26.35
2011-10-12,26.76
2011-10-13,26.54
2011-10-14,27.17
2011-10-17,26.39
2011-10-18,27.43
2011-10-19,26.6701
2011-10-20,26.96
2011-10-21,27.44
2011-10-24,28.3875
2011-10-25,27.81
2011-10-26,28.17
2011-10-27,29.27
2011-10-28,28.91
2011-10-31,27.92
2011-11-01,27.15
2011-11-02,27.52
2011-11-03,28.72
2011-11-04,28.79
2011-11-07,28.62
2011-11-08,29.14
2011-11-09,27.82
2011-11-10,28.17
2011-11-11,28.83
2011-11-14,28.34
2011-11-15,28.26
2011-11-16,27.89
2011-11-17,29.53
2011-11-18,29.11
2011-11-21,28.48
2011-11-22,28.25
2011-11-23,27.06
2011-11-25,27.22
2011-11-28,27.965
2011-11-29,28.26
2011-11-30,29.8401
2011-12-01,29.69
2011-12-02,29.85
2011-12-05,29.8601
2011-12-06,29.55
2011-12-07,29.44
2011-12-08,28.48
2011-12-09,29.43
2011-12-12,28.73
2011-12-13,28.19
2011-12-14,27.84
2011-12-15,28.72
2011-12-16,28.8
2011-12-19,28.15
2011-12-20,29.22
2011-12-21,29.43
2011-12-22,29.741
2011-12-23,29.95
2011-12-27,30.02
2011-12-28,29.69
2011-12-29,30.01
2011-12-30,29.95
2012-01-03,30.39
2012-01-04,30.12
2012-01-05,29.83
2012-01-06,29.45
2012-01-09,29.64
2012-01-10,29.94
2012-01-11,30.22
2012-01-12,30.6
2012-01-13,30.95
2012-01-17,31.72
2012-01-18,31.22
2012-01-19,31.92
2012-01-20,31.6
2012-01-23,31.18
2012-01-24,31.35
2012-01-25,30.72
2012-01-26,30.47
2012-01-27,30.19
2012-01-30,29.76
2012-01-31,29.45
2012-02-01,29.87
2012-02-02,29.88
2012-02-03,30.68
2012-02-06,30.01
2012-02-07,29.81
2012-02-08,29.86
2012-02-09,30.2
2012-02-10,29.7901
2012-02-13,30.01
2012-02-14,30.01
2012-02-15,30.12
2012-02-16,30.6
2012-02-17,30.71
2012-02-21,30.52
2012-02-22,30.39
2012-02-23,30.52
2012-02-24,30.52
2012-02-27,30.63
2012-02-28,30.39
2012-02-29,30.29
2012-03-01,30.6
2012-03-02,30.87
2012-03-05,30.75
2012-03-06,30.53
2012-03-07,30.65
2012-03-08,30.85
2012-03-09,30.89
2012-03-12,30.71
2012-03-13,31.55
2012-03-14,31.24
2012-03-15,31.34
2012-03-16,31.23
2012-03-19,30.94
2012-03-20,30.87
2012-03-21,30.88
2012-03-22,30.52
2012-03-23,30.79
2012-03-26,31.31
2012-03-27,31.58
2012-03-28,31.5
2012-03-29,31.47
2012-03-30,31.57
2012-04-02,31.61
2012-04-03,31.39
2012-04-04,31.31
2012-04-05,31.34
2012-04-09,30.98
2012-04-10,30.13
2012-04-11,30.445
2012-04-12,31.21
2012-04-13,31.02
2012-04-16,31.16
2012-04-17,31.27
2012-04-18,31.05
2012-04-19,31.42
2012-04-20,31.98
2012-04-23,31.5
2012-04-24,31.57
2012-04-25,32.3
2012-04-26,31.76
2012-04-27,31.81
