dt,close
2010-01-04,20.22
2010-01-05,20.31
2010-01-06,20.29
2010-01-07,20.02
2010-01-08,20.22
2010-01-11,20.28
2010-01-12,19.93
2010-01-13,20.09
2010-01-14,20.25
2010-01-15,20.17
2010-01-19,20.13
2010-01-20,19.93
2010-01-21,18.98
2010-01-22,18.34
2010-01-25,18.35
2010-01-26,18.11
2010-01-27,18.35
2010-01-28,18.22
2010-01-29,18.0
2010-02-01,18.43
2010-02-02,18.59
2010-02-03,19.06
2010-02-04,18.33
2010-02-05,18.81
2010-02-08,18.05
2010-02-09,18.2
2010-02-10,18.1
2010-02-11,18.15
2010-02-12,18.29
2010-02-16,18.54
2010-02-17,18.57
2010-02-18,18.62
2010-02-19,18.63
2010-02-22,18.53
2010-02-23,18.44
2010-02-24,18.61
2010-02-25,18.66
2010-02-26,18.63
2010-03-01,18.8
2010-03-02,19.25
2010-03-03,19.44
2010-03-04,19.75
2010-03-05,20.02
2010-03-08,20.06
2010-03-09,20.14
2010-03-10,20.22
2010-03-11,20.25
2010-03-12,20.29
2010-03-15,20.28
2010-03-16,20.26
2010-03-17,20.51
2010-03-18,20.69
2010-03-19,21.04
2010-03-22,20.8
2010-03-23,20.94
2010-03-24,20.99
2010-03-25,20.96
2010-03-26,21.05
2010-03-29,21.17
2010-03-30,21.06
2010-03-31,21.12
2010-04-01,21.15
2010-04-05,21.64
2010-04-06,21.69
2010-04-07,21.43
2010-04-08,21.71
2010-04-09,21.9
2010-04-12,22.04
2010-04-13,22.0
2010-04-14,22.3
2010-04-15,22.19
2010-04-16,21.41
2010-04-19,21.58
2010-04-20,21.71
2010-04-21,21.85
2010-04-22,22.22
2010-04-23,22.71
2010-04-26,22.95
2010-04-27,21.76
2010-04-28,21.2
2010-04-29,21.84
2010-04-30,21.0
2010-05-03,21.12
2010-05-04,20.41
2010-05-05,20.83
2010-05-06,20.15
2010-05-07,19.12
2010-05-10,19.68
2010-05-11,19.61
2010-05-12,20.04
2010-05-13,19.83
2010-05-14,19.64
2010-05-17,19.67
2010-05-18,19.06
2010-05-19,19.13
2010-05-20,18.12
2010-05-21,18.76
2010-05-24,18.37
2010-05-25,18.31
2010-05-26,18.27
2010-05-27,18.93
2010-05-28,18.58
2010-06-01,18.38
2010-06-02,18.73
2010-06-03,18.78
2010-06-04,18.46
2010-06-07,18.21
2010-06-08,18.26
2010-06-09,18.3
2010-06-10,19.0
2010-06-11,19.15
2010-06-14,19.1
