dt,close
2010-01-04,25.72
2010-01-05,25.57
2010-01-06,25.92
2010-01-07,26.14
2010-01-08,26.21
2010-01-11,26.46
2010-01-12,26.17
2010-01-13,26.52
2010-01-14,26.39
2010-01-15,25.91
2010-01-19,25.99
2010-01-20,25.61
2010-01-21,24.62
2010-01-22,23.63
2010-01-25,24.0
2010-01-26,23.66
2010-01-27,24.02
2010-01-28,23.48
2010-01-29,23.38
2010-02-01,23.47
2010-02-02,24.04
2010-02-03,23.85
2010-02-04,22.94
2010-02-05,23.03
2010-02-08,22.53
2010-02-09,23.68
2010-02-10,24.36
2010-02-11,24.8
2010-02-12,25.34
2010-02-16,25.65
2010-02-17,25.49
2010-02-18,25.39
2010-02-19,25.479
2010-02-22,25.67
2010-02-23,25.61
2010-02-24,26.01
2010-02-25,26.09
2010-02-26,26.38
2010-03-01,27.42
2010-03-02,27.11
2010-03-03,27.31
2010-03-04,28.21
2010-03-05,28.53
2010-03-08,28.56
2010-03-09,28.61
2010-03-10,28.38
2010-03-11,28.52
2010-03-12,28.82
2010-03-15,28.91
2010-03-16,28.83
2010-03-17,29.58
2010-03-18,29.42
2010-03-19,29.32
2010-03-22,29.29
2010-03-23,29.34
2010-03-24,29.08
2010-03-25,28.95
2010-03-26,29.13
2010-03-29,29.66
2010-03-30,29.58
2010-03-31,29.62
2010-04-01,29.98
2010-04-05,30.78
2010-04-06,31.01
2010-04-07,31.06
2010-04-08,30.64
2010-04-09,30.51
2010-04-12,32.31
2010-04-13,32.13
2010-04-14,32.86
2010-04-15,32.65
2010-04-16,32.21
2010-04-19,31.6
2010-04-20,32.4
2010-04-21,32.61
2010-04-22,33.22
2010-04-23,33.85
2010-04-26,34.38
2010-04-27,32.63
2010-04-28,32.57
2010-04-29,33.11
2010-04-30,32.63
2010-05-03,32.99
2010-05-04,31.41
2010-05-05,30.93
2010-05-06,29.85
2010-05-07,29.26
2010-05-10,30.72
2010-05-11,30.73
2010-05-12,31.61
2010-05-13,31.34
2010-05-14,30.3619
2010-05-17,30.16
2010-05-18,28.75
2010-05-19,28.74
2010-05-20,27.42
2010-05-21,28.37
2010-05-24,27.76
2010-05-25,27.91
2010-05-26,27.49
2010-05-27,28.88
2010-05-28,28.65
2010-06-01,27.67
2010-06-02,28.65
2010-06-03,28.44
2010-06-04,27.43
2010-06-07,27.1211
2010-06-08,27.14
2010-06-09,26.93
2010-06-10,28.16
2010-06-11,28.83
2010-06-14,28.85
2010-06-15,29.6
2010-06-16,29.58
2010-06-17,29.45
2010-06-18,29.82
2010-06-21,29.61
2010-06-22,29.02
2010-06-23,28.87
2010-06-24,28.2
2010-06-25,28.8
2010-06-28,29.03
