dt,close
2010-01-04,16.75
2010-01-05,16.84
2010-01-06,16.84
2010-01-07,16.93
2010-01-08,16.99
2010-01-11,16.83
2010-01-12,16.53
2010-01-13,16.71
2010-01-14,16.87
2010-01-15,16.63
2010-01-19,16.65
2010-01-20,16.63
2010-01-21,16.58
2010-01-22,16.15
2010-01-25,16.27
2010-01-26,15.91
2010-01-27,15.97
2010-01-28,15.66
2010-01-29,16.18
2010-02-01,15.76
2010-02-02,15.66
2010-02-03,15.5
2010-02-04,15.18
2010-02-05,15.35
2010-02-08,15.25
2010-02-09,15.51
2010-02-10,15.5
2010-02-11,15.56
2010-02-12,15.59
2010-02-16,15.83
2010-02-17,15.83
2010-02-18,15.55
2010-02-19,15.8
2010-02-22,15.67
2010-02-23,15.49
2010-02-24,15.73
2010-02-25,15.65
2010-02-26,15.76
2010-03-01,15.7
2010-03-02,15.62
2010-03-03,15.45
2010-03-04,15.35
2010-03-05,15.6
2010-03-08,15.64
2010-03-09,15.57
2010-03-10,15.58
2010-03-11,15.73
2010-03-12,15.58
2010-03-15,15.54
2010-03-16,15.56
2010-03-17,15.61
2010-03-18,15.55
2010-03-19,15.79
2010-03-22,15.77
2010-03-23,15.7
2010-03-24,15.54
2010-03-25,15.65
2010-03-26,15.69
2010-03-29,15.75
2010-03-30,15.68
2010-03-31,15.64
2010-04-01,15.7
2010-04-05,15.6
2010-04-06,15.79
2010-04-07,16.165
2010-04-08,16.48
2010-04-09,16.53
2010-04-12,16.61
2010-04-13,16.64
2010-04-14,16.54
2010-04-15,16.65
2010-04-16,16.4
2010-04-19,16.0
2010-04-20,16.29
2010-04-21,16.15
2010-04-22,16.02
2010-04-23,15.9
2010-04-26,16.05
2010-04-27,15.64
2010-04-28,15.6
2010-04-29,15.55
2010-04-30,15.54
2010-05-03,15.47
2010-05-04,15.19
2010-05-05,15.0
2010-05-06,14.6
2010-05-07,14.4
2010-05-10,14.99
2010-05-11,14.71
2010-05-12,14.83
2010-05-13,14.68
2010-05-14,14.56
2010-05-17,14.82
2010-05-18,14.65
2010-05-19,14.65
2010-05-20,14.27
2010-05-21,14.39
2010-05-24,14.21
2010-05-25,14.16
2010-05-26,14.03
2010-05-27,14.14
2010-05-28,13.97
2010-06-01,13.86
2010-06-02,13.97
2010-06-03,13.92
2010-06-04,13.97
2010-06-07,13.98
2010-06-08,14.16
2010-06-09,14.03
2010-06-10,14.23
2010-06-11,14.18
2010-06-14,14.07
2010-06-15,14.2
2010-06-16,14.57
2010-06-17,14.57
2010-06-18,14.53
2010-06-21,14.65
2010-06-22,14.2
2010-06-23,14.1
2010-06-24,13.87
2010-06-25,14.0
2010-06-28,13.78
2010-06-29,13.53
2010-06-30,13.51
2010-07-01,13.51
2010-07-02,13.36
2010-07-06,13.42
2010-07-07,13.83
2010-07-08,13.71
2010-07-09,13.88
2010-07-12,14.13
2010-07-13,14.13
2010-07-14,14.08
2010-07-15,14.15
2010-07-16,13.62
2010-07-19,13.77
2010-07-20,14.09
2010-07-21,13.62
2010-07-22,13.93
2010-07-23,14.05
2010-07-26,14.18
2010-07-27,14.19
2010-07-28,13.95
2010-07-29,13.83
2010-07-30,13.83
2010-08-02,13.89
2010-08-03,13.75
2010-08-04,13.66
2010-08-05,13.68
2010-08-06,13.57
2010-08-09,13.68
2010-08-10,13.76
