dt,close
2010-01-04,25.4
2010-01-05,25.69
2010-01-06,25.5
2010-01-07,25.69
2010-01-08,25.6
2010-01-11,25.67
2010-01-12,25.15
2010-01-13,25.76
2010-01-14,25.71
2010-01-15,25.57
2010-01-19,26.1
2010-01-20,25.41
2010-01-21,24.26
2010-01-22,23.67
2010-01-25,23.69
2010-01-26,24.26
2010-01-27,24.64
2010-01-28,24.01
2010-01-29,23.99
2010-02-01,24.55
2010-02-02,24.6
2010-02-03,23.84
2010-02-04,22.8
2010-02-05,23.15
2010-02-08,22.52
2010-02-09,22.48
2010-02-10,22.43
2010-02-11,22.12
2010-02-12,22.59
2010-02-16,23.34
2010-02-17,23.44
2010-02-18,23.89
2010-02-19,23.73
2010-02-22,23.93
2010-02-23,23.67
2010-02-24,23.92
2010-02-25,24.27
2010-02-26,24.26
2010-03-01,24.43
2010-03-02,24.62
2010-03-03,24.44
2010-03-04,24.52
2010-03-05,25.4
2010-03-08,25.79
2010-03-09,25.99
2010-03-10,26.59
2010-03-11,26.92
2010-03-12,27.27
2010-03-15,27.35
2010-03-16,27.98
2010-03-17,28.57
2010-03-18,28.61
2010-03-19,28.0
2010-03-22,28.1
2010-03-23,28.5
2010-03-24,28.79
2010-03-25,28.9
2010-03-26,28.87
2010-03-29,28.53
2010-03-30,27.78
2010-03-31,27.23
2010-04-01,27.2
2010-04-05,27.75
2010-04-06,28.61
2010-04-07,27.54
2010-04-08,27.51
2010-04-09,27.91
2010-04-12,27.79
2010-04-13,28.29
2010-04-14,28.36
2010-04-15,27.42
2010-04-16,26.87
2010-04-19,27.13
2010-04-20,27.73
2010-04-21,27.71
2010-04-22,27.86
2010-04-23,28.29
2010-04-26,28.34
2010-04-27,27.55
2010-04-28,27.84
2010-04-29,28.86
2010-04-30,27.88
2010-05-03,28.86
2010-05-04,28.02
2010-05-05,27.99
2010-05-06,26.62
2010-05-07,25.47
2010-05-10,27.63
2010-05-11,27.6
2010-05-12,28.89
2010-05-13,28.3
2010-05-14,26.61
2010-05-17,26.58
2010-05-18,26.21
2010-05-19,26.21
2010-05-20,24.86
2010-05-21,25.55
2010-05-24,24.55
2010-05-25,24.49
2010-05-26,24.65
