dt,close
2015-01-02,70.06
2015-01-05,67.62
2015-01-06,64.66
2015-01-07,66.65
2015-01-08,67.69
2015-01-09,67.09
2015-01-12,65.49
2015-01-13,65.07
2015-01-14,64.54
2015-01-15,64.36
2015-01-16,65.8
2015-01-20,68.06
2015-01-21,68.86
2015-01-22,70.61
2015-01-23,73.39
2015-01-26,73.14
2015-01-27,73.76
2015-01-28,75.68
2015-01-29,75.84
2015-01-30,73.88
2015-02-02,68.71
2015-02-03,68.52
2015-02-04,68.33
2015-02-05,67.39
2015-02-06,65.85
2015-02-09,63.73
2015-02-10,65.03
2015-02-11,64.76
2015-02-12,66.18
2015-02-13,70.04
2015-02-17,69.43
2015-02-18,67.54
2015-02-19,65.29
2015-02-20,65.17
2015-02-23,65.03
2015-02-24,69.35
2015-02-25,67.21
2015-02-26,71.54
2015-02-27,69.39
2015-03-02,69.35
2015-03-03,70.84
2015-03-04,72.02
2015-03-05,74.5
2015-03-06,72.99
2015-03-09,74.83
2015-03-10,72.13
2015-03-11,72.95
2015-03-12,73.42
2015-03-13,72.54
2015-03-16,76.301
2015-03-17,77.71
2015-03-18,79.97
2015-03-19,80.39
2015-03-20,80.78
2015-03-23,84.03
2015-03-24,83.2
2015-03-25,77.13
2015-03-26,77.18
2015-03-27,79.27
2015-03-30,81.4
2015-03-31,79.7
2015-04-01,78.79
2015-04-02,77.82
2015-04-06,76.52
2015-04-07,73.23
2015-04-08,72.85
2015-04-09,74.62
2015-04-10,73.58
2015-04-13,72.63
2015-04-14,70.51
2015-04-15,70.91
2015-04-16,71.43
2015-04-17,70.07
2015-04-20,71.97
2015-04-21,74.07
2015-04-22,74.5
2015-04-23,73.27
2015-04-24,70.13
2015-04-27,69.35
2015-04-28,67.84
2015-04-29,68.65
2015-04-30,65.91
2015-05-01,69.61
2015-05-04,68.97
2015-05-05,67.07
2015-05-06,69.06
2015-05-07,75.56
2015-05-08,76.56
2015-05-11,74.56
2015-05-12,74.75
2015-05-13,74.95
2015-05-14,76.97
2015-05-15,76.54
2015-05-18,80.3
2015-05-19,80.1
2015-05-20,81.16
2015-05-21,81.27
2015-05-22,84.03
2015-05-26,82.46
2015-05-27,86.4015
2015-05-28,82.3
2015-05-29,82.1
2015-06-01,80.95
2015-06-02,80.86
2015-06-03,81.55
2015-06-04,81.3249
2015-06-05,83.66
2015-06-08,80.25
2015-06-09,80.08
2015-06-10,82.63
2015-06-11,82.01
2015-06-12,83.56
2015-06-15,82.19
2015-06-16,84.76
2015-06-17,84.56
2015-06-18,84.64
2015-06-19,85.2
2015-06-22,87.81
2015-06-23,85.31
2015-06-24,84.6
2015-06-25,84.97
2015-06-26,80.43
2015-06-29,79.09
2015-06-30,80.27
2015-07-01,80.35
2015-07-02,81.36
2015-07-06,79.98
2015-07-07,79.95
2015-07-08,74.68
2015-07-09,74.64
2015-07-10,76.15
2015-07-13,76.57
2015-07-14,77.94
2015-07-15,77.88
2015-07-16,80.25
2015-07-17,78.82
2015-07-20,76.7
2015-07-21,77.46
2015-07-22,74.16
2015-07-23,75.25
2015-07-24,72.26
2015-07-27,69.93
2015-07-28,70.75
2015-07-29,70.47
2015-07-30,60.52
2015-07-31,58.0
2015-08-03,57.52
2015-08-04,55.04
2015-08-05,54.83
2015-08-06,51.83
2015-08-07,52.22
2015-08-10,54.51
2015-08-11,53.86
2015-08-12,56.97
2015-08-13,58.32
2015-08-14,58.24
2015-08-17,58.28
2015-08-18,55.95
2015-08-19,55.6
2015-08-20,52.37
2015-08-21,50.01
2015-08-24,48.51
2015-08-25,49.81
2015-08-26,52.75
2015-08-27,54.75
2015-08-28,55.79
2015-08-31,55.51
2015-09-01,53.45
2015-09-02,54.82
2015-09-03,56.58
2015-09-04,55.79
2015-09-08,58.2
2015-09-09,56.55
2015-09-10,53.98
2015-09-11,53.51
2015-09-14,53.49
2015-09-15,52.73
2015-09-16,51.74
2015-09-17,51.39
2015-09-18,50.75
2015-09-21,49.89
2015-09-22,47.37
2015-09-23,48.04
2015-09-24,46.78
2015-09-25,47.68
2015-09-28,43.26
2015-09-29,43.57
2015-09-30,45.05
2015-10-01,43.63
2015-10-02,44.94
2015-10-05,44.77
2015-10-06,44.29
2015-10-07,45.55
2015-10-08,45.26
2015-10-09,45.6401
2015-10-12,46.4301
2015-10-13,44.14
2015-10-14,46.51
2015-10-15,48.32
2015-10-16,47.31
2015-10-19,46.85
2015-10-20,48.2
2015-10-21,48.5
2015-10-22,49.55
2015-10-23,51.504
2015-10-26,46.76
2015-10-27,45.89
2015-10-28,45.15
2015-10-29,43.82
2015-10-30,43.92
2015-11-02,45.26
2015-11-03,45.71
2015-11-04,46.57
2015-11-05,45.09
2015-11-06,55.55
2015-11-09,54.11
2015-11-10,52.29
2015-11-11,52.18
2015-11-12,50.98
2015-11-13,51.01
2015-11-16,51.85
2015-11-17,54.74
2015-11-18,56.34
2015-11-19,55.78
2015-11-20,54.74
2015-11-23,54.85
2015-11-24,55.75
2015-11-25,57.35
2015-11-27,57.51
2015-11-30,58.04
2015-12-01,58.05
2015-12-02,58.48
2015-12-03,58.09
2015-12-04,59.57
2015-12-07,57.63
2015-12-08,57.29
2015-12-09,56.15
