dt,close
2015-02-03,0.109
2015-02-04,0.1105
2015-02-05,0.09699999999999999
2015-02-06,0.131
2015-02-09,0.1451
2015-02-10,0.2
2015-02-11,0.2045
2015-02-12,0.198
2015-02-13,0.188
2015-02-17,0.201
2015-02-18,0.225
2015-02-19,0.228
2015-02-20,0.256
2015-02-23,0.308
2015-02-24,0.324
2015-02-25,0.275
2015-02-26,0.3101
2015-02-27,0.302
2015-03-02,0.3
2015-03-03,0.275
2015-03-04,0.28
2015-03-05,0.2621
2015-03-06,0.22
2015-03-09,0.2067
2015-03-10,0.1888
2015-03-11,0.19
2015-03-12,0.1845
2015-03-13,0.1049
2015-03-16,0.153
2015-03-17,0.165
2015-03-18,0.155
2015-03-19,0.1505
2015-03-20,0.136
2015-03-23,0.115
2015-03-24,0.125
2015-03-25,0.12
2015-03-26,0.142
2015-03-27,0.175
2015-03-30,0.193
2015-03-31,0.168
2015-04-01,0.193
2015-04-02,0.2801
2015-04-06,0.26
2015-04-07,0.1705
2015-04-08,0.22
2015-04-09,0.262
2015-04-10,0.2778
2015-04-13,0.2625
2015-04-14,0.22
2015-04-15,0.195
2015-04-16,0.2
2015-04-17,0.18
2015-04-20,0.1555
2015-04-21,0.16
2015-04-22,0.172
2015-04-23,0.17
2015-04-24,0.171
2015-04-27,0.17800000000000002
2015-04-28,0.166
2015-04-29,0.16399999999999998
2015-04-30,0.161
2015-05-01,0.1451
2015-05-04,0.14400000000000002
2015-05-05,0.135
2015-05-06,0.129
2015-05-07,0.1358
2015-05-08,0.138
2015-05-11,0.1455
2015-05-12,0.155
2015-05-13,0.153
2015-05-14,0.1621
2015-05-15,0.1651
2015-05-18,0.1573
2015-05-19,0.1579
2015-05-20,0.14
2015-05-21,0.14
2015-05-22,0.135
2015-05-26,0.1522
2015-05-27,0.159
2015-05-28,0.165
2015-05-29,0.1642
2015-06-01,0.16
2015-06-02,0.162
2015-06-03,0.168
2015-06-04,0.1561
2015-06-05,0.1595
2015-06-08,0.1542
2015-06-09,0.13699999999999998
2015-06-10,0.124
2015-06-11,0.1181
2015-06-12,0.122
2015-06-15,0.1178
2015-06-16,0.124
2015-06-17,0.1218
2015-06-18,0.12
2015-06-19,0.12
2015-06-22,0.1195
2015-06-23,0.086
2015-06-24,0.0769
2015-06-25,0.064
2015-06-26,0.067
2015-06-29,0.0578
2015-06-30,0.065
2015-07-01,0.0633
2015-07-02,0.0591
2015-07-06,0.066
2015-07-07,0.0843
2015-07-08,0.0841
2015-07-09,0.08900000000000001
2015-07-10,0.105
2015-07-13,0.11800000000000001
2015-07-14,0.1011
2015-07-15,0.102
2015-07-16,0.10400000000000001
2015-07-17,0.0911
2015-07-20,0.0825
2015-07-21,0.0856
2015-07-22,0.1
2015-07-23,0.1
2015-07-24,0.095
2015-07-27,0.09699999999999999
2015-07-28,0.105
2015-07-29,0.0975
2015-07-30,0.098
2015-07-31,0.094
2015-08-03,0.0949
2015-08-04,0.0898
2015-08-05,0.0811
2015-08-06,0.0813
2015-08-07,0.08199999999999999
2015-08-10,0.081
2015-08-11,0.094
2015-08-12,0.0891
2015-08-13,0.091
2015-08-14,0.095
2015-08-17,0.099
2015-08-18,0.0999
2015-08-19,0.1
2015-08-20,0.081
2015-08-21,0.09
2015-08-24,0.0896
2015-08-25,0.085
2015-08-26,0.085
2015-08-27,0.094
2015-08-28,0.09300000000000001
2015-08-31,0.09300000000000001
2015-09-01,0.0861
2015-09-02,0.086
2015-09-03,0.0846
2015-09-04,0.0871
2015-09-08,0.0855
2015-09-09,0.085
2015-09-10,0.071
2015-09-11,0.06
2015-09-14,0.063
2015-09-15,0.0549
2015-09-16,0.054000000000000006
2015-09-17,0.057
2015-09-18,0.06
2015-09-21,0.09
2015-09-22,0.092
2015-09-23,0.09
2015-09-24,0.08
2015-09-25,0.069
2015-09-28,0.083
2015-09-29,0.068
2015-09-30,0.054000000000000006
2015-10-01,0.06
2015-10-02,0.055
2015-10-05,0.047
2015-10-06,0.0445
2015-10-07,0.025
2015-10-08,0.019
