dt,close
2010-01-04,35.17
2010-01-05,36.0
2010-01-06,35.94
2010-01-07,36.45
2010-01-08,36.51
2010-01-11,36.71
2010-01-12,35.35
2010-01-13,36.27
2010-01-14,36.41
2010-01-15,36.65
2010-01-19,36.72
2010-01-20,36.31
2010-01-21,36.13
2010-01-22,34.49
2010-01-25,34.69
2010-01-26,34.25
2010-01-27,34.59
2010-01-28,33.68
2010-01-29,33.11
2010-02-01,34.05
2010-02-02,34.06
2010-02-03,33.16
2010-02-04,31.775
2010-02-05,31.79
2010-02-08,32.18
2010-02-09,32.96
2010-02-10,33.23
2010-02-11,33.81
2010-02-12,33.95
2010-02-16,34.33
2010-02-17,34.34
2010-02-18,34.45
2010-02-19,34.83
2010-02-22,34.22
2010-02-23,34.38
2010-02-24,34.88
2010-02-25,35.45
2010-02-26,35.36
2010-03-01,35.49
2010-03-02,35.42
2010-03-03,35.64
2010-03-04,35.71
2010-03-05,35.71
2010-03-08,35.36
2010-03-09,36.26
2010-03-10,36.67
2010-03-11,36.49
2010-03-12,36.26
2010-03-15,35.62
2010-03-16,36.34
2010-03-17,36.34
2010-03-18,35.9
2010-03-19,35.33
2010-03-22,35.79
2010-03-23,36.22
2010-03-24,35.68
2010-03-25,34.81
2010-03-26,34.84
2010-03-29,35.64
2010-03-30,36.25
2010-03-31,36.08
2010-04-01,36.62
2010-04-05,36.95
2010-04-06,36.61
2010-04-07,35.82
2010-04-08,35.93
2010-04-09,36.24
2010-04-12,36.15
2010-04-13,35.57
2010-04-14,35.39
2010-04-15,35.08
2010-04-16,34.78
2010-04-19,34.24
2010-04-20,35.18
2010-04-21,35.34
2010-04-22,35.79
2010-04-23,35.8
2010-04-26,35.8
2010-04-27,35.21
2010-04-28,34.75
2010-04-29,35.46
2010-04-30,35.37
2010-05-03,35.8
2010-05-04,34.73
2010-05-05,33.68
2010-05-06,32.81
2010-05-07,32.57
2010-05-10,33.77
2010-05-11,33.4
2010-05-12,34.15
2010-05-13,34.28
2010-05-14,33.97
2010-05-17,33.95
2010-05-18,33.59
2010-05-19,32.84
2010-05-20,31.39
2010-05-21,32.06
2010-05-24,31.65
2010-05-25,31.9
2010-05-26,32.32
2010-05-27,33.75
2010-05-28,33.03
2010-06-01,32.1
2010-06-02,33.15
2010-06-03,34.3
2010-06-04,32.76
2010-06-07,32.41
2010-06-08,32.26
2010-06-09,32.2
2010-06-10,33.95
2010-06-11,34.95
2010-06-14,34.6
2010-06-15,35.59
2010-06-16,35.36
2010-06-17,35.06
2010-06-18,35.33
2010-06-21,35.14
2010-06-22,34.65
2010-06-23,35.03
2010-06-24,34.43
2010-06-25,34.85
2010-06-28,35.19
2010-06-29,34.07
2010-06-30,34.01
2010-07-01,33.46
2010-07-02,33.24
2010-07-06,33.48
2010-07-07,35.12
2010-07-08,35.65
2010-07-09,35.38
2010-07-12,34.42
2010-07-13,34.85
2010-07-14,35.06
2010-07-15,34.9
2010-07-16,34.02
2010-07-19,34.3
2010-07-20,35.88
2010-07-21,35.48
2010-07-22,35.81
2010-07-23,36.41
2010-07-26,36.04
2010-07-27,35.51
2010-07-28,35.53
2010-07-29,35.33
2010-07-30,36.17
2010-08-02,37.16
2010-08-03,36.06
2010-08-04,36.68
2010-08-05,36.59
2010-08-06,35.98
2010-08-09,36.29
2010-08-10,36.42
2010-08-11,35.5
2010-08-12,35.81
2010-08-13,35.99
2010-08-16,36.19
2010-08-17,36.92
2010-08-18,36.98
2010-08-19,36.55
2010-08-20,36.73
2010-08-23,36.79
2010-08-24,36.31
2010-08-25,36.73
2010-08-26,36.52
2010-08-27,36.6
2010-08-30,35.69
2010-08-31,35.75
2010-09-01,36.02
2010-09-02,36.24
2010-09-03,36.89
2010-09-07,37.28
2010-09-08,37.75
2010-09-09,37.61
2010-09-10,38.12
2010-09-13,38.62
2010-09-14,38.2
2010-09-15,38.44
2010-09-16,37.89
2010-09-17,38.15
2010-09-20,38.98
2010-09-21,39.34
2010-09-22,38.92
2010-09-23,38.95
2010-09-24,39.81
2010-09-27,39.4
2010-09-28,39.95
2010-09-29,40.28
2010-09-30,40.34
2010-10-01,40.29
2010-10-04,40.19
2010-10-05,40.77
2010-10-06,40.53
2010-10-07,40.81
2010-10-08,40.96
2010-10-11,40.9
2010-10-12,40.72
2010-10-13,40.93
2010-10-14,40.54
2010-10-15,39.87
2010-10-18,39.48
2010-10-19,39.12
2010-10-20,39.5
2010-10-21,38.96
2010-10-22,38.99
2010-10-25,39.24
2010-10-26,39.48
2010-10-27,39.2
2010-10-28,40.03
2010-10-29,39.26
2010-11-01,39.39
2010-11-02,39.44
2010-11-03,39.25
2010-11-04,39.14
2010-11-05,38.43
2010-11-08,38.04
2010-11-09,37.79
2010-11-10,38.2
2010-11-11,38.13
2010-11-12,37.51
2010-11-15,37.0
2010-11-16,36.86
2010-11-17,37.24
2010-11-18,37.93
2010-11-19,38.41
2010-11-22,38.08
2010-11-23,38.0
2010-11-24,38.8
2010-11-26,38.94
2010-11-29,38.79
2010-11-30,39.17
2010-12-01,39.97
2010-12-02,40.16
2010-12-03,39.86
2010-12-06,40.05
2010-12-07,39.93
2010-12-08,39.61
2010-12-09,39.75
2010-12-10,39.8
2010-12-13,39.8
2010-12-14,39.82
2010-12-15,39.32
2010-12-16,39.24
2010-12-17,39.16
2010-12-20,39.68
2010-12-21,40.47
2010-12-22,40.26
2010-12-23,40.15
2010-12-27,40.41
2010-12-28,40.55
2010-12-29,40.65
2010-12-30,40.76
2010-12-31,40.95
2011-01-03,40.9
2011-01-04,41.02
2011-01-05,40.76
2011-01-06,39.79
2011-01-07,39.66
2011-01-10,39.52
2011-01-11,39.61
2011-01-12,40.22
2011-01-13,39.89
2011-01-14,39.25
2011-01-18,39.91
2011-01-19,39.3
2011-01-20,39.79
2011-01-21,39.73
2011-01-24,40.27
2011-01-25,40.65
2011-01-26,40.89
2011-01-27,41.01
2011-01-28,40.93
2011-01-31,40.77
2011-02-01,41.78
2011-02-02,42.13
2011-02-03,42.89
2011-02-04,42.95
2011-02-07,42.7
2011-02-08,43.37
2011-02-09,43.43
2011-02-10,43.78
2011-02-11,44.27
2011-02-14,44.02
2011-02-15,44.03
2011-02-16,44.21
2011-02-17,43.65
2011-02-18,43.46
2011-02-22,42.7
2011-02-23,42.17
2011-02-24,42.43
2011-02-25,42.37
2011-02-28,42.05
2011-03-01,41.72
2011-03-02,41.79
2011-03-03,42.0
2011-03-04,42.16
2011-03-07,41.92
2011-03-08,41.58
2011-03-09,41.5
2011-03-10,40.65
2011-03-11,40.97
2011-03-14,40.67
2011-03-15,40.34
2011-03-16,40.9
2011-03-17,40.82
2011-03-18,40.5913
2011-03-21,37.0211
2011-03-22,36.94
2011-03-23,37.73
2011-03-24,38.04
2011-03-25,38.4
2011-03-28,38.82
2011-03-29,39.26
2011-03-30,39.69
2011-03-31,39.67
2011-04-01,39.98
2011-04-04,39.73
2011-04-05,39.11
2011-04-06,39.01
2011-04-07,39.03
2011-04-08,39.0
2011-04-11,38.73
2011-04-12,38.53
2011-04-13,38.98
2011-04-14,38.8
2011-04-15,39.16
2011-04-18,38.64
2011-04-19,39.01
2011-04-20,39.15
2011-04-21,40.24
2011-04-25,40.18
2011-04-26,39.99
2011-04-27,40.14
2011-04-28,39.82
2011-04-29,38.63
2011-05-02,37.97
2011-05-03,38.01
2011-05-04,37.77
2011-05-05,38.08
2011-05-06,38.36
2011-05-09,38.89
2011-05-10,39.38
2011-05-11,39.1899
2011-05-12,39.15
2011-05-13,38.65
2011-05-16,38.7101
2011-05-17,38.47
2011-05-18,39.01
2011-05-19,38.98
2011-05-20,39.31
2011-05-23,39.31
2011-05-24,39.33
2011-05-25,39.2
2011-05-26,39.35
2011-05-27,39.23
2011-05-31,39.29
2011-06-01,38.69
2011-06-02,38.82
2011-06-03,38.2
2011-06-06,37.34
2011-06-07,37.62
2011-06-08,37.08
2011-06-09,37.13
2011-06-10,36.79
2011-06-13,37.14
2011-06-14,36.89
2011-06-15,36.59
2011-06-16,36.79
2011-06-17,36.67
2011-06-20,37.0
2011-06-21,37.6
2011-06-22,38.22
2011-06-23,38.54
2011-06-24,38.34
2011-06-27,38.5
2011-06-28,38.2
2011-06-29,38.29
2011-06-30,38.19
2011-07-01,39.35
2011-07-05,39.06
2011-07-06,39.5
2011-07-07,39.88
2011-07-08,39.61
2011-07-11,39.2
2011-07-12,39.41
2011-07-13,39.18
2011-07-14,38.08
2011-07-15,38.25
2011-07-18,37.27
2011-07-19,37.47
2011-07-20,37.93
2011-07-21,38.18
2011-07-22,38.29
2011-07-25,37.8
2011-07-26,38.12
2011-07-27,37.44
2011-07-28,38.09
2011-07-29,38.16
2011-08-01,38.4
2011-08-02,37.38
2011-08-03,39.0
2011-08-04,36.3
2011-08-05,35.55
2011-08-08,32.81
2011-08-09,33.97
2011-08-10,32.96
2011-08-11,33.72
2011-08-12,34.72
2011-08-15,35.75
2011-08-16,35.68
2011-08-17,35.98
2011-08-18,34.4
2011-08-19,33.98
2011-08-22,33.92
2011-08-23,35.22
2011-08-24,35.98
2011-08-25,35.11
2011-08-26,35.61
2011-08-29,36.38
2011-08-30,36.29
2011-08-31,37.79
2011-09-01,38.42
2011-09-02,37.39
2011-09-06,37.06
2011-09-07,37.86
2011-09-08,37.41
2011-09-09,36.64
2011-09-12,36.06
2011-09-13,36.59
2011-09-14,37.01
2011-09-15,37.64
2011-09-16,37.32
2011-09-19,38.02
2011-09-20,37.72
2011-09-21,37.39
2011-09-22,36.31
2011-09-23,35.54
2011-09-26,35.68
2011-09-27,36.17
2011-09-28,35.41
2011-09-29,35.23
2011-09-30,34.48
2011-10-03,33.4
2011-10-04,33.47
2011-10-05,34.49
2011-10-06,35.2
2011-10-07,35.01
2011-10-10,35.31
2011-10-11,35.13
2011-10-12,36.13
2011-10-13,36.49
2011-10-14,37.32
2011-10-17,37.25
2011-10-18,37.38
2011-10-19,37.65
2011-10-20,37.84
2011-10-21,38.66
2011-10-24,39.16
2011-10-25,38.4
2011-10-26,38.01
2011-10-27,38.97
2011-10-28,38.63
2011-10-31,38.09
2011-11-01,38.58
2011-11-02,38.95
2011-11-03,40.18
2011-11-04,39.62
2011-11-07,39.47
2011-11-08,39.51
2011-11-09,38.65
2011-11-10,38.4
2011-11-11,39.65
2011-11-14,39.38
2011-11-15,39.37
2011-11-16,39.39
2011-11-17,39.32
2011-11-18,38.89
2011-11-21,38.48
2011-11-22,38.04
2011-11-23,37.4
2011-11-25,37.7021
2011-11-28,38.78
2011-11-29,39.5
2011-11-30,40.89
2011-12-01,40.82
2011-12-02,41.36
2011-12-05,41.24
2011-12-06,41.48
2011-12-07,41.1
2011-12-08,40.46
2011-12-09,40.61
2011-12-12,40.44
2011-12-13,40.21
2011-12-14,39.87
2011-12-15,40.0
2011-12-16,39.96
2011-12-19,39.56
2011-12-20,41.57
2011-12-21,42.28
2011-12-22,42.24
2011-12-23,42.44
2011-12-27,42.95
2011-12-28,42.49
2011-12-29,42.91
2011-12-30,42.94
2012-01-03,43.1
2012-01-04,43.16
2012-01-05,43.13
2012-01-06,43.15
2012-01-09,43.56
2012-01-10,44.25
2012-01-11,44.41
2012-01-12,44.71
2012-01-13,44.55
2012-01-17,44.56
2012-01-18,45.08
2012-01-19,45.39
2012-01-20,44.96
2012-01-23,45.01
2012-01-24,44.73
2012-01-25,45.1
2012-01-26,45.0
2012-01-27,45.82
2012-01-30,45.64
2012-01-31,45.73
2012-02-01,45.59
2012-02-02,45.55
2012-02-03,45.54
2012-02-06,45.44
2012-02-07,45.26
2012-02-08,45.24
2012-02-09,45.48
2012-02-10,45.18
2012-02-13,45.48
2012-02-14,45.37
2012-02-15,45.48
2012-02-16,46.26
2012-02-17,46.29
2012-02-21,47.04
2012-02-22,46.75
2012-02-23,46.96
2012-02-24,46.84
2012-02-27,46.92
2012-02-28,47.6
2012-02-29,46.92
2012-03-01,47.05
2012-03-02,47.09
2012-03-05,47.61
2012-03-06,47.52
2012-03-07,48.06
2012-03-08,49.14
2012-03-09,49.7
2012-03-12,49.62
2012-03-13,50.05
2012-03-14,49.72
2012-03-15,49.65
2012-03-16,49.94
2012-03-19,50.19
2012-03-20,50.14
2012-03-21,50.38
2012-03-22,50.71
2012-03-23,50.42
2012-03-26,50.71
2012-03-27,50.7
2012-03-28,50.45
2012-03-29,50.6
2012-03-30,50.81
2012-04-02,50.88
2012-04-03,50.08
2012-04-04,49.65
2012-04-05,50.47
2012-04-09,50.9
2012-04-10,50.12
2012-04-11,51.56
2012-04-12,51.94
2012-04-13,52.18
2012-04-16,52.26
2012-04-17,52.62
2012-04-18,52.03
2012-04-19,51.86
2012-04-20,51.98
2012-04-23,51.59
2012-04-24,51.48
2012-04-25,52.53
2012-04-26,53.39
