dt,close
2010-01-04,62.2
2010-01-05,61.83
2010-01-06,62.09
2010-01-07,61.89
2010-01-08,62.07
2010-01-11,61.94
2010-01-12,62.58
2010-01-13,62.68
2010-01-14,62.14
2010-01-15,61.88
2010-01-19,62.4
2010-01-20,61.62
2010-01-21,60.59
2010-01-22,60.0
2010-01-25,60.33
2010-01-26,60.7
2010-01-27,61.09
2010-01-28,61.05
2010-01-29,60.01
2010-02-01,61.08
2010-02-02,62.3
2010-02-03,61.9
2010-02-04,60.3
2010-02-05,59.52
2010-02-08,59.34
2010-02-09,60.03
2010-02-10,59.72
2010-02-11,59.69
2010-02-12,59.0
2010-02-16,59.85
2010-02-17,60.36
2010-02-18,60.9
2010-02-19,60.54
2010-02-22,60.35
2010-02-23,60.16
2010-02-24,58.72
2010-02-25,59.32
2010-02-26,59.62
2010-03-01,59.48
2010-03-02,59.86
2010-03-03,59.53
2010-03-04,59.66
2010-03-05,59.65
2010-03-08,59.15
2010-03-09,59.2
2010-03-10,59.15
2010-03-11,58.97
2010-03-12,59.13
2010-03-15,59.37
2010-03-16,59.82
2010-03-17,60.24
2010-03-18,59.98
2010-03-19,59.77
2010-03-22,60.52
2010-03-23,61.02
2010-03-24,61.02
2010-03-25,60.63
2010-03-26,59.84
2010-03-29,60.03
2010-03-30,60.36
2010-03-31,60.28
2010-04-01,60.3
2010-04-05,60.38
2010-04-06,60.69
2010-04-07,60.8
2010-04-08,61.06
2010-04-09,61.88
2010-04-12,62.26
2010-04-13,62.53
2010-04-14,62.36
2010-04-15,62.25
2010-04-16,62.05
2010-04-19,62.41
2010-04-20,63.33
2010-04-21,63.0
2010-04-22,63.0
2010-04-23,63.23
2010-04-26,62.65
2010-04-27,61.33
2010-04-28,61.72
2010-04-29,61.68
2010-04-30,61.11
2010-05-03,61.05
2010-05-04,60.61
2010-05-05,60.67
2010-05-06,58.89
2010-05-07,58.4
2010-05-10,58.86
2010-05-11,58.68
2010-05-12,58.05
2010-05-13,58.22
2010-05-14,57.81
2010-05-17,58.19
2010-05-18,58.17
2010-05-19,57.91
2010-05-20,56.3
2010-05-21,55.93
2010-05-24,55.6
2010-05-25,55.16
2010-05-26,55.36
2010-05-27,56.24
2010-05-28,55.19
2010-06-01,54.73
2010-06-02,55.75
2010-06-03,56.24
2010-06-04,55.32
2010-06-07,55.03
2010-06-08,55.25
2010-06-09,55.36
2010-06-10,56.35
2010-06-11,56.04
2010-06-14,56.85
2010-06-15,57.51
2010-06-16,57.72
2010-06-17,61.57
2010-06-18,62.11
2010-06-21,61.86
2010-06-22,61.84
2010-06-23,61.52
2010-06-24,62.62
2010-06-25,62.01
2010-06-28,61.99
2010-06-29,60.66
2010-06-30,60.18
2010-07-01,59.9
2010-07-02,59.66
2010-07-06,60.86
2010-07-07,62.17
2010-07-08,62.52
2010-07-09,62.4
2010-07-12,62.39
2010-07-13,62.4
2010-07-14,62.49
2010-07-15,62.78
2010-07-16,61.55
2010-07-19,61.62
2010-07-20,61.75
2010-07-21,61.43
2010-07-22,62.48
2010-07-23,62.74
2010-07-26,63.19
2010-07-27,63.68
2010-07-28,62.09
2010-07-29,61.04
2010-07-30,61.44
2010-08-02,59.706
2010-08-03,59.52
2010-08-04,59.58
2010-08-05,58.81
2010-08-06,58.82
2010-08-09,58.53
2010-08-10,58.62
2010-08-11,57.82
2010-08-12,57.925
2010-08-13,58.16
2010-08-16,58.34
2010-08-17,59.18
2010-08-18,58.98
2010-08-19,57.97
2010-08-20,59.63
2010-08-23,59.8
2010-08-24,58.87
2010-08-25,58.81
2010-08-26,58.37
2010-08-27,58.36
2010-08-30,58.1
2010-08-31,58.52
2010-09-01,59.74
2010-09-02,59.64
2010-09-03,60.37
2010-09-07,60.19
2010-09-08,60.67
2010-09-09,61.11
2010-09-10,61.27
2010-09-13,60.99
2010-09-14,60.39
2010-09-15,60.71
2010-09-16,60.77
2010-09-17,61.08
2010-09-20,61.61
2010-09-21,61.8
2010-09-22,61.96
2010-09-23,60.66
2010-09-24,61.17
2010-09-27,61.06
2010-09-28,61.24
2010-09-29,60.7
2010-09-30,60.5
2010-10-01,60.28
2010-10-04,60.7625
2010-10-05,61.73
2010-10-06,61.95
2010-10-07,62.05
2010-10-08,61.87
2010-10-11,62.05
2010-10-12,62.0
2010-10-13,62.85
2010-10-14,63.0
2010-10-15,62.92
2010-10-18,63.14
2010-10-19,62.16
2010-10-20,62.84
2010-10-21,63.05
2010-10-22,63.01
2010-10-25,63.22
2010-10-26,62.94
2010-10-27,62.57
2010-10-28,63.48
2010-10-29,64.32
2010-11-01,63.98
2010-11-02,64.07
2010-11-03,63.92
2010-11-04,64.52
2010-11-05,64.38
2010-11-08,64.45
2010-11-09,63.47
2010-11-10,63.02
2010-11-11,63.08
2010-11-12,62.88
2010-11-15,62.86
2010-11-16,63.06
2010-11-17,63.04
2010-11-18,62.14
2010-11-19,62.22
2010-11-22,62.95
2010-11-23,62.7
2010-11-24,63.03
