dt,close
2010-01-04,22.44
2010-01-05,22.25
2010-01-06,22.21
2010-01-07,22.15
2010-01-08,22.31
2010-01-11,22.11
2010-01-12,21.8
2010-01-13,22.0
2010-01-14,22.19
2010-01-15,21.97
2010-01-19,21.99
2010-01-20,21.99
2010-01-21,22.18
2010-01-22,21.89
2010-01-25,21.74
2010-01-26,21.46
2010-01-27,21.54
2010-01-28,21.14
2010-01-29,21.27
2010-02-01,21.35
2010-02-02,21.33
2010-02-03,21.4
2010-02-04,21.03
2010-02-05,21.18
2010-02-08,20.94
2010-02-09,21.07
2010-02-10,21.13
2010-02-11,21.07
2010-02-12,21.52
2010-02-16,21.2
2010-02-17,22.11
2010-02-18,21.8
2010-02-19,21.33
2010-02-22,22.05
2010-02-23,21.9
2010-02-24,22.04
2010-02-25,22.02
2010-02-26,21.89
2010-03-01,22.07
2010-03-02,22.22
2010-03-03,22.18
2010-03-04,22.26
2010-03-05,22.46
2010-03-08,22.46
2010-03-09,22.52
2010-03-10,22.75
2010-03-11,22.65
2010-03-12,22.75
2010-03-15,22.66
2010-03-16,22.62
2010-03-17,22.65
2010-03-18,22.78
2010-03-19,22.53
2010-03-22,22.8
2010-03-23,22.77
2010-03-24,22.81
2010-03-25,22.54
2010-03-26,22.49
2010-03-29,22.44
2010-03-30,22.46
2010-03-31,22.37
2010-04-01,22.56
2010-04-05,23.01
2010-04-06,22.91
2010-04-07,22.73
2010-04-08,22.7
2010-04-09,23.04
2010-04-12,23.06
2010-04-13,23.28
2010-04-14,23.38
2010-04-15,23.15
2010-04-16,23.08
2010-04-19,23.05
2010-04-20,23.22
2010-04-21,23.23
2010-04-22,23.16
2010-04-23,23.14
2010-04-26,23.18
2010-04-27,22.8
2010-04-28,23.01
2010-04-29,23.14
2010-04-30,22.67
2010-05-03,22.9
2010-05-04,22.35
2010-05-05,22.1
2010-05-06,21.75
2010-05-07,21.32
2010-05-10,21.99
2010-05-11,21.95
2010-05-12,22.45
2010-05-13,22.36
2010-05-14,21.92
2010-05-17,22.29
2010-05-18,21.95
2010-05-19,21.8
