dt,close
2010-01-04,33.29
2010-01-05,32.58
2010-01-06,33.04
2010-01-07,32.88
2010-01-08,32.85
2010-01-11,33.24
2010-01-12,33.06
2010-01-13,33.55
2010-01-14,33.42
2010-01-15,33.33
2010-01-19,33.63
2010-01-20,33.43
2010-01-21,33.12
2010-01-22,32.55
2010-01-25,32.77
2010-01-26,32.98
2010-01-27,32.95
2010-01-28,31.95
2010-01-29,32.0
2010-02-01,31.99
2010-02-02,32.14
2010-02-03,31.97
2010-02-04,31.58
2010-02-05,31.71
2010-02-08,31.14
2010-02-09,31.27
2010-02-10,31.29
2010-02-11,31.29
2010-02-12,31.17
2010-02-16,31.91
2010-02-17,31.62
2010-02-18,31.8
2010-02-19,32.28
2010-02-22,32.36
2010-02-23,32.03
2010-02-24,32.13
2010-02-25,32.01
2010-02-26,31.78
2010-03-01,32.04
2010-03-02,32.24
2010-03-03,32.16
2010-03-04,32.28
2010-03-05,32.2
2010-03-08,32.34
2010-03-09,32.31
2010-03-10,32.35
2010-03-11,32.48
2010-03-12,32.5
2010-03-15,32.85
2010-03-16,33.23
2010-03-17,33.45
2010-03-18,33.4
2010-03-19,33.26
2010-03-22,33.12
2010-03-23,33.33
2010-03-24,33.04
2010-03-25,33.02
2010-03-26,33.08
2010-03-29,33.33
2010-03-30,33.21
2010-03-31,33.17
2010-04-01,33.41
2010-04-05,33.48
2010-04-06,33.88
2010-04-07,33.58
2010-04-08,33.53
2010-04-09,33.91
2010-04-12,33.94
2010-04-13,33.88
2010-04-14,33.99
2010-04-15,33.96
2010-04-16,33.85
2010-04-19,34.1
2010-04-20,34.41
2010-04-21,34.43
2010-04-22,34.57
2010-04-23,34.71
2010-04-26,34.87
2010-04-27,34.47
2010-04-28,35.27
2010-04-29,34.64
2010-04-30,34.56
2010-05-03,34.62
2010-05-04,34.34
2010-05-05,34.03
2010-05-06,33.38
2010-05-07,33.94
2010-05-10,34.85
2010-05-11,34.87
2010-05-12,35.05
2010-05-13,34.62
2010-05-14,34.49
2010-05-17,34.64
2010-05-18,34.26
2010-05-19,33.91
2010-05-20,33.4
2010-05-21,33.62
2010-05-24,33.09
2010-05-25,32.98
2010-05-26,32.65
2010-05-27,32.93
2010-05-28,32.69
2010-06-01,32.27
2010-06-02,32.7
2010-06-03,32.81
2010-06-04,32.14
2010-06-07,32.26
2010-06-08,32.82
2010-06-09,32.55
2010-06-10,33.01
2010-06-11,33.02
2010-06-14,33.19
2010-06-15,33.69
2010-06-16,33.84
2010-06-17,34.02
2010-06-18,34.09
2010-06-21,33.91
2010-06-22,33.56
2010-06-23,33.35
2010-06-24,33.3
2010-06-25,33.29
2010-06-28,33.79
2010-06-29,33.66
2010-06-30,33.27
2010-07-01,33.36
2010-07-02,33.37
2010-07-06,33.52
2010-07-07,34.53
2010-07-08,34.51
2010-07-09,34.71
2010-07-12,34.79
2010-07-13,34.92
2010-07-14,34.92
2010-07-15,35.01
2010-07-16,34.79
2010-07-19,35.42
2010-07-20,35.82
