dt,close
2010-01-04,20.44
2010-01-05,20.75
2010-01-06,21.27
2010-01-07,22.57
2010-01-08,23.01
2010-01-11,23.25
2010-01-12,22.45
2010-01-13,22.76
2010-01-14,23.69
2010-01-15,23.41
2010-01-19,23.33
2010-01-20,23.43
2010-01-21,24.54
2010-01-22,24.49
2010-01-25,24.0
2010-01-26,23.59
2010-01-27,24.69
2010-01-28,24.82
2010-01-29,24.32
2010-02-01,24.52
2010-02-02,24.26
2010-02-03,23.29
2010-02-04,21.96
2010-02-05,22.49
2010-02-08,22.41
2010-02-09,22.69
2010-02-10,23.0
2010-02-11,22.47
2010-02-12,22.36
2010-02-16,22.68
2010-02-17,22.59
2010-02-18,22.59
2010-02-19,23.02
2010-02-22,23.62
2010-02-23,22.78
2010-02-24,23.75
2010-02-25,23.51
2010-02-26,23.79
2010-03-01,23.63
2010-03-02,24.4
2010-03-03,24.15
2010-03-04,24.34
2010-03-05,25.0493
2010-03-08,25.61
2010-03-09,25.8
2010-03-10,26.47
2010-03-11,27.08
2010-03-12,26.84
2010-03-15,27.0
2010-03-16,27.36
2010-03-17,28.05
2010-03-18,27.35
2010-03-19,27.19
2010-03-22,27.09
2010-03-23,26.85
2010-03-24,27.26
2010-03-25,26.58
2010-03-26,26.48
2010-03-29,26.36
2010-03-30,26.32
2010-03-31,26.77
2010-04-01,27.16
2010-04-05,27.74
2010-04-06,28.72
2010-04-07,28.53
2010-04-08,28.58
2010-04-09,28.66
2010-04-12,29.42
2010-04-13,29.0
2010-04-14,30.29
2010-04-15,29.77
2010-04-16,28.49
2010-04-19,28.97
2010-04-20,30.19
2010-04-21,29.73
2010-04-22,29.33
2010-04-23,29.43
2010-04-26,28.39
2010-04-27,27.8
2010-04-28,29.13
2010-04-29,29.7
2010-04-30,29.62
2010-05-03,30.44
2010-05-04,29.17
2010-05-05,29.42
2010-05-06,28.0
2010-05-07,27.4
2010-05-10,29.09
2010-05-11,30.44
2010-05-12,31.88
2010-05-13,31.24
2010-05-14,29.83
2010-05-17,29.89
2010-05-18,28.0
2010-05-19,27.5
2010-05-20,26.17
2010-05-21,27.01
2010-05-24,25.36
2010-05-25,26.29
2010-05-26,26.54
2010-05-27,27.67
2010-05-28,26.91
2010-06-01,26.14
2010-06-02,27.25
2010-06-03,26.87
2010-06-04,25.04
2010-06-07,24.45
2010-06-08,25.13
2010-06-09,24.76
2010-06-10,25.88
2010-06-11,25.88
2010-06-14,25.72
2010-06-15,26.37
2010-06-16,26.34
2010-06-17,26.26
2010-06-18,26.21
2010-06-21,25.84
2010-06-22,25.21
2010-06-23,25.3
2010-06-24,24.37
2010-06-25,25.52
2010-06-28,25.13
2010-06-29,23.45
2010-06-30,23.27
2010-07-01,22.7899
