dt,close
2010-01-04,16.1
2010-01-05,15.925
2010-01-06,16.12
2010-01-07,15.97
2010-01-08,15.68
2010-01-11,15.7
2010-01-12,15.64
2010-01-13,15.89
2010-01-14,16.34
2010-01-15,16.43
2010-01-19,16.83
2010-01-20,16.81
2010-01-21,16.79
2010-01-22,16.6
2010-01-25,16.62
2010-01-26,16.42
2010-01-27,16.33
2010-01-28,16.18
2010-01-29,16.08
2010-02-01,16.23
2010-02-02,16.4
2010-02-03,16.29
2010-02-04,15.43
2010-02-05,15.34
2010-02-08,14.92
2010-02-09,15.21
2010-02-10,15.12
2010-02-11,15.48
2010-02-12,15.37
2010-02-16,15.61
2010-02-17,15.69
2010-02-18,15.58
2010-02-19,15.58
2010-02-22,15.52
2010-02-23,15.21
2010-02-24,15.0
2010-02-25,14.84
2010-02-26,15.04
2010-03-01,15.25
2010-03-02,15.46
2010-03-03,15.44
2010-03-04,15.58
2010-03-05,15.82
2010-03-08,15.79
2010-03-09,15.81
2010-03-10,15.63
2010-03-11,15.82
2010-03-12,16.12
2010-03-15,16.13
2010-03-16,16.18
2010-03-17,16.25
2010-03-18,16.17
2010-03-19,15.99
2010-03-22,16.11
2010-03-23,16.36
2010-03-24,16.2
2010-03-25,16.18
2010-03-26,16.0
2010-03-29,16.29
2010-03-30,16.41
2010-03-31,16.43
2010-04-01,16.49
2010-04-05,16.68
2010-04-06,16.99
2010-04-07,16.85
2010-04-08,16.86
2010-04-09,16.42
2010-04-12,17.16
2010-04-13,17.07
2010-04-14,17.26
2010-04-15,17.3
2010-04-16,17.05
2010-04-19,17.6
2010-04-20,18.22
2010-04-21,18.28
2010-04-22,18.3
2010-04-23,18.32
2010-04-26,18.43
2010-04-27,18.16
2010-04-28,18.22
2010-04-29,18.54
2010-04-30,18.27
2010-05-03,18.61
2010-05-04,18.33
2010-05-05,18.12
2010-05-06,17.7
2010-05-07,16.66
2010-05-10,17.4
2010-05-11,17.5
2010-05-12,18.1
2010-05-13,18.05
2010-05-14,17.81
2010-05-17,17.86
2010-05-18,17.75
2010-05-19,17.33
2010-05-20,16.4
2010-05-21,16.31
2010-05-24,16.34
2010-05-25,15.8
2010-05-26,16.09
2010-05-27,16.71
2010-05-28,16.64
2010-06-01,16.13
2010-06-02,16.42
2010-06-03,16.47
2010-06-04,15.87
2010-06-07,15.75
2010-06-08,15.98
2010-06-09,16.05
2010-06-10,16.42
2010-06-11,16.86
2010-06-14,16.95
2010-06-15,16.8
2010-06-16,16.65
2010-06-17,16.38
2010-06-18,16.3
2010-06-21,16.31
2010-06-22,16.25
2010-06-23,16.23
2010-06-24,16.05
2010-06-25,16.03
2010-06-28,15.95
2010-06-29,15.44
2010-06-30,15.64
2010-07-01,15.56
2010-07-02,15.4
2010-07-06,15.59
2010-07-07,16.05
2010-07-08,16.04
2010-07-09,16.05
2010-07-12,16.08
2010-07-13,16.35
2010-07-14,16.36
2010-07-15,16.47
2010-07-16,16.32
2010-07-19,16.5
2010-07-20,16.73
2010-07-21,16.53
2010-07-22,16.86
2010-07-23,17.05
2010-07-26,17.2
2010-07-27,17.31
2010-07-28,17.08
2010-07-29,17.08
2010-07-30,17.04
2010-08-02,17.41
2010-08-03,17.31
2010-08-04,17.53
2010-08-05,17.32
2010-08-06,17.23
