dt,close
2010-01-04,13.86
2010-01-05,14.4401
2010-01-06,14.6
2010-01-07,14.56
2010-01-08,15.0
2010-01-11,14.95
2010-01-12,14.38
2010-01-13,14.61
2010-01-14,14.58
2010-01-15,14.23
2010-01-19,14.37
2010-01-20,14.35
2010-01-21,14.18
2010-01-22,13.21
2010-01-25,13.65
2010-01-26,13.64
2010-01-27,13.4539
2010-01-28,12.98
2010-01-29,12.57
2010-02-01,13.06
2010-02-02,13.49
2010-02-03,13.62
2010-02-04,11.6
2010-02-05,12.47
2010-02-08,12.13
2010-02-09,12.29
2010-02-10,12.21
2010-02-11,12.55
2010-02-12,12.47
2010-02-16,12.86
2010-02-17,12.69
2010-02-18,12.53
2010-02-19,12.51
2010-02-22,12.61
2010-02-23,12.12
2010-02-24,12.07
2010-02-25,12.1
2010-02-26,12.09
2010-03-01,12.3
2010-03-02,12.5
2010-03-03,12.37
2010-03-04,12.45
2010-03-05,12.88
2010-03-08,12.85
2010-03-09,12.81
2010-03-10,13.63
2010-03-11,14.0
2010-03-12,14.18
2010-03-15,14.13
2010-03-16,14.09
2010-03-17,14.59
2010-03-18,14.51
2010-03-19,14.21
2010-03-22,14.53
2010-03-23,14.82
2010-03-24,14.71
2010-03-25,14.62
2010-03-26,14.67
2010-03-29,14.66
2010-03-30,15.51
2010-03-31,15.34
2010-04-01,15.18
2010-04-05,15.94
2010-04-06,15.72
2010-04-07,15.8
2010-04-08,15.67
2010-04-09,15.96
2010-04-12,16.25
2010-04-13,16.25
2010-04-14,16.8
2010-04-15,16.54
2010-04-16,16.26
2010-04-19,15.53
2010-04-20,15.9801
2010-04-21,15.6
2010-04-22,15.87
2010-04-23,15.82
2010-04-26,16.05
2010-04-27,15.2
2010-04-28,15.28
2010-04-29,15.93
2010-04-30,12.96
2010-05-03,13.13
2010-05-04,12.44
2010-05-05,12.39
2010-05-06,11.89
2010-05-07,11.55
2010-05-10,12.45
2010-05-11,12.1
2010-05-12,12.38
2010-05-13,12.11
2010-05-14,11.78
2010-05-17,11.7
2010-05-18,11.13
2010-05-19,11.12
2010-05-20,10.95
2010-05-21,11.02
2010-05-24,10.78
2010-05-25,10.89
2010-05-26,11.13
2010-05-27,11.59
2010-05-28,11.35
2010-06-01,10.58
2010-06-02,11.19
2010-06-03,11.32
2010-06-04,10.68
2010-06-07,10.09
2010-06-08,10.04
2010-06-09,10.04
2010-06-10,10.64
2010-06-11,10.79
2010-06-14,10.84
2010-06-15,11.68
2010-06-16,11.77
2010-06-17,11.68
2010-06-18,11.77
2010-06-21,11.63
2010-06-22,11.27
2010-06-23,11.15
2010-06-24,10.6
2010-06-25,10.66
2010-06-28,10.61
2010-06-29,10.04
2010-06-30,9.88
2010-07-01,9.72
2010-07-02,9.65
2010-07-06,9.68
2010-07-07,10.15
2010-07-08,10.36
2010-07-09,10.8
2010-07-12,10.89
2010-07-13,10.72
2010-07-14,10.58
2010-07-15,10.6
2010-07-16,10.08
2010-07-19,10.31
2010-07-20,10.57
2010-07-21,10.83
2010-07-22,11.33
2010-07-23,11.67
2010-07-26,12.02
2010-07-27,11.74
2010-07-28,11.49
2010-07-29,11.27
2010-07-30,9.55
2010-08-02,9.42
2010-08-03,9.5
2010-08-04,9.53
2010-08-05,9.53
2010-08-06,9.99
2010-08-09,10.33
2010-08-10,10.54
2010-08-11,10.3
2010-08-12,10.37
2010-08-13,10.48
2010-08-16,10.36
2010-08-17,10.53
2010-08-18,10.77
2010-08-19,10.52
2010-08-20,10.47
2010-08-23,10.39
2010-08-24,10.22
2010-08-25,10.27
2010-08-26,10.35
2010-08-27,10.66
2010-08-30,10.51
2010-08-31,10.28
2010-09-01,10.64
2010-09-02,11.0
2010-09-03,10.98
2010-09-07,10.76
2010-09-08,10.68
2010-09-09,10.69
2010-09-10,10.69
2010-09-13,10.92
2010-09-14,11.04
2010-09-15,11.16
2010-09-16,11.41
2010-09-17,11.29
2010-09-20,11.22
2010-09-21,11.07
2010-09-22,10.83
2010-09-23,11.26
2010-09-24,11.8
2010-09-27,11.82
2010-09-28,11.86
2010-09-29,11.9
2010-09-30,11.92
2010-10-01,11.94
2010-10-04,11.77
2010-10-05,12.35
2010-10-06,12.33
2010-10-07,12.79
2010-10-08,13.09
2010-10-11,13.4
2010-10-12,13.46
2010-10-13,13.58
2010-10-14,13.54
2010-10-15,13.37
2010-10-18,13.01
2010-10-19,12.65
2010-10-20,12.54
2010-10-21,12.36
2010-10-22,12.55
2010-10-25,12.69
2010-10-26,12.64
2010-10-27,12.78
2010-10-28,12.7
2010-10-29,12.82
2010-11-01,12.68
2010-11-02,12.31
2010-11-03,12.18
2010-11-04,12.53
2010-11-05,12.73
2010-11-08,12.8983
2010-11-09,12.7
2010-11-10,12.76
2010-11-11,13.16
2010-11-12,12.99
2010-11-15,12.76
2010-11-16,12.34
2010-11-17,11.71
2010-11-18,11.91
2010-11-19,12.0
2010-11-22,11.91
2010-11-23,11.81
2010-11-24,12.07
2010-11-26,11.93
2010-11-29,11.8
2010-11-30,11.56
2010-12-01,11.92
2010-12-02,12.17
2010-12-03,11.88
2010-12-06,11.95
2010-12-07,12.02
2010-12-08,12.02
2010-12-09,12.06
2010-12-10,12.025
2010-12-13,11.82
2010-12-14,11.71
2010-12-15,11.16
2010-12-16,10.98
2010-12-17,11.08
2010-12-20,11.18
2010-12-21,10.93
2010-12-22,11.01
2010-12-23,10.99
2010-12-27,10.97
2010-12-28,10.99
2010-12-29,11.04
2010-12-30,11.12
2010-12-31,11.27
2011-01-03,11.33
2011-01-04,11.36
2011-01-05,11.37
2011-01-06,11.33
2011-01-07,11.34
2011-01-10,11.6
2011-01-11,11.54
2011-01-12,11.88
2011-01-13,11.88
2011-01-14,12.11
2011-01-18,11.91
2011-01-19,11.6
2011-01-20,11.59
2011-01-21,11.26
2011-01-24,11.51
2011-01-25,11.44
2011-01-26,11.52
2011-01-27,11.35
2011-01-28,11.01
2011-01-31,11.07
2011-02-01,11.62
2011-02-02,13.425
2011-02-03,13.4
2011-02-04,13.3
2011-02-07,13.43
2011-02-08,13.39
2011-02-09,13.34
2011-02-10,13.49
2011-02-11,13.73
2011-02-14,14.33
2011-02-15,14.145
2011-02-16,14.6
2011-02-17,14.84
2011-02-18,14.58
2011-02-22,13.65
2011-02-23,13.65
2011-02-24,13.83
2011-02-25,14.47
2011-02-28,13.57
2011-03-01,13.1
2011-03-02,13.13
2011-03-03,13.08
2011-03-04,12.95
2011-03-07,12.52
2011-03-08,12.44
2011-03-09,12.33
2011-03-10,12.09
2011-03-11,12.01
2011-03-14,13.35
2011-03-15,13.03
2011-03-16,12.45
2011-03-17,12.32
2011-03-18,12.2987
2011-03-21,12.44
2011-03-22,12.17
2011-03-23,12.39
2011-03-24,12.92
2011-03-25,12.92
2011-03-28,12.71
2011-03-29,12.92
2011-03-30,12.99
2011-03-31,12.98
2011-04-01,12.73
2011-04-04,12.45
2011-04-05,12.44
2011-04-06,12.46
2011-04-07,12.4
2011-04-08,12.3
2011-04-11,12.14
2011-04-12,11.92
2011-04-13,11.91
2011-04-14,11.81
2011-04-15,11.84
2011-04-18,11.4
2011-04-19,11.41
2011-04-20,11.6
2011-04-21,11.67
2011-04-25,11.72
2011-04-26,11.74
2011-04-27,11.61
2011-04-28,11.14
2011-04-29,11.81
2011-05-02,11.45
2011-05-03,11.19
2011-05-04,11.35
2011-05-05,11.1
2011-05-06,11.0
2011-05-09,10.95
2011-05-10,11.32
2011-05-11,11.06
2011-05-12,11.28
2011-05-13,11.02
2011-05-16,10.84
2011-05-17,10.51
2011-05-18,10.58
2011-05-19,10.41
2011-05-20,10.31
2011-05-23,10.18
2011-05-24,9.99
2011-05-25,9.975
