dt,close
2010-01-04,50.79
2010-01-05,51.64
2010-01-06,51.37
2010-01-07,50.9
2010-01-08,51.46
2010-01-11,50.48
2010-01-12,48.69
2010-01-13,49.76
2010-01-14,49.39
2010-01-15,48.66
2010-01-19,48.72
2010-01-20,47.62
2010-01-21,46.63
2010-01-22,45.48
2010-01-25,46.28
2010-01-26,45.49
2010-01-27,44.53
2010-01-28,43.95
2010-01-29,42.9
2010-02-01,44.76
2010-02-02,45.46
2010-02-03,44.4
2010-02-04,41.88
2010-02-05,42.13
2010-02-08,41.73
2010-02-09,42.6
2010-02-10,43.07
2010-02-11,44.33
2010-02-12,44.32
2010-02-16,45.56
2010-02-17,45.71
2010-02-18,45.78
2010-02-19,45.32
2010-02-22,43.45
2010-02-23,42.46
2010-02-24,42.72
2010-02-25,43.04
2010-02-26,42.55
2010-03-01,42.52
2010-03-02,42.41
2010-03-03,42.46
2010-03-04,40.73
2010-03-05,42.592
2010-03-08,42.3
2010-03-09,43.84
2010-03-10,44.96
2010-03-11,44.39
2010-03-12,44.36
2010-03-15,43.39
2010-03-16,42.59
2010-03-17,42.97
2010-03-18,40.8
2010-03-19,39.58
2010-03-22,39.97
2010-03-23,39.96
2010-03-24,39.44
2010-03-25,38.13
2010-03-26,37.69
2010-03-29,40.73
2010-03-30,40.23
2010-03-31,40.71
2010-04-01,41.44
2010-04-05,42.72
2010-04-06,41.9
2010-04-07,40.77
2010-04-08,40.77
2010-04-09,41.25
2010-04-12,41.77
2010-04-13,41.58
2010-04-14,41.57
2010-04-15,41.63
2010-04-16,40.52
2010-04-19,39.67
2010-04-20,40.8
2010-04-21,40.64
2010-04-22,41.51
2010-04-23,43.08
2010-04-26,42.4
2010-04-27,40.9
2010-04-28,41.24
2010-04-29,40.37
2010-04-30,39.68
2010-05-03,40.53
2010-05-04,39.36
2010-05-05,39.61
2010-05-06,38.18
2010-05-07,37.16
2010-05-10,39.26
2010-05-11,38.9
2010-05-12,40.1
2010-05-13,39.79
2010-05-14,39.08
2010-05-17,38.47
2010-05-18,38.36
2010-05-19,38.08
2010-05-20,36.36
2010-05-21,37.28
2010-05-24,35.92
2010-05-25,36.38
2010-05-26,35.83
2010-05-27,37.47
2010-05-28,37.6
2010-06-01,36.78
2010-06-02,40.44
2010-06-03,42.45
2010-06-04,41.69
2010-06-07,41.89
2010-06-08,42.05
2010-06-09,41.91
2010-06-10,43.98
2010-06-11,43.89
2010-06-14,43.56
2010-06-15,45.0
2010-06-16,44.69
2010-06-17,44.55
2010-06-18,44.11
2010-06-21,43.76
2010-06-22,42.05
2010-06-23,42.15
2010-06-24,40.99
2010-06-25,41.54
2010-06-28,41.07
2010-06-29,39.02
2010-06-30,38.66
2010-07-01,38.8
2010-07-02,37.74
2010-07-06,37.66
2010-07-07,38.21
2010-07-08,38.68
2010-07-09,38.42
2010-07-12,38.35
2010-07-13,38.36
2010-07-14,38.77
2010-07-15,38.8
2010-07-16,37.38
2010-07-19,36.39
2010-07-20,36.87
2010-07-21,37.35
2010-07-22,37.83
2010-07-23,37.7
2010-07-26,37.59
2010-07-27,37.3
2010-07-28,37.01
2010-07-29,36.71
2010-07-30,36.46
2010-08-02,37.14
2010-08-03,37.25
2010-08-04,38.12
2010-08-05,38.49
2010-08-06,37.44
2010-08-09,37.6
2010-08-10,37.06
2010-08-11,34.94
2010-08-12,34.67
2010-08-13,34.45
2010-08-16,33.55
2010-08-17,34.95
2010-08-18,34.79
2010-08-19,34.31
2010-08-20,33.7
2010-08-23,33.86
2010-08-24,32.81
2010-08-25,32.91
2010-08-26,32.43
2010-08-27,33.36
2010-08-30,33.18
2010-08-31,32.72
2010-09-01,33.56
2010-09-02,33.76
2010-09-03,34.039
2010-09-07,33.04
2010-09-08,33.22
2010-09-09,32.91
2010-09-10,33.36
2010-09-13,33.08
2010-09-14,32.86
2010-09-15,32.5
2010-09-16,31.93
2010-09-17,31.44
2010-09-20,31.93
2010-09-21,32.11
2010-09-22,32.21
2010-09-23,32.34
2010-09-24,33.06
2010-09-27,32.49
2010-09-28,32.73
2010-09-29,33.64
2010-09-30,33.38
2010-10-01,33.46
2010-10-04,32.74
2010-10-05,33.28
2010-10-06,33.86
