dt,close
2010-01-04,36.04
2010-01-05,36.98
2010-01-06,37.17
2010-01-07,39.08
2010-01-08,38.56
2010-01-11,38.47
2010-01-12,38.15
2010-01-13,38.29
2010-01-14,37.83
2010-01-15,37.28
2010-01-19,37.86
2010-01-20,37.37
2010-01-21,36.82
2010-01-22,36.7
2010-01-25,37.03
2010-01-26,38.06
2010-01-27,38.4
2010-01-28,38.22
2010-01-29,38.01
2010-02-01,38.48
2010-02-02,39.21
2010-02-03,38.77
2010-02-04,38.15
2010-02-05,38.3
2010-02-08,37.81
2010-02-09,37.9
2010-02-10,37.63
2010-02-11,37.55
2010-02-12,37.63
2010-02-16,38.48
2010-02-17,38.8
2010-02-18,39.1
2010-02-19,39.13
2010-02-22,39.36
2010-02-23,39.17
2010-02-24,40.5063
2010-02-25,41.75
2010-02-26,41.63
2010-03-01,41.7
2010-03-02,41.12
2010-03-03,41.15
2010-03-04,41.0
2010-03-05,41.52
2010-03-08,41.55
2010-03-09,41.7
2010-03-10,41.86
2010-03-11,41.8
2010-03-12,42.14
2010-03-15,42.85
2010-03-16,43.22
2010-03-17,43.1
2010-03-18,43.13
2010-03-19,43.0
2010-03-22,43.63
2010-03-23,43.55
2010-03-24,43.23
2010-03-25,43.53
2010-03-26,43.34
2010-03-29,43.28
2010-03-30,43.19
2010-03-31,42.55
2010-04-01,42.69
2010-04-05,44.36
2010-04-06,44.7
2010-04-07,44.65
2010-04-08,44.83
2010-04-09,44.79
2010-04-12,45.61
2010-04-13,46.13
2010-04-14,46.32
2010-04-15,46.26
2010-04-16,45.69
2010-04-19,45.48
2010-04-20,45.98
2010-04-21,46.86
2010-04-22,47.71
2010-04-23,47.99
2010-04-26,47.9
2010-04-27,47.01
2010-04-28,46.73
2010-04-29,47.28
2010-04-30,46.32
2010-05-03,47.1
2010-05-04,45.68
2010-05-05,46.33
2010-05-06,44.58
2010-05-07,43.66
2010-05-10,45.8
2010-05-11,45.73
2010-05-12,46.48
2010-05-13,45.29
2010-05-14,45.24
2010-05-17,45.27
2010-05-18,43.71
2010-05-19,43.19
2010-05-20,43.5
2010-05-21,43.99
2010-05-24,43.97
2010-05-25,45.38
2010-05-26,44.48
2010-05-27,46.02
2010-05-28,45.44
2010-06-01,45.27
2010-06-02,46.09
2010-06-03,46.31
2010-06-04,44.5
2010-06-07,43.96
2010-06-08,44.79
2010-06-09,45.03
2010-06-10,46.25
2010-06-11,46.02
2010-06-14,46.07
2010-06-15,46.6
2010-06-16,46.31
2010-06-17,45.91
2010-06-18,45.96
2010-06-21,45.07
2010-06-22,44.54
2010-06-23,44.71
2010-06-24,44.12
2010-06-25,43.2
2010-06-28,43.23
2010-06-29,42.0
2010-06-30,41.93
2010-07-01,42.9
2010-07-02,42.38
2010-07-06,42.44
2010-07-07,43.48
2010-07-08,41.55
2010-07-09,41.69
2010-07-12,41.99
2010-07-13,42.75
2010-07-14,42.46
2010-07-15,42.86
2010-07-16,41.22
2010-07-19,41.43
2010-07-20,42.05
2010-07-21,41.69
2010-07-22,42.24
2010-07-23,42.87
2010-07-26,42.95
2010-07-27,42.27
2010-07-28,41.62
