dt,close
2010-01-04,47.49
2010-01-05,47.61
2010-01-06,48.12
2010-01-07,48.09
2010-01-08,48.91
2010-01-11,49.5
2010-01-12,48.69
2010-01-13,48.69
2010-01-14,48.38
2010-01-15,47.72
2010-01-19,48.95
2010-01-20,48.75
2010-01-21,47.75
2010-01-22,47.04
2010-01-25,47.11
2010-01-26,46.5
2010-01-27,46.44
2010-01-28,46.25
2010-01-29,46.16
2010-02-01,46.88
2010-02-02,47.59
2010-02-03,48.4
2010-02-04,47.25
2010-02-05,46.96
2010-02-08,46.79
2010-02-09,47.66
2010-02-10,47.14
2010-02-11,47.31
2010-02-12,47.3
2010-02-16,48.21
2010-02-17,48.71
2010-02-18,49.32
2010-02-19,49.18
2010-02-22,48.09
2010-02-23,49.68
2010-02-24,48.4
2010-02-25,49.27
2010-02-26,48.77
2010-03-01,48.6
2010-03-02,49.4
2010-03-03,49.1
2010-03-04,48.63
2010-03-05,49.52
2010-03-08,49.9
2010-03-09,50.23
2010-03-10,50.39
2010-03-11,50.82
2010-03-12,50.11
2010-03-15,49.92
2010-03-16,49.52
2010-03-17,49.95
2010-03-18,49.87
2010-03-19,49.88
2010-03-22,50.78
2010-03-23,50.88
2010-03-24,50.73
2010-03-25,50.41
2010-03-26,50.0
2010-03-29,50.5
2010-03-30,51.66
2010-03-31,51.41
2010-04-01,51.77
2010-04-05,51.82
2010-04-06,51.69
2010-04-07,51.58
2010-04-08,51.41
2010-04-09,52.25
2010-04-12,52.12
2010-04-13,52.3
2010-04-14,53.65
2010-04-15,54.11
2010-04-16,53.26
2010-04-19,53.4
2010-04-20,54.23
2010-04-21,53.54
2010-04-22,53.43
2010-04-23,53.7
2010-04-26,54.02
2010-04-27,53.68
2010-04-28,55.93
2010-04-29,55.93
2010-04-30,55.25
2010-05-03,55.47
2010-05-04,54.49
2010-05-05,54.83
2010-05-06,53.3
2010-05-07,51.47
2010-05-10,54.21
2010-05-11,53.74
2010-05-12,54.84
2010-05-13,53.75
2010-05-14,52.5
2010-05-17,52.79
2010-05-18,52.37
2010-05-19,51.79
2010-05-20,49.83
2010-05-21,50.89
2010-05-24,51.0
2010-05-25,50.69
2010-05-26,50.89
2010-05-27,52.72
2010-05-28,52.05
2010-06-01,50.94
2010-06-02,51.9
2010-06-03,52.11
2010-06-04,49.58
2010-06-07,49.7
2010-06-08,49.58
2010-06-09,49.73
2010-06-10,51.78
2010-06-11,51.92
2010-06-14,52.2
2010-06-15,53.46
2010-06-16,53.45
2010-06-17,53.44
2010-06-18,53.67
2010-06-21,53.65
2010-06-22,52.43
2010-06-23,52.35
2010-06-24,50.99
2010-06-25,50.93
2010-06-28,51.06
2010-06-29,49.8
2010-06-30,49.02
2010-07-01,48.13
2010-07-02,47.58
2010-07-06,48.96
2010-07-07,48.62
2010-07-08,48.87
2010-07-09,49.27
2010-07-12,48.23
2010-07-13,49.5
2010-07-14,49.71
