dt,close
2010-01-04,12.25
2010-01-05,12.45
2010-01-06,13.12
2010-01-07,13.32
2010-01-08,13.32
2010-01-11,13.12
2010-01-12,12.98
2010-01-13,13.33
2010-01-14,14.06
2010-01-15,13.89
2010-01-19,14.0
2010-01-20,13.9
2010-01-21,13.63
2010-01-22,13.76
2010-01-25,13.89
2010-01-26,13.99
2010-01-27,13.79
2010-01-28,13.79
2010-01-29,13.81
2010-02-01,13.98
2010-02-02,14.26
2010-02-03,14.35
2010-02-04,13.98
2010-02-05,14.65
2010-02-08,15.08
2010-02-09,15.42
2010-02-10,15.52
2010-02-11,15.95
2010-02-12,16.05
2010-02-16,16.43
2010-02-17,16.64
2010-02-18,16.9
2010-02-19,16.94
2010-02-22,16.64
2010-02-23,16.74
2010-02-24,16.67
2010-02-25,17.0
2010-02-26,17.04
2010-03-01,17.16
2010-03-02,17.43
2010-03-03,17.21
2010-03-04,17.49
2010-03-05,17.23
2010-03-08,17.61
2010-03-09,17.59
2010-03-10,17.52
2010-03-11,17.74
2010-03-12,17.535
2010-03-15,17.37
2010-03-16,17.68
2010-03-17,17.7
2010-03-18,17.64
2010-03-19,17.74
2010-03-22,18.1
2010-03-23,18.29
2010-03-24,18.45
2010-03-25,18.22
2010-03-26,18.71
2010-03-29,19.08
2010-03-30,19.17
2010-03-31,19.15
2010-04-01,19.51
2010-04-05,19.2
2010-04-06,18.99
2010-04-07,19.24
2010-04-08,19.49
2010-04-09,19.67
2010-04-12,20.01
2010-04-13,20.08
2010-04-14,20.27
2010-04-15,20.41
2010-04-16,19.86
2010-04-19,19.88
2010-04-20,20.07
2010-04-21,20.21
2010-04-22,20.33
2010-04-23,20.15
2010-04-26,20.42
2010-04-27,19.58
2010-04-28,19.69
2010-04-29,19.87
2010-04-30,19.6
2010-05-03,19.91
2010-05-04,19.53
2010-05-05,19.42
2010-05-06,18.49
2010-05-07,18.63
2010-05-10,18.24
2010-05-11,18.05
2010-05-12,18.13
2010-05-13,18.13
2010-05-14,17.7
2010-05-17,17.63
2010-05-18,17.8
2010-05-19,17.8
2010-05-20,16.95
2010-05-21,17.08
2010-05-24,16.99
2010-05-25,17.04
2010-05-26,16.73
2010-05-27,17.78
2010-05-28,17.58
2010-06-01,17.02
2010-06-02,17.52
2010-06-03,18.09
2010-06-04,17.5
2010-06-07,17.5
2010-06-08,17.57
2010-06-09,17.66
2010-06-10,18.15
2010-06-11,18.59
2010-06-14,18.44
2010-06-15,18.69
2010-06-16,18.4
2010-06-17,18.39
2010-06-18,18.33
2010-06-21,18.12
2010-06-22,17.69
2010-06-23,17.71
2010-06-24,17.88
2010-06-25,17.3
2010-06-28,17.24
2010-06-29,16.75
2010-06-30,16.37
2010-07-01,16.25
2010-07-02,16.41
2010-07-06,16.53
2010-07-07,16.89
2010-07-08,17.21
2010-07-09,17.56
2010-07-12,17.53
2010-07-13,17.73
2010-07-14,17.84
2010-07-15,17.77
2010-07-16,17.15
2010-07-19,17.51
2010-07-20,17.38
2010-07-21,17.28
2010-07-22,17.84
2010-07-23,17.94
2010-07-26,18.05
2010-07-27,17.88
2010-07-28,17.62
2010-07-29,17.35
2010-07-30,17.49
2010-08-02,17.73
2010-08-03,17.68
2010-08-04,17.56
2010-08-05,16.79
2010-08-06,17.13
2010-08-09,16.29
2010-08-10,16.07
2010-08-11,15.96
2010-08-12,16.0
2010-08-13,16.28
2010-08-16,16.69
2010-08-17,16.18
2010-08-18,16.485
2010-08-19,16.46
2010-08-20,16.63
2010-08-23,16.6
2010-08-24,16.2
2010-08-25,16.2
2010-08-26,16.42
2010-08-27,16.6
2010-08-30,16.38
2010-08-31,16.39
2010-09-01,16.61
2010-09-02,16.03
2010-09-03,16.21
2010-09-07,16.37
2010-09-08,16.76
2010-09-09,17.03
2010-09-10,16.86
2010-09-13,17.18
2010-09-14,16.94
2010-09-15,17.11
2010-09-16,17.0
2010-09-17,15.84
2010-09-20,16.22
2010-09-21,15.71
2010-09-22,15.49
2010-09-23,15.74
2010-09-24,15.64
2010-09-27,15.23
