dt,close
2010-01-04,19.92
2010-01-05,20.24
2010-01-06,20.4
2010-01-07,20.85
2010-01-08,20.59
2010-01-11,20.98
2010-01-12,20.91
2010-01-13,21.05
2010-01-14,21.46
2010-01-15,21.4
2010-01-19,21.66
2010-01-20,21.54
2010-01-21,21.0
2010-01-22,20.2
2010-01-25,20.35
2010-01-26,19.8
2010-01-27,19.97
2010-01-28,19.62
2010-01-29,19.58
2010-02-01,20.13
2010-02-02,20.65
2010-02-03,19.95
2010-02-04,18.86
2010-02-05,19.2
2010-02-08,18.74
2010-02-09,19.0
2010-02-10,19.16
2010-02-11,19.44
2010-02-12,19.55
2010-02-16,20.07
2010-02-17,20.54
2010-02-18,20.9
2010-02-19,20.99
2010-02-22,21.0
2010-02-23,20.67
2010-02-24,20.91
2010-02-25,20.8
2010-02-26,20.82
2010-03-01,21.3
2010-03-02,21.28
2010-03-03,21.33
2010-03-04,21.66
2010-03-05,22.16
2010-03-08,22.42
2010-03-09,22.47
2010-03-10,22.75
2010-03-11,23.24
2010-03-12,23.38
2010-03-15,23.86
2010-03-16,24.2
2010-03-17,24.42
2010-03-18,24.31
2010-03-19,23.92
2010-03-22,23.9
2010-03-23,24.21
2010-03-24,24.19
2010-03-25,24.39
2010-03-26,24.66
2010-03-29,24.87
2010-03-30,24.75
2010-03-31,24.76
2010-04-01,25.16
2010-04-05,25.33
2010-04-06,25.6
2010-04-07,25.36
2010-04-08,25.44
2010-04-09,25.52
2010-04-12,25.55
2010-04-13,25.6
2010-04-14,26.41
2010-04-15,26.08
2010-04-16,25.33
2010-04-19,25.5
2010-04-20,25.89
2010-04-21,25.66
2010-04-22,25.52
2010-04-23,25.88
2010-04-26,25.65
2010-04-27,24.28
2010-04-28,24.28
2010-04-29,24.71
2010-04-30,24.45
2010-05-03,24.34
2010-05-04,23.6
2010-05-05,23.57
2010-05-06,22.64
2010-05-07,22.45
2010-05-10,24.32
2010-05-11,24.03
2010-05-12,24.3
2010-05-13,23.57
2010-05-14,22.74
2010-05-17,22.6
