dt,close
2010-01-04,65.35
2010-01-05,66.29
2010-01-06,66.39
2010-01-07,65.78
2010-01-08,68.03
2010-01-11,67.64
2010-01-12,67.42
2010-01-13,67.48
2010-01-14,66.33
2010-01-15,65.5
2010-01-19,65.49
2010-01-20,63.72
2010-01-21,65.37
2010-01-22,63.85
2010-01-25,63.75
2010-01-26,64.16
2010-01-27,63.82
2010-01-28,61.54
2010-01-29,60.49
2010-02-01,62.35
2010-02-02,62.89
2010-02-03,62.93
2010-02-04,60.91
2010-02-05,62.08
2010-02-08,61.01
2010-02-09,61.72
2010-02-10,61.73
2010-02-11,63.6
2010-02-12,63.4
2010-02-16,65.12
2010-02-17,65.0
2010-02-18,65.32
2010-02-19,66.52
2010-02-22,66.92
2010-02-23,66.41
2010-02-24,66.86
2010-02-25,68.49
2010-02-26,67.38
2010-03-01,67.63
2010-03-02,67.27
2010-03-03,67.21
2010-03-04,68.09
2010-03-05,69.11
2010-03-08,69.45
2010-03-09,70.81
2010-03-10,71.55
2010-03-11,72.49
2010-03-12,72.91
2010-03-15,72.89
2010-03-16,73.45
2010-03-17,73.1675
2010-03-18,73.62
2010-03-19,73.2
2010-03-22,74.0
2010-03-23,73.72
2010-03-24,72.92
2010-03-25,72.69
2010-03-26,72.69
2010-03-29,73.59
2010-03-30,73.63
2010-03-31,73.32
2010-04-01,73.61
2010-04-05,73.79
2010-04-06,73.62
2010-04-07,73.68
2010-04-08,75.54
2010-04-09,75.73
2010-04-12,75.4
2010-04-13,76.21
2010-04-14,77.03
2010-04-15,77.1
2010-04-16,75.97
2010-04-19,75.33
2010-04-20,76.72
2010-04-21,77.0
2010-04-22,76.24
2010-04-23,77.07
2010-04-26,77.12
2010-04-27,76.07
2010-04-28,75.99
2010-04-29,77.66
2010-04-30,75.66
2010-05-03,77.33
2010-05-04,75.06
2010-05-05,74.32
2010-05-06,72.15
2010-05-07,70.99
2010-05-10,74.94
2010-05-11,74.77
2010-05-12,76.71
2010-05-13,75.76
2010-05-14,74.16
2010-05-17,74.27
2010-05-18,72.97
2010-05-19,71.52
2010-05-20,67.97
2010-05-21,69.73
2010-05-24,69.37
2010-05-25,68.54
2010-05-26,70.11
2010-05-27,71.53
2010-05-28,71.42
2010-06-01,70.36
2010-06-02,72.62
2010-06-03,73.26
2010-06-04,69.43
2010-06-07,68.05
2010-06-08,69.26
2010-06-09,69.39
2010-06-10,72.72
2010-06-11,73.55
2010-06-14,72.73
2010-06-15,75.17
2010-06-16,75.13
2010-06-17,76.21
2010-06-18,76.36
2010-06-21,76.78
2010-06-22,73.81
2010-06-23,73.95
2010-06-24,72.02
2010-06-25,72.77
2010-06-28,72.72
2010-06-29,70.12
2010-06-30,69.46
2010-07-01,69.57
2010-07-02,68.33
