dt,close
2010-01-04,58.2
2010-01-05,58.3
2010-01-06,57.83
2010-01-07,57.39
2010-01-08,60.21
2010-01-11,62.82
2010-01-12,62.37
2010-01-13,62.0
2010-01-14,62.17
2010-01-15,61.93
2010-01-19,62.26
2010-01-20,61.13
2010-01-21,59.64
2010-01-22,58.69
2010-01-25,58.78
2010-01-26,58.61
2010-01-27,59.37
2010-01-28,58.9
2010-01-29,57.71
2010-02-01,58.44
2010-02-02,58.61
2010-02-03,58.86
2010-02-04,57.27
2010-02-05,57.19
2010-02-08,56.59
2010-02-09,57.48
2010-02-10,57.07
2010-02-11,56.71
2010-02-12,56.15
2010-02-16,57.36
2010-02-17,57.54
2010-02-18,57.17
2010-02-19,57.78
2010-02-22,58.0
2010-02-23,58.39
2010-02-24,58.75
2010-02-25,58.4
2010-02-26,58.74
2010-03-01,58.81
2010-03-02,59.12
2010-03-03,59.16
2010-03-04,59.19
2010-03-05,59.5
2010-03-08,59.76
2010-03-09,60.29
2010-03-10,60.75
2010-03-11,62.44
2010-03-12,62.33
2010-03-15,62.68
2010-03-16,62.45
2010-03-17,62.91
2010-03-18,64.39
2010-03-19,64.3
2010-03-22,63.95
2010-03-23,64.63
2010-03-24,63.76
2010-03-25,63.64
2010-03-26,63.67
2010-03-29,64.14
2010-03-30,64.55
2010-03-31,64.42
2010-04-01,64.13
2010-04-05,64.21
2010-04-06,64.24
2010-04-07,63.68
2010-04-08,64.28
2010-04-09,64.47
2010-04-12,64.77
2010-04-13,64.89
2010-04-14,65.46
2010-04-15,68.9
2010-04-16,68.25
2010-04-19,68.28
2010-04-20,68.05
2010-04-21,68.11
2010-04-22,68.28
2010-04-23,68.85
2010-04-26,68.5
2010-04-27,66.21
2010-04-28,68.29
2010-04-29,69.72
2010-04-30,69.11
2010-05-03,70.73
2010-05-04,68.92
2010-05-05,67.18
2010-05-06,64.91
2010-05-07,63.84
2010-05-10,67.48
2010-05-11,66.98
2010-05-12,68.249
2010-05-13,66.71
2010-05-14,65.75
2010-05-17,65.53
2010-05-18,65.24
2010-05-19,65.1
2010-05-20,63.43
2010-05-21,62.38
2010-05-24,61.64
2010-05-25,61.97
2010-05-26,61.94
2010-05-27,63.61
2010-05-28,62.77
2010-06-01,61.16
2010-06-02,62.62
2010-06-03,63.01
2010-06-04,60.57
2010-06-07,58.46
2010-06-08,58.94
2010-06-09,58.62
2010-06-10,60.84
2010-06-11,61.24
2010-06-14,61.07
2010-06-15,62.67
2010-06-16,62.41
2010-06-17,62.2
2010-06-18,62.49
2010-06-21,62.17
2010-06-22,60.38
2010-06-23,60.41
2010-06-24,60.13
2010-06-25,60.37
2010-06-28,59.59
2010-06-29,57.53
2010-06-30,56.87
2010-07-01,57.98
2010-07-02,56.72
2010-07-06,57.25
2010-07-07,59.47
2010-07-08,59.95
2010-07-09,60.09
2010-07-12,60.01
2010-07-13,61.31
2010-07-14,61.78
2010-07-15,61.31
2010-07-16,59.67
2010-07-19,60.48
2010-07-20,60.86
2010-07-21,60.01
2010-07-22,63.15
2010-07-23,63.63
2010-07-26,64.88
2010-07-27,64.69
2010-07-28,64.8
2010-07-29,64.39
2010-07-30,65.01
2010-08-02,66.58
2010-08-03,66.59
2010-08-04,67.4
2010-08-05,67.45
2010-08-06,66.68
2010-08-09,67.43
2010-08-10,67.24
2010-08-11,65.26
2010-08-12,64.48
2010-08-13,64.44
2010-08-16,64.66
2010-08-17,66.0
2010-08-18,66.12
2010-08-19,65.39
2010-08-20,65.08
2010-08-23,65.26
2010-08-24,63.88
2010-08-25,63.31
2010-08-26,63.45
2010-08-27,64.5
2010-08-30,63.9
2010-08-31,63.76
2010-09-01,66.2
2010-09-02,67.12
2010-09-03,67.61
2010-09-07,67.07
2010-09-08,67.63
2010-09-09,67.7
2010-09-10,67.81
2010-09-13,67.52
2010-09-14,67.45
2010-09-15,67.64
2010-09-16,66.73
2010-09-17,66.66
2010-09-20,66.9
2010-09-21,67.02
2010-09-22,67.525
2010-09-23,66.38
2010-09-24,67.28
2010-09-27,67.13
2010-09-28,67.14
2010-09-29,66.74
2010-09-30,66.67
2010-10-01,66.42
2010-10-04,66.12
2010-10-05,67.81
2010-10-06,67.8
2010-10-07,67.36
2010-10-08,67.506
2010-10-11,67.32
2010-10-12,67.21
2010-10-13,68.67
2010-10-14,69.39
2010-10-15,69.32
2010-10-18,69.5
2010-10-19,68.71
2010-10-20,69.63
2010-10-21,69.58
2010-10-22,69.86
2010-10-25,69.38
2010-10-26,69.42
2010-10-27,67.94
2010-10-28,67.28
2010-10-29,67.37
2010-11-01,67.33
2010-11-02,68.31
2010-11-03,68.63
2010-11-04,69.35
2010-11-05,69.79
2010-11-08,69.48
2010-11-09,68.9999
2010-11-10,68.05
2010-11-11,68.25
2010-11-12,68.11
2010-11-15,68.07
2010-11-16,67.49
2010-11-17,67.22
2010-11-18,68.19
2010-11-19,69.09
2010-11-22,68.8
2010-11-23,68.15
2010-11-24,69.57
2010-11-26,69.1
2010-11-29,69.89
2010-11-30,70.08
2010-12-01,71.4504
2010-12-02,71.88
2010-12-03,71.78
2010-12-06,71.7
2010-12-07,71.7
2010-12-08,71.98
