dt,close
2017-01-20,28.0
2017-01-23,27.0
2017-01-24,27.3
2017-01-25,27.75
2017-01-26,26.73
2017-01-27,25.68
2017-01-30,27.31
2017-01-31,28.75
2017-02-01,30.36
2017-02-02,30.41
2017-02-03,30.57
2017-02-06,30.58
2017-02-07,30.0
2017-02-08,29.85
2017-02-09,30.26
2017-02-10,30.17
2017-02-13,29.6
2017-02-14,29.97
2017-02-15,29.91
2017-02-16,31.08
2017-02-17,32.64
2017-02-21,33.24
2017-02-22,33.33
2017-02-23,34.03
2017-02-24,34.71
2017-02-27,35.15
2017-02-28,34.82
2017-03-01,34.6
2017-03-02,33.69
2017-03-03,33.11
2017-03-06,32.84
2017-03-07,32.9
2017-03-08,31.94
2017-03-09,32.37
2017-03-10,31.68
2017-03-13,31.81
2017-03-14,30.99
2017-03-15,30.94
2017-03-16,30.62
2017-03-17,30.6
2017-03-20,30.94
2017-03-21,30.33
2017-03-22,30.72
2017-03-23,31.1
2017-03-24,31.0
2017-03-27,31.47
2017-03-28,32.04
2017-03-29,32.65
2017-03-30,33.38
2017-03-31,33.6
2017-04-03,33.21
2017-04-04,33.1
2017-04-05,32.79
2017-04-06,33.11
2017-04-07,32.9
2017-04-10,33.73
2017-04-11,33.2
2017-04-12,33.33
2017-04-13,33.84
2017-04-17,34.01
2017-04-18,34.69
2017-04-19,35.53
2017-04-20,35.99
2017-04-21,35.09
2017-04-24,34.67
2017-04-25,34.01
2017-04-26,33.84
2017-04-27,33.7
2017-04-28,33.56
2017-05-01,34.07
2017-05-02,33.86
2017-05-03,33.685
2017-05-04,33.25
2017-05-05,33.89
2017-05-08,33.7
2017-05-09,34.08
2017-05-10,33.99
2017-05-11,34.49
2017-05-12,34.36
2017-05-15,34.56
2017-05-16,34.5
2017-05-17,34.54
2017-05-18,34.38
2017-05-19,34.18
2017-05-22,33.9
2017-05-23,33.02
2017-05-24,33.44
2017-05-25,34.14
2017-05-26,34.92
2017-05-30,34.84
2017-05-31,34.35
2017-06-01,34.43
2017-06-02,34.69
2017-06-05,34.33
2017-06-06,33.53
2017-06-07,33.19
2017-06-08,34.1
2017-06-09,33.36
2017-06-12,33.93
2017-06-13,34.73
2017-06-14,34.32
2017-06-15,34.08
2017-06-16,33.93
2017-06-19,34.85
2017-06-20,34.67
2017-06-21,34.22
2017-06-22,34.65
2017-06-23,34.04
2017-06-26,33.94
2017-06-27,33.96
2017-06-28,33.99
2017-06-29,34.13
2017-06-30,33.78
2017-07-03,34.08
2017-07-05,34.19
