dt,close
2010-01-04,24.74
2010-01-05,25.0
2010-01-06,24.73
2010-01-07,24.39
2010-01-08,24.58
2010-01-11,24.5
2010-01-12,24.18
2010-01-13,24.4
2010-01-14,24.33
2010-01-15,23.95
2010-01-19,24.31
2010-01-20,24.01
2010-01-21,24.02
2010-01-22,23.35
2010-01-25,23.4
2010-01-26,23.52
2010-01-27,23.61
2010-01-28,23.09
2010-01-29,22.91
2010-02-01,23.19
2010-02-02,23.42
2010-02-03,23.29
2010-02-04,23.04
2010-02-05,23.24
2010-02-08,22.98
2010-02-09,23.01
2010-02-10,22.87
2010-02-11,23.35
2010-02-12,23.29
2010-02-16,23.61
2010-02-17,24.12
2010-02-18,23.98
2010-02-19,24.13
2010-02-22,24.33
2010-02-23,24.38
2010-02-24,24.65
2010-02-25,24.86
2010-02-26,24.91
2010-03-01,25.44
2010-03-02,25.24
2010-03-03,25.35
2010-03-04,26.26
2010-03-05,26.48
2010-03-08,26.55
2010-03-09,26.54
2010-03-10,26.9
2010-03-11,26.73
2010-03-12,26.63
2010-03-15,26.85
2010-03-16,26.75
2010-03-17,26.7
2010-03-18,26.98
2010-03-19,26.77
2010-03-22,26.54
2010-03-23,26.42
2010-03-24,26.39
2010-03-25,26.08
2010-03-26,25.94
2010-03-29,25.79
2010-03-30,25.95
2010-03-31,26.01
2010-04-01,26.36
2010-04-05,26.83
2010-04-06,26.92
2010-04-07,26.54
2010-04-08,26.6
2010-04-09,26.78
2010-04-12,26.67
2010-04-13,26.52
2010-04-14,26.81
2010-04-15,26.85
2010-04-16,26.6
2010-04-19,26.84
2010-04-20,27.07
2010-04-21,27.39
2010-04-22,27.42
2010-04-23,27.43
2010-04-26,27.39
2010-04-27,27.12
2010-04-28,26.89
2010-04-29,27.51
2010-04-30,27.27
2010-05-03,27.71
2010-05-04,26.81
2010-05-05,26.76
2010-05-06,26.35
2010-05-07,24.95
2010-05-10,26.47
2010-05-11,26.5
2010-05-12,27.35
2010-05-13,27.13
2010-05-14,26.71
2010-05-17,26.85
2010-05-18,28.1
2010-05-19,27.95
2010-05-20,27.47
2010-05-21,27.36
2010-05-24,27.07
2010-05-25,26.35
2010-05-26,26.82
2010-05-27,27.82
2010-05-28,27.93
2010-06-01,27.2
2010-06-02,27.89
2010-06-03,28.89
2010-06-04,28.28
2010-06-07,27.66
2010-06-08,27.56
2010-06-09,27.96
2010-06-10,28.49
2010-06-11,28.73
2010-06-14,28.66
2010-06-15,29.25
2010-06-16,29.49
2010-06-17,29.51
2010-06-18,29.39
2010-06-21,29.04
2010-06-22,28.25
2010-06-23,28.46
2010-06-24,27.92
2010-06-25,27.75
2010-06-28,27.88
2010-06-29,26.72
2010-06-30,26.55
2010-07-01,26.25
2010-07-02,26.09
2010-07-06,25.93
2010-07-07,27.38
2010-07-08,27.99
2010-07-09,27.25
2010-07-12,27.29
2010-07-13,28.49
2010-07-14,28.91
2010-07-15,28.71
2010-07-16,27.89
2010-07-19,28.25
2010-07-20,28.47
2010-07-21,28.08
2010-07-22,28.58
2010-07-23,28.79
2010-07-26,28.95
2010-07-27,28.86
2010-07-28,28.43
2010-07-29,28.45
2010-07-30,28.15
2010-08-02,28.0
2010-08-03,29.23
2010-08-04,29.67
2010-08-05,29.5
2010-08-06,29.47
2010-08-09,29.63
2010-08-10,29.79
2010-08-11,28.78
2010-08-12,28.7
2010-08-13,28.53
2010-08-16,29.02
2010-08-17,29.23
2010-08-18,29.19
2010-08-19,29.35
2010-08-20,29.35
2010-08-23,29.11
2010-08-24,28.49
2010-08-25,28.83
2010-08-26,29.02
2010-08-27,29.53
2010-08-30,29.06
2010-08-31,29.13
2010-09-01,29.57
2010-09-02,29.74
2010-09-03,30.1
2010-09-07,29.77
2010-09-08,30.49
2010-09-09,30.65
2010-09-10,30.85
2010-09-13,31.55
2010-09-14,31.285
2010-09-15,31.41
2010-09-16,31.37
2010-09-17,31.43
2010-09-20,32.11
2010-09-21,31.84
2010-09-22,31.89
2010-09-23,31.44
2010-09-24,31.65
2010-09-27,31.56
2010-09-28,31.46
2010-09-29,31.6
2010-09-30,31.72
2010-10-01,31.71
2010-10-04,31.78
2010-10-05,32.59
2010-10-06,31.93
2010-10-07,31.98
2010-10-08,31.99
2010-10-11,31.74
2010-10-12,32.1
2010-10-13,32.15
2010-10-14,32.03
2010-10-15,32.16
2010-10-18,32.09
2010-10-19,31.68
2010-10-20,32.18
2010-10-21,32.19
2010-10-22,32.86
2010-10-25,33.35
2010-10-26,33.26
2010-10-27,33.27
2010-10-28,33.43
2010-10-29,34.75
2010-11-01,34.43
2010-11-02,34.34
2010-11-03,34.5
2010-11-04,35.27
2010-11-05,35.13
2010-11-08,35.38
2010-11-09,35.08
2010-11-10,34.6
2010-11-11,34.59
2010-11-12,34.21
2010-11-15,34.07
2010-11-16,34.1
2010-11-17,34.4
2010-11-18,34.84
2010-11-19,34.85
2010-11-22,35.42
2010-11-23,34.52
2010-11-24,35.5
2010-11-26,34.54
2010-11-29,34.61
2010-11-30,34.31
2010-12-01,35.04
2010-12-02,35.32
2010-12-03,34.93
2010-12-06,34.98
2010-12-07,35.26
2010-12-08,35.22
2010-12-09,35.04
2010-12-10,35.7
2010-12-13,35.44
2010-12-14,35.49
2010-12-15,37.0
2010-12-16,34.15
2010-12-17,34.24
2010-12-20,34.13
2010-12-21,33.93
2010-12-22,33.59
2010-12-23,33.38
2010-12-27,33.17
2010-12-28,32.95
2010-12-29,32.9
2010-12-30,32.93
2010-12-31,32.67
2011-01-03,33.42
2011-01-04,33.21
2011-01-05,33.51
2011-01-06,33.75
2011-01-07,33.35
2011-01-10,32.91
2011-01-11,32.77
2011-01-12,32.52
2011-01-13,32.57
2011-01-14,33.14
2011-01-18,33.28
2011-01-19,32.62
2011-01-20,32.69
2011-01-21,32.21
2011-01-24,32.71
2011-01-25,32.51
2011-01-26,32.96
2011-01-27,32.93
2011-01-28,33.77
2011-01-31,33.64
2011-02-01,34.14
2011-02-02,34.03
2011-02-03,34.45
2011-02-04,35.27
2011-02-07,35.54
2011-02-08,35.5
