dt,high
2010-01-04,25.83
2010-01-05,25.71
2010-01-06,25.52
2010-01-07,25.58
2010-01-08,26.4
2010-01-11,26.49
2010-01-12,26.23
2010-01-13,26.43
2010-01-14,26.8
2010-01-15,26.75
2010-01-19,26.43
2010-01-20,26.19
2010-01-21,26.385
2010-01-22,25.78
2010-01-25,25.42
2010-01-26,24.81
2010-01-27,24.58
2010-01-28,24.65
2010-01-29,24.1
2010-02-01,24.08
2010-02-02,24.05
2010-02-03,24.07
2010-02-04,23.89
2010-02-05,23.39
2010-02-08,23.45
2010-02-09,23.9
2010-02-10,23.88
2010-02-11,24.28
2010-02-12,24.3
2010-02-16,25.45
2010-02-17,26.04
2010-02-18,26.04
2010-02-19,26.22
2010-02-22,26.55
2010-02-23,26.16
2010-02-24,28.49
2010-02-25,28.0
2010-02-26,28.12
2010-03-01,28.41
2010-03-02,28.94
2010-03-03,28.94
2010-03-04,28.77
2010-03-05,28.99
2010-03-08,29.15
2010-03-09,29.22
2010-03-10,29.43
2010-03-11,29.21
2010-03-12,29.34
2010-03-15,29.3
2010-03-16,29.35
2010-03-17,29.96
2010-03-18,29.73
2010-03-19,29.64
2010-03-22,29.7
2010-03-23,29.82
2010-03-24,29.79
2010-03-25,29.96
2010-03-26,29.7604
2010-03-29,29.75
2010-03-30,29.58
2010-03-31,29.6
2010-04-01,29.59
2010-04-05,30.36
2010-04-06,31.0
2010-04-07,30.84
2010-04-08,31.22
2010-04-09,31.23
2010-04-12,31.5
2010-04-13,31.72
2010-04-14,31.75
2010-04-15,31.89
2010-04-16,32.01
2010-04-19,31.59
2010-04-20,32.195
2010-04-21,32.5
2010-04-22,33.72
2010-04-23,34.23
2010-04-26,35.18
2010-04-27,34.97
2010-04-28,34.21
2010-04-29,34.67
2010-04-30,34.82
2010-05-03,34.95
2010-05-04,34.28
2010-05-05,33.2
2010-05-06,31.98
2010-05-07,30.83
2010-05-10,32.47
2010-05-11,32.32
2010-05-12,32.82
2010-05-13,33.49
2010-05-14,32.21
2010-05-17,31.13
2010-05-18,31.19
2010-05-19,30.5
2010-05-20,30.83
2010-05-21,29.45
2010-05-24,29.82
2010-05-25,29.0
2010-05-26,29.5675
2010-05-27,29.61
2010-05-28,29.7
2010-06-01,29.58
2010-06-02,29.28
2010-06-03,30.02
2010-06-04,29.505
2010-06-07,27.73
2010-06-08,26.89
2010-06-09,27.445
2010-06-10,27.45
2010-06-11,27.66
2010-06-14,27.95
2010-06-15,28.685
2010-06-16,28.69
2010-06-17,28.69
2010-06-18,29.36
2010-06-21,29.88
2010-06-22,29.46
2010-06-23,28.32
2010-06-24,27.6
2010-06-25,26.905
2010-06-28,26.62
2010-06-29,25.71
2010-06-30,24.77
2010-07-01,24.65
2010-07-02,24.66
2010-07-06,24.96
2010-07-07,25.13
2010-07-08,25.02
2010-07-09,25.02
2010-07-12,25.15
2010-07-13,26.36
2010-07-14,26.51
2010-07-15,26.6
2010-07-16,26.51
2010-07-19,25.69
2010-07-20,26.665
2010-07-21,27.23
2010-07-22,28.37
2010-07-23,28.89
2010-07-26,29.845
2010-07-27,29.75
2010-07-28,29.29
2010-07-29,29.54
2010-07-30,29.73
2010-08-02,31.06
2010-08-03,30.85
2010-08-04,31.12
2010-08-05,30.74
2010-08-06,29.46
2010-08-09,29.21
2010-08-10,28.83
2010-08-11,28.1
2010-08-12,27.75
2010-08-13,29.68
2010-08-16,28.55
2010-08-17,28.39
2010-08-18,28.42
2010-08-19,28.29
2010-08-20,28.26
2010-08-23,28.48
2010-08-24,27.53
2010-08-25,27.64
2010-08-26,28.01
2010-08-27,28.54
2010-08-30,28.44
2010-08-31,27.99
2010-09-01,29.09
2010-09-02,29.33
2010-09-03,30.16
2010-09-07,30.02
2010-09-08,30.23
2010-09-09,30.67
2010-09-10,31.07
2010-09-13,32.08
2010-09-14,32.64
2010-09-15,32.61
2010-09-16,32.82
2010-09-17,33.18
2010-09-20,33.48
2010-09-21,33.6
2010-09-22,32.92
2010-09-23,31.79
2010-09-24,32.12
2010-09-27,32.03
2010-09-28,33.13
2010-09-29,32.7
2010-09-30,32.5898
2010-10-01,32.17
2010-10-04,31.96
2010-10-05,32.94
2010-10-06,32.8
2010-10-07,32.14
2010-10-08,32.05
2010-10-11,32.0
2010-10-12,32.78
2010-10-13,33.63
2010-10-14,33.77
2010-10-15,33.77
2010-10-18,33.32
2010-10-19,33.17
2010-10-20,34.16
2010-10-21,34.87
2010-10-22,34.845
2010-10-25,35.58
2010-10-26,35.695
2010-10-27,35.85
2010-10-28,35.87
2010-10-29,36.29
2010-11-01,36.23
2010-11-02,35.58
2010-11-03,35.655
2010-11-04,36.24
2010-11-05,36.12
2010-11-08,35.93
2010-11-09,35.78
2010-11-10,35.9
2010-11-11,36.44
2010-11-12,36.06
2010-11-15,35.89
2010-11-16,35.8
2010-11-17,35.32
2010-11-18,36.641
2010-11-19,35.44
2010-11-22,34.92
2010-11-23,34.47
2010-11-24,35.89
2010-11-26,35.48
2010-11-29,35.7
2010-11-30,35.58
2010-12-01,36.83
2010-12-02,37.7
2010-12-03,37.9981
2010-12-06,37.9
2010-12-07,38.05
2010-12-08,37.83
2010-12-09,38.36
2010-12-10,39.19
2010-12-13,39.2
2010-12-14,39.17
2010-12-15,39.01
2010-12-16,38.76
2010-12-17,39.5
2010-12-20,39.51
2010-12-21,39.72
2010-12-22,39.8
2010-12-23,39.635
2010-12-27,39.23
2010-12-28,39.48
2010-12-29,39.41
2010-12-30,39.35
2010-12-31,38.82
2011-01-03,39.85
2011-01-04,39.32
2011-01-05,41.33
2011-01-06,41.39
2011-01-07,41.45
2011-01-10,41.12
2011-01-11,41.37
2011-01-12,40.93
2011-01-13,41.24
2011-01-14,41.62
2011-01-18,42.32
2011-01-19,42.0
2011-01-20,41.49
2011-01-21,42.09
2011-01-24,41.65
2011-01-25,40.81
2011-01-26,41.34
2011-01-27,40.99
2011-01-28,41.39
2011-01-31,40.75
2011-02-01,42.3
2011-02-02,43.54
2011-02-03,43.815
2011-02-04,44.37
2011-02-07,43.8795
2011-02-08,43.41
2011-02-09,42.89
2011-02-10,42.87
2011-02-11,42.86
2011-02-14,43.09
2011-02-15,42.78
2011-02-16,44.44
2011-02-17,43.86
2011-02-18,44.25
2011-02-22,43.01
2011-02-23,42.1
2011-02-24,41.04
2011-02-25,43.63
2011-02-28,42.76
2011-03-01,42.28
2011-03-02,41.37
2011-03-03,41.93
2011-03-04,41.35
2011-03-07,41.29
2011-03-08,40.94
2011-03-09,40.7
2011-03-10,40.17
2011-03-11,40.4
2011-03-14,40.69
2011-03-15,39.57
2011-03-16,39.4
2011-03-17,39.42
2011-03-18,39.83
2011-03-21,41.45
2011-03-22,41.66
2011-03-23,41.87
2011-03-24,44.0
2011-03-25,44.0
2011-03-28,43.56
2011-03-29,43.69
2011-03-30,43.82
2011-03-31,44.43
2011-04-01,44.0
2011-04-04,44.5
2011-04-05,44.19
2011-04-06,44.5
2011-04-07,43.47
2011-04-08,43.46
2011-04-11,43.18
2011-04-12,43.0
2011-04-13,42.96
2011-04-14,42.76
2011-04-15,43.24
2011-04-18,42.65
2011-04-19,42.66
2011-04-20,44.64
2011-04-21,44.96
2011-04-25,45.58
2011-04-26,45.6
2011-04-27,45.13
2011-04-28,45.45
2011-04-29,45.31
2011-05-02,45.37
2011-05-03,44.81
2011-05-04,44.31
2011-05-05,44.11
2011-05-06,45.29
2011-05-09,44.81
2011-05-10,45.31
2011-05-11,45.495
2011-05-12,46.0
2011-05-13,46.15
2011-05-16,45.54
2011-05-17,44.41
2011-05-18,44.38
2011-05-19,45.0
2011-05-20,44.36
2011-05-23,42.39
2011-05-24,42.85
2011-05-25,42.64
2011-05-26,42.83
2011-05-27,42.91
2011-05-31,43.0
2011-06-01,42.96
2011-06-02,41.63
2011-06-03,41.09
2011-06-06,40.8
2011-06-07,40.17
2011-06-08,39.5
2011-06-09,38.42
2011-06-10,38.22
2011-06-13,38.27
2011-06-14,38.22
2011-06-15,37.57
2011-06-16,36.85
2011-06-17,36.9
2011-06-20,35.91
2011-06-21,37.11
2011-06-22,36.79
2011-06-23,37.23
2011-06-24,37.35
2011-06-27,37.72
2011-06-28,38.24
2011-06-29,38.72
2011-06-30,39.15
2011-07-01,38.89
2011-07-05,38.93
2011-07-06,39.43
2011-07-07,40.45
2011-07-08,40.24
2011-07-11,39.91
2011-07-12,39.19
2011-07-13,38.21
2011-07-14,37.69
2011-07-15,36.8
2011-07-18,36.04
2011-07-19,36.57
2011-07-20,36.29
2011-07-21,36.43
2011-07-22,37.59
2011-07-25,36.96
2011-07-26,36.77
2011-07-27,36.33
2011-07-28,35.11
2011-07-29,34.79
2011-08-01,34.8
2011-08-02,34.48
2011-08-03,34.01
2011-08-04,33.62
2011-08-05,32.0594
2011-08-08,30.24
2011-08-09,29.97
2011-08-10,29.45
2011-08-11,29.16
2011-08-12,29.49
2011-08-15,30.11
2011-08-16,29.88
2011-08-17,29.92
2011-08-18,27.9
2011-08-19,27.4
2011-08-22,24.83
2011-08-23,25.51
2011-08-24,26.52
2011-08-25,26.66
2011-08-26,26.8
2011-08-29,28.07
2011-08-30,28.08
2011-08-31,28.9181
2011-09-01,28.53
2011-09-02,26.88
2011-09-06,26.23
2011-09-07,27.03
2011-09-08,27.12
2011-09-09,26.38
2011-09-12,26.75
2011-09-13,27.78
2011-09-14,28.85
2011-09-15,29.43
2011-09-16,29.68
2011-09-19,29.041999999999998
2011-09-20,29.2
2011-09-21,30.32
2011-09-22,28.13
2011-09-23,28.445
2011-09-26,28.56
2011-09-27,30.27
2011-09-28,30.22
2011-09-29,29.57
2011-09-30,29.05
2011-10-03,27.44
2011-10-04,26.13
2011-10-05,27.3
2011-10-06,28.01
2011-10-07,28.66
2011-10-10,29.28
2011-10-11,30.05
2011-10-12,31.545
2011-10-13,31.03
2011-10-14,32.43
2011-10-17,32.4
2011-10-18,32.05
2011-10-19,31.77
2011-10-20,31.37
2011-10-21,32.56
2011-10-24,33.17
2011-10-25,33.0225
2011-10-26,32.9
2011-10-27,36.35
2011-10-28,36.035
2011-10-31,35.31
2011-11-01,33.73
2011-11-02,34.23
2011-11-03,35.32
2011-11-04,35.19
2011-11-07,35.25
2011-11-08,35.6
2011-11-09,34.2
2011-11-10,33.42
2011-11-11,34.47
2011-11-14,34.2
2011-11-15,34.49
2011-11-16,36.85
2011-11-17,35.88
2011-11-18,34.68
