dt,high
2010-01-04,9.9
2010-01-05,9.9
2010-01-06,9.76
2010-01-07,9.55
2010-01-08,9.47
2010-01-11,9.44
2010-01-12,8.92
2010-01-13,9.2
2010-01-14,9.26
2010-01-15,9.19
2010-01-19,9.21
2010-01-20,9.0
2010-01-21,9.1
2010-01-22,8.56
2010-01-25,8.14
2010-01-26,8.19
2010-01-27,8.22
2010-01-28,8.25
2010-01-29,8.1
2010-02-01,7.98
2010-02-02,7.96
2010-02-03,7.96
2010-02-04,7.65
2010-02-05,7.37
2010-02-08,7.62
2010-02-09,7.64
2010-02-10,7.71
2010-02-11,7.9
2010-02-12,8.0
2010-02-16,8.14
2010-02-17,8.2
2010-02-18,8.08
2010-02-19,7.99
2010-02-22,8.0
2010-02-23,7.94
2010-02-24,8.1
2010-02-25,7.89
2010-02-26,7.96
2010-03-01,8.25
2010-03-02,8.6
2010-03-03,8.55
2010-03-04,8.5
2010-03-05,8.7
2010-03-08,8.69
2010-03-09,8.69
2010-03-10,9.09
2010-03-11,9.0
2010-03-12,9.04
2010-03-15,8.95
2010-03-16,9.42
2010-03-17,9.74
2010-03-18,9.66
2010-03-19,9.41
2010-03-22,9.32
2010-03-23,9.49
2010-03-24,9.38
2010-03-25,9.44
2010-03-26,9.19
2010-03-29,9.2
2010-03-30,9.28
2010-03-31,9.44
2010-04-01,9.49
2010-04-05,9.54
2010-04-06,9.49
2010-04-07,9.83
2010-04-08,9.63
2010-04-09,9.58
2010-04-12,9.53
2010-04-13,9.59
2010-04-14,9.965
2010-04-15,10.24
2010-04-16,9.9
2010-04-19,9.8382
2010-04-20,9.81
2010-04-21,9.91
2010-04-22,9.9
2010-04-23,9.85
2010-04-26,10.15
2010-04-27,10.06
2010-04-28,9.8
2010-04-29,9.78
2010-04-30,9.72
2010-05-03,9.38
2010-05-04,9.08
2010-05-05,8.88
2010-05-06,8.72
2010-05-07,8.67
2010-05-10,9.03
2010-05-11,9.29
2010-05-12,9.58
2010-05-13,9.78
2010-05-14,9.31
2010-05-17,8.87
2010-05-18,9.01
2010-05-19,8.63
2010-05-20,8.37
2010-05-21,8.55
2010-05-24,8.56
2010-05-25,8.15
2010-05-26,8.59
2010-05-27,8.8
2010-05-28,8.87
2010-06-01,8.43
2010-06-02,8.54
2010-06-03,8.73
2010-06-04,8.665
2010-06-07,8.22
2010-06-08,7.88
2010-06-09,8.05
2010-06-10,8.04
2010-06-11,8.18
2010-06-14,8.45
2010-06-15,8.88
2010-06-16,9.19
2010-06-17,9.05
2010-06-18,9.05
2010-06-21,9.16
2010-06-22,9.02
2010-06-23,8.8
2010-06-24,8.57
2010-06-25,8.22
2010-06-28,8.24
2010-06-29,7.93
2010-06-30,7.65
2010-07-01,7.53
2010-07-02,7.48
2010-07-06,7.42
2010-07-07,7.41
2010-07-08,7.52
2010-07-09,7.35
2010-07-12,7.6
2010-07-13,7.69
2010-07-14,7.82
2010-07-15,7.48
2010-07-16,7.59
2010-07-19,7.535
2010-07-20,7.63
2010-07-21,7.65
2010-07-22,7.68
2010-07-23,7.84
2010-07-26,8.1
2010-07-27,8.25
2010-07-28,8.2
2010-07-29,7.88
2010-07-30,7.67
2010-08-02,7.77
2010-08-03,7.59
2010-08-04,7.61
2010-08-05,7.62
2010-08-06,7.72
2010-08-09,7.52
2010-08-10,7.13
2010-08-11,6.68
2010-08-12,6.75
2010-08-13,6.72
2010-08-16,6.71
2010-08-17,6.77
2010-08-18,6.66
2010-08-19,6.55
2010-08-20,6.4404
2010-08-23,6.36
2010-08-24,6.21
2010-08-25,6.18
2010-08-26,6.22
2010-08-27,6.09
2010-08-30,6.08
2010-08-31,5.8
2010-09-01,5.86
2010-09-02,5.96
2010-09-03,6.12
2010-09-07,6.18
2010-09-08,5.96
2010-09-09,5.945
2010-09-10,5.9
2010-09-13,6.34
2010-09-14,6.47
2010-09-15,6.29
2010-09-16,6.25
2010-09-17,6.22
2010-09-20,6.17
2010-09-21,6.25
2010-09-22,6.27
2010-09-23,6.59
2010-09-24,6.85
2010-09-27,7.24
2010-09-28,7.09
2010-09-29,7.34
2010-09-30,7.44
2010-10-01,7.26
2010-10-04,7.08
2010-10-05,7.12
2010-10-06,7.05
2010-10-07,6.93
2010-10-08,7.1
2010-10-11,7.28
2010-10-12,7.35
2010-10-13,7.48
2010-10-14,7.25
2010-10-15,7.39
2010-10-18,7.13
2010-10-19,7.14
2010-10-20,7.05
2010-10-21,6.95
2010-10-22,7.0
2010-10-25,7.33
2010-10-26,7.3
2010-10-27,7.35
2010-10-28,7.68
2010-10-29,7.63
2010-11-01,7.5
2010-11-02,7.63
2010-11-03,7.67
2010-11-04,8.0
2010-11-05,8.16
2010-11-08,8.22
2010-11-09,8.24
2010-11-10,7.94
2010-11-11,7.68
2010-11-12,7.85
2010-11-15,7.82
2010-11-16,7.65
2010-11-17,7.43
2010-11-18,7.48
2010-11-19,7.53
2010-11-22,7.56
2010-11-23,7.41
2010-11-24,7.67
2010-11-26,7.65
2010-11-29,7.5
2010-11-30,7.37
2010-12-01,7.6
2010-12-02,7.63
2010-12-03,7.7
2010-12-06,7.87
2010-12-07,8.14
2010-12-08,8.2
2010-12-09,8.23
2010-12-10,8.12
2010-12-13,8.43
2010-12-14,8.27
2010-12-15,8.24
2010-12-16,8.12
2010-12-17,8.1
2010-12-20,8.24
2010-12-21,8.32
2010-12-22,8.18
2010-12-23,8.11
2010-12-27,8.08
2010-12-28,8.17
2010-12-29,8.15
2010-12-30,8.15
2010-12-31,8.19
2011-01-03,8.55
2011-01-04,8.84
2011-01-05,8.95
2011-01-06,8.94
2011-01-07,8.86
2011-01-10,9.25
2011-01-11,8.8
2011-01-12,8.5
2011-01-13,8.46
2011-01-14,8.33
2011-01-18,8.24
2011-01-19,8.17
2011-01-20,8.02
2011-01-21,8.15
2011-01-24,7.73
2011-01-25,7.68
2011-01-26,7.54
2011-01-27,7.78
2011-01-28,7.83
2011-01-31,8.04
2011-02-01,8.25
2011-02-02,8.6
2011-02-03,8.43
2011-02-04,8.49
2011-02-07,8.49
