dt,high
2010-01-04,62.22
2010-01-05,62.94
2010-01-06,64.5
2010-01-07,65.72
2010-01-08,61.21
2010-01-11,60.48
2010-01-12,60.17
2010-01-13,60.01
2010-01-14,60.3
2010-01-15,60.48
2010-01-19,60.27
2010-01-20,59.84
2010-01-21,61.88
2010-01-22,62.16
2010-01-25,62.01
2010-01-26,62.19
2010-01-27,64.6
2010-01-28,63.58
2010-01-29,63.69
2010-02-01,60.7495
2010-02-02,60.76
2010-02-03,61.32
2010-02-04,61.09
2010-02-05,61.0
2010-02-08,60.62
2010-02-09,59.95
2010-02-10,59.85
2010-02-11,59.295
2010-02-12,59.32
2010-02-16,60.21
2010-02-17,60.85
2010-02-18,61.74
2010-02-19,58.16
2010-02-22,58.1
2010-02-23,59.09
2010-02-24,60.0
2010-02-25,59.78
2010-02-26,60.23
2010-03-01,60.31
2010-03-02,60.17
2010-03-03,61.14
2010-03-04,61.4999
2010-03-05,62.59
2010-03-08,62.96
2010-03-09,62.53
2010-03-10,63.54
2010-03-11,63.9
2010-03-12,63.39
2010-03-15,63.58
2010-03-16,64.8
2010-03-17,64.65
2010-03-18,65.69
2010-03-19,65.47
2010-03-22,64.83
2010-03-23,64.48
2010-03-24,64.3
2010-03-25,63.4
2010-03-26,62.67
2010-03-29,65.12
2010-03-30,63.89
2010-03-31,62.19
2010-04-01,61.89
2010-04-05,62.64
2010-04-06,64.39
2010-04-07,65.24
2010-04-08,64.49
2010-04-09,63.21
2010-04-12,63.65
2010-04-13,65.17
2010-04-14,64.89
2010-04-15,64.21
2010-04-16,64.75
2010-04-19,65.19
2010-04-20,65.7
2010-04-21,65.93
2010-04-22,66.69
2010-04-23,64.65
2010-04-26,62.95
2010-04-27,62.99
2010-04-28,62.17
2010-04-29,61.25
2010-04-30,58.48
2010-05-03,58.36
2010-05-04,57.79
2010-05-05,57.65
2010-05-06,57.33
2010-05-07,55.6
2010-05-10,56.0
2010-05-11,55.38
2010-05-12,55.85
2010-05-13,55.76
2010-05-14,54.69
2010-05-17,58.38
2010-05-18,58.8
2010-05-19,56.68
2010-05-20,59.05
2010-05-21,56.17
2010-05-24,55.86
2010-05-25,55.08
2010-05-26,55.68
2010-05-27,53.63
2010-05-28,53.78
2010-06-01,53.175
2010-06-02,51.78
2010-06-03,53.07
2010-06-04,53.21
2010-06-07,51.89
2010-06-08,50.68
