dt,high
2010-01-04,78.94
2010-01-05,79.42
2010-01-06,79.37
2010-01-07,80.28
2010-01-08,80.54
2010-01-11,81.97
2010-01-12,81.18
2010-01-13,83.02
2010-01-14,83.56
2010-01-15,83.545
2010-01-19,84.0
2010-01-20,83.79
2010-01-21,82.39
2010-01-22,81.25
2010-01-25,80.28
2010-01-26,80.55
2010-01-27,80.66
2010-01-28,80.94
2010-01-29,84.47
2010-02-01,83.26
2010-02-02,83.56
2010-02-03,83.79
2010-02-04,82.79
2010-02-05,81.13
2010-02-08,81.51
2010-02-09,82.25
2010-02-10,81.62
2010-02-11,82.23
2010-02-12,82.03
2010-02-16,83.03
2010-02-17,84.0
2010-02-18,83.9
2010-02-19,83.9
2010-02-22,83.83
2010-02-23,83.72
2010-02-24,83.31
2010-02-25,83.23
2010-02-26,84.0
2010-03-01,84.76
2010-03-02,85.15
2010-03-03,84.54
2010-03-04,84.21
2010-03-05,84.92
2010-03-08,84.71
2010-03-09,83.84
2010-03-10,83.53
2010-03-11,82.95
2010-03-12,82.95
2010-03-15,83.28
2010-03-16,83.64
2010-03-17,84.3
2010-03-18,84.33
2010-03-19,84.53
2010-03-22,85.04
2010-03-23,85.12
2010-03-24,85.68
2010-03-25,86.1
2010-03-26,86.06
2010-03-29,86.59
2010-03-30,86.71
2010-03-31,87.1
2010-04-01,84.95
2010-04-05,85.13
2010-04-06,84.9
2010-04-07,84.53
2010-04-08,84.29
2010-04-09,85.21
2010-04-12,85.4
2010-04-13,85.44
2010-04-14,86.22
2010-04-15,86.43
2010-04-16,86.425
2010-04-19,86.11
2010-04-20,87.44
2010-04-21,87.54
2010-04-22,86.59
2010-04-23,90.0
2010-04-26,86.55
2010-04-27,85.37
2010-04-28,87.21
2010-04-29,87.87
2010-04-30,88.25
2010-05-03,87.03
2010-05-04,86.19
2010-05-05,86.09
2010-05-06,85.79
2010-05-07,84.49
2010-05-10,85.56
2010-05-11,84.63
2010-05-12,84.45
2010-05-13,84.73
2010-05-14,83.65
2010-05-17,83.75
2010-05-18,84.33
2010-05-19,83.49
2010-05-20,82.09
2010-05-21,80.0
2010-05-24,81.3
2010-05-25,80.01
2010-05-26,81.35
2010-05-27,81.58
2010-05-28,82.2
2010-06-01,81.07
2010-06-02,81.39
2010-06-03,81.45
2010-06-04,80.3
2010-06-07,79.57
2010-06-08,78.5
2010-06-09,78.6
2010-06-10,80.05
2010-06-11,80.07
2010-06-14,80.72
2010-06-15,80.745
2010-06-16,81.48
2010-06-17,81.37
2010-06-18,81.33
2010-06-21,81.41
2010-06-22,82.53
2010-06-23,80.71
2010-06-24,79.65
2010-06-25,79.005
2010-06-28,79.53
2010-06-29,78.68
2010-06-30,78.65
2010-07-01,77.63
2010-07-02,77.02
2010-07-06,77.61
2010-07-07,77.92
2010-07-08,79.71
2010-07-09,79.43
2010-07-12,79.1
2010-07-13,80.0
2010-07-14,79.66
2010-07-15,79.63
2010-07-16,78.95
2010-07-19,78.03
2010-07-20,77.99
2010-07-21,77.8
2010-07-22,77.6
2010-07-23,80.85
2010-07-26,79.29
2010-07-27,79.02
2010-07-28,78.84
2010-07-29,78.66
2010-07-30,78.68
2010-08-02,80.69
2010-08-03,81.03
2010-08-04,81.3
2010-08-05,81.1
2010-08-06,80.8
2010-08-09,81.14
2010-08-10,81.18
2010-08-11,80.14
2010-08-12,80.03
2010-08-13,80.23
2010-08-16,79.67
2010-08-17,81.03
2010-08-18,81.34
2010-08-19,80.53
2010-08-20,79.15
2010-08-23,79.68
2010-08-24,77.77
2010-08-25,77.64
2010-08-26,77.65
2010-08-27,78.0
2010-08-30,78.04
2010-08-31,77.18
2010-09-01,78.36
2010-09-02,78.71
2010-09-03,79.37
2010-09-07,78.15
2010-09-08,77.75
2010-09-09,78.15
2010-09-10,77.47
2010-09-13,77.62
2010-09-14,77.75
2010-09-15,79.95
2010-09-16,80.56
2010-09-17,81.25
2010-09-20,81.04
2010-09-21,80.84
2010-09-22,80.98
2010-09-23,80.01
2010-09-24,79.945
2010-09-27,80.06
2010-09-28,81.6
2010-09-29,81.99
2010-09-30,82.2
2010-10-01,82.49
2010-10-04,81.94
2010-10-05,83.38
2010-10-06,83.6
2010-10-07,83.0
2010-10-08,83.15
2010-10-11,83.55
2010-10-12,83.78
2010-10-13,83.95
2010-10-14,83.91
2010-10-15,84.76
2010-10-18,85.23899999999999
2010-10-19,84.83
2010-10-20,85.3
2010-10-21,85.48
2010-10-22,85.55
2010-10-25,84.285
2010-10-26,83.86
2010-10-27,83.59
2010-10-28,83.99
2010-10-29,83.22
2010-11-01,83.71
2010-11-02,84.155
2010-11-03,84.53
2010-11-04,85.5
2010-11-05,85.5
2010-11-08,85.11
2010-11-09,86.56
2010-11-10,86.32
2010-11-11,86.29
2010-11-12,85.57
2010-11-15,85.83
2010-11-16,84.95
2010-11-17,84.935
2010-11-18,85.39
2010-11-19,85.01
2010-11-22,85.3
2010-11-23,85.14
2010-11-24,85.66
2010-11-26,85.28
2010-11-29,85.29
