dt,high
2017-07-17,75.0
2017-07-18,72.0
2017-07-19,69.51
2017-07-20,70.0
2017-07-21,70.0
2017-07-24,69.29
2017-07-25,69.1461
2017-07-27,69.25
2017-07-28,67.26
2017-07-31,67.7
2017-08-01,66.86
2017-08-02,66.06
2017-08-03,65.5
2017-08-04,65.05
2017-08-07,62.85
2017-08-08,61.5
2017-08-09,57.12
2017-08-10,59.49
2017-08-11,58.4842
2017-08-14,58.53
2017-08-15,59.0
2017-08-16,58.72
2017-08-17,57.58
2017-08-18,57.92
2017-08-21,57.94
2017-08-22,57.8
2017-08-23,57.29
2017-08-24,56.64
2017-08-25,56.63
2017-08-28,55.975
2017-08-29,55.87
2017-08-30,57.47
2017-08-31,57.4
2017-09-01,57.98
2017-09-05,57.19
2017-09-06,54.59
2017-09-07,53.68
2017-09-08,54.592
2017-09-11,56.0
2017-09-12,55.98
2017-09-13,55.4
2017-09-14,55.69
2017-09-15,56.59
2017-09-18,57.4
2017-09-19,57.31
2017-09-20,57.54
2017-09-21,58.0635
2017-09-22,58.55
2017-09-25,58.94
2017-09-26,60.84
2017-09-27,61.92
2017-09-28,61.2
2017-09-29,61.13
2017-10-02,61.05
2017-10-03,60.815
2017-10-04,60.44
2017-10-05,60.7
2017-10-06,61.3
2017-10-09,60.98
2017-10-10,60.49
2017-10-11,60.78
2017-10-12,60.75
2017-10-13,60.42
2017-10-16,60.84
2017-10-17,60.66
2017-10-18,60.83
2017-10-19,61.21
2017-10-20,62.5499
2017-10-23,62.35
2017-10-24,62.9
2017-10-25,63.0
2017-10-26,63.24
2017-10-27,63.66
2017-10-30,63.47
2017-10-31,62.95
2017-11-01,62.84
2017-11-02,60.19
2017-11-03,59.45
2017-11-06,58.28
2017-11-07,57.02
2017-11-08,56.81
2017-11-09,56.79
2017-11-10,56.72
2017-11-13,56.52
2017-11-14,55.88
2017-11-15,56.225
2017-11-16,55.58
2017-11-17,55.9
2017-11-20,55.65
2017-11-21,57.2
2017-11-22,57.6
2017-11-24,57.72
2017-11-27,57.66
2017-11-28,58.46
2017-11-29,60.12
2017-11-30,60.14
2017-12-01,59.05
2017-12-04,59.81
2017-12-05,59.03
2017-12-06,58.89
2017-12-07,59.08
2017-12-08,60.22
2017-12-11,60.5535
2017-12-12,60.41
2017-12-13,60.24
2017-12-14,60.74
2017-12-15,59.22
2017-12-18,59.28
2017-12-19,59.3
2017-12-20,58.99
2017-12-21,60.46
2017-12-22,61.01
2017-12-26,60.06
2017-12-27,59.95
2017-12-28,59.34
2017-12-29,59.47
2018-01-02,58.44
2018-01-03,58.93
2018-01-04,59.75
2018-01-05,60.79
2018-01-08,60.6
2018-01-09,61.81
2018-01-10,64.78
2018-01-11,65.73
2018-01-12,65.6
2018-01-16,65.59
2018-01-17,64.59
2018-01-18,64.74
2018-01-19,64.71
2018-01-22,64.61
2018-01-23,65.0
2018-01-24,65.57
2018-01-25,65.47
2018-01-26,65.92
2018-01-29,67.55
2018-01-30,66.84
2018-01-31,65.02
2018-02-01,64.42
2018-02-02,63.89
2018-02-05,62.68
