dt,high
2010-01-04,239.6
2010-01-05,239.67
2010-01-06,238.65
2010-01-07,237.7
2010-01-08,239.41
2010-01-11,243.8
2010-01-12,243.19
2010-01-13,239.95
2010-01-14,240.29
2010-01-15,238.7
2010-01-19,240.86
2010-01-20,239.39
2010-01-21,240.02
2010-01-22,235.68
2010-01-25,228.29
2010-01-26,228.89
2010-01-27,231.13
2010-01-28,228.45
2010-01-29,224.81
2010-02-01,219.23
2010-02-02,216.38
2010-02-03,221.89
2010-02-04,217.62
2010-02-05,212.5
2010-02-08,209.96
2010-02-09,209.37
2010-02-10,212.91
2010-02-11,211.25
2010-02-12,206.46
2010-02-16,210.395
2010-02-17,213.6785
2010-02-18,215.24
2010-02-19,216.1885
2010-02-22,219.305
2010-02-23,219.21
2010-02-24,218.98
2010-02-25,219.12
2010-02-26,219.85
2010-03-01,219.81
2010-03-02,220.32
2010-03-03,219.22
2010-03-04,217.91
2010-03-05,219.88
2010-03-08,219.83
2010-03-09,218.88
2010-03-10,218.88
2010-03-11,215.46
2010-03-12,213.74
2010-03-15,213.21
2010-03-16,213.51
2010-03-17,226.65
2010-03-18,227.0
2010-03-19,225.99
2010-03-22,225.8
2010-03-23,227.77
2010-03-24,226.9185
2010-03-25,227.7
2010-03-26,225.94
2010-03-29,220.43
2010-03-30,220.12
2010-03-31,221.78
2010-04-01,211.98
2010-04-05,210.69
2010-04-06,205.09
2010-04-07,201.41
2010-04-08,204.59
2010-04-09,208.9
2010-04-12,207.0
2010-04-13,207.72
2010-04-14,211.43
2010-04-15,212.27
2010-04-16,206.68
2010-04-19,203.63
2010-04-20,204.85
2010-04-21,205.35
2010-04-22,208.33
2010-04-23,211.89
2010-04-26,204.3
2010-04-27,193.78
2010-04-28,190.99
2010-04-29,191.17
2010-04-30,189.92
2010-05-03,187.41
2010-05-04,184.5
2010-05-05,178.44
2010-05-06,179.42
2010-05-07,175.99
2010-05-10,181.11
2010-05-11,174.62
2010-05-12,174.18
2010-05-13,175.26
2010-05-14,172.73
2010-05-17,172.7
2010-05-18,175.81
2010-05-19,169.65
2010-05-20,165.77
2010-05-21,167.05
2010-05-24,169.68
2010-05-25,162.57
2010-05-26,165.78
2010-05-27,172.48
2010-05-28,174.08
2010-06-01,167.88
2010-06-02,165.7
2010-06-03,167.88
2010-06-04,162.38
2010-06-07,162.18
2010-06-08,158.385
2010-06-09,158.85
2010-06-10,158.52
2010-06-11,159.26
2010-06-14,161.2
2010-06-15,163.29
2010-06-16,163.42
2010-06-17,162.39
2010-06-18,160.45
2010-06-21,161.85
2010-06-22,158.81
2010-06-23,156.6
2010-06-24,154.79
2010-06-25,155.67
2010-06-28,153.84
2010-06-29,149.93
2010-06-30,147.05
2010-07-01,145.35
2010-07-02,144.02
2010-07-06,147.61
2010-07-07,148.61
2010-07-08,152.25
2010-07-09,155.26
2010-07-12,155.69
2010-07-13,158.45
2010-07-14,156.76
2010-07-15,155.375
2010-07-16,152.97
2010-07-19,150.2095
2010-07-20,149.47
2010-07-21,150.99
2010-07-22,152.195
2010-07-23,155.59
2010-07-26,159.89
2010-07-27,162.64
2010-07-28,159.99
2010-07-29,159.96
2010-07-30,159.24
2010-08-02,163.51
2010-08-03,162.94
2010-08-04,161.2499
2010-08-05,161.57
2010-08-06,159.83
2010-08-09,160.36
2010-08-10,161.01
2010-08-11,156.2881
2010-08-12,151.75
2010-08-13,153.909
2010-08-16,151.25
2010-08-17,153.4
2010-08-18,152.74
2010-08-19,151.43
2010-08-20,147.5
2010-08-23,146.0
2010-08-24,142.2
2010-08-25,141.64
2010-08-26,142.25
2010-08-27,141.733
2010-08-30,143.3
2010-08-31,142.18
2010-09-01,147.119
2010-09-02,149.61
2010-09-03,151.59
2010-09-07,151.829
2010-09-08,152.83
2010-09-09,156.0
2010-09-10,151.57
2010-09-13,154.0
2010-09-14,160.5
2010-09-15,165.81
2010-09-16,164.39
2010-09-17,165.45
2010-09-20,172.1899
2010-09-21,172.87
2010-09-22,169.4
2010-09-23,165.74
2010-09-24,167.4
2010-09-27,167.25
2010-09-28,168.79
2010-09-29,170.26
2010-09-30,172.0
2010-10-01,171.8
2010-10-04,171.56
2010-10-05,172.47
2010-10-06,171.37
2010-10-07,172.86
2010-10-08,174.84
2010-10-11,177.8
2010-10-12,178.75
2010-10-13,181.0
2010-10-14,180.13
2010-10-15,177.84900000000002
2010-10-18,177.33
2010-10-19,176.0
2010-10-20,174.93
2010-10-21,170.07
2010-10-22,170.04
2010-10-25,169.63
2010-10-26,169.24
2010-10-27,168.69
2010-10-28,169.85
2010-10-29,171.25
2010-11-01,174.47
2010-11-02,174.345
2010-11-03,168.9
2010-11-04,169.96
2010-11-05,173.96
2010-11-08,172.28
2010-11-09,167.5
2010-11-10,168.95
2010-11-11,172.41
2010-11-12,173.08
2010-11-15,173.75
2010-11-16,172.35
2010-11-17,170.01
2010-11-18,171.92
2010-11-19,170.0
2010-11-22,169.8
2010-11-23,166.07
2010-11-24,166.45
2010-11-26,165.97
2010-11-29,164.43
2010-11-30,164.0
2010-12-01,167.75
2010-12-02,171.88
2010-12-03,172.76
2010-12-06,172.95
2010-12-07,174.47
2010-12-08,174.3
2010-12-09,179.9
2010-12-10,183.11
2010-12-13,185.28
2010-12-14,184.23
2010-12-15,184.13
2010-12-16,183.3
2010-12-17,189.03
2010-12-20,189.0
2010-12-21,192.58
2010-12-22,193.7399
2010-12-23,191.7399
2010-12-27,189.97
2010-12-28,190.0
2010-12-29,191.47
2010-12-30,190.6
2010-12-31,190.6
2011-01-03,195.0
2011-01-04,191.5
2011-01-05,192.84
2011-01-06,192.79
2011-01-07,191.52
2011-01-10,191.54
2011-01-11,195.68
2011-01-12,195.24
2011-01-13,196.09
2011-01-14,199.1
2011-01-18,199.99
2011-01-19,196.94
2011-01-20,193.01
2011-01-21,194.649
2011-01-24,194.9
2011-01-25,199.865
2011-01-26,200.83
2011-01-27,202.06
2011-01-28,201.47
2011-01-31,198.2
2011-02-01,202.0
2011-02-02,199.99
2011-02-03,197.82
2011-02-04,197.65
2011-02-07,198.5
2011-02-08,199.45
2011-02-09,200.65
2011-02-10,201.59
2011-02-11,203.6
2011-02-14,206.44
2011-02-15,206.0
2011-02-16,207.0
2011-02-17,205.48
2011-02-18,207.47
2011-02-22,204.16
2011-02-23,199.832
2011-02-24,201.44
2011-02-25,204.55
2011-02-28,205.61
2011-03-01,209.77
2011-03-02,202.03
2011-03-03,207.16
2011-03-04,207.44
2011-03-07,203.11
2011-03-08,200.39
2011-03-09,198.78
2011-03-10,196.21
2011-03-11,191.92
2011-03-14,189.18
2011-03-15,186.78
2011-03-16,186.23
2011-03-17,184.54
2011-03-18,186.76
2011-03-21,187.128
2011-03-22,186.34
2011-03-23,185.14
2011-03-24,186.5
2011-03-25,189.02
2011-03-28,190.68
2011-03-29,187.87
2011-03-30,200.1
2011-03-31,201.04
2011-04-01,204.5
2011-04-04,202.8
2011-04-05,202.2
2011-04-06,200.75
2011-04-07,199.79
2011-04-08,199.91
2011-04-11,197.29
2011-04-12,197.21
2011-04-13,196.93
2011-04-14,194.29
2011-04-15,195.09
2011-04-18,192.99
2011-04-19,192.03
2011-04-20,196.48
2011-04-21,199.21
2011-04-25,199.99
2011-04-26,199.5
2011-04-27,200.41
2011-04-28,199.34
2011-04-29,198.27
2011-05-02,197.5
2011-05-03,197.61
2011-05-04,197.85
2011-05-05,193.88
2011-05-06,197.56
2011-05-09,197.32
2011-05-10,198.16
2011-05-11,197.15
2011-05-12,196.0
2011-05-13,196.67
2011-05-16,195.9
2011-05-17,191.95
2011-05-18,193.75
2011-05-19,199.86
2011-05-20,199.99
2011-05-23,196.2
2011-05-24,194.23
2011-05-25,195.86
2011-05-26,198.22
2011-05-27,201.18
2011-05-31,205.54
2011-06-01,207.42
2011-06-02,201.03
2011-06-03,196.33
2011-06-06,193.98
2011-06-07,191.57
2011-06-08,190.86
2011-06-09,193.15
2011-06-10,191.69
2011-06-13,189.22
2011-06-14,193.0
2011-06-15,191.38
2011-06-16,189.0
2011-06-17,191.0
2011-06-20,189.79
2011-06-21,191.85
2011-06-22,191.41
2011-06-23,187.99
2011-06-24,187.86
2011-06-27,187.42
2011-06-28,189.28
2011-06-29,192.5
2011-06-30,193.28
2011-07-01,196.64
2011-07-05,196.35
2011-07-06,195.78
2011-07-07,199.1
2011-07-08,195.85
2011-07-11,192.45
2011-07-12,188.56
2011-07-13,187.0
2011-07-14,186.81
2011-07-15,187.8
2011-07-18,184.24
2011-07-19,183.94
2011-07-20,191.4892
2011-07-21,188.58
2011-07-22,189.99
2011-07-25,187.42
2011-07-26,188.73
2011-07-27,184.58
2011-07-28,178.26
2011-07-29,179.58
2011-08-01,181.5
2011-08-02,179.52
2011-08-03,176.71
2011-08-04,172.68
2011-08-05,167.56
2011-08-08,159.74
2011-08-09,156.67
2011-08-10,155.12
2011-08-11,164.52
2011-08-12,168.5
2011-08-15,165.64
2011-08-16,164.81
2011-08-17,164.68
2011-08-18,157.76
2011-08-19,156.04
2011-08-22,156.47
2011-08-23,159.44
2011-08-24,163.73
2011-08-25,167.97
2011-08-26,163.01
2011-08-29,168.29
2011-08-30,168.94
2011-08-31,167.34
2011-09-01,166.4
2011-09-02,161.07
2011-09-06,152.62
2011-09-07,159.02
2011-09-08,158.31
2011-09-09,154.94
2011-09-12,152.05
2011-09-13,153.68
2011-09-14,154.32
2011-09-15,159.46
2011-09-16,161.89
2011-09-19,157.72
2011-09-20,159.42
2011-09-21,156.83
2011-09-22,145.45
2011-09-23,147.88
2011-09-26,150.64
2011-09-27,157.75
2011-09-28,157.72
2011-09-29,152.78
2011-09-30,151.57
2011-10-03,148.7
2011-10-04,147.57
2011-10-05,151.14
2011-10-06,152.19
2011-10-07,153.0
2011-10-10,156.72
2011-10-11,155.44
2011-10-12,160.19
2011-10-13,155.53
2011-10-14,159.49
2011-10-17,155.369
2011-10-18,157.76
2011-10-19,154.0
2011-10-20,153.51
2011-10-21,155.75
2011-10-24,158.34
2011-10-25,158.2299
2011-10-26,155.25
2011-10-27,170.42
2011-10-28,170.7999
2011-10-31,166.92
2011-11-01,155.13
2011-11-02,155.99
2011-11-03,160.22
2011-11-04,158.68
2011-11-07,160.24
2011-11-08,163.91
2011-11-09,159.06
2011-11-10,160.76
2011-11-11,166.0
2011-11-14,165.19
2011-11-15,168.33
2011-11-16,164.88
2011-11-17,163.16
2011-11-18,161.2
2011-11-21,158.0
2011-11-22,157.66
2011-11-23,154.9
2011-11-25,153.77
2011-11-28,160.342
2011-11-29,162.79
2011-11-30,172.53
2011-12-01,170.24
2011-12-02,173.22
2011-12-05,176.5
2011-12-06,176.23
2011-12-07,175.21
2011-12-08,172.89
2011-12-09,173.55
2011-12-12,170.32
2011-12-13,172.34
2011-12-14,168.68
2011-12-15,169.9493
2011-12-16,170.89
2011-12-19,170.89
2011-12-20,173.91
2011-12-21,174.46
2011-12-22,176.2
2011-12-23,178.73
2011-12-27,179.77
2011-12-28,177.88
2011-12-29,179.5
2011-12-30,179.43
2012-01-03,185.96
2012-01-04,180.87
2012-01-05,179.92
2012-01-06,180.95
2012-01-09,179.86
2012-01-10,183.6
2012-01-11,184.1
2012-01-12,187.17
2012-01-13,186.92
2012-01-17,190.4
2012-01-18,188.75
2012-01-19,187.8
2012-01-20,186.59
2012-01-23,185.71
2012-01-24,189.25
2012-01-25,188.81
2012-01-26,191.68
2012-01-27,189.05
2012-01-30,186.0
2012-01-31,184.87599999999998
2012-02-01,185.48
2012-02-02,184.42
2012-02-03,188.69
2012-02-06,190.2
2012-02-07,189.99
2012-02-08,190.65
2012-02-09,190.9649
2012-02-10,190.41
2012-02-13,192.71
2012-02-14,192.81
2012-02-15,192.95
2012-02-16,193.21
2012-02-17,196.8
2012-02-21,196.79
2012-02-22,194.6
2012-02-23,198.09
2012-02-24,199.1
2012-02-27,198.4
2012-02-28,199.9
2012-02-29,202.09
2012-03-01,199.998
2012-03-02,200.25
2012-03-05,196.82
2012-03-06,194.95
2012-03-07,196.72
2012-03-08,198.97
2012-03-09,197.51
2012-03-12,196.98
2012-03-13,203.01
2012-03-14,206.42
2012-03-15,205.09
2012-03-16,205.72
2012-03-19,206.52
2012-03-20,204.62
2012-03-21,204.27
2012-03-22,200.12
2012-03-23,201.44
2012-03-26,205.2
2012-03-27,208.69
2012-03-28,204.55
2012-03-29,202.22
2012-03-30,204.9
2012-04-02,209.37
2012-04-03,207.27
2012-04-04,206.14
2012-04-05,206.2
2012-04-09,208.21
2012-04-10,203.63
2012-04-11,201.05
2012-04-12,201.91
2012-04-13,201.72
2012-04-16,201.28
2012-04-17,202.99
2012-04-18,200.0
2012-04-19,195.99
2012-04-20,193.25
2012-04-23,188.28
2012-04-24,190.565
2012-04-25,191.56
2012-04-26,193.69
2012-04-27,193.94
2012-04-30,192.51
2012-05-01,193.24
2012-05-02,190.81
2012-05-03,188.94
2012-05-04,184.65
2012-05-07,184.82
2012-05-08,183.49
2012-05-09,181.95
2012-05-10,181.94
2012-05-11,180.93
2012-05-14,178.23
2012-05-15,179.94
2012-05-16,178.92
2012-05-17,176.7599
2012-05-18,174.67
2012-05-21,172.62
2012-05-22,167.65
2012-05-23,168.06
2012-05-24,170.905
2012-05-25,172.25
2012-05-29,174.69
2012-05-30,173.0
2012-05-31,171.93
2012-06-01,169.33
2012-06-04,168.35
2012-06-05,166.75
2012-06-06,170.71
2012-06-07,174.0
2012-06-08,173.93
2012-06-11,175.4
2012-06-12,174.96
2012-06-13,173.34
2012-06-14,173.16
2012-06-15,177.66
2012-06-18,175.86
2012-06-19,177.3508
2012-06-20,177.24
2012-06-21,177.1
2012-06-22,174.91
2012-06-25,169.52
2012-06-26,169.0
2012-06-27,169.26
2012-06-28,166.21
2012-06-29,169.87
2012-07-02,170.37
2012-07-03,173.86
2012-07-05,174.532
2012-07-06,171.45
2012-07-09,172.45
