dt,high
2010-01-04,52.55
2010-01-05,52.38
2010-01-06,52.12
2010-01-07,51.95
2010-01-08,52.24
2010-01-11,52.43
2010-01-12,51.93
2010-01-13,52.06
2010-01-14,51.88
2010-01-15,51.65
2010-01-19,52.08
2010-01-20,51.88
2010-01-21,51.71
2010-01-22,51.31
2010-01-25,51.17
2010-01-26,51.01
2010-01-27,50.7
2010-01-28,52.99
2010-01-29,51.82
2010-02-01,51.13
2010-02-02,52.32
2010-02-03,52.5
2010-02-04,51.22
2010-02-05,50.62
2010-02-08,50.96
2010-02-09,50.99
2010-02-10,50.71
2010-02-11,51.25
2010-02-12,51.55
2010-02-16,52.16
2010-02-17,52.93
2010-02-18,53.13
2010-02-19,53.12
2010-02-22,52.96
2010-02-23,52.9
2010-02-24,53.27
2010-02-25,53.31
2010-02-26,54.28
2010-03-01,54.89
2010-03-02,54.83
2010-03-03,54.97
2010-03-04,54.82
2010-03-05,54.96
2010-03-08,55.13
2010-03-09,54.58
2010-03-10,54.39
2010-03-11,54.89
2010-03-12,54.76
2010-03-15,54.369
2010-03-16,54.56
2010-03-17,54.99
2010-03-18,54.89
2010-03-19,54.47
2010-03-22,54.44
2010-03-23,54.53
2010-03-24,54.29
2010-03-25,54.32
2010-03-26,54.35
2010-03-29,54.34
2010-03-30,54.19
2010-03-31,53.92
2010-04-01,54.56
2010-04-05,54.54
2010-04-06,54.53
2010-04-07,54.24
2010-04-08,54.0
2010-04-09,54.38
2010-04-12,54.36
2010-04-13,53.83
2010-04-14,54.25
2010-04-15,54.68
2010-04-16,54.82
2010-04-19,54.22
2010-04-20,54.6
2010-04-21,54.47
2010-04-22,54.81
2010-04-23,55.43
2010-04-26,55.65
2010-04-27,55.6
2010-04-28,55.01
2010-04-29,54.96
2010-04-30,54.68
2010-05-03,53.28
2010-05-04,52.64
2010-05-05,52.71
2010-05-06,52.38
2010-05-07,50.99
2010-05-10,51.58
2010-05-11,51.84
2010-05-12,52.09
2010-05-13,52.14
2010-05-14,51.3
2010-05-17,51.7
2010-05-18,52.35
2010-05-19,51.15
2010-05-20,49.94
2010-05-21,50.03
2010-05-24,50.04
2010-05-25,48.63
2010-05-26,49.07
2010-05-27,49.79
2010-05-28,49.8899
2010-06-01,49.46
2010-06-02,50.3
2010-06-03,51.66
2010-06-04,51.64
2010-06-07,51.67
2010-06-08,50.48
2010-06-09,52.49
2010-06-10,51.78
2010-06-11,52.41
2010-06-14,53.1135
2010-06-15,53.44
2010-06-16,55.22
2010-06-17,55.49
2010-06-18,55.49
2010-06-21,56.01
2010-06-22,56.0999
2010-06-23,55.04
2010-06-24,54.46
2010-06-25,54.12
2010-06-28,54.02
2010-06-29,53.06
2010-06-30,53.5
2010-07-01,52.76
2010-07-02,52.64
2010-07-06,53.12
2010-07-07,53.63
2010-07-08,54.1
2010-07-09,54.43
2010-07-12,54.42
2010-07-13,55.52
2010-07-14,55.76
2010-07-15,55.54
2010-07-16,55.1
2010-07-19,54.38
2010-07-20,55.37
2010-07-21,55.82
2010-07-22,56.29
2010-07-23,57.34
2010-07-26,57.98
2010-07-27,58.98
2010-07-28,57.72
2010-07-29,58.98
2010-07-30,58.45
2010-08-02,59.6
2010-08-03,59.375
2010-08-04,59.05
2010-08-05,59.04
2010-08-06,59.32
2010-08-09,59.1
2010-08-10,59.04
2010-08-11,57.95
2010-08-12,57.53
2010-08-13,57.62
2010-08-16,56.88
2010-08-17,58.0
2010-08-18,58.45
2010-08-19,58.25
2010-08-20,57.36
2010-08-23,57.71
2010-08-24,56.75
2010-08-25,56.55
2010-08-26,56.53
2010-08-27,56.59
2010-08-30,56.42
2010-08-31,56.2599
2010-09-01,57.86
2010-09-02,58.72
2010-09-03,59.18
2010-09-07,58.98
2010-09-08,58.76
2010-09-09,59.28
2010-09-10,59.64
2010-09-13,59.85
2010-09-14,60.0
2010-09-15,59.83
2010-09-16,60.0
2010-09-17,60.0
2010-09-20,60.06
2010-09-21,60.01
2010-09-22,60.06
2010-09-23,59.535
2010-09-24,60.35
2010-09-27,60.49
2010-09-28,59.86
2010-09-29,59.75
2010-09-30,59.91
2010-10-01,59.49
2010-10-04,59.7
2010-10-05,60.595
2010-10-06,60.57
2010-10-07,60.55
2010-10-08,60.42
2010-10-11,60.71
2010-10-12,60.99
2010-10-13,62.37
2010-10-14,62.25
2010-10-15,62.3
2010-10-18,62.68
2010-10-19,62.28
2010-10-20,62.56
2010-10-21,62.51
2010-10-22,62.39
2010-10-25,62.0
2010-10-26,61.79
2010-10-27,61.43
2010-10-28,61.86
2010-10-29,64.65
2010-11-01,64.5
2010-11-02,64.3798
2010-11-03,64.48
2010-11-04,65.936
2010-11-05,66.12
2010-11-08,66.26
2010-11-09,65.72
2010-11-10,65.68
2010-11-11,65.93
2010-11-12,65.58
2010-11-15,65.83
2010-11-16,64.83
2010-11-17,64.91
2010-11-18,65.63
2010-11-19,65.75
2010-11-22,65.86
2010-11-23,65.03
2010-11-24,65.5
2010-11-26,65.13
2010-11-29,64.68
2010-11-30,66.09
2010-12-01,68.15
2010-12-02,69.58
2010-12-03,69.355
2010-12-06,68.7
2010-12-07,68.58
2010-12-08,68.31
2010-12-09,68.02
2010-12-10,68.14
2010-12-13,68.43
2010-12-14,69.27
2010-12-15,69.24
2010-12-16,68.81
2010-12-17,68.55
2010-12-20,68.62
2010-12-21,69.37
2010-12-22,69.7
2010-12-23,69.7
2010-12-27,69.42
2010-12-28,69.51
2010-12-29,69.61
2010-12-30,69.6
2010-12-31,68.905
2011-01-03,69.63
2011-01-04,69.69
2011-01-05,70.68
2011-01-06,70.68
2011-01-07,71.05
2011-01-10,69.68
2011-01-11,69.36
2011-01-12,70.07
2011-01-13,70.74
2011-01-14,70.8499
2011-01-18,71.1
2011-01-19,70.15
2011-01-20,69.87
2011-01-21,69.895
2011-01-24,70.3
2011-01-25,70.14
2011-01-26,71.92
2011-01-27,73.29
2011-01-28,73.6699
2011-01-31,72.07
2011-02-01,72.585
2011-02-02,73.7
2011-02-03,74.05
2011-02-04,74.11
2011-02-07,74.03
2011-02-08,73.69
2011-02-09,73.795
2011-02-10,74.418
2011-02-11,74.4
2011-02-14,74.23
2011-02-15,74.07
2011-02-16,37.43
2011-02-17,36.97
2011-02-18,37.06
2011-02-22,36.98
2011-02-23,36.28
2011-02-24,36.42
2011-02-25,36.23
2011-02-28,36.37
2011-03-01,36.4
2011-03-02,36.06
2011-03-03,36.44
2011-03-04,36.35
2011-03-07,36.25
2011-03-08,36.32
2011-03-09,36.396
2011-03-10,35.73
2011-03-11,35.03
2011-03-14,35.04
2011-03-15,34.33
2011-03-16,34.25
2011-03-17,34.32
2011-03-18,34.49
2011-03-21,35.16
2011-03-22,35.17
2011-03-23,35.25
2011-03-24,35.47
2011-03-25,35.79
2011-03-28,35.83
2011-03-29,35.39
2011-03-30,35.76
2011-03-31,35.97
2011-04-01,36.22
2011-04-04,36.03
2011-04-05,36.445
2011-04-06,36.99
2011-04-07,36.78
2011-04-08,36.785
2011-04-11,36.31
2011-04-12,36.21
2011-04-13,36.71
2011-04-14,36.65
2011-04-15,36.91
2011-04-18,36.73
2011-04-19,37.08
2011-04-20,37.42
2011-04-21,37.11
2011-04-25,37.02
2011-04-26,37.46
2011-04-27,37.39
2011-04-28,38.229
2011-04-29,37.71
2011-05-02,37.86
2011-05-03,37.75
2011-05-04,37.8885
2011-05-05,38.04
2011-05-06,38.34
2011-05-09,38.465
2011-05-10,38.86
2011-05-11,39.25
2011-05-12,39.17
2011-05-13,39.145
2011-05-16,39.03
2011-05-17,38.61
2011-05-18,39.31
2011-05-19,39.55
2011-05-20,39.48
2011-05-23,38.725
2011-05-24,38.83
2011-05-25,38.6
2011-05-26,38.86
2011-05-27,39.22
2011-05-31,39.5
2011-06-01,39.5
2011-06-02,38.91
2011-06-03,38.535
2011-06-06,38.39
2011-06-07,39.1
2011-06-08,38.71
2011-06-09,38.88
2011-06-10,38.65
2011-06-13,38.38
2011-06-14,38.41
2011-06-15,38.05
2011-06-16,37.68
2011-06-17,37.9
2011-06-20,37.95
2011-06-21,38.25
2011-06-22,38.305
2011-06-23,37.87
2011-06-24,37.9298
2011-06-27,38.02
2011-06-28,38.06
2011-06-29,38.27
2011-06-30,38.56
2011-07-01,39.21
2011-07-05,39.45
2011-07-06,39.735
2011-07-07,40.26
2011-07-08,40.555
2011-07-11,40.1
2011-07-12,39.74
2011-07-13,40.05
2011-07-14,39.91
2011-07-15,39.44
2011-07-18,39.29
2011-07-19,38.75
2011-07-20,38.88
2011-07-21,39.33
2011-07-22,39.38
2011-07-25,39.59
2011-07-26,39.61
2011-07-27,39.83
2011-07-28,38.895
2011-07-29,39.23
2011-08-01,39.2
2011-08-02,38.01
2011-08-03,36.96
2011-08-04,36.2599
2011-08-05,35.93
2011-08-08,35.16
2011-08-09,36.37
2011-08-10,35.86
2011-08-11,36.01
2011-08-12,36.48
2011-08-15,36.53
2011-08-16,36.25
2011-08-17,36.22
2011-08-18,35.0
2011-08-19,34.955
2011-08-22,34.83
2011-08-23,34.91
2011-08-24,35.42
2011-08-25,35.62
2011-08-26,35.12
2011-08-29,35.76
2011-08-30,35.99
2011-08-31,36.49
2011-09-01,36.37
2011-09-02,35.37
2011-09-06,34.91
2011-09-07,35.54
2011-09-08,35.47
2011-09-09,34.33
2011-09-12,33.86
2011-09-13,34.1
2011-09-14,34.585
2011-09-15,34.5
2011-09-16,34.51
2011-09-19,33.85
2011-09-20,34.18
2011-09-21,33.67
2011-09-22,31.99
2011-09-23,31.58
2011-09-26,31.49
2011-09-27,32.8
2011-09-28,32.31
2011-09-29,32.08
2011-09-30,31.67
2011-10-03,31.18
2011-10-04,31.52
2011-10-05,32.086999999999996
2011-10-06,32.54
2011-10-07,32.86
2011-10-10,33.34
2011-10-11,33.56
2011-10-12,34.08
2011-10-13,33.63
2011-10-14,34.06
2011-10-17,33.88
2011-10-18,34.52
2011-10-19,34.84
2011-10-20,34.69
2011-10-21,35.0
2011-10-24,35.26
2011-10-25,35.25
2011-10-26,35.01
2011-10-27,36.02
2011-10-28,36.11
2011-10-31,35.6932
2011-11-01,34.26
2011-11-02,34.59
2011-11-03,34.93
2011-11-04,35.0
2011-11-07,35.02
2011-11-08,35.64
2011-11-09,35.01
2011-11-10,34.72
2011-11-11,35.62
2011-11-14,35.36
2011-11-15,34.96
2011-11-16,34.88
2011-11-17,34.56
2011-11-18,34.27
2011-11-21,33.8
2011-11-22,33.61
2011-11-23,33.2801
2011-11-25,33.46
2011-11-28,34.0799
2011-11-29,34.29
2011-11-30,35.16
2011-12-01,35.28
2011-12-02,35.45
2011-12-05,35.67
2011-12-06,35.6899
2011-12-07,35.22
2011-12-08,35.02
2011-12-09,35.15
2011-12-12,34.66
2011-12-13,34.85
2011-12-14,34.62
2011-12-15,34.88
2011-12-16,35.21
2011-12-19,35.04
2011-12-20,35.52
2011-12-21,35.46
2011-12-22,35.8
2011-12-23,35.9
2011-12-27,36.06
2011-12-28,35.9
2011-12-29,35.86
2011-12-30,35.94
2012-01-03,36.44
2012-01-04,36.5
2012-01-05,36.45
2012-01-06,37.18
2012-01-09,37.32
2012-01-10,37.27
2012-01-11,37.04
2012-01-12,37.87
2012-01-13,37.7
2012-01-17,37.9291
2012-01-18,37.7625
2012-01-19,38.35
2012-01-20,38.25
2012-01-23,38.1
2012-01-24,38.04
2012-01-25,37.88
2012-01-26,39.68
2012-01-27,40.05
2012-01-30,39.36
2012-01-31,39.42
2012-02-01,40.65
2012-02-02,40.29
2012-02-03,40.24
2012-02-06,40.03
2012-02-07,40.21
2012-02-08,40.15
2012-02-09,40.1
2012-02-10,39.87
2012-02-13,40.3
2012-02-14,39.94
2012-02-15,40.07
2012-02-16,40.39
2012-02-17,40.5
2012-02-21,40.495
2012-02-22,40.325
2012-02-23,39.97
2012-02-24,40.19
2012-02-27,40.03
2012-02-28,40.23
2012-02-29,40.44
2012-03-01,40.38
2012-03-02,40.11
2012-03-05,39.84
2012-03-06,39.37
2012-03-07,39.55
2012-03-08,40.07
2012-03-09,40.13
2012-03-12,39.88
2012-03-13,40.45
2012-03-14,40.52
2012-03-15,40.72
2012-03-16,41.38
2012-03-19,41.79
2012-03-20,41.55
2012-03-21,41.45
2012-03-22,41.015
2012-03-23,41.13
2012-03-26,41.54
2012-03-27,42.45
2012-03-28,42.495
2012-03-29,42.81
2012-03-30,42.99
2012-04-02,43.17
2012-04-03,43.57
2012-04-04,43.7
2012-04-05,43.64
2012-04-09,43.45
2012-04-10,43.4
2012-04-11,43.57
2012-04-12,43.01
2012-04-13,43.07
2012-04-16,42.87
2012-04-17,43.29
2012-04-18,43.26
2012-04-19,43.57
2012-04-20,43.7
2012-04-23,43.21
2012-04-24,43.12
2012-04-25,43.44
2012-04-26,42.73
2012-04-27,42.02
2012-04-30,42.0
2012-05-01,42.22
2012-05-02,41.66
2012-05-03,41.83
2012-05-04,41.43
2012-05-07,40.97
2012-05-08,40.96
2012-05-09,41.32
2012-05-10,41.34
2012-05-11,41.25
2012-05-14,40.74
2012-05-15,40.68
2012-05-16,40.47
2012-05-17,39.98
2012-05-18,39.26
2012-05-21,39.26
2012-05-22,39.54
2012-05-23,39.61
2012-05-24,39.86
2012-05-25,40.1
2012-05-29,40.5
2012-05-30,40.29
2012-05-31,40.1
2012-06-01,39.665
2012-06-04,39.6
2012-06-05,39.8
2012-06-06,40.56
2012-06-07,41.11
2012-06-08,41.175
2012-06-11,41.58
2012-06-12,41.2
2012-06-13,41.35
2012-06-14,41.79
2012-06-15,42.88
2012-06-18,42.64
2012-06-19,42.92
2012-06-20,42.71
2012-06-21,42.53
2012-06-22,41.82
2012-06-25,41.0
2012-06-26,40.47
2012-06-27,40.35
2012-06-28,40.62
2012-06-29,41.43
2012-07-02,41.21
2012-07-03,41.05
2012-07-05,41.12
2012-07-06,40.74
2012-07-09,40.74
2012-07-10,41.0298
2012-07-11,40.73
2012-07-12,40.26
2012-07-13,41.4
2012-07-16,41.31
2012-07-17,41.47
2012-07-18,41.54
2012-07-19,42.36
2012-07-20,42.05
2012-07-23,41.49
2012-07-24,41.453
2012-07-25,41.0297
2012-07-26,42.51
2012-07-27,42.04
2012-07-30,41.98
2012-07-31,42.0
2012-08-01,41.57
2012-08-02,40.28
2012-08-03,41.29
2012-08-06,41.45
2012-08-07,41.79
2012-08-08,41.8
2012-08-09,41.909
2012-08-10,42.02
2012-08-13,42.06
2012-08-14,42.25
2012-08-15,42.78
2012-08-16,43.26
2012-08-17,43.4
2012-08-20,43.205
2012-08-21,42.97
2012-08-22,42.8
2012-08-23,42.74
2012-08-24,42.21
2012-08-27,42.26
2012-08-28,42.1
2012-08-29,41.97
2012-08-30,41.98
2012-08-31,42.48
2012-09-04,42.17
2012-09-05,42.39
2012-09-06,42.83
2012-09-07,42.94
2012-09-10,43.0
2012-09-11,43.1
2012-09-12,43.21
2012-09-13,43.79
2012-09-14,43.73
2012-09-17,43.3499
2012-09-18,43.21
2012-09-19,43.2
2012-09-20,42.87
2012-09-21,43.17
2012-09-24,42.95
2012-09-25,42.85
2012-09-26,42.34
2012-09-27,42.8
2012-09-28,42.47
2012-10-01,42.76
2012-10-02,42.51
2012-10-03,42.77
2012-10-04,42.99
2012-10-05,43.45
2012-10-08,42.7784
2012-10-09,42.87
2012-10-10,42.05
2012-10-11,41.78
2012-10-12,41.5
2012-10-15,41.8
2012-10-16,42.47
2012-10-17,43.23
2012-10-18,43.1
2012-10-19,43.0
2012-10-22,42.86
2012-10-23,42.23
2012-10-24,42.25
2012-10-25,43.0
2012-10-26,42.99
2012-10-31,43.37
2012-11-01,43.46
2012-11-02,43.75
2012-11-05,43.27
2012-11-06,44.07
2012-11-07,44.21
2012-11-08,44.09
2012-11-09,44.33
2012-11-12,44.04
2012-11-13,44.01
2012-11-14,43.75
2012-11-15,43.59
2012-11-16,43.37
2012-11-19,44.88
2012-11-20,44.79
2012-11-21,44.89
2012-11-23,45.07
2012-11-26,44.81
2012-11-27,44.8
2012-11-28,44.79
2012-11-29,45.0
2012-11-30,44.92
2012-12-03,45.02
2012-12-04,44.07
2012-12-05,43.99
2012-12-06,44.21
