dt,high
2010-01-04,40.56
2010-01-05,40.87
2010-01-06,40.72
2010-01-07,40.37
2010-01-08,40.59
2010-01-11,40.52
2010-01-12,40.09
2010-01-13,40.25
2010-01-14,40.35
2010-01-15,40.37
2010-01-19,39.85
2010-01-20,39.3
2010-01-21,39.21
2010-01-22,38.42
2010-01-25,37.51
2010-01-26,37.94
2010-01-27,37.76
2010-01-28,38.37
2010-01-29,38.91
2010-02-01,38.69
2010-02-02,38.31
2010-02-03,37.97
2010-02-04,37.48
2010-02-05,36.5
2010-02-08,36.36
2010-02-09,36.64
2010-02-10,36.43
2010-02-11,36.73
2010-02-12,36.28
2010-02-16,36.65
2010-02-17,37.06
2010-02-18,36.98
2010-02-19,37.13
2010-02-22,36.92
2010-02-23,36.7
2010-02-24,37.25
2010-02-25,36.61
2010-02-26,36.92
2010-03-01,37.27
2010-03-02,37.35
2010-03-03,37.19
2010-03-04,37.07
2010-03-05,37.93
2010-03-08,38.82
2010-03-09,38.67
2010-03-10,38.96
2010-03-11,38.81
2010-03-12,39.04
2010-03-15,39.51
2010-03-16,39.41
2010-03-17,39.62
2010-03-18,39.59
2010-03-19,39.8
2010-03-22,39.5
2010-03-23,39.21
2010-03-24,39.07
2010-03-25,39.11
2010-03-26,38.85
2010-03-29,38.56
2010-03-30,38.15
2010-03-31,38.44
2010-04-01,38.45
2010-04-05,38.83
2010-04-06,38.69
2010-04-07,38.51
2010-04-08,39.94
2010-04-09,39.71
2010-04-12,39.93
2010-04-13,39.49
2010-04-14,40.22
2010-04-15,40.371
2010-04-16,40.369
2010-04-19,40.45
2010-04-20,41.115
2010-04-21,41.17
2010-04-22,41.27
2010-04-23,41.23
2010-04-26,41.05
2010-04-27,40.9
2010-04-28,40.39
2010-04-29,40.21
2010-04-30,40.01
2010-05-03,39.66
2010-05-04,39.1
2010-05-05,38.59
2010-05-06,37.81
2010-05-07,36.92
2010-05-10,37.24
2010-05-11,37.51
2010-05-12,38.56
2010-05-13,38.89
2010-05-14,38.37
2010-05-17,38.15
2010-05-18,38.57
2010-05-19,37.96
2010-05-20,37.04
2010-05-21,36.61
2010-05-24,36.6419
2010-05-25,35.61
2010-05-26,36.96
2010-05-27,37.22
2010-05-28,37.3096
2010-06-01,37.34
2010-06-02,37.2
2010-06-03,38.08
2010-06-04,37.59
2010-06-07,36.685
2010-06-08,35.63
2010-06-09,36.575
2010-06-10,36.86
2010-06-11,36.98
2010-06-14,37.24
2010-06-15,37.535
2010-06-16,37.625
2010-06-17,37.61
2010-06-18,37.88
2010-06-21,38.14
2010-06-22,37.98
2010-06-23,37.29
2010-06-24,37.2
2010-06-25,37.005
2010-06-28,36.83
2010-06-29,36.17
2010-06-30,35.3458
2010-07-01,35.11
2010-07-02,35.21
2010-07-06,35.76
2010-07-07,36.32
2010-07-08,36.51
2010-07-09,36.5
2010-07-12,36.8
2010-07-13,37.33
2010-07-14,37.62
2010-07-15,37.7901
2010-07-16,37.58
2010-07-19,37.0
2010-07-20,37.05
2010-07-21,37.15
2010-07-22,37.79
2010-07-23,38.17
2010-07-26,38.66
2010-07-27,38.8
2010-07-28,38.55
2010-07-29,37.0
2010-07-30,36.24
2010-08-02,36.6
2010-08-03,36.42
2010-08-04,36.0
2010-08-05,35.84
2010-08-06,35.8
2010-08-09,36.15
2010-08-10,36.36
2010-08-11,35.56
2010-08-12,35.2
2010-08-13,35.07
2010-08-16,35.32
2010-08-17,36.45
2010-08-18,36.29
2010-08-19,37.73
2010-08-20,37.75
2010-08-23,38.1
2010-08-24,37.35
2010-08-25,36.96
2010-08-26,37.2
2010-08-27,37.49
2010-08-30,37.49
2010-08-31,36.6
2010-09-01,37.38
2010-09-02,37.99
2010-09-03,38.45
2010-09-07,38.69
2010-09-08,38.89
2010-09-09,39.0
2010-09-10,39.0
2010-09-13,39.66
2010-09-14,39.53
2010-09-15,39.5
2010-09-16,39.29
2010-09-17,39.59
2010-09-20,39.98
2010-09-21,39.82
2010-09-22,39.97
2010-09-23,39.98
2010-09-24,40.71
2010-09-27,40.92
2010-09-28,41.49
2010-09-29,41.22
2010-09-30,41.51
2010-10-01,41.25
2010-10-04,41.26
2010-10-05,40.51
2010-10-06,40.33
2010-10-07,43.4399
2010-10-08,43.7
2010-10-11,43.12
2010-10-12,42.73
2010-10-13,43.99
2010-10-14,44.15
2010-10-15,44.68
2010-10-18,44.63
2010-10-19,44.1
2010-10-20,44.14
2010-10-21,44.16
2010-10-22,44.47
2010-10-25,44.67
2010-10-26,44.28
2010-10-27,44.14
2010-10-28,44.1
2010-10-29,46.95
2010-11-01,46.29
2010-11-02,45.92
2010-11-03,45.46
2010-11-04,46.44
2010-11-05,46.42
2010-11-08,46.37
2010-11-09,46.48
2010-11-10,46.06
2010-11-11,45.92
2010-11-12,45.59
2010-11-15,45.3997
2010-11-16,44.6
2010-11-17,44.29
2010-11-18,45.29
2010-11-19,45.08
2010-11-22,45.3
2010-11-23,44.93
2010-11-24,45.52
2010-11-26,44.79
2010-11-29,44.54
2010-11-30,44.39
2010-12-01,45.67
2010-12-02,45.9
2010-12-03,46.0
2010-12-06,46.0
2010-12-07,46.2
2010-12-08,46.85
2010-12-09,47.28
2010-12-10,47.03
2010-12-13,47.67
2010-12-14,47.97
2010-12-15,47.97
2010-12-16,48.94
2010-12-17,49.11
2010-12-20,48.5
2010-12-21,48.39
2010-12-22,48.25
2010-12-23,47.89
2010-12-27,47.83
2010-12-28,47.84
2010-12-29,47.6
2010-12-30,47.75
2010-12-31,47.6
2011-01-03,48.06
2011-01-04,47.87
2011-01-05,47.62
2011-01-06,47.79
2011-01-07,47.68
2011-01-10,47.42
2011-01-11,47.57
2011-01-12,47.7
2011-01-13,47.745
2011-01-14,47.99
2011-01-18,48.67
2011-01-19,49.0
2011-01-20,48.81
2011-01-21,48.52
2011-01-24,48.38
2011-01-25,48.53
2011-01-26,48.61
2011-01-27,48.62
2011-01-28,48.74
2011-01-31,47.76
2011-02-01,48.58
2011-02-02,48.48
2011-02-03,48.94
2011-02-04,48.84
2011-02-07,48.92
2011-02-08,49.08
2011-02-09,48.78
2011-02-10,49.62
2011-02-11,50.19
2011-02-14,50.99
2011-02-15,50.73
2011-02-16,50.62
2011-02-17,50.92
2011-02-18,51.03
2011-02-22,50.79
2011-02-23,48.95
2011-02-24,48.92
2011-02-25,49.29
2011-02-28,49.85
2011-03-01,50.05
2011-03-02,49.04
2011-03-03,50.31
2011-03-04,50.57
2011-03-07,50.68
2011-03-08,50.23
2011-03-09,50.25
2011-03-10,49.48
2011-03-11,49.535
2011-03-14,49.28
2011-03-15,48.46
2011-03-16,48.28
2011-03-17,47.68
2011-03-18,48.0
2011-03-21,49.22
2011-03-22,48.98
2011-03-23,49.08
2011-03-24,49.59
2011-03-25,49.9
2011-03-28,49.523
2011-03-29,49.42
2011-03-30,49.92
2011-03-31,49.88
2011-04-01,50.89
2011-04-04,51.0
2011-04-05,51.2
2011-04-06,51.43
2011-04-07,51.36
2011-04-08,51.32
2011-04-11,51.33
2011-04-12,50.91
2011-04-13,51.01
2011-04-14,50.81
2011-04-15,50.98
2011-04-18,49.81
2011-04-19,49.29
2011-04-20,49.9
2011-04-21,49.77
2011-04-25,49.93
2011-04-26,50.385
2011-04-27,50.34
2011-04-28,50.44
2011-04-29,50.48
2011-05-02,50.67
2011-05-03,50.285
2011-05-04,49.75
2011-05-05,53.81
2011-05-06,52.05
2011-05-09,52.12
2011-05-10,53.85
2011-05-11,54.3
2011-05-12,54.77
2011-05-13,54.95
2011-05-16,54.53
2011-05-17,54.111000000000004
2011-05-18,54.69
2011-05-19,55.24
2011-05-20,55.015
2011-05-23,54.5
2011-05-24,54.41
2011-05-25,54.25
2011-05-26,54.78
2011-05-27,55.24
2011-05-31,55.86
2011-06-01,56.16
2011-06-02,55.13
2011-06-03,54.33
2011-06-06,53.78
2011-06-07,53.4895
2011-06-08,52.96
2011-06-09,52.89
2011-06-10,52.68
2011-06-13,52.72
2011-06-14,53.25
2011-06-15,52.93
2011-06-16,52.05
2011-06-17,51.87
2011-06-20,52.26
2011-06-21,53.14
2011-06-22,53.12
2011-06-23,53.11
2011-06-24,53.03
2011-06-27,52.795
2011-06-28,53.46
2011-06-29,54.05
2011-06-30,54.8
2011-07-01,56.1
2011-07-05,55.9
2011-07-06,55.62
2011-07-07,56.55
2011-07-08,56.23
2011-07-11,55.89
2011-07-12,55.3
2011-07-13,54.7
2011-07-14,54.27
2011-07-15,53.0
2011-07-18,52.71
2011-07-19,53.94
2011-07-20,53.51
2011-07-21,52.97
