dt,high
2010-01-04,32.66
2010-01-05,32.6
2010-01-06,32.38
2010-01-07,32.05
2010-01-08,31.86
2010-01-11,32.32
2010-01-12,32.06
2010-01-13,32.14
2010-01-14,32.67
2010-01-15,32.62
2010-01-19,33.16
2010-01-20,33.28
2010-01-21,32.8
2010-01-22,32.31
2010-01-25,32.58
2010-01-26,32.59
2010-01-27,32.41
2010-01-28,33.52
2010-01-29,33.8
2010-02-01,33.66
2010-02-02,34.42
2010-02-03,34.19
2010-02-04,33.69
2010-02-05,32.49
2010-02-08,32.64
2010-02-09,32.93
2010-02-10,32.59
2010-02-11,33.36
2010-02-12,33.455
2010-02-16,33.67
2010-02-17,33.8
2010-02-18,33.9699
2010-02-19,33.87
2010-02-22,33.95
2010-02-23,33.62
2010-02-24,33.43
2010-02-25,33.68
2010-02-26,34.2
2010-03-01,35.075
2010-03-02,35.72
2010-03-03,35.69
2010-03-04,35.45
2010-03-05,35.64
2010-03-08,35.61
2010-03-09,35.41
2010-03-10,35.26
2010-03-11,35.11
2010-03-12,35.28
2010-03-15,35.46
2010-03-16,35.55
2010-03-17,35.61
2010-03-18,36.0
2010-03-19,36.05
2010-03-22,36.35
2010-03-23,36.33
2010-03-24,36.34
2010-03-25,36.24
2010-03-26,36.0
2010-03-29,36.16
2010-03-30,36.55
2010-03-31,36.45
2010-04-01,36.29
2010-04-05,36.59
2010-04-06,36.31
2010-04-07,35.99
2010-04-08,36.03
2010-04-09,36.47
2010-04-12,36.58
2010-04-13,35.94
2010-04-14,35.88
2010-04-15,35.93
2010-04-16,35.42
2010-04-19,35.21
2010-04-20,35.97
2010-04-21,35.94
2010-04-22,36.04
2010-04-23,36.29
2010-04-26,36.66
2010-04-27,36.54
2010-04-28,36.4
2010-04-29,36.39
2010-04-30,35.79
2010-05-03,35.36
2010-05-04,35.37
2010-05-05,35.8
2010-05-06,35.79
2010-05-07,34.51
2010-05-10,35.58
2010-05-11,35.39
2010-05-12,35.35
2010-05-13,35.41
2010-05-14,34.77
2010-05-17,34.21
2010-05-18,34.77
2010-05-19,34.45
2010-05-20,33.63
2010-05-21,33.46
2010-05-24,33.31
2010-05-25,32.83
2010-05-26,33.37
2010-05-27,33.66
2010-05-28,34.78
2010-06-01,34.65
2010-06-02,35.02
2010-06-03,35.91
