dt,high
2010-01-04,32.76
2010-01-05,32.54
2010-01-06,32.57
2010-01-07,32.36
2010-01-08,33.29
2010-01-11,33.66
2010-01-12,33.11
2010-01-13,34.11
2010-01-14,35.27
2010-01-15,35.07
2010-01-19,35.22
2010-01-20,35.0
2010-01-21,35.4
2010-01-22,34.09
2010-01-25,34.17
2010-01-26,34.139
2010-01-27,33.94
2010-01-28,34.84
2010-01-29,34.54
2010-02-01,34.16
2010-02-02,34.71
2010-02-03,34.75
2010-02-04,34.16
2010-02-05,32.82
2010-02-08,33.58
2010-02-09,33.53
2010-02-10,33.12
2010-02-11,33.21
2010-02-12,32.91
2010-02-16,33.61
2010-02-17,34.125
2010-02-18,34.07
2010-02-19,34.21
2010-02-22,34.34
2010-02-23,34.02
2010-02-24,35.91
2010-02-25,35.71
2010-02-26,36.16
2010-03-01,36.1
2010-03-02,36.78
2010-03-03,36.17
2010-03-04,36.23
2010-03-05,37.11
2010-03-08,37.24
2010-03-09,37.19
2010-03-10,37.36
2010-03-11,37.27
2010-03-12,37.6
2010-03-15,37.2
2010-03-16,37.23
2010-03-17,37.78
2010-03-18,37.78
2010-03-19,38.37
2010-03-22,38.09
2010-03-23,39.35
2010-03-24,38.58
2010-03-25,39.0
2010-03-26,39.0
2010-03-29,39.1
2010-03-30,39.32
2010-03-31,39.17
2010-04-01,39.54
2010-04-05,39.8
2010-04-06,39.41
2010-04-07,39.01
2010-04-08,38.82
2010-04-09,38.98
2010-04-12,39.29
2010-04-13,39.1
2010-04-14,39.15
2010-04-15,39.8
2010-04-16,39.45
2010-04-19,39.04
2010-04-20,40.05
2010-04-21,40.32
2010-04-22,41.7696
2010-04-23,42.81
2010-04-26,44.21
2010-04-27,43.62
2010-04-28,42.11
2010-04-29,43.19
2010-04-30,43.14
2010-05-03,42.5
2010-05-04,41.6
2010-05-05,40.35
2010-05-06,39.7401
2010-05-07,37.66
2010-05-10,39.47
2010-05-11,39.53
2010-05-12,40.15
2010-05-13,39.95
2010-05-14,38.83
2010-05-17,38.22
2010-05-18,38.86
2010-05-19,37.475
2010-05-20,36.14
2010-05-21,36.14
2010-05-24,36.105
2010-05-25,35.36
2010-05-26,35.99
2010-05-27,36.82
2010-05-28,37.12
2010-06-01,36.79
2010-06-02,37.03
2010-06-03,37.53
2010-06-04,36.49
2010-06-07,35.85
2010-06-08,35.07
2010-06-09,35.835
2010-06-10,36.36
2010-06-11,36.35
2010-06-14,37.41
2010-06-15,37.48
2010-06-16,37.41
2010-06-17,36.96
2010-06-18,36.29
2010-06-21,36.05
2010-06-22,34.29
2010-06-23,33.6
2010-06-24,33.62
2010-06-25,32.91
2010-06-28,32.9
2010-06-29,31.76
2010-06-30,30.97
2010-07-01,31.42
2010-07-02,31.37
2010-07-06,31.5
2010-07-07,31.57
2010-07-08,31.72
2010-07-09,32.2
2010-07-12,32.09
2010-07-13,32.99
2010-07-14,32.93
2010-07-15,32.92
2010-07-16,32.62
2010-07-19,31.7
2010-07-20,31.76
2010-07-21,32.36
2010-07-22,33.84
2010-07-23,34.28
2010-07-26,35.17
2010-07-27,35.06
2010-07-28,34.875
2010-07-29,35.19
2010-07-30,34.86
2010-08-02,35.585
2010-08-03,35.52
2010-08-04,36.08
2010-08-05,35.88
2010-08-06,35.9425
2010-08-09,35.72
2010-08-10,34.48
2010-08-11,33.16
2010-08-12,33.06
2010-08-13,32.82
2010-08-16,32.64
2010-08-17,33.39
2010-08-18,33.3
2010-08-19,33.13
2010-08-20,31.88
2010-08-23,32.1
2010-08-24,30.78
2010-08-25,30.82
2010-08-26,31.149
2010-08-27,31.58
2010-08-30,31.53
2010-08-31,31.4101
2010-09-01,32.91
2010-09-02,33.89
2010-09-03,34.76
2010-09-07,34.11
2010-09-08,34.8
2010-09-09,35.65
2010-09-10,35.43
2010-09-13,35.92
2010-09-14,36.31
2010-09-15,35.92
2010-09-16,35.74
2010-09-17,36.06
2010-09-20,37.75
2010-09-21,38.92
2010-09-22,38.02
2010-09-23,37.45
2010-09-24,38.18
2010-09-27,38.15
2010-09-28,38.44
2010-09-29,39.08
2010-09-30,38.95
2010-10-01,38.81
2010-10-04,38.56
2010-10-05,39.9
2010-10-06,40.05
2010-10-07,40.18
2010-10-08,40.37
2010-10-11,40.29
2010-10-12,40.37
2010-10-13,40.59
2010-10-14,40.4
2010-10-15,40.03
2010-10-18,39.8
2010-10-19,39.465
2010-10-20,39.79
2010-10-21,40.23
2010-10-22,40.19
2010-10-25,40.93
2010-10-26,43.67
2010-10-27,42.64
2010-10-28,43.1
2010-10-29,43.185
2010-11-01,43.74
2010-11-02,43.73
2010-11-03,43.64
2010-11-04,44.75
2010-11-05,44.9
2010-11-08,44.51
2010-11-09,44.15
2010-11-10,43.51
2010-11-11,43.27
2010-11-12,43.19
2010-11-15,42.62
2010-11-16,42.215
2010-11-17,41.82
2010-11-18,42.32
2010-11-19,42.02
2010-11-22,42.16
2010-11-23,41.39
2010-11-24,42.51
2010-11-26,42.01
2010-11-29,41.39
2010-11-30,41.72
2010-12-01,42.66
2010-12-02,43.46
2010-12-03,43.42
2010-12-06,43.24
2010-12-07,43.59
2010-12-08,43.59
2010-12-09,43.96
2010-12-10,44.44
2010-12-13,44.47
2010-12-14,43.38
2010-12-15,42.82
2010-12-16,42.72
2010-12-17,42.73
2010-12-20,43.38
2010-12-21,45.26
2010-12-22,47.22
2010-12-23,46.75
2010-12-27,46.2
2010-12-28,46.25
2010-12-29,46.39
2010-12-30,46.1
2010-12-31,46.34
2011-01-03,47.06
2011-01-04,47.95
2011-01-05,47.96
2011-01-06,48.14
2011-01-07,47.83
2011-01-10,46.705
2011-01-11,46.89
2011-01-12,47.6
2011-01-13,47.6
2011-01-14,48.0
2011-01-18,48.13
2011-01-19,47.0
2011-01-20,46.1001
2011-01-21,46.41
2011-01-24,46.25
2011-01-25,46.23
2011-01-26,47.54
2011-01-27,47.0
2011-01-28,46.67
2011-01-31,45.29
2011-02-01,45.87
2011-02-02,45.88
2011-02-03,45.84
2011-02-04,45.95
2011-02-07,46.83
2011-02-08,46.97
2011-02-09,47.22
2011-02-10,47.11
2011-02-11,47.71
2011-02-14,47.48
2011-02-15,46.96
2011-02-16,47.33
2011-02-17,46.62
2011-02-18,46.18
2011-02-22,44.11
2011-02-23,42.2
2011-02-24,42.08
2011-02-25,43.11
2011-02-28,43.37
2011-03-01,42.58
2011-03-02,40.915
2011-03-03,41.63
2011-03-04,41.08
2011-03-07,40.75
2011-03-08,41.17
2011-03-09,41.5
2011-03-10,41.76
2011-03-11,40.63
2011-03-14,40.08
2011-03-15,39.365
2011-03-16,39.34
2011-03-17,40.04
2011-03-18,40.16
2011-03-21,41.11
2011-03-22,41.28
2011-03-23,39.32
2011-03-24,39.38
2011-03-25,39.11
2011-03-28,39.205
2011-03-29,38.565
2011-03-30,38.92
2011-03-31,38.675
2011-04-01,38.96
2011-04-04,39.2
2011-04-05,38.62
2011-04-06,39.06
2011-04-07,38.67
2011-04-08,38.21
2011-04-11,37.89
2011-04-12,39.19
2011-04-13,38.81
2011-04-14,37.805
2011-04-15,38.05
2011-04-18,37.78
2011-04-19,38.08
2011-04-20,38.7
2011-04-21,37.83
2011-04-25,37.5
2011-04-26,37.47
2011-04-27,38.52
2011-04-28,39.4
2011-04-29,38.46
2011-05-02,38.67
2011-05-03,38.9399
2011-05-04,39.05
2011-05-05,41.37
2011-05-06,41.953
2011-05-09,40.18
2011-05-10,40.91
2011-05-11,40.87
2011-05-12,41.83
2011-05-13,41.47
2011-05-16,40.99
2011-05-17,40.38
2011-05-18,40.24
2011-05-19,40.41
2011-05-20,40.111
2011-05-23,39.0
2011-05-24,38.8
2011-05-25,38.49
2011-05-26,38.39
2011-05-27,38.81
2011-05-31,39.05
2011-06-01,38.5
2011-06-02,37.78
2011-06-03,37.48
2011-06-06,37.0701
2011-06-07,37.38
2011-06-08,36.65
2011-06-09,36.39
2011-06-10,36.28
2011-06-13,35.75
2011-06-14,35.98
2011-06-15,35.18
2011-06-16,34.91
2011-06-17,35.4455
2011-06-20,35.885
2011-06-21,37.35
2011-06-22,37.15
2011-06-23,37.86
2011-06-24,37.9
2011-06-27,37.71
2011-06-28,38.09
2011-06-29,38.28
2011-06-30,37.89
2011-07-01,38.83
2011-07-05,38.69
2011-07-06,38.11
2011-07-07,38.22
2011-07-08,37.47
2011-07-11,36.66
2011-07-12,36.44
2011-07-13,36.61
2011-07-14,35.88
2011-07-15,35.44
2011-07-18,34.95
2011-07-19,35.8
2011-07-20,35.78
2011-07-21,36.58
2011-07-22,36.861
2011-07-25,36.33
2011-07-26,36.74
2011-07-27,36.13
2011-07-28,34.64
2011-07-29,33.86
2011-08-01,33.895
2011-08-02,32.56
2011-08-03,32.42
2011-08-04,31.8
2011-08-05,32.4
2011-08-08,31.23
2011-08-09,31.85
2011-08-10,30.56
2011-08-11,31.24
2011-08-12,31.89
2011-08-15,31.715
2011-08-16,31.75
2011-08-17,31.925
2011-08-18,30.57
2011-08-19,30.4
2011-08-22,30.42
2011-08-23,30.93
2011-08-24,31.755
2011-08-25,31.84
2011-08-26,31.4
2011-08-29,33.0
2011-08-30,32.93
2011-08-31,33.63
2011-09-01,32.87
2011-09-02,31.23
2011-09-06,30.55
2011-09-07,31.89
2011-09-08,32.07
2011-09-09,31.15
2011-09-12,31.54
2011-09-13,32.57
2011-09-14,33.45
2011-09-15,33.51
2011-09-16,33.69
2011-09-19,32.47
2011-09-20,35.07
2011-09-21,34.14
2011-09-22,32.29
2011-09-23,32.09
2011-09-26,32.3
