dt,high
2010-01-04,63.6
2010-01-05,63.59
2010-01-06,63.35
2010-01-07,63.57
2010-01-08,63.47
2010-01-11,64.43
2010-01-12,64.24
2010-01-13,64.25
2010-01-14,64.23
2010-01-15,64.27
2010-01-19,65.36
2010-01-20,66.87
2010-01-21,66.61
2010-01-22,65.93
2010-01-25,65.33
2010-01-26,65.13
2010-01-27,65.5
2010-01-28,65.45
2010-01-29,64.73
2010-02-01,65.42
2010-02-02,66.83
2010-02-03,66.96
2010-02-04,66.58
2010-02-05,65.56
2010-02-08,65.46
2010-02-09,66.5
2010-02-10,65.92
2010-02-11,66.11
2010-02-12,65.98
2010-02-16,66.18
2010-02-17,67.33
2010-02-18,67.87
2010-02-19,67.41
2010-02-22,67.52
2010-02-23,68.47
2010-02-24,68.35
2010-02-25,68.19
2010-02-26,68.83
2010-03-01,69.89
2010-03-02,70.81
2010-03-03,71.58
2010-03-04,70.88
2010-03-05,70.98
2010-03-08,71.0
2010-03-09,71.18
2010-03-10,71.75
2010-03-11,71.49
2010-03-12,71.35
2010-03-15,70.33
2010-03-16,70.92
2010-03-17,71.6
2010-03-18,71.48
2010-03-19,72.6
2010-03-22,72.68
2010-03-23,72.68
2010-03-24,72.44
2010-03-25,71.63
2010-03-26,71.39
2010-03-29,72.87
2010-03-30,71.26
2010-03-31,70.05
2010-04-01,68.14
2010-04-05,68.22
2010-04-06,67.39
2010-04-07,67.6899
2010-04-08,67.429
2010-04-09,68.39
2010-04-12,68.25
2010-04-13,68.22
2010-04-14,68.04
2010-04-15,68.17
2010-04-16,68.1
2010-04-19,66.99
2010-04-20,66.98
2010-04-21,66.7
2010-04-22,65.88
2010-04-23,65.55
2010-04-26,65.79
2010-04-27,65.85
2010-04-28,64.78
2010-04-29,65.4
2010-04-30,65.38
2010-05-03,64.87
2010-05-04,63.97
2010-05-05,63.73
2010-05-06,63.56
2010-05-07,60.64
2010-05-10,61.72
2010-05-11,62.06
2010-05-12,62.93
2010-05-13,63.1
2010-05-14,62.49
2010-05-17,61.8
2010-05-18,62.32
2010-05-19,61.63
2010-05-20,60.72
2010-05-21,58.8999
2010-05-24,58.55
2010-05-25,57.19
2010-05-26,58.38
2010-05-27,58.75
2010-05-28,59.49
2010-06-01,59.51
2010-06-02,59.55
2010-06-03,59.2
2010-06-04,60.28
2010-06-07,59.25
2010-06-08,57.76
2010-06-09,57.49
2010-06-10,57.3
2010-06-11,57.41
2010-06-14,58.27
2010-06-15,59.75
2010-06-16,59.7
2010-06-17,59.77
2010-06-18,60.04
2010-06-21,60.75
2010-06-22,60.24
2010-06-23,60.29
2010-06-24,60.12
2010-06-25,59.0
2010-06-28,59.56
2010-06-29,58.28
2010-06-30,57.45
2010-07-01,56.83
2010-07-02,56.58
2010-07-06,56.7
2010-07-07,56.93
2010-07-08,57.86
2010-07-09,58.44
2010-07-12,58.66
2010-07-13,59.63
2010-07-14,59.61
2010-07-15,61.22
2010-07-16,61.46
2010-07-19,60.19
2010-07-20,60.56
2010-07-21,63.39
2010-07-22,62.33
2010-07-23,60.24
2010-07-26,61.54
2010-07-27,63.32
2010-07-28,61.42
2010-07-29,58.64
2010-07-30,57.45
2010-08-02,58.35
2010-08-03,59.2
2010-08-04,59.45
2010-08-05,59.45
2010-08-06,59.25
2010-08-09,59.6
2010-08-10,59.9
2010-08-11,59.11
2010-08-12,59.375
2010-08-13,58.95
