dt,high
2014-09-24,23.22
2014-09-25,23.41
2014-09-26,23.37
2014-09-29,23.45
2014-09-30,23.57
2014-10-01,23.61
2014-10-02,23.59
2014-10-03,23.47
2014-10-06,23.37
2014-10-07,22.74
2014-10-08,23.15
2014-10-09,23.0
2014-10-10,22.56
2014-10-13,22.66
2014-10-14,22.79
2014-10-15,22.2
2014-10-16,21.95
2014-10-17,22.07
2014-10-20,22.38
2014-10-21,22.93
2014-10-22,23.0
2014-10-23,23.08
2014-10-24,23.49
2014-10-27,23.19
2014-10-28,23.59
2014-10-29,23.53
2014-10-30,23.69
2014-10-31,23.92
2014-11-03,24.0
2014-11-04,23.91
2014-11-05,23.95
2014-11-06,24.46
2014-11-07,24.48
2014-11-10,24.25
2014-11-11,24.22
2014-11-12,23.98
2014-11-13,23.96
2014-11-14,24.0
2014-11-17,24.11
2014-11-18,24.04
2014-11-19,24.0
2014-11-20,23.87
2014-11-21,24.21
2014-11-24,24.36
2014-11-25,24.3
2014-11-26,24.27
2014-11-28,25.09
2014-12-01,24.895
2014-12-02,24.43
2014-12-03,24.59
2014-12-04,24.56
2014-12-05,25.22
2014-12-08,25.14
2014-12-09,25.33
2014-12-10,25.41
2014-12-11,25.28
2014-12-12,24.83
2014-12-15,24.805
2014-12-16,24.875
2014-12-17,24.8
2014-12-18,25.14
2014-12-19,25.6
2014-12-22,25.2786
2014-12-23,25.5
2014-12-24,25.59
2014-12-26,25.51
2014-12-29,25.51
2014-12-30,25.5
2014-12-31,25.285
2015-01-02,25.0
2015-01-05,24.68
2015-01-06,24.22
2015-01-07,24.13
2015-01-08,24.48
2015-01-09,24.18
2015-01-12,24.04
2015-01-13,24.19
2015-01-14,23.744
2015-01-15,23.61
2015-01-16,23.24
2015-01-20,23.85
2015-01-21,23.59
2015-01-22,24.16
2015-01-23,24.04
2015-01-26,24.31
2015-01-27,24.64
2015-01-28,24.35
2015-01-29,24.35
2015-01-30,24.24
2015-02-02,24.16
2015-02-03,24.45
2015-02-04,24.38
2015-02-05,24.41
2015-02-06,25.0
2015-02-09,24.53
2015-02-10,24.96
2015-02-11,25.0
2015-02-12,25.37
2015-02-13,25.67
2015-02-17,25.74
2015-02-18,25.63
2015-02-19,25.22
2015-02-20,25.26
2015-02-23,25.1
2015-02-24,25.07
2015-02-25,25.0
2015-02-26,24.995
2015-02-27,24.9999
2015-03-02,25.18
2015-03-03,25.05
2015-03-04,24.99
2015-03-05,25.32
2015-03-06,25.8
2015-03-09,25.5347
2015-03-10,25.2
2015-03-11,25.2699
2015-03-12,25.78
2015-03-13,25.23
2015-03-16,25.32
2015-03-17,25.61
2015-03-18,25.84
2015-03-19,25.19
2015-03-20,25.02
2015-03-23,25.24
2015-03-24,24.92
2015-03-25,24.43
2015-03-26,24.29
2015-03-27,24.54
2015-03-30,24.68
2015-03-31,24.29
2015-04-01,24.46
2015-04-02,24.68
2015-04-06,24.8
2015-04-07,25.0
2015-04-08,25.09
2015-04-09,25.14
2015-04-10,25.15
2015-04-13,25.46
2015-04-14,25.25
2015-04-15,25.66
2015-04-16,25.63
2015-04-17,25.41
2015-04-20,25.28
2015-04-21,25.46
2015-04-22,25.98
2015-04-23,25.74
2015-04-24,25.72
2015-04-27,25.84
2015-04-28,25.825
2015-04-29,26.29
2015-04-30,26.18
2015-05-01,26.302
2015-05-04,26.38
2015-05-05,26.47
2015-05-06,26.432
2015-05-07,25.96
2015-05-08,26.241999999999997
2015-05-11,26.19
2015-05-12,26.25
2015-05-13,26.41
2015-05-14,26.59
2015-05-15,26.581999999999997
2015-05-18,26.38
2015-05-19,26.89
2015-05-20,26.95
2015-05-21,26.91
2015-05-22,26.99
2015-05-26,26.99
2015-05-27,26.92
2015-05-28,26.92
2015-05-29,26.95
2015-06-01,27.025
2015-06-02,27.34
2015-06-03,27.67
2015-06-04,27.87
2015-06-05,28.35
2015-06-08,28.71
2015-06-09,28.09
2015-06-10,28.31
2015-06-11,28.17
2015-06-12,27.64
2015-06-15,27.99
2015-06-16,28.29
2015-06-17,28.41
2015-06-18,28.12
2015-06-19,28.46
2015-06-22,28.54
2015-06-23,28.53
2015-06-24,28.32
2015-06-25,28.04
2015-06-26,27.615
2015-06-29,27.39
2015-06-30,27.87
2015-07-01,27.74
2015-07-02,27.47
2015-07-06,27.04
2015-07-07,27.04
2015-07-08,26.71
2015-07-09,27.03
2015-07-10,27.35
2015-07-13,27.7
2015-07-14,27.58
2015-07-15,28.0
2015-07-16,28.15
2015-07-17,28.1825
2015-07-20,28.17
2015-07-21,27.58
2015-07-22,27.255
2015-07-23,27.3
2015-07-24,26.65
2015-07-27,26.13
2015-07-28,26.36
2015-07-29,26.33
2015-07-30,26.6299
2015-07-31,26.6
2015-08-03,26.5
2015-08-04,26.44
2015-08-05,26.84
2015-08-06,26.84
2015-08-07,26.82
2015-08-10,27.26
2015-08-11,27.19
2015-08-12,26.79
2015-08-13,26.3
2015-08-14,26.42
2015-08-17,26.48
2015-08-18,26.58
2015-08-19,26.57
2015-08-20,26.29
2015-08-21,25.11
2015-08-24,24.1
2015-08-25,24.08
2015-08-26,24.45
2015-08-27,24.99
2015-08-28,24.885
2015-08-31,24.94
2015-09-01,24.59
2015-09-02,24.33
2015-09-03,24.79
2015-09-04,24.43
2015-09-08,24.63
2015-09-09,24.99
2015-09-10,24.6358
2015-09-11,24.54
2015-09-14,24.67
2015-09-15,25.14
2015-09-16,25.06
2015-09-17,24.96
2015-09-18,23.99
2015-09-21,24.14
2015-09-22,23.67
2015-09-23,23.79
2015-09-24,23.32
2015-09-25,23.82
2015-09-28,23.56
2015-09-29,23.44
2015-09-30,25.23
2015-10-01,24.02
2015-10-02,23.48
2015-10-05,23.83
2015-10-06,23.83
2015-10-07,23.565
2015-10-08,23.64
2015-10-09,23.82
2015-10-12,23.69
2015-10-13,23.62
2015-10-14,23.49
2015-10-15,23.59
2015-10-16,23.78
2015-10-19,23.49
2015-10-20,23.6
2015-10-21,23.865
2015-10-22,23.62
2015-10-23,24.3
2015-10-26,24.49
2015-10-27,23.8
2015-10-28,24.44
2015-10-29,24.43
2015-10-30,24.39
2015-11-02,24.7
2015-11-03,24.62
2015-11-04,24.74
2015-11-05,24.93
2015-11-06,25.97
2015-11-09,26.05
2015-11-10,26.09
2015-11-11,26.13
2015-11-12,25.95
2015-11-13,25.6
2015-11-16,25.72
2015-11-17,25.91
2015-11-18,26.22
2015-11-19,26.24
2015-11-20,26.31
2015-11-23,26.18
2015-11-24,26.15
2015-11-25,26.28
2015-11-27,26.5
2015-11-30,26.65
2015-12-01,26.87
2015-12-02,26.86
2015-12-03,26.84
2015-12-04,27.14
2015-12-07,27.17
2015-12-08,26.55
2015-12-09,26.74
2015-12-10,26.57
2015-12-11,26.17
2015-12-14,25.96
2015-12-15,26.7
2015-12-16,27.02
2015-12-17,27.08
2015-12-18,26.45
2015-12-21,26.34
2015-12-22,26.46
2015-12-23,26.54
2015-12-24,26.68
2015-12-28,26.47
2015-12-29,26.805
2015-12-30,26.66
2015-12-31,26.49
2016-01-04,25.99
2016-01-05,25.95
2016-01-06,25.53
2016-01-07,24.915
2016-01-08,24.88
2016-01-11,24.24
2016-01-12,24.15
2016-01-13,24.15
2016-01-14,23.38
2016-01-15,22.47
2016-01-19,22.705
2016-01-20,21.97
2016-01-21,21.84
2016-01-22,21.8
2016-01-25,20.915
2016-01-26,20.57
2016-01-27,21.61
2016-01-28,21.85
2016-01-29,21.95
2016-02-01,21.21
2016-02-02,20.62
2016-02-03,20.305
2016-02-04,20.55
2016-02-05,20.62
2016-02-08,19.74
2016-02-09,19.61
2016-02-10,19.76
2016-02-11,18.65
2016-02-12,18.99
2016-02-16,19.755
2016-02-17,20.25
2016-02-18,19.81
2016-02-19,19.3
2016-02-22,19.82
2016-02-23,19.81
2016-02-24,19.16
2016-02-25,19.22
2016-02-26,20.11
2016-02-29,19.8
2016-03-01,20.28
2016-03-02,21.095
2016-03-03,21.5599
2016-03-04,22.23
2016-03-07,21.86
2016-03-08,21.26
2016-03-09,21.23
2016-03-10,21.23
2016-03-11,21.935
2016-03-14,22.16
2016-03-15,22.22
2016-03-16,22.55
2016-03-17,21.815
2016-03-18,22.24
2016-03-21,22.25
2016-03-22,22.07
2016-03-23,21.965
2016-03-24,21.7
2016-03-28,21.73
2016-03-29,21.38
2016-03-30,21.355
2016-03-31,21.21
2016-04-01,21.38
2016-04-04,21.65
2016-04-05,21.345
2016-04-06,21.36
2016-04-07,21.25
2016-04-08,21.35
2016-04-11,21.45
2016-04-12,21.545
2016-04-13,22.74
2016-04-14,23.28
2016-04-15,22.88
2016-04-18,22.77
2016-04-19,23.375
2016-04-20,23.43
2016-04-21,24.24
2016-04-22,23.77
2016-04-25,23.63
2016-04-26,23.645
2016-04-27,23.83
2016-04-28,23.65
2016-04-29,23.26
2016-05-02,23.09
2016-05-03,22.75
2016-05-04,22.34
2016-05-05,22.2
2016-05-06,22.22
2016-05-09,22.22
2016-05-10,22.52
2016-05-11,22.63
2016-05-12,22.47
2016-05-13,22.22
2016-05-16,21.9
2016-05-17,22.09
2016-05-18,23.14
2016-05-19,23.485
2016-05-20,23.41
2016-05-23,23.11
2016-05-24,23.57
2016-05-25,23.855
2016-05-26,23.71
2016-05-27,23.62
2016-05-31,23.81
2016-06-01,23.71
2016-06-02,23.88
2016-06-03,23.23
2016-06-06,23.67
2016-06-07,23.7
2016-06-08,23.69
2016-06-09,23.26
2016-06-10,22.69
2016-06-13,22.72
2016-06-14,22.18
2016-06-15,21.84
2016-06-16,21.19
2016-06-17,21.235
2016-06-20,21.82
2016-06-21,21.59
2016-06-22,21.82
2016-06-23,22.13
2016-06-24,20.82
2016-06-27,19.56
2016-06-28,19.28
2016-06-29,19.59
2016-06-30,20.12
2016-07-01,19.91
2016-07-05,19.34
2016-07-06,19.01
2016-07-07,19.44
2016-07-08,20.01
2016-07-11,20.225
2016-07-12,20.69
2016-07-13,20.605
2016-07-14,21.36
2016-07-15,21.27
2016-07-18,21.08
2016-07-19,21.18
2016-07-20,21.53
2016-07-21,22.5
2016-07-22,22.0
2016-07-25,22.07
2016-07-26,22.56
2016-07-27,22.75
2016-07-28,22.73
2016-07-29,22.7301
2016-08-01,22.525
2016-08-02,22.44
2016-08-03,22.48
2016-08-04,22.725
2016-08-05,23.45
2016-08-08,23.69
2016-08-09,23.59
2016-08-10,23.53
2016-08-11,23.52
2016-08-12,23.29
2016-08-15,23.68
2016-08-16,23.665
2016-08-17,23.54
2016-08-18,23.595
2016-08-19,23.62
2016-08-22,23.62
2016-08-23,23.7599
2016-08-24,23.75
2016-08-25,23.695
2016-08-26,24.16
2016-08-29,24.69
2016-08-30,24.81
2016-08-31,24.8
2016-09-01,24.96
2016-09-02,24.875
2016-09-06,24.73
2016-09-07,24.6425
2016-09-08,24.94
2016-09-09,25.07
2016-09-12,25.11
2016-09-13,24.79
2016-09-14,24.82
2016-09-15,24.62
2016-09-16,24.32
2016-09-19,24.53
2016-09-20,24.45
2016-09-21,24.535
2016-09-22,24.495
2016-09-23,24.565
2016-09-26,24.27
2016-09-27,24.33
2016-09-28,24.47
2016-09-29,24.59
2016-09-30,24.82
2016-10-03,24.72
2016-10-04,25.34
2016-10-05,25.68
2016-10-06,25.79
2016-10-07,25.8
2016-10-10,25.909000000000002
2016-10-11,25.76
2016-10-12,25.485
2016-10-13,24.955
2016-10-14,25.1
2016-10-17,25.0
2016-10-18,24.95
2016-10-19,25.405
2016-10-20,25.74
2016-10-21,26.09
2016-10-24,26.49
2016-10-25,26.545
2016-10-26,26.87
2016-10-27,27.21
2016-10-28,26.89
2016-10-31,26.54
2016-11-01,26.85
2016-11-02,26.66
2016-11-03,26.505
2016-11-04,26.76
2016-11-07,27.37
2016-11-08,27.155
2016-11-09,28.44
2016-11-10,30.0
2016-11-11,30.0
2016-11-14,31.01
2016-11-15,31.165
2016-11-16,30.79
2016-11-17,31.8
2016-11-18,32.135
2016-11-21,32.23
2016-11-22,32.26
2016-11-23,32.63
2016-11-25,32.46
2016-11-28,32.36
2016-11-29,32.585
2016-11-30,33.7
2016-12-01,34.91
2016-12-02,34.54
2016-12-05,34.75
